NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EVA1A	NA	187	0.31953972578048706	0.0052520973	Yes	
row_1	KLB	NA	236	0.30367061495780945	0.016509093	Yes	
row_2	SERPINA10	NA	248	0.3010716736316681	0.029437168	Yes	
row_3	F13A1	NA	266	0.29713308811187744	0.041899342	Yes	
row_4	FGF7	NA	385	0.2737750709056854	0.048438538	Yes	
row_5	SLC6A5	NA	531	0.25380322337150574	0.052780673	Yes	
row_6	GUCA2B	NA	532	0.25374385714530945	0.0641243	Yes	
row_7	ARHGAP24	NA	617	0.24486379325389862	0.071013376	Yes	
row_8	ISL1	NA	622	0.2446042001247406	0.0817552	Yes	
row_9	UBXN10	NA	627	0.24420441687107086	0.092479154	Yes	
row_10	DNAI4	NA	743	0.2320898026227951	0.097299725	Yes	
row_11	LINC00671	NA	845	0.22267529368400574	0.10237568	Yes	
row_12	PHOX2B	NA	850	0.22217997908592224	0.112115026	Yes	
row_13	NCAM1	NA	853	0.2221318483352661	0.12194884	Yes	
row_14	AQP9	NA	978	0.21338322758674622	0.12549838	Yes	
row_15	MARCKS	NA	986	0.21311809122562408	0.1346877	Yes	
row_16	CDH17	NA	1033	0.20983974635601044	0.1418466	Yes	
row_17	ANGPTL1	NA	1056	0.20835062861442566	0.15009823	Yes	
row_18	PHLDB1	NA	1181	0.20131522417068481	0.15310827	Yes	
row_19	HOXC6	NA	1228	0.19899193942546844	0.15978222	Yes	
row_20	SGK2	NA	1239	0.19850407540798187	0.1681733	Yes	
row_21	TNS1	NA	1293	0.1959250122308731	0.174372	Yes	
row_22	KBTBD12	NA	1372	0.191623717546463	0.1791708	Yes	
row_23	PAX2	NA	1525	0.18421639502048492	0.18006392	Yes	
row_24	GC	NA	1563	0.18272681534290314	0.18644546	Yes	
row_25	TMEM37	NA	1756	0.17539244890213013	0.18501192	Yes	
row_26	FOXF2	NA	1768	0.1748868077993393	0.1922989	Yes	
row_27	TINAG	NA	1780	0.17440885305404663	0.1995645	Yes	
row_28	LRAT	NA	1847	0.17179358005523682	0.20405646	Yes	
row_29	TMPRSS15	NA	2007	0.1649971306324005	0.20375223	Yes	
row_30	PPP2R2B	NA	2018	0.16454847157001495	0.21062535	Yes	
row_31	TMCC2	NA	2025	0.16434496641159058	0.21768257	Yes	
row_32	SP8	NA	2192	0.15856750309467316	0.21675278	Yes	
row_33	RXFP2	NA	2517	0.14817006886005402	0.20772608	Yes	
row_34	HOXA3	NA	2521	0.14804285764694214	0.21419942	Yes	
row_35	TCF4	NA	2662	0.14348547160625458	0.21385132	Yes	
row_36	SEMA4G	NA	2674	0.14329031109809875	0.21972577	Yes	
row_37	ALX1	NA	2934	0.13572710752487183	0.21328259	Yes	
row_38	ERRFI1	NA	2941	0.13559764623641968	0.21905467	Yes	
row_39	CES5A	NA	2963	0.1349431872367859	0.22407292	Yes	
row_40	WNT9A	NA	2974	0.13473889231681824	0.22961338	Yes	
row_41	SPINK1	NA	3069	0.13244585692882538	0.23099375	Yes	
row_42	NAALADL2	NA	3196	0.1289583146572113	0.23067246	Yes	
row_43	TMED6	NA	3210	0.1286098062992096	0.23579402	Yes	
row_44	ASB4	NA	3228	0.1282382756471634	0.24070574	Yes	
row_45	SLC7A9	NA	3273	0.12692952156066895	0.24425474	Yes	
row_46	NEO1	NA	3281	0.12652689218521118	0.24957299	Yes	
row_47	SOSTDC1	NA	3316	0.12594544887542725	0.25356105	Yes	
row_48	SLC7A13	NA	3342	0.125261127948761	0.25795323	Yes	
row_49	HOXA10	NA	3363	0.12470947951078415	0.26256227	Yes	
row_50	LPP	NA	3393	0.12389374524354935	0.26670012	Yes	
row_51	ASPA	NA	3558	0.12061410397291183	0.26417026	Yes	
row_52	ACVR2A	NA	3616	0.11954566091299057	0.26676118	Yes	
row_53	TRPS1	NA	3730	0.11680079251527786	0.26652437	Yes	
row_54	SLC13A2	NA	3782	0.11540184170007706	0.26921988	Yes	
row_55	HABP2	NA	3788	0.1152561753988266	0.27413088	Yes	
row_56	RBP4	NA	3846	0.11401437968015671	0.27647457	Yes	
row_57	NRP1	NA	3891	0.11272641271352768	0.2793886	Yes	
row_58	RNF186	NA	3898	0.1125127300620079	0.28412867	Yes	
row_59	CNTD1	NA	3928	0.11168871074914932	0.2877209	Yes	
row_60	FRMD5	NA	4101	0.10792265087366104	0.28423718	Yes	
row_61	NKX2-2	NA	4146	0.10713709145784378	0.28690135	Yes	
row_62	PKLR	NA	4200	0.10579057037830353	0.2890706	Yes	
row_63	NECTIN1	NA	4321	0.10303372144699097	0.28788018	Yes	
row_64	PDZRN4	NA	4327	0.10286857187747955	0.2922374	Yes	
row_65	ADAM11	NA	4389	0.10145726054906845	0.2938265	Yes	
row_66	BACE2	NA	4431	0.10042960941791534	0.2963357	Yes	
row_67	CDH20	NA	4508	0.09880073368549347	0.29708147	Yes	
row_68	PKHD1	NA	4607	0.09703104943037033	0.2966854	Yes	
row_69	MAB21L2	NA	4734	0.09450995922088623	0.2948241	Yes	
row_70	PREX2	NA	4742	0.09446446597576141	0.298709	Yes	
row_71	FGA	NA	5009	0.08875510841608047	0.2898278	Yes	
row_72	CNGB3	NA	5017	0.08849052339792252	0.29344565	Yes	
row_73	FST	NA	5031	0.08819244801998138	0.29676035	Yes	
row_74	NEK10	NA	5156	0.08591758459806442	0.29461154	Yes	
row_75	ANXA13	NA	5222	0.08460722863674164	0.2952541	Yes	
row_76	KLF14	NA	5235	0.08429744839668274	0.29844296	Yes	
row_77	A1CF	NA	5306	0.08307783305644989	0.29877564	Yes	
row_78	RBFOX1	NA	5342	0.08252806216478348	0.30077443	Yes	
row_79	HNF1B	NA	5352	0.08225089311599731	0.3040167	Yes	
row_80	APCS	NA	5418	0.08106586337089539	0.30450097	Yes	
row_81	SORBS1	NA	5432	0.08082497864961624	0.3074863	Yes	
row_82	AFP	NA	5629	0.07703329622745514	0.30146238	No	
row_83	AQP4	NA	5652	0.07651232182979584	0.3038202	No	
row_84	FOXA2	NA	5659	0.07642332464456558	0.30694687	No	
row_85	NCKAP5	NA	5784	0.07455787807703018	0.3042902	No	
row_86	PRDM12	NA	6029	0.07024481147527695	0.29564422	No	
row_87	KALRN	NA	6056	0.06991282105445862	0.29751375	No	
row_88	COA3	NA	6222	0.06697815656661987	0.29253778	No	
row_89	SLC26A3	NA	6270	0.06621226668357849	0.2932275	No	
row_90	SYNE4	NA	6324	0.06540058553218842	0.29359108	No	
row_91	F2	NA	6376	0.06457749009132385	0.29401448	No	
row_92	ATP2B3	NA	6450	0.06340335309505463	0.2933227	No	
row_93	LINC00173	NA	6481	0.06305941194295883	0.29469264	No	
row_94	DLX1	NA	6667	0.060077086091041565	0.28844208	No	
row_95	THRA	NA	6717	0.05925905704498291	0.28872433	No	
row_96	SALL3	NA	6781	0.05817731097340584	0.28828195	No	
row_97	HOXD4	NA	6919	0.05603489279747009	0.2841693	No	
row_98	FLRT1	NA	7076	0.05359039455652237	0.27902955	No	
row_99	CCDC50	NA	7106	0.05314312502741814	0.28000447	No	
row_100	KCNJ1	NA	7432	0.04860339313745499	0.26647833	No	
row_101	CDH16	NA	7498	0.0476573221385479	0.26546904	No	
row_102	TBR1	NA	7506	0.04754449427127838	0.2672564	No	
row_103	PPP2R5C	NA	7554	0.04681185260415077	0.26707882	No	
row_104	GOLT1A	NA	7563	0.04661864414811134	0.26877648	No	
row_105	NSMCE3	NA	7606	0.045818157494068146	0.268796	No	
row_106	HCN1	NA	7837	0.04234091192483902	0.2595788	No	
row_107	TTLL6	NA	8037	0.03944501280784607	0.2517296	No	
row_108	AGR3	NA	8042	0.0393616259098053	0.25329605	No	
row_109	STC1	NA	8158	0.037757545709609985	0.24942897	No	
