NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DSPP	NA	2	0.6661233305931091	0.028558992	Yes	
row_1	CGA	NA	75	0.38706812262535095	0.04173495	Yes	
row_2	SULF1	NA	109	0.35685932636260986	0.055493705	Yes	
row_3	GABRG1	NA	405	0.2705754041671753	0.052895274	Yes	
row_4	TNFSF13B	NA	425	0.2675539553165436	0.06348797	Yes	
row_5	EBF2	NA	497	0.25772956013679504	0.07114826	Yes	
row_6	CFB	NA	599	0.24625584483146667	0.07686703	Yes	
row_7	GRM5	NA	651	0.2404589205980301	0.08474966	Yes	
row_8	LRRC15	NA	669	0.23903188109397888	0.09421191	Yes	
row_9	HOXA2	NA	745	0.2319229394197464	0.10056899	Yes	
row_10	PHOX2B	NA	850	0.22217997908592224	0.105107255	Yes	
row_11	TAC1	NA	947	0.21588510274887085	0.10976085	Yes	
row_12	MARCKS	NA	986	0.21311809122562408	0.11709477	Yes	
row_13	DSG1	NA	1018	0.2112412303686142	0.12468581	Yes	
row_14	PRL	NA	1036	0.20970559120178223	0.13288648	Yes	
row_15	NEUROD6	NA	1090	0.20608234405517578	0.13919377	Yes	
row_16	HOXC6	NA	1228	0.19899193942546844	0.14114179	Yes	
row_17	KCNN3	NA	1252	0.1979842185974121	0.14854865	Yes	
row_18	STAC2	NA	1278	0.19669368863105774	0.15580346	Yes	
row_19	GPR22	NA	1316	0.19490982592105865	0.16240236	Yes	
row_20	LEMD1	NA	1342	0.19358451664447784	0.16952342	Yes	
row_21	SERTAD4	NA	1376	0.19152498245239258	0.17616977	Yes	
row_22	MYL1	NA	1405	0.19015663862228394	0.18299858	Yes	
row_23	TAAR5	NA	1508	0.1851034164428711	0.1860384	Yes	
row_24	MYF6	NA	1546	0.18342389166355133	0.19214319	Yes	
row_25	UNC5B	NA	1551	0.1831255704164505	0.1998279	Yes	
row_26	FAM169B	NA	1564	0.18254761397838593	0.20710161	Yes	
row_27	FBLN2	NA	1681	0.17795567214488983	0.20915824	Yes	
row_28	SLC24A4	NA	1685	0.17781659960746765	0.21666282	Yes	
row_29	PPP1R1B	NA	1696	0.17742522060871124	0.22381271	Yes	
row_30	LDB2	NA	1727	0.17621071636676788	0.22994506	Yes	
row_31	PRKG1	NA	1791	0.17376604676246643	0.2343795	Yes	
row_32	CADM1	NA	1850	0.17165020108222961	0.23896424	Yes	
row_33	PPP2R2B	NA	2018	0.16454847157001495	0.23798262	Yes	
row_34	KCP	NA	2059	0.16331954300403595	0.24307775	Yes	
row_35	COL4A4	NA	2070	0.16303683817386627	0.24960868	Yes	
row_36	LMX1A	NA	2125	0.16084645688533783	0.25392172	Yes	
row_37	SP8	NA	2192	0.15856750309467316	0.25755754	Yes	
row_38	OFCC1	NA	2482	0.14909394085407257	0.25002277	Yes	
row_39	TBX6	NA	2561	0.14642013609409332	0.25255686	Yes	
row_40	KCNH5	NA	2573	0.1459723711013794	0.25830546	Yes	
row_41	OLFM4	NA	2765	0.1408650428056717	0.25514662	Yes	
row_42	KRT32	NA	2774	0.14055176079273224	0.26080683	Yes	
row_43	WNT8B	NA	2859	0.13774637877941132	0.2626782	Yes	
row_44	KRT23	NA	2955	0.13529901206493378	0.26391336	Yes	
row_45	WNT9A	NA	2974	0.13473889231681824	0.26884085	Yes	
row_46	FIGN	NA	3106	0.13145232200622559	0.268173	Yes	
row_47	SSPN	NA	3145	0.1303882598876953	0.27194804	Yes	
row_48	OPRM1	NA	3194	0.1290563941001892	0.2751831	Yes	
row_49	RARB	NA	3197	0.12894102931022644	0.28063342	Yes	
row_50	IRX4	NA	3265	0.127158522605896	0.28286982	Yes	
row_51	NEO1	NA	3281	0.12652689218521118	0.2875888	Yes	
row_52	SP6	NA	3371	0.12445297837257385	0.288647	Yes	
row_53	SEMA3C	NA	3495	0.1218554675579071	0.28795245	Yes	
row_54	ROBO1	NA	3575	0.1203794926404953	0.28931803	Yes	
row_55	GRPR	NA	3709	0.11728786677122116	0.28794435	Yes	
row_56	TFAP2A	NA	3845	0.11405400931835175	0.286335	Yes	
row_57	TYR	NA	3877	0.11316311359405518	0.2897069	Yes	
row_58	NRP1	NA	3891	0.11272641271352768	0.29392874	Yes	
row_59	FGF19	NA	4171	0.10653290897607803	0.2850457	Yes	
row_60	PART1	NA	4225	0.10528877377510071	0.28701702	Yes	
row_61	PDZRN4	NA	4327	0.10286857187747955	0.2865675	Yes	
row_62	SEMA6A	NA	4333	0.102695532143116	0.29074398	Yes	
row_63	MMP27	NA	4357	0.10215295106172562	0.2940283	Yes	
row_64	HOXD9	NA	4366	0.10202822089195251	0.2980313	Yes	
row_65	ADAM11	NA	4389	0.10145726054906845	0.301334	Yes	
row_66	PRRX1	NA	4404	0.1012524887919426	0.30501398	Yes	
row_67	COLEC10	NA	4469	0.09968340396881104	0.30621326	Yes	
row_68	ADRB2	NA	4498	0.09904695302248001	0.30912268	Yes	
row_69	ADAMTS17	NA	4544	0.09824244678020477	0.311177	Yes	
row_70	ZNF366	NA	4598	0.09727483987808228	0.31280354	Yes	
row_71	LINC00314	NA	4601	0.09725254029035568	0.31689066	Yes	
row_72	TP63	NA	4686	0.09532065689563751	0.31693694	Yes	
row_73	C1orf87	NA	4904	0.09101178497076035	0.31037864	Yes	
row_74	TAFA1	NA	4917	0.09068205207586288	0.31370044	Yes	
row_75	TSHZ3	NA	4944	0.0901886522769928	0.31632534	Yes	
row_76	RAPGEFL1	NA	4955	0.08993173390626907	0.3197114	Yes	
row_77	SHOX2	NA	4987	0.08913055062294006	0.32204944	Yes	
row_78	WDR49	NA	5042	0.08805258572101593	0.323231	Yes	
row_79	EN1	NA	5108	0.08670682460069656	0.32382378	Yes	
row_80	DACH1	NA	5115	0.08661922812461853	0.3272604	Yes	
row_81	KRTAP11-1	NA	5157	0.08590863645076752	0.3289772	Yes	
row_82	CNBD1	NA	5165	0.08579377084970474	0.33233005	Yes	
row_83	SULF2	NA	5177	0.08563023805618286	0.3354828	Yes	
row_84	NKX6-1	NA	5195	0.08502160012722015	0.33831978	Yes	
row_85	KLF14	NA	5235	0.08429744839668274	0.34006378	Yes	
row_86	RBFOX1	NA	5342	0.08252806216478348	0.33849794	Yes	
row_87	RGS12	NA	5390	0.08149675279855728	0.33973533	Yes	
row_88	KCNS1	NA	5394	0.08135155588388443	0.34309015	Yes	
row_89	BHLHE41	NA	5417	0.0810837671160698	0.3455164	Yes	
row_90	CALN1	NA	5514	0.07896362245082855	0.3442799	No	
row_91	CLRN1	NA	5684	0.0761219784617424	0.33939776	No	
row_92	PTH1R	NA	5706	0.0757756158709526	0.34164393	No	
row_93	C1orf122	NA	5873	0.07271037995815277	0.33675984	No	
row_94	SYTL5	NA	6048	0.06997430324554443	0.33137193	No	
row_95	KALRN	NA	6056	0.06991282105445862	0.3340416	No	
row_96	DLL4	NA	6060	0.06986995041370392	0.3369025	No	
row_97	LINC00311	NA	6094	0.06944286078214645	0.33829707	No	
row_98	VIL1	NA	6114	0.06908589601516724	0.340352	No	
row_99	NOTCH2NLA	NA	6328	0.06535635143518448	0.33288312	No	
row_100	ZBTB20	NA	6444	0.06349168717861176	0.33006394	No	
row_101	PRR34	NA	6460	0.06331534683704376	0.3320637	No	
row_102	KLHL5	NA	6507	0.06268429756164551	0.3325401	No	
row_103	PCSK2	NA	6577	0.061476752161979675	0.33185443	No	
row_104	SDF2	NA	6582	0.06141733005642891	0.33430347	No	
row_105	SALL3	NA	6781	0.05817731097340584	0.3272497	No	
row_106	DIXDC1	NA	6822	0.05752059444785118	0.32779354	No	
row_107	DCX	NA	6855	0.05709260329604149	0.3287051	No	
row_108	PACSIN3	NA	6864	0.05699015408754349	0.3307706	No	
row_109	NPR3	NA	6924	0.05598378926515579	0.3303313	No	
row_110	LYSMD2	NA	6929	0.05591987445950508	0.33254382	No	
row_111	LYG2	NA	6976	0.05508657544851303	0.33269337	No	
row_112	SIX1	NA	7105	0.05314531922340393	0.3288017	No	
row_113	KCNMA1	NA	7192	0.05188927426934242	0.3268831	No	
row_114	TBR1	NA	7506	0.04754449427127838	0.3138215	No	
row_115	RAX	NA	7715	0.04424533620476723	0.30568576	No	
row_116	LBX1	NA	7765	0.04350709542632103	0.30519238	No	
row_117	ALDH1A1	NA	7915	0.04119305685162544	0.29977298	No	
row_118	PTPRO	NA	8221	0.03707733005285263	0.28664717	No	
row_119	GNB3	NA	8487	0.03330405801534653	0.27528968	No	
row_120	FEV	NA	8729	0.030226334929466248	0.2649581	No	
row_121	NREP	NA	8743	0.030079659074544907	0.26562464	No	
row_122	JPH3	NA	8824	0.02903667464852333	0.2630126	No	
row_123	JUNB	NA	8933	0.027755020186305046	0.25899395	No	
row_124	COL4A3	NA	9041	0.02623138204216957	0.25495803	No	
row_125	PRKAB1	NA	9175	0.02453877404332161	0.24959442	No	
row_126	LRP2	NA	9219	0.02399199828505516	0.24855113	No	
row_127	NPVF	NA	9242	0.02368950843811035	0.24850838	No	
row_128	GTPBP1	NA	9257	0.02355811931192875	0.24884611	No	
row_129	TOB1	NA	9280	0.023237813264131546	0.24878393	No	
row_130	PCMTD1	NA	9323	0.022504881024360657	0.24772494	No	
row_131	OTX2	NA	9388	0.021767038851976395	0.24557236	No	
row_132	ZEB2	NA	9573	0.01910335384309292	0.23751342	No	
row_133	ARHGAP44	NA	9584	0.018971791490912437	0.2378469	No	
row_134	CASZ1	NA	9744	0.01706571877002716	0.23090692	No	
row_135	NRL	NA	9784	0.016499195247888565	0.22973436	No	
row_136	KCTD15	NA	9955	0.014482141472399235	0.22215234	No	
row_137	CXCL13	NA	10069	0.013208161108195782	0.21726659	No	
row_138	NFYA	NA	10249	0.011044920422136784	0.20910232	No	
row_139	YRDC	NA	10352	0.009670907631516457	0.20459533	No	
row_140	MID1	NA	10376	0.009472671896219254	0.20389272	No	
row_141	ARNTL	NA	10581	0.00675073079764843	0.1943371	No	
