NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H3C6	NA	3653	0.11864247173070908	-0.14957829	No	
row_1	TMEM62	NA	3780	0.11541971564292908	-0.13120292	No	
row_2	H2BC15	NA	5594	0.0775880292057991	-0.201485	No	
row_3	HMGN4	NA	6332	0.0653175562620163	-0.22291471	No	
row_4	H2AC15	NA	6389	0.06437550485134125	-0.21198322	No	
row_5	TRIM7	NA	7616	0.04567158594727516	-0.26094645	No	
row_6	UNC45A	NA	7661	0.04512307420372963	-0.25351116	No	
row_7	ENC1	NA	9440	0.021013779565691948	-0.33407962	No	
row_8	H3-3A	NA	10099	0.012923598289489746	-0.36280823	No	
row_9	GRK6	NA	10211	0.011417006142437458	-0.36570188	No	
row_10	MSL2	NA	10795	0.004462807904928923	-0.39263317	No	
row_11	TOP2A	NA	12210	-0.012297900393605232	-0.45764035	No	
row_12	H2AC17	NA	14187	-0.0372222475707531	-0.54424924	No	
row_13	H2BC5	NA	14402	-0.04020277038216591	-0.54598224	No	
row_14	ZFP62	NA	15651	-0.058039579540491104	-0.5933827	No	
row_15	HOXB8	NA	16076	-0.0646473616361618	-0.5999888	No	
row_16	H3C1	NA	16476	-0.07150525599718094	-0.6039498	No	
row_17	IFT140	NA	17065	-0.0823940858244896	-0.6146455	No	
row_18	RBBP8	NA	17088	-0.0828964039683342	-0.598173	No	
row_19	H2AC4	NA	18051	-0.10295222699642181	-0.6224046	No	
row_20	H2BC6	NA	19068	-0.13222087919712067	-0.64303064	Yes	
row_21	H3C12	NA	19319	-0.1425611972808838	-0.62484634	Yes	
row_22	SETD9	NA	19801	-0.16842572391033173	-0.61223894	Yes	
row_23	PCDH1	NA	19803	-0.1684645712375641	-0.5766733	Yes	
row_24	PAXIP1-AS2	NA	20052	-0.18534694612026215	-0.5493485	Yes	
row_25	HOXA9	NA	20218	-0.19922961294651031	-0.5151203	Yes	
row_26	CRAMP1	NA	20222	-0.19975608587265015	-0.4730353	Yes	
row_27	F12	NA	20404	-0.22285065054893494	-0.4345787	Yes	
row_28	H2BC17	NA	20417	-0.22546949982643127	-0.38748816	Yes	
row_29	TNRC18	NA	20445	-0.2284165918827057	-0.34049177	Yes	
row_30	H2BC9	NA	20587	-0.2569912075996399	-0.29290536	Yes	
row_31	H1-4	NA	20623	-0.2654207646846771	-0.2384688	Yes	
row_32	SLC7A11	NA	20946	-1.2010973691940308	4.7800742E-5	Yes	
