NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GTF2IP12	NA	2261	0.15672512352466583	-0.062957786	No	
row_1	MIR5188	NA	4569	0.09777455031871796	-0.14508814	No	
row_2	SAMD11	NA	4623	0.09655149281024933	-0.1198217	No	
row_3	BRWD1-AS2	NA	4844	0.09210474044084549	-0.10381879	No	
row_4	C12orf57	NA	5943	0.07165469974279404	-0.13567546	No	
row_5	HOXA-AS2	NA	6707	0.05938570573925972	-0.15505059	No	
row_6	HSPE1	NA	7384	0.049312788993120193	-0.17316711	No	
row_7	ABCC3	NA	7561	0.04667997360229492	-0.16813998	No	
row_8	STC2	NA	10746	0.005089929327368736	-0.31888056	No	
row_9	TAGLN2	NA	10805	0.004379587713629007	-0.32039213	No	
row_10	CUEDC1	NA	11230	-7.847573142498732E-4	-0.34043485	No	
row_11	UBC	NA	11470	-0.0036227416712790728	-0.35081676	No	
row_12	MALAT1	NA	11821	-0.007879271171987057	-0.3652793	No	
row_13	LINC00963	NA	12140	-0.011365007609128952	-0.37720847	No	
row_14	KDM3B	NA	12807	-0.01944189891219139	-0.40344766	No	
row_15	VMP1	NA	12924	-0.02103530801832676	-0.40293616	No	
row_16	TBL1XR1	NA	13642	-0.02991754375398159	-0.4285971	No	
row_17	BRWD1	NA	14067	-0.0354795940220356	-0.43865013	No	
row_18	HSPD1	NA	14273	-0.03838222846388817	-0.43739846	No	
row_19	GBA	NA	15100	-0.04986398294568062	-0.4625268	No	
row_20	KMT2A	NA	15941	-0.06270068138837814	-0.4846283	No	
row_21	RHOBTB3	NA	16513	-0.07202146202325821	-0.49118695	No	
row_22	RCAN1	NA	16742	-0.07621579617261887	-0.48014137	No	
row_23	LINC00869	NA	20225	-0.200464129447937	-0.5888734	Yes	
row_24	SEPTIN7P14	NA	20356	-0.21525917947292328	-0.5331084	Yes	
row_25	TRIB3	NA	20533	-0.24434848129749298	-0.47116667	Yes	
row_26	BHLHE40	NA	20811	-0.3511068522930145	-0.38331425	Yes	
row_27	H1-0	NA	20819	-0.3532678782939911	-0.28193265	Yes	
row_28	CHAC1	NA	20945	-1.000258207321167	9.566125E-5	Yes	
