NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BRSK1	NA	163	0.3257119655609131	0.05503797	Yes	
row_1	EMP1	NA	843	0.22282440960407257	0.06554027	Yes	
row_2	SEZ6	NA	863	0.22138085961341858	0.10734	Yes	
row_3	MYCL	NA	1392	0.1909535974264145	0.11891798	Yes	
row_4	NFIA	NA	1655	0.17892108857631683	0.1409007	Yes	
row_5	FBLN2	NA	1681	0.17795567214488983	0.1740358	Yes	
row_6	DNAJB4	NA	1796	0.17368534207344055	0.20208912	Yes	
row_7	IGSF22	NA	2160	0.1596897542476654	0.21552967	Yes	
row_8	EPHA7	NA	2471	0.14945754408836365	0.22953185	Yes	
row_9	HOXA3	NA	2521	0.14804285764694214	0.25574797	Yes	
row_10	PGF	NA	2566	0.146301731467247	0.2818674	Yes	
row_11	PTCHD1	NA	2932	0.1357560157775879	0.29059497	Yes	
row_12	ITGB8	NA	3128	0.1308818757534027	0.30651543	Yes	
row_13	APLN	NA	3400	0.12371022999286652	0.3174163	Yes	
row_14	TFAP2A	NA	3845	0.11405400931835175	0.31817758	Yes	
row_15	MYLK	NA	3963	0.11100545525550842	0.33399516	Yes	
row_16	TUSC2	NA	4135	0.10732300579547882	0.34651887	Yes	
row_17	BMF	NA	4281	0.10395020246505737	0.35963577	Yes	
row_18	IL1RAPL1	NA	4331	0.10275834053754807	0.3771156	Yes	
row_19	HOXB6	NA	5930	0.07188097387552261	0.31453085	No	
row_20	HOXA6	NA	6030	0.07023152709007263	0.32334352	No	
row_21	CCN3	NA	6196	0.06744923442602158	0.32846183	No	
row_22	IL13RA1	NA	6972	0.05523603782057762	0.30204016	No	
row_23	B2M	NA	7243	0.051133811473846436	0.29898745	No	
row_24	FGF4	NA	8433	0.03405560180544853	0.24867293	No	
row_25	ESM1	NA	8604	0.0319293849170208	0.24669956	No	
row_26	FER1L6-AS1	NA	9372	0.02194218523800373	0.21423759	No	
row_27	HOXD3	NA	10165	0.01218217983841896	0.17869665	No	
row_28	NSD1	NA	10472	0.008380396291613579	0.16567364	No	
row_29	GBA2	NA	12163	-0.011651314795017242	0.08706791	No	
row_30	NEUROD2	NA	12344	-0.013972279615700245	0.08115182	No	
row_31	KLF7	NA	12773	-0.01905515231192112	0.064351425	No	
row_32	TGM4	NA	13005	-0.02220703288912773	0.057584025	No	
row_33	STRIP1	NA	13061	-0.02277972176671028	0.059347354	No	
row_34	FBRS	NA	13617	-0.02956170216202736	0.038497906	No	
row_35	LMO3	NA	14601	-0.04301948845386505	-2.317793E-4	No	
row_36	IKZF2	NA	15002	-0.04850732162594795	-0.010010685	No	
row_37	KMT2E	NA	18392	-0.11172270774841309	-0.15059477	No	
row_38	ACACA	NA	18473	-0.11374088376760483	-0.1324793	No	
row_39	ROCK2	NA	18953	-0.12806202471256256	-0.13069007	No	
row_40	ZNF593	NA	19673	-0.16092272102832794	-0.13404351	No	
row_41	GNGT2	NA	19690	-0.16199514269828796	-0.10355694	No	
row_42	BCL11A	NA	20028	-0.18313592672348022	-0.08434927	No	
row_43	IER5L	NA	20129	-0.19098639488220215	-0.052288447	No	
row_44	MTSS1	NA	20339	-0.21306277811527252	-0.021183476	No	
row_45	PPM1L	NA	20598	-0.2603343725204468	0.016696848	No	
