NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCDC151	NA	462	0.2620488405227661	-0.007961453	No	
row_1	HOXA2	NA	745	0.2319229394197464	-0.00887782	No	
row_2	OLFML3	NA	1169	0.20204514265060425	-0.018242756	No	
row_3	ZIC3	NA	1175	0.20153726637363434	-0.00744228	No	
row_4	INKA1	NA	1290	0.19603727757930756	-0.0022088443	No	
row_5	PAX2	NA	1525	0.18421639502048492	-0.0034201643	No	
row_6	CDH23	NA	1572	0.18205229938030243	0.0043320726	No	
row_7	CCND1	NA	1920	0.16865508258342743	-0.0031907735	No	
row_8	ZBTB22	NA	2502	0.14848722517490387	-0.023122944	No	
row_9	TCF4	NA	2662	0.14348547160625458	-0.02294268	No	
row_10	PCBP4	NA	3309	0.126089408993721	-0.0472421	No	
row_11	PCIF1	NA	3398	0.12372326850891113	-0.044714637	No	
row_12	SNAP25	NA	3627	0.11921794712543488	-0.0491973	No	
row_13	ENSA	NA	3711	0.11725688725709915	-0.046782576	No	
row_14	BABAM1	NA	5051	0.08783899247646332	-0.106655955	No	
row_15	NDUFB1	NA	5237	0.08427177369594574	-0.110975996	No	
row_16	SRRM4	NA	5512	0.07898958772420883	-0.119884945	No	
row_17	PPP1R12B	NA	5926	0.07195232063531876	-0.13589445	No	
row_18	CYB5D2	NA	6120	0.06899949908256531	-0.14143771	No	
row_19	CPNE1	NA	7916	0.04118216410279274	-0.22589636	No	
row_20	TMEM187	NA	7970	0.040360886603593826	-0.2262454	No	
row_21	RALA	NA	8048	0.03923285752534866	-0.22781569	No	
row_22	PRPS1	NA	8063	0.038948819041252136	-0.22635806	No	
row_23	THAP1	NA	8184	0.03749118372797966	-0.23010105	No	
row_24	OSR1	NA	8758	0.029879307374358177	-0.25614515	No	
row_25	NUS1	NA	8770	0.029746992513537407	-0.25504676	No	
row_26	MYNN	NA	8790	0.02938162535429001	-0.25435483	No	
row_27	PRPSAP1	NA	8927	0.027831364423036575	-0.2594	No	
row_28	RBM15B	NA	8946	0.02749686688184738	-0.25876307	No	
row_29	MAEA	NA	9151	0.024985037744045258	-0.26724923	No	
row_30	PSMD8	NA	9274	0.023300571367144585	-0.27186635	No	
row_31	OTX2	NA	9388	0.021767038851976395	-0.27613267	No	
row_32	UBE4B	NA	9457	0.020679032430052757	-0.27828473	No	
row_33	HMGB3	NA	9606	0.018708180636167526	-0.2844095	No	
row_34	ACTR8	NA	9859	0.015497740358114243	-0.2957343	No	
row_35	TMEM80	NA	9867	0.015439782291650772	-0.2952265	No	
row_36	FASTK	NA	9878	0.015245291404426098	-0.29487434	No	
row_37	RAB1A	NA	10113	0.012755208648741245	-0.30547985	No	
row_38	ATP6V0C	NA	10194	0.011768062599003315	-0.30869982	No	
row_39	RPS27	NA	10198	0.01163958478718996	-0.30820704	No	
row_40	NKIRAS2	NA	10228	0.011267498135566711	-0.30899066	No	
row_41	NFYA	NA	10249	0.011044920422136784	-0.3093517	No	
row_42	MID1	NA	10376	0.009472671896219254	-0.31491965	No	
row_43	NSD1	NA	10472	0.008380396291613579	-0.31904987	No	
row_44	SUV39H2	NA	10615	0.006390193942934275	-0.32555968	No	
row_45	RNF26	NA	10685	0.005678881425410509	-0.32858187	No	
row_46	ATP5PD	NA	10811	0.0043200100772082806	-0.33438382	No	
row_47	RPL35A	NA	10818	0.004266337025910616	-0.33443993	No	
row_48	SLC35A4	NA	10853	0.0038182109128683805	-0.33587325	No	
row_49	ZC3H11A	NA	10868	0.003679202636703849	-0.336348	No	
row_50	PRMT1	NA	10908	0.0031476079020649195	-0.3380596	No	
row_51	ATP5MC2	NA	10934	0.0028393049724400043	-0.33911178	No	
row_52	LINC01465	NA	10966	0.00244896044023335	-0.34047517	No	
row_53	DDX6	NA	11008	0.0018906199838966131	-0.34235227	No	
row_54	RCC1L	NA	11023	0.0017001228407025337	-0.34293544	No	
row_55	MRPL38	NA	11042	0.0014832031447440386	-0.34372374	No	
row_56	GNPAT	NA	11133	3.820443234872073E-4	-0.34805062	No	
row_57	EEF1A1	NA	11175	-8.792134758550674E-5	-0.3500265	No	
row_58	NDST2	NA	11345	-0.0022604826372116804	-0.3580669	No	
row_59	MIRLET7BHG	NA	11355	-0.002378127770498395	-0.35837138	No	
row_60	NASP	NA	11493	-0.0038431447464972734	-0.36477917	No	
row_61	UBE2J2	NA	11571	-0.00473402813076973	-0.3682396	No	
row_62	ERH	NA	11742	-0.0069041564129292965	-0.3760739	No	
row_63	PTBP2	NA	11748	-0.007003885228186846	-0.3759317	No	
row_64	E2F6	NA	11804	-0.007656605448573828	-0.3781692	No	
row_65	ARF1	NA	11936	-0.009136488661170006	-0.38399714	No	
row_66	TRA2B	NA	11962	-0.00945227313786745	-0.384687	No	
row_67	KIF15	NA	11974	-0.009594756178557873	-0.3846927	No	
row_68	PPP1CC	NA	12046	-0.01022501289844513	-0.38756245	No	
row_69	ATF1	NA	12081	-0.010638457722961903	-0.38862208	No	
row_70	RPL30	NA	12086	-0.010680444538593292	-0.38823014	No	
row_71	PCF11	NA	12115	-0.011028356850147247	-0.38897857	No	
row_72	ZADH2	NA	12186	-0.012056542560458183	-0.39169964	No	
row_73	NACA	NA	12227	-0.012492596171796322	-0.39294755	No	
row_74	HMGXB4	NA	12290	-0.013337097130715847	-0.395212	No	
row_75	RAC1	NA	12292	-0.013345353305339813	-0.39452913	No	
row_76	UBE2D3	NA	12296	-0.013397809118032455	-0.39394	No	
row_77	ASH1L	NA	12301	-0.01345585286617279	-0.39339602	No	
row_78	HNRNPA1	NA	12303	-0.013481934554874897	-0.39270565	No	
row_79	NEUROD2	NA	12344	-0.013972279615700245	-0.3938725	No	
row_80	C21orf58	NA	12409	-0.014672850258648396	-0.3961604	No	
row_81	USP48	NA	12505	-0.015820542350411415	-0.39988297	No	
row_82	MAML1	NA	12558	-0.01631999760866165	-0.40150088	No	
row_83	CHD2	NA	12603	-0.016879897564649582	-0.40270165	No	
row_84	RBM5	NA	12656	-0.017655901610851288	-0.4042464	No	
row_85	KDM5C	NA	12670	-0.01778983697295189	-0.40389973	No	
row_86	ZFX	NA	12701	-0.01818818598985672	-0.4043525	No	
row_87	TSC1	NA	12761	-0.018870074301958084	-0.40616885	No	
row_88	DEAF1	NA	12824	-0.019619930535554886	-0.40808907	No	
row_89	ATP5PB	NA	12870	-0.02036554366350174	-0.40914717	No	
row_90	PABPN1	NA	12937	-0.021222775802016258	-0.4111728	No	
row_91	ASB2	NA	12945	-0.021317001432180405	-0.41034302	No	
row_92	SLAIN1	NA	13127	-0.023621322587132454	-0.4177928	No	
row_93	BMI1	NA	13200	-0.02457953430712223	-0.41992438	No	
