NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOX4	NA	211	0.3110106885433197	0.038230456	Yes	
row_1	BASP1	NA	307	0.29079893231391907	0.07887337	Yes	
row_2	DUOX1	NA	324	0.2876829504966736	0.12281414	Yes	
row_3	PGM5P2	NA	343	0.2834094762802124	0.16599505	Yes	
row_4	CTSK	NA	1119	0.2044251561164856	0.16066065	Yes	
row_5	MMP16	NA	1332	0.19417735934257507	0.18068701	Yes	
row_6	LINC00887	NA	1511	0.1846107393503189	0.2008544	Yes	
row_7	SLC24A4	NA	1685	0.17781659960746765	0.22020535	Yes	
row_8	TMEM95	NA	1771	0.17473125457763672	0.24328975	Yes	
row_9	PRKG1	NA	1791	0.17376604676246643	0.26938388	Yes	
row_10	C4orf17	NA	1945	0.16760697960853577	0.28810573	Yes	
row_11	TRHR	NA	1947	0.16758516430854797	0.31410104	Yes	
row_12	NT5DC4	NA	2549	0.14695361256599426	0.30816555	Yes	
row_13	OTP	NA	2695	0.1428259015083313	0.32341933	Yes	
row_14	GPHA2	NA	3079	0.13208907842636108	0.32561046	Yes	
row_15	SOX5	NA	3375	0.12440414726734161	0.3308203	Yes	
row_16	KIAA0319	NA	3448	0.12276796251535416	0.34645182	Yes	
row_17	BLK	NA	3980	0.11070095002651215	0.33823377	Yes	
row_18	APLP1	NA	4328	0.10285620391368866	0.3376055	Yes	
row_19	SEMA6A	NA	4333	0.102695532143116	0.3533732	Yes	
row_20	JPH4	NA	5232	0.08440575003623962	0.3234989	No	
row_21	LUZP2	NA	6224	0.0669456422328949	0.28645894	No	
row_22	BASP1-AS1	NA	6483	0.06302278488874435	0.28390127	No	
row_23	ST8SIA6-AS1	NA	6574	0.06154782325029373	0.28915727	No	
row_24	MEF2C-AS1	NA	6958	0.05541975423693657	0.2794338	No	
row_25	AMPH	NA	7347	0.04976406693458557	0.268592	No	
row_26	RD3	NA	7488	0.047794125974178314	0.26931694	No	
row_27	ACSF2	NA	8051	0.03922165930271149	0.24850668	No	
row_28	COLQ	NA	8620	0.03162166103720665	0.22622813	No	
row_29	NRG2	NA	9255	0.023591715842485428	0.199542	No	
row_30	SPATA42	NA	9433	0.02114468440413475	0.19435418	No	
row_31	LINC00310	NA	10119	0.012714410200715065	0.16353609	No	
row_32	NDNF	NA	10704	0.005506346933543682	0.13643315	No	
row_33	COLGALT2	NA	10851	0.0038353637792170048	0.13003951	No	
row_34	KCNAB2	NA	11069	0.0011432839091867208	0.11982845	No	
row_35	COL11A1	NA	11216	-5.321843782439828E-4	0.11292149	No	
row_36	NPEPL1	NA	11816	-0.007840542122721672	0.08546318	No	
row_37	NRSN2	NA	13657	-0.03007534146308899	0.002048119	No	
row_38	USP30	NA	14983	-0.04817700758576393	-0.053898588	No	
row_39	GABRA1	NA	15103	-0.04991745576262474	-0.051838323	No	
row_40	TTC9	NA	15118	-0.05017237365245819	-0.044711635	No	
row_41	GAL3ST4	NA	16159	-0.06608723849058151	-0.08423084	No	
row_42	SELENBP1	NA	16198	-0.06684765219688416	-0.07566175	No	
row_43	EMB	NA	16209	-0.06702431291341782	-0.06572472	No	
row_44	ADAT2	NA	16653	-0.07456933706998825	-0.075344786	No	
row_45	SLC25A15	NA	16725	-0.0756864994764328	-0.06698197	No	
row_46	SNX16	NA	17244	-0.08562450855970383	-0.0784746	No	
row_47	TRPM8	NA	17307	-0.08679970353841782	-0.06795389	No	
row_48	DENND4B	NA	17611	-0.0929945632815361	-0.06800821	No	
row_49	FAM126A	NA	17629	-0.09327995777130127	-0.0543261	No	
row_50	RCBTB2	NA	17837	-0.09799715131521225	-0.04900706	No	
row_51	IQCE	NA	17915	-0.0996357649564743	-0.037209705	No	
row_52	CUX1	NA	18057	-0.10303658246994019	-0.02794781	No	
row_53	AMPD3	NA	18318	-0.10980814695358276	-0.023330647	No	
row_54	ADGRG1	NA	18745	-0.12181605398654938	-0.02479457	No	
row_55	OPN4	NA	18815	-0.1238490492105484	-0.008851405	No	
row_56	KIF9	NA	19140	-0.1346478909254074	-0.0034380367	No	
row_57	MYC	NA	19885	-0.17281579971313477	-0.012200504	No	
row_58	NRSN2-AS1	NA	19913	-0.17464745044708252	0.013647602	No	
row_59	AMOTL2	NA	20456	-0.23041115701198578	0.023506245	No	
