NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CFAP298	NA	3646	0.11881666630506516	-0.14771853	No	
row_1	H2BC15	NA	5594	0.0775880292057991	-0.22341482	No	
row_2	GM2A	NA	7087	0.05337534099817276	-0.28279206	No	
row_3	AHSA1	NA	8106	0.038335442543029785	-0.32287335	No	
row_4	FIG4	NA	9119	0.025325970724225044	-0.36559984	No	
row_5	TIMM13	NA	9228	0.023896025493741035	-0.3653826	No	
row_6	CALM2	NA	9398	0.02162945456802845	-0.36859578	No	
row_7	TMEM59	NA	9554	0.019396493211388588	-0.3716422	No	
row_8	SPCS2	NA	9829	0.01580110937356949	-0.3811944	No	
row_9	METTL26	NA	9938	0.014645993709564209	-0.38306215	No	
row_10	TASP1	NA	10477	0.008360737934708595	-0.40692666	No	
row_11	TRHDE	NA	10792	0.0045102862641215324	-0.42093828	No	
row_12	COX7C	NA	10896	0.0032792112324386835	-0.4251288	No	
row_13	CDKN1B	NA	11307	-0.0017104545840993524	-0.44436613	No	
row_14	POLR2I	NA	11822	-0.007892662659287453	-0.46718746	No	
row_15	POLR1A	NA	12258	-0.012892920523881912	-0.48510078	No	
row_16	PHB	NA	12719	-0.01838979497551918	-0.5029716	No	
row_17	NOP56	NA	12950	-0.021338388323783875	-0.5091699	No	
row_18	PRORP	NA	13142	-0.023853428661823273	-0.5129347	No	
row_19	NOP16	NA	13732	-0.031168052926659584	-0.5340993	No	
row_20	UMPS	NA	13841	-0.03254270553588867	-0.5319331	No	
row_21	SLC25A19	NA	13980	-0.034326810389757156	-0.5308006	No	
row_22	KPNB1	NA	14923	-0.04751857742667198	-0.56517464	Yes	
row_23	SERBP1	NA	14931	-0.04764661565423012	-0.55477005	Yes	
row_24	SHQ1	NA	14999	-0.04845583066344261	-0.54705477	Yes	
row_25	JARID2	NA	15071	-0.049476638436317444	-0.5393008	Yes	
row_26	EMG1	NA	15121	-0.050218842923641205	-0.53032666	Yes	
row_27	MRPL4	NA	15519	-0.05599571391940117	-0.53670585	Yes	
row_28	SNX5	NA	15531	-0.05613857880234718	-0.5245787	Yes	
row_29	NDRG1	NA	15865	-0.061550721526145935	-0.52664274	Yes	
row_30	MTMR4	NA	15875	-0.061707209795713425	-0.51316464	Yes	
row_31	ZWINT	NA	16064	-0.06448743492364883	-0.50762695	Yes	
row_32	PDSS1	NA	16222	-0.06731102615594864	-0.49996912	Yes	
row_33	KARS1	NA	16333	-0.0692262277007103	-0.4896302	Yes	
row_34	UTP14A	NA	17063	-0.08231575787067413	-0.5059666	Yes	
row_35	PWP1	NA	17115	-0.0833853930234909	-0.48961237	Yes	
row_36	UTP14C	NA	17287	-0.08638602495193481	-0.4783251	Yes	
row_37	NAT10	NA	17571	-0.09204956144094467	-0.47112164	Yes	
row_38	SF3B3	NA	17819	-0.0976550430059433	-0.46093175	Yes	
row_39	DDX28	NA	17834	-0.09792865812778473	-0.43952864	Yes	
row_40	SRPRB	NA	18253	-0.1082560122013092	-0.43513343	Yes	
row_41	WDR46	NA	18604	-0.11792423576116562	-0.4253045	Yes	
row_42	DDX56	NA	18740	-0.12171805649995804	-0.40433037	Yes	
row_43	GSPT1	NA	18779	-0.12261348217725754	-0.37851197	Yes	
row_44	YBX3	NA	19000	-0.12971992790699005	-0.3598024	Yes	
row_45	MRTO4	NA	19027	-0.1305885910987854	-0.33161205	Yes	
row_46	PPAT	NA	19769	-0.16654935479164124	-0.3295365	Yes	
row_47	ITPR2	NA	19870	-0.17204730212688446	-0.29554304	Yes	
row_48	MYC	NA	19885	-0.17281579971313477	-0.25726035	Yes	
row_49	IFRD2	NA	20019	-0.18236495554447174	-0.22252068	Yes	
row_50	EDEM1	NA	20403	-0.22276455163955688	-0.19064009	Yes	
row_51	FYCO1	NA	20554	-0.24902069568634033	-0.14168984	Yes	
row_52	TRUB2	NA	20725	-0.2956172227859497	-0.08319391	Yes	
row_53	HES1	NA	20886	-0.4160192310810089	0.0029192714	Yes	
