NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C2CD4A	NA	84	0.37827029824256897	0.012200239	No	
row_1	MARCHF3	NA	207	0.3119661211967468	0.019708164	No	
row_2	NLN	NA	889	0.21958935260772705	-0.0038337172	No	
row_3	VDR	NA	893	0.21926942467689514	0.0054515246	No	
row_4	HIPK1-AS1	NA	2215	0.15816545486450195	-0.05173238	No	
row_5	BOK	NA	2520	0.14805401861667633	-0.06008984	No	
row_6	MEST	NA	2649	0.1437700241804123	-0.060106486	No	
row_7	FAM187A	NA	2681	0.14304615557193756	-0.055455793	No	
row_8	UACA	NA	2700	0.14268112182617188	-0.050191104	No	
row_9	LINC-PINT	NA	2903	0.13666456937789917	-0.05409775	No	
row_10	KCTD21	NA	2971	0.13476932048797607	-0.051546797	No	
row_11	SIM2	NA	3270	0.12702082097530365	-0.060518246	No	
row_12	RPS27L	NA	3306	0.12616059184074402	-0.056787536	No	
row_13	PTRHD1	NA	3379	0.12434551864862442	-0.05492709	No	
row_14	AGPAT1	NA	3671	0.1182490885257721	-0.06393674	No	
row_15	RPS19BP1	NA	3761	0.11580847203731537	-0.0632669	No	
row_16	PTPA	NA	3934	0.11156944185495377	-0.06679973	No	
row_17	SPEF2	NA	4243	0.10487610101699829	-0.07720798	No	
row_18	DIP2A	NA	4254	0.1045428067445755	-0.07319608	No	
row_19	DDR1	NA	4285	0.10384443402290344	-0.07018297	No	
row_20	METTL7B	NA	4480	0.09956091642379761	-0.07529791	No	
row_21	TUBD1	NA	4638	0.09627163410186768	-0.078762114	No	
row_22	EMC9	NA	4700	0.09507831931114197	-0.0776276	No	
row_23	SIRT2	NA	5024	0.08837126940488815	-0.08947228	No	
row_24	IDNK	NA	5145	0.08605746924877167	-0.09158358	No	
row_25	HYAL3	NA	5205	0.08480938524007797	-0.09079385	No	
row_26	AHNAK	NA	5600	0.07753342390060425	-0.106543735	No	
