NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POU4F2	NA	146	0.33355966210365295	0.025277292	Yes	
row_1	RASGRF1	NA	195	0.31745532155036926	0.053696144	Yes	
row_2	NRSN1	NA	215	0.30974891781806946	0.08276005	Yes	
row_3	ATP2B2	NA	245	0.3013629615306854	0.110532835	Yes	
row_4	OMG	NA	692	0.23679442703723907	0.112058125	Yes	
row_5	CALB1	NA	799	0.22728249430656433	0.1289691	Yes	
row_6	SEZ6	NA	863	0.22138085961341858	0.1473712	Yes	
row_7	SCN3B	NA	866	0.22131118178367615	0.1686921	Yes	
row_8	PDZD7	NA	939	0.21646057069301605	0.18618642	Yes	
row_9	BDNF	NA	970	0.21390509605407715	0.20544775	Yes	
row_10	LHFPL5	NA	983	0.21323132514953613	0.22550713	Yes	
row_11	HTR5A	NA	1195	0.20064787566661835	0.23480488	Yes	
row_12	SCAMP5	NA	1761	0.17518486082553864	0.2246609	Yes	
row_13	SYT6	NA	1914	0.16884371638298035	0.2337105	Yes	
row_14	RPH3A	NA	2144	0.1601940542459488	0.23823017	Yes	
row_15	CELF3	NA	2255	0.1569122076034546	0.24813941	Yes	
row_16	PRLHR	NA	2281	0.15586642920970917	0.262024	Yes	
row_17	HHATL	NA	2294	0.1555115431547165	0.2764977	Yes	
row_18	STMN2	NA	2295	0.15546810626983643	0.2915427	Yes	
row_19	INA	NA	2404	0.1521349847316742	0.30108556	Yes	
row_20	NPAS4	NA	2420	0.15171056985855103	0.31504756	Yes	
row_21	LHX3	NA	2617	0.14476554095745087	0.31965682	Yes	
row_22	SARM1	NA	3334	0.12540942430496216	0.29745412	Yes	
row_23	TLCD3B	NA	3441	0.12281325459480286	0.30425537	Yes	
row_24	SNAP25	NA	3627	0.11921794712543488	0.30691987	Yes	
row_25	KCNH4	NA	3802	0.11492995917797089	0.309697	Yes	
row_26	GRIN1	NA	3982	0.110613152384758	0.31181657	Yes	
row_27	FGF12	NA	4282	0.10394587367773056	0.30753583	Yes	
row_28	VGF	NA	4302	0.10357639938592911	0.31664792	Yes	
row_29	GPRIN1	NA	4376	0.10177641361951828	0.32299605	Yes	
row_30	PHYHIPL	NA	4442	0.1003221943974495	0.3295871	Yes	
row_31	DRD2	NA	4455	0.09991330653429031	0.33868045	Yes	
row_32	CHRNB2	NA	4957	0.08983732759952545	0.32334659	Yes	
row_33	SLC17A6	NA	4978	0.08934798836708069	0.3310338	Yes	
row_34	BRINP1	NA	5015	0.08857020735740662	0.33787844	Yes	
row_35	ZNF579	NA	5033	0.08814787864685059	0.3455934	Yes	
row_36	GHSR	NA	5058	0.0877685695886612	0.35293594	Yes	
row_37	VIP	NA	5067	0.0875856801867485	0.36102813	Yes	
row_38	SRRM4	NA	5512	0.07898958772420883	0.3473782	No	
row_39	SYT4	NA	5657	0.07642849534749985	0.34786823	No	
row_40	KCNH8	NA	5768	0.07475044578313828	0.34982648	No	
row_41	AMER3	NA	5863	0.07287337630987167	0.35237044	No	
row_42	SST	NA	5923	0.07200107723474503	0.35650855	No	
row_43	GLRA3	NA	6195	0.06744929403066635	0.3500388	No	
row_44	ELAVL3	NA	6365	0.06475786864757538	0.34820044	No	
row_45	PCSK2	NA	6577	0.061476752161979675	0.34403026	No	
row_46	HCN3	NA	6824	0.05750037357211113	0.33779672	No	
row_47	PTPRN	NA	6878	0.056752435863018036	0.34074694	No	
row_48	NEFM	NA	7402	0.049066342413425446	0.3204125	No	
row_49	NEFH	NA	7512	0.04742018133401871	0.31977388	No	
row_50	KCNIP2	NA	7603	0.045866258442401886	0.31989613	No	
row_51	CHAT	NA	7687	0.04469069838523865	0.32024032	No	
row_52	HCN1	NA	7837	0.04234091192483902	0.3171918	No	
row_53	CHGA	NA	7871	0.04179105535149574	0.31965336	No	
row_54	KRT86	NA	8176	0.037540677934885025	0.30870664	No	
row_55	L1CAM	NA	8509	0.03312264755368233	0.29598948	No	
row_56	HNF1A	NA	9145	0.025010591372847557	0.26795566	No	
row_57	FGD2	NA	9286	0.02313295379281044	0.26347998	No	
row_58	MAPK11	NA	9293	0.02304714359343052	0.26542255	No	
row_59	RUNDC3A	NA	9593	0.018874306231737137	0.2529092	No	
row_60	DDX25	NA	9752	0.016953574493527412	0.24697228	No	
row_61	SLC12A5	NA	9917	0.014910913072526455	0.24054992	No	
row_62	PAQR4	NA	10791	0.004517486784607172	0.19911858	No	
row_63	CHKA	NA	11227	-7.184555870480835E-4	0.1783258	No	
row_64	DRD3	NA	11312	-0.0018341285176575184	0.17447472	No	
row_65	GABRG2	NA	11533	-0.004337703343480825	0.16434343	No	
row_66	PRG3	NA	11541	-0.00442711915820837	0.16443615	No	
row_67	NPPB	NA	11732	-0.006816030014306307	0.15598348	No	
row_68	HTR1A	NA	11859	-0.008304484188556671	0.15074424	No	
row_69	DNER	NA	12156	-0.011541254818439484	0.13766515	No	
row_70	CRYBA2	NA	13198	-0.024560287594795227	0.09011625	No	
row_71	TMEM179	NA	13300	-0.02569732628762722	0.08775915	No	
row_72	NCAN	NA	13670	-0.030320245772600174	0.07299632	No	
row_73	GLRA1	NA	13804	-0.03210119158029556	0.06972423	No	
row_74	DPH2	NA	14213	-0.03751375153660774	0.053787123	No	
row_75	MGAT5B	NA	14527	-0.04192988947033882	0.042833507	No	
row_76	ATP6V0A1	NA	14952	-0.04785602167248726	0.027129892	No	
row_77	RNF13	NA	15306	-0.052890289574861526	0.015318567	No	
row_78	COL5A3	NA	15384	-0.053882475942373276	0.016840033	No	
row_79	GRM1	NA	16136	-0.06563469767570496	-0.0128258	No	
row_80	RXFP3	NA	16257	-0.06799249351024628	-0.012001125	No	
row_81	ZNF335	NA	16356	-0.06957066804170609	-0.009968622	No	
row_82	PUS3	NA	16520	-0.07219929248094559	-0.010799097	No	
row_83	APBB1	NA	16909	-0.07931214570999146	-0.021732094	No	
row_84	TAOK3	NA	17004	-0.08111291378736496	-0.018390784	No	
row_85	TRIM9	NA	17394	-0.0883813351392746	-0.028494092	No	
row_86	POU4F3	NA	17463	-0.08970047533512115	-0.0230748	No	
row_87	POMC	NA	17633	-0.09335754066705704	-0.022145497	No	
row_88	SLC35G2	NA	17746	-0.09576676785945892	-0.018249366	No	
row_89	PRMT3	NA	18217	-0.10726732760667801	-0.030409738	No	
row_90	GABRB3	NA	18711	-0.12079987674951553	-0.0423636	No	
row_91	OGDHL	NA	18867	-0.1253015697002411	-0.037671566	No	
row_92	CDKN2B	NA	19148	-0.13513211905956268	-0.038023125	No	
row_93	GDAP1L1	NA	19421	-0.14661574363708496	-0.03687971	No	
row_94	BARHL1	NA	20084	-0.18779781460762024	-0.050455153	No	
row_95	HES1	NA	20886	-0.4160192310810089	-0.048611414	No	
row_96	CDK5R1	NA	20917	-0.5320614576339722	0.0014386491	No	
