NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SH3GL3	NA	5	0.5835716724395752	0.023172045	Yes	
row_1	GPM6A	NA	60	0.405356764793396	0.03682462	Yes	
row_2	ALK	NA	273	0.2951216697692871	0.038414903	Yes	
row_3	SCML4	NA	341	0.2836938500404358	0.04655761	Yes	
row_4	SFRP1	NA	401	0.2707722783088684	0.054568693	Yes	
row_5	LIPG	NA	464	0.2616947889328003	0.062070515	Yes	
row_6	ISL1	NA	622	0.2446042001247406	0.06429327	Yes	
row_7	RRAS	NA	739	0.23234081268310547	0.068006404	Yes	
row_8	BTK	NA	802	0.2270205169916153	0.07411705	Yes	
row_9	DLGAP4	NA	810	0.22631117701530457	0.08285855	Yes	
row_10	RANBP3L	NA	836	0.223538339138031	0.09061847	Yes	
row_11	PHOX2B	NA	850	0.22217997908592224	0.09890411	Yes	
row_12	MPPED2	NA	897	0.21908509731292725	0.10546999	Yes	
row_13	BDNF	NA	970	0.21390509605407715	0.11057091	Yes	
row_14	NOS1	NA	1039	0.20959508419036865	0.1156923	Yes	
row_15	PCDH11Y	NA	1066	0.2076488584280014	0.12276637	Yes	
row_16	POU2F3	NA	1165	0.2022305577993393	0.12614174	Yes	
row_17	PTHLH	NA	1202	0.20024673640727997	0.13243532	Yes	
row_18	KCNN3	NA	1252	0.1979842185974121	0.13800953	Yes	
row_19	APOBEC4	NA	1266	0.19726787507534027	0.14529566	Yes	
row_20	KBTBD12	NA	1372	0.191623717546463	0.14790703	Yes	
row_21	SERTAD4	NA	1376	0.19152498245239258	0.15544626	Yes	
row_22	FGF14	NA	1381	0.19133470952510834	0.16292949	Yes	
row_23	H2AC6	NA	1429	0.18912623822689056	0.16824503	Yes	
row_24	NFIA	NA	1655	0.17892108857631683	0.1645446	Yes	
row_25	FZD4	NA	1710	0.17675934731960297	0.1690255	Yes	
row_26	LDB2	NA	1727	0.17621071636676788	0.17532171	Yes	
row_27	ADORA1	NA	1820	0.172877237200737	0.1778095	Yes	
row_28	MYBPC1	NA	1848	0.1717277318239212	0.18339401	Yes	
row_29	CADM1	NA	1850	0.17165020108222961	0.19023253	Yes	
row_30	NEUROG1	NA	1855	0.17142488062381744	0.19691695	Yes	
row_31	LPL	NA	1896	0.1695217788219452	0.20178439	Yes	
row_32	CD180	NA	1992	0.1657773107290268	0.20384227	Yes	
row_33	PPP2R3A	NA	2005	0.1651497781276703	0.20988812	Yes	
row_34	PPP2R2B	NA	2018	0.16454847157001495	0.21590984	Yes	
row_35	H2BC3	NA	2057	0.16334766149520874	0.22062625	Yes	
row_36	BLNK	NA	2118	0.16130292415618896	0.22419691	Yes	
row_37	ZSCAN20	NA	2150	0.1599808633327484	0.2291167	Yes	
row_38	GPR85	NA	2154	0.15990138053894043	0.23538713	Yes	
row_39	MTUS1	NA	2195	0.15850649774074554	0.23981261	Yes	
row_40	GRHL3	NA	2245	0.15731015801429749	0.24375494	Yes	
row_41	GALNT1	NA	2286	0.1557595133781433	0.2480702	Yes	
row_42	EBF1	NA	2315	0.15477855503559113	0.25292632	Yes	
row_43	VGLL3	NA	2336	0.15409407019615173	0.2581418	Yes	
row_44	PLA1A	NA	2352	0.1534954458475113	0.263575	Yes	
row_45	ASCL3	NA	2595	0.14541001617908478	0.25770807	Yes	
row_46	CES5A	NA	2963	0.1349431872367859	0.2453773	Yes	
row_47	UQCC2	NA	3027	0.13342884182929993	0.24768455	Yes	
row_48	RARB	NA	3197	0.12894102931022644	0.24468651	Yes	
row_49	EYA1	NA	3226	0.1282639503479004	0.24847883	Yes	
row_50	IRX4	NA	3265	0.127158522605896	0.2517433	Yes	
