NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MCRIP2	NA	2495	0.1487857699394226	-0.08036132	No	
row_1	MAZ	NA	6206	0.06728902459144592	-0.24015103	No	
row_2	MZT2A	NA	7038	0.05418597161769867	-0.26570472	No	
row_3	AGBL5	NA	7874	0.04175309091806412	-0.29470378	No	
row_4	RALY	NA	8713	0.03051834926009178	-0.32678682	No	
row_5	CALM2	NA	9398	0.02162945456802845	-0.35383257	No	
row_6	METTL26	NA	9938	0.014645993709564209	-0.37577263	No	
row_7	NUDCD3	NA	10011	0.013807998970150948	-0.3756014	No	
row_8	ILF2	NA	10607	0.006482250522822142	-0.402356	No	
row_9	TRIM47	NA	11686	-0.0062696198001503944	-0.4522619	No	
row_10	GEMIN7	NA	12010	-0.009963140822947025	-0.46509913	No	
row_11	MARK4	NA	12781	-0.019172096624970436	-0.49690032	No	
row_12	KCTD5	NA	13287	-0.02551344782114029	-0.5143702	No	
row_13	ARHGDIA	NA	14064	-0.03545258566737175	-0.5421971	No	
row_14	H2BC5	NA	14402	-0.04020277038216591	-0.54778904	No	
row_15	MLEC	NA	14762	-0.045132484287023544	-0.5531426	No	
row_16	NOP58	NA	15619	-0.05747825279831886	-0.57903004	No	
row_17	MED23	NA	15749	-0.05975360795855522	-0.56955886	No	
row_18	PRRC2A	NA	16099	-0.06511081755161285	-0.5692052	No	
row_19	IDUA	NA	16842	-0.07802186161279678	-0.58426446	Yes	
row_20	PCBP1	NA	16886	-0.07882159948348999	-0.5656902	Yes	
row_21	DPY19L4	NA	17013	-0.08139221370220184	-0.550412	Yes	
row_22	ENPP3	NA	17689	-0.09454558044672012	-0.5579427	Yes	
row_23	DGKQ	NA	17815	-0.09753662347793579	-0.53839105	Yes	
row_24	TMX4	NA	18735	-0.12166136503219604	-0.550492	Yes	
row_25	CCDC97	NA	18920	-0.1268211305141449	-0.52609676	Yes	
row_26	KMT5B	NA	18958	-0.12821179628372192	-0.49430847	Yes	
row_27	ZNF839	NA	19315	-0.14244414865970612	-0.47404873	Yes	
row_28	CHMP6	NA	19436	-0.147518128156662	-0.44117612	Yes	
row_29	SNAI1	NA	19527	-0.1525869071483612	-0.4055423	Yes	
row_30	PCBP1-AS1	NA	19573	-0.15548525750637054	-0.36699814	Yes	
row_31	COX20	NA	20150	-0.1930752843618393	-0.34400624	Yes	
row_32	CPPED1	NA	20537	-0.2452685683965683	-0.29826826	Yes	
row_33	IPO4	NA	20596	-0.2597731649875641	-0.23304988	Yes	
row_34	DHRS2	NA	20943	-0.9543459415435791	1.9124267E-4	Yes	
