NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KLB	NA	236	0.30367061495780945	0.039664555	Yes	
row_1	CREB5	NA	267	0.29698821902275085	0.08807069	Yes	
row_2	GUCA2B	NA	532	0.25374385714530945	0.1180156	Yes	
row_3	GDF10	NA	664	0.23942144215106964	0.15192473	Yes	
row_4	BDNF	NA	970	0.21390509605407715	0.1732206	Yes	
row_5	CDH17	NA	1033	0.20983974635601044	0.20546879	Yes	
row_6	GC	NA	1563	0.18272681534290314	0.21080723	Yes	
row_7	SLC22A6	NA	1766	0.17494188249111176	0.23049557	Yes	
row_8	STMN2	NA	2295	0.15546810626983643	0.23130715	Yes	
row_9	TDRD5	NA	2554	0.1468336582183838	0.24359697	Yes	
row_10	SEMA4G	NA	2674	0.14329031109809875	0.2619473	Yes	
row_11	WNT8B	NA	2859	0.13774637877941132	0.27625507	Yes	
row_12	RARB	NA	3197	0.12894102931022644	0.2817596	Yes	
row_13	HAO1	NA	3694	0.11763116717338562	0.27775323	Yes	
row_14	UGT1A1	NA	3753	0.11613162606954575	0.29446623	Yes	
row_15	SI	NA	4033	0.10958141833543777	0.29949868	Yes	
row_16	GPR34	NA	4212	0.10546157509088516	0.30867547	Yes	
row_17	PCK1	NA	4246	0.1048344224691391	0.32468948	Yes	
row_18	CA4	NA	4412	0.10114012658596039	0.33376345	Yes	
row_19	SRD5A2	NA	4610	0.09701108932495117	0.34061232	Yes	
row_20	TP63	NA	4686	0.09532065689563751	0.35301873	Yes	
row_21	COL16A1	NA	5176	0.08563945442438126	0.3439785	Yes	
row_22	SULF2	NA	5177	0.08563023805618286	0.35834953	Yes	
row_23	KLF14	NA	5235	0.08429744839668274	0.36976779	Yes	
row_24	PTH1R	NA	5706	0.0757756158709526	0.3599818	No	
row_25	NCKAP5	NA	5784	0.07455787807703018	0.36880794	No	
row_26	FOXP2	NA	6584	0.06140787526965141	0.34085852	No	
row_27	PACSIN3	NA	6864	0.05699015408754349	0.33706474	No	
row_28	SLC23A3	NA	7501	0.047632161527872086	0.31460765	No	
row_29	KCNIP2	NA	7603	0.045866258442401886	0.31746948	No	
row_30	BMX	NA	7984	0.04021916165947914	0.3060253	No	
row_31	TLE3	NA	8768	0.02977980114519596	0.2735339	No	
row_32	GIP	NA	8924	0.027851898223161697	0.27078697	No	
row_33	GTPBP1	NA	9257	0.02355811931192875	0.25884482	No	
row_34	SLC22A8	NA	9981	0.014184384606778622	0.22660886	No	
row_35	H4C3	NA	10848	0.003895181929692626	0.18579939	No	
row_36	FZD6	NA	10965	0.0024646553210914135	0.18065906	No	
row_37	SCN2A	NA	12211	-0.012300759553909302	0.12311415	No	
row_38	HSF2	NA	12431	-0.015004514716565609	0.11514681	No	
row_39	EEF1A2	NA	12522	-0.015975071117281914	0.113518745	No	
row_40	SMARCAL1	NA	12709	-0.018267344683408737	0.107679	No	
row_41	KLF9	NA	12738	-0.018609926104545593	0.10946163	No	
row_42	H3-3B	NA	12941	-0.021248986944556236	0.10335623	No	
row_43	GLRA2	NA	13117	-0.02351263351738453	0.09892345	No	
row_44	TSPEAR	NA	13439	-0.02730485610663891	0.088136785	No	
row_45	NLGN2	NA	13595	-0.0292498916387558	0.08562445	No	
row_46	PCDH8	NA	13988	-0.03437462076544762	0.07262487	No	
row_47	SLC22A12	NA	14096	-0.03597266599535942	0.07353899	No	
row_48	MED26	NA	14170	-0.03703019395470619	0.07625848	No	
row_49	RNF145	NA	14427	-0.040487948805093765	0.070796415	No	
row_50	SHKBP1	NA	14961	-0.04791058227419853	0.053317595	No	
row_51	NALCN	NA	16225	-0.06736532598733902	0.004152156	No	
row_52	MAT2A	NA	16529	-0.07239034026861191	0.0017938513	No	
row_53	TRIM8	NA	16543	-0.07270295917987823	0.013372912	No	
row_54	LRRFIP2	NA	17101	-0.08311714977025986	6.535945E-4	No	
row_55	MSS51	NA	18046	-0.10287582129240036	-0.027278852	No	
row_56	EGR1	NA	18232	-0.1076510027050972	-0.018069763	No	
row_57	FBXW7	NA	18424	-0.11270008236169815	-0.008300579	No	
row_58	ELF4	NA	18741	-0.12174097448587418	-0.0029989637	No	
row_59	NFIL3	NA	20177	-0.1953597366809845	-0.038918722	No	
row_60	ZFPM2	NA	20405	-0.22297914326190948	-0.012365429	No	
row_61	MPP6	NA	20442	-0.22802014648914337	0.024178764	No	
