NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DSPP	NA	2	0.6661233305931091	0.027975382	Yes	
row_1	CGA	NA	75	0.38706812262535095	0.04081024	Yes	
row_2	CLDN8	NA	118	0.34783458709716797	0.053440485	Yes	
row_3	C5orf64	NA	122	0.3468326926231384	0.06791194	Yes	
row_4	SH3BGRL2	NA	138	0.337976336479187	0.081430644	Yes	
row_5	EBF2	NA	497	0.25772956013679504	0.07500312	Yes	
row_6	MEF2C	NA	498	0.25744524598121643	0.08585245	Yes	
row_7	TAS2R7	NA	601	0.2461141049861908	0.091298394	Yes	
row_8	CD36	NA	618	0.24485523998737335	0.10084447	Yes	
row_9	PAQR9	NA	638	0.24205800890922546	0.11012779	Yes	
row_10	GRM5	NA	651	0.2404589205980301	0.11968177	Yes	
row_11	LAMB1	NA	655	0.24009935557842255	0.12965523	Yes	
row_12	PROP1	NA	728	0.23313720524311066	0.13600308	Yes	
row_13	EFNA5	NA	783	0.22810107469558716	0.14300798	Yes	
row_14	MS4A1	NA	841	0.22294041514396667	0.1496505	Yes	
row_15	CNTNAP4	NA	848	0.22227981686592102	0.15872812	Yes	
row_16	PHOX2B	NA	850	0.22217997908592224	0.168043	Yes	
row_17	GPRC5C	NA	854	0.22198598086833954	0.17725313	Yes	
row_18	SEZ6	NA	863	0.22138085961341858	0.18619628	Yes	
row_19	TAC1	NA	947	0.21588510274887085	0.19128588	Yes	
row_20	CXCL14	NA	948	0.21587814390659332	0.20038347	Yes	
row_21	RTL9	NA	1198	0.2004934847354889	0.19680782	Yes	
row_22	SEL1L3	NA	1213	0.19960106909275055	0.20454337	Yes	
row_23	HOXC6	NA	1228	0.19899193942546844	0.21225324	Yes	
row_24	LIX1	NA	1319	0.1947447657585144	0.21611388	Yes	
row_25	LEMD1	NA	1342	0.19358451664447784	0.22320953	Yes	
row_26	FAM169B	NA	1564	0.18254761397838593	0.22022979	Yes	
row_27	FBLN2	NA	1681	0.17795567214488983	0.22212727	Yes	
row_28	SLC24A4	NA	1685	0.17781659960746765	0.22947599	Yes	
row_29	LDB2	NA	1727	0.17621071636676788	0.23492192	Yes	
row_30	HPSE2	NA	1754	0.17545655369758606	0.24106044	Yes	
row_31	DSCAM	NA	1779	0.17441686987876892	0.24725175	Yes	
row_32	SYT9	NA	1853	0.1715196818113327	0.2509546	Yes	
row_33	PARD6G	NA	2115	0.1614646464586258	0.24515465	Yes	
row_34	MTUS1	NA	2195	0.15850649774074554	0.24801935	Yes	
row_35	SLC26A7	NA	2504	0.14847055077552795	0.23940204	Yes	
row_36	TBX6	NA	2561	0.14642013609409332	0.24286813	Yes	
row_37	NFATC4	NA	2666	0.14340321719646454	0.243889	Yes	
row_38	LRFN5	NA	2766	0.14084729552268982	0.24504365	Yes	
row_39	KRT32	NA	2774	0.14055176079273224	0.25062877	Yes	
row_40	BMP5	NA	2826	0.13894224166870117	0.25402117	Yes	
row_41	WNT8B	NA	2859	0.13774637877941132	0.25828075	Yes	
row_42	PDE3B	NA	2897	0.13682937622070312	0.26226023	Yes	
row_43	KRT23	NA	2955	0.13529901206493378	0.26520935	Yes	
row_44	DNAJC5B	NA	3055	0.13285131752490997	0.266027	Yes	
row_45	FIGN	NA	3106	0.13145232200622559	0.26915208	Yes	
row_46	OPRM1	NA	3194	0.1290563941001892	0.27038932	Yes	
row_47	IRX4	NA	3265	0.127158522605896	0.2723676	Yes	
row_48	NEO1	NA	3281	0.12652689218521118	0.27697533	Yes	
row_49	SOX5	NA	3375	0.12440414726734161	0.27772677	Yes	
row_50	TMEM169	NA	3605	0.11975090205669403	0.27171427	Yes	
row_51	EFNB3	NA	3644	0.11886408925056458	0.27488837	Yes	
row_52	GRPR	NA	3709	0.11728786677122116	0.2767404	Yes	
row_53	GTF2A1L	NA	3749	0.11627750098705292	0.27975717	Yes	
row_54	TYR	NA	3877	0.11316311359405518	0.27839294	Yes	
row_55	NRP1	NA	3891	0.11272641271352768	0.28251567	Yes	
row_56	ADAMTS3	NA	3892	0.11272384971380234	0.28726614	Yes	
row_57	PECR	NA	4096	0.10797558724880219	0.28201303	Yes	
row_58	ETV1	NA	4149	0.10709712654352188	0.28401512	Yes	
row_59	CLSTN2	NA	4187	0.10608045011758804	0.28669876	Yes	
row_60	PDZRN4	NA	4327	0.10286857187747955	0.28432116	Yes	
row_61	MAB21L1	NA	4335	0.10264852643013	0.28830895	Yes	
row_62	MMP27	NA	4357	0.10215295106172562	0.29159978	Yes	
row_63	ADAM11	NA	4389	0.10145726054906845	0.29437834	Yes	
row_64	PRRX1	NA	4404	0.1012524887919426	0.29796925	Yes	
row_65	SLC24A2	NA	4405	0.10124029964208603	0.30223575	Yes	
row_66	CLDN17	NA	4408	0.10117756575345993	0.306403	Yes	
row_67	GAP43	NA	4436	0.10037906467914581	0.3093293	Yes	
row_68	KRT85	NA	4440	0.10033770650625229	0.3134129	Yes	
row_69	ITGA11	NA	4534	0.09842315316200256	0.31306943	Yes	
row_70	ZFHX4	NA	4632	0.09642597287893295	0.31244865	Yes	
row_71	TP63	NA	4686	0.09532065689563751	0.31390616	Yes	
row_72	RUNX1T1	NA	4714	0.09486959129571915	0.31660026	Yes	
row_73	PREX2	NA	4742	0.09446446597576141	0.31927732	Yes	
row_74	ARHGEF38	NA	4789	0.0932612493634224	0.3209861	Yes	
row_75	TMTC2	NA	4822	0.09247784316539764	0.32333794	Yes	
row_76	CTNND1	NA	4960	0.08975237607955933	0.3205042	Yes	
row_77	SHOX2	NA	4987	0.08913055062294006	0.32300475	Yes	
row_78	FST	NA	5031	0.08819244801998138	0.32464477	Yes	
row_79	KRTAP11-1	NA	5157	0.08590863645076752	0.32222855	Yes	
