NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEF2C	NA	498	0.25744524598121643	-0.004955321	No	
row_1	DNAJC9-AS1	NA	1618	0.1800856739282608	-0.045507457	No	
row_2	RPS6KL1	NA	1824	0.17272275686264038	-0.04261868	No	
row_3	PARGP1	NA	2112	0.16160224378108978	-0.04449716	No	
row_4	NAALADL2	NA	3196	0.1289583146572113	-0.08709216	No	
row_5	MCM8-AS1	NA	3416	0.12327601760625839	-0.088528305	No	
row_6	CCDC184	NA	3606	0.11975006014108658	-0.08878112	No	
row_7	VAMP8	NA	3734	0.11662082374095917	-0.08628136	No	
row_8	NDUFS5	NA	4040	0.10922206193208694	-0.09289386	No	
row_9	COA8	NA	4518	0.09861826151609421	-0.108566545	No	
row_10	FAM174B	NA	4563	0.09788176417350769	-0.10345627	No	
row_11	C4orf36	NA	4711	0.09494496881961823	-0.10351955	No	
row_12	TRAPPC5	NA	5158	0.08589320629835129	-0.11864005	No	
row_13	NEURL4	NA	5240	0.08422806113958359	-0.11631854	No	
row_14	ABT1	NA	5685	0.07607100903987885	-0.13206807	No	
row_15	KLHDC9	NA	5817	0.07389624416828156	-0.13291563	No	
row_16	CYB5D2	NA	6120	0.06899949908256531	-0.14235385	No	
row_17	CFAP94	NA	6378	0.0645684003829956	-0.14995371	No	
row_18	TAZ	NA	6595	0.06127070635557175	-0.15582402	No	
row_19	CDKN2C	NA	6887	0.05659366026520729	-0.16564894	No	
row_20	DPY30	NA	6896	0.056403763592243195	-0.161869	No	
row_21	TAF13	NA	6921	0.055998899042606354	-0.15888894	No	
row_22	PAF1	NA	7027	0.05433124676346779	-0.15993	No	
row_23	ZMAT2	NA	7033	0.054239463061094284	-0.15616551	No	
row_24	KLRC2	NA	7122	0.052941612899303436	-0.1564911	No	
row_25	SELENOF	NA	7176	0.05219751596450806	-0.15518731	No	
row_26	TTI2	NA	7344	0.04982203617691994	-0.15954496	No	
row_27	CENPBD1P1	NA	7368	0.04947734624147415	-0.15699834	No	
row_28	TOMM7	NA	7524	0.04732120409607887	-0.1609632	No	
row_29	DPH5	NA	7637	0.04538427293300629	-0.16300176	No	
row_30	COX4I1	NA	7750	0.043698735535144806	-0.1651648	No	
row_31	CIAO3	NA	7926	0.04093402251601219	-0.17056374	No	
row_32	SENP8	NA	8595	0.032031212002038956	-0.20034482	No	
row_33	CRLS1	NA	8680	0.030887754634022713	-0.20210639	No	
row_34	LSM4	NA	8736	0.030154159292578697	-0.20252654	No	
row_35	FAM229B	NA	8832	0.02888980321586132	-0.204965	No	
row_36	PPP5C	NA	8948	0.027482464909553528	-0.20846982	No	
row_37	MRPL15	NA	9215	0.024066099897027016	-0.21949354	No	
row_38	KIAA2013	NA	9266	0.023385409265756607	-0.22017288	No	
row_39	PSMD8	NA	9274	0.023300571367144585	-0.2187892	No	
row_40	SUPT5H	NA	9566	0.019213344901800156	-0.23137432	No	
row_41	CTNNBL1	NA	9576	0.019075894728302956	-0.23039885	No	
row_42	MRPS12	NA	9677	0.017902519553899765	-0.23388922	No	
row_43	EIF3K	NA	9685	0.017823709174990654	-0.23290996	No	
row_44	TMTC3	NA	9756	0.016934823244810104	-0.2350281	No	
