NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ISL1	NA	622	0.2446042001247406	-0.014247617	No	
row_1	POLR1G	NA	803	0.22689805924892426	-0.008317786	No	
row_2	GRIN2B	NA	873	0.22091038525104523	0.0025799905	No	
row_3	BSN	NA	1257	0.197642520070076	-0.003164788	No	
row_4	INSRR	NA	1687	0.17775891721248627	-0.01240856	No	
row_5	CALCOCO1	NA	3357	0.1248798668384552	-0.08486266	No	
row_6	CSRNP3	NA	3446	0.12278049439191818	-0.081200376	No	
row_7	C1GALT1C1	NA	3631	0.1191120371222496	-0.082404405	No	
row_8	SCAMP4	NA	4085	0.10816068947315216	-0.09728751	No	
row_9	VCL	NA	4234	0.10503771901130676	-0.097661585	No	
row_10	RASSF6	NA	4572	0.09770696610212326	-0.10762319	No	
row_11	CEND1	NA	4707	0.09505153447389603	-0.10796511	No	
row_12	SPC25	NA	4737	0.09450244903564453	-0.10327824	No	
row_13	STARD13	NA	4809	0.09276079386472702	-0.10072919	No	
row_14	UBALD1	NA	4897	0.09117379784584045	-0.09905401	No	
row_15	CKAP4	NA	5014	0.08860285580158234	-0.098943055	No	
row_16	DNAL1	NA	5109	0.08669780939817429	-0.09789372	No	
row_17	FAM133A	NA	5285	0.08347488939762115	-0.100958556	No	
row_18	UBAC1	NA	5408	0.08120347559452057	-0.10161347	No	
row_19	CERS3	NA	5413	0.08111647516489029	-0.096582845	No	
row_20	TRIR	NA	6244	0.06660449504852295	-0.13232468	No	
row_21	NEK2	NA	6535	0.062166810035705566	-0.1423081	No	
row_22	STMN1	NA	6612	0.061031732708215714	-0.14204341	No	
row_23	TRABD	NA	6733	0.05904285982251167	-0.14402892	No	
row_24	LIG1	NA	6817	0.05761031061410904	-0.14432216	No	
row_25	MYL6B	NA	6834	0.05742237716913223	-0.14139609	No	
row_26	SNX17	NA	6876	0.0568559430539608	-0.13971224	No	
row_27	TMEM74	NA	7132	0.05284769833087921	-0.14860773	No	
row_28	SMIM11A	NA	7173	0.052285462617874146	-0.14716998	No	
row_29	DQX1	NA	7358	0.04958762601017952	-0.15285106	No	
row_30	CCDC150	NA	7461	0.04819155111908913	-0.1546672	No	
row_31	GSK3A	NA	7644	0.045313216745853424	-0.16052708	No	
row_32	COX4I1	NA	7750	0.043698735535144806	-0.16277723	No	
row_33	BRS3	NA	7951	0.04055788740515709	-0.16981147	No	
row_34	PLK1	NA	8217	0.037148796021938324	-0.18020019	No	
row_35	BDH2	NA	8838	0.028836600482463837	-0.20824583	No	
row_36	AZIN1	NA	8899	0.028130093589425087	-0.20932817	No	
row_37	SMPD3	NA	8996	0.026817353442311287	-0.21223132	No	
row_38	PPP1R8	NA	9076	0.025767477229237556	-0.21438219	No	
row_39	KMT2D	NA	9115	0.025375058874487877	-0.21458088	No	
row_40	RPP30	NA	9194	0.02431795746088028	-0.21677685	No	
row_41	FAM189B	NA	9246	0.0236797034740448	-0.21771172	No	
row_42	TIMP4	NA	9252	0.023615848273038864	-0.21643211	No	
row_43	BRMS1	NA	9364	0.022080082446336746	-0.22036377	No	
row_44	SNX11	NA	9411	0.021397622302174568	-0.22120444	No	
row_45	ARHGAP44	NA	9584	0.018971791490912437	-0.2282783	No	
row_46	NUDT13	NA	9652	0.01819615624845028	-0.23033795	No	
row_47	EYA4	NA	9755	0.016939111053943634	-0.2341666	No	
row_48	TMTC3	NA	9756	0.016934823244810104	-0.23307608	No	
row_49	TTC1	NA	9855	0.01553715392947197	-0.23680209	No	
row_50	NAP1L3	NA	9871	0.015360121615231037	-0.23653641	No	
row_51	MAG	NA	9909	0.014991238713264465	-0.23735556	No	
row_52	SRSF9	NA	9930	0.014773904345929623	-0.23736878	No	
row_53	DLG4	NA	9957	0.01445736549794674	-0.23769177	No	
row_54	RAB1A	NA	10113	0.012755208648741245	-0.24434604	No	
row_55	CENPO	NA	10177	0.011990020982921124	-0.24661241	No	
row_56	MORF4L1	NA	10197	0.01171040441840887	-0.24677469	No	
row_57	CEP97	NA	10261	0.010879811830818653	-0.24911256	No	
row_58	PNRC2	NA	10283	0.010626173578202724	-0.24944112	No	
row_59	NSD1	NA	10472	0.008380396291613579	-0.2579687	No	
row_60	VKORC1	NA	10595	0.006647869478911161	-0.26342466	No	
row_61	ASXL2	NA	10716	0.005400681868195534	-0.26886445	No	
row_62	TMEM115	NA	10734	0.005223904736340046	-0.26934797	No	
row_63	C8orf76	NA	10772	0.004731397144496441	-0.2708278	No	
row_64	HSPB9	NA	10883	0.0035339980386197567	-0.27590552	No	
row_65	BET1	NA	10943	0.0027239681221544743	-0.2785757	No	
row_66	RPL7	NA	10970	0.0024198403116315603	-0.27967384	No	
row_67	RPS27A	NA	10975	0.002363055245950818	-0.27971458	No	
row_68	HSPH1	NA	11197	-3.3390813041478395E-4	-0.2903519	No	
row_69	MED11	NA	11331	-0.0021114591509103775	-0.29663053	No	
row_70	TFAP4	NA	11425	-0.0030879522673785686	-0.30091706	No	
row_71	ORC4	NA	11561	-0.004666592460125685	-0.3071276	No	
row_72	MON1A	NA	11633	-0.005530309397727251	-0.3101958	No	
row_73	WTAP	NA	11639	-0.005650382488965988	-0.31007308	No	
row_74	RHOA	NA	11714	-0.006671689450740814	-0.31321248	No	
row_75	MRPL24	NA	11856	-0.008273297920823097	-0.31948015	No	
row_76	ZNF664	NA	11888	-0.008657103404402733	-0.3204178	No	
row_77	KIF11	NA	11935	-0.009128059260547161	-0.32204857	No	
row_78	RPL30	NA	12086	-0.010680444538593292	-0.32859528	No	
row_79	ELOC	NA	12165	-0.011672555468976498	-0.33160555	No	
row_80	POLR1A	NA	12258	-0.012892920523881912	-0.33521247	No	
row_81	TRAPPC13	NA	12300	-0.013424466364085674	-0.3363254	No	
row_82	CCDC92	NA	12302	-0.013475371524691582	-0.3355059	No	
row_83	PRCC	NA	12392	-0.014524787664413452	-0.33886304	No	
row_84	NFATC2IP	NA	12462	-0.015309165231883526	-0.34120506	No	
row_85	XK	NA	12575	-0.016521280631422997	-0.3455429	No	
row_86	MTF2	NA	12580	-0.016599586233496666	-0.3446669	No	
row_87	ACADVL	NA	12699	-0.018161170184612274	-0.34918854	No	
row_88	MRPL50	NA	13001	-0.02217300981283188	-0.3622779	No	
row_89	GDE1	NA	13056	-0.022714970633387566	-0.3634196	No	
row_90	ABRAXAS2	NA	13125	-0.023602977395057678	-0.3651793	No	
row_91	EMC8	NA	13173	-0.02419281378388405	-0.3658882	No	
row_92	ABCB6	NA	13260	-0.02528255246579647	-0.36840788	No	
row_93	ADO	NA	13293	-0.02560798078775406	-0.3683022	No	
row_94	BUB1B	NA	13351	-0.026239784434437752	-0.36936158	No	
row_95	YTHDC1	NA	13406	-0.026939118281006813	-0.37023124	No	
row_96	TPGS2	NA	13434	-0.02724219299852848	-0.36977917	No	
row_97	CDK5	NA	13495	-0.02793225646018982	-0.37087426	No	
row_98	UBL3	NA	13577	-0.028977343812584877	-0.37291488	No	
row_99	CDK16	NA	13611	-0.029469897970557213	-0.37260875	No	
row_100	FBRS	NA	13617	-0.02956170216202736	-0.37094626	No	
row_101	VAPA	NA	13649	-0.029980139806866646	-0.3705108	No	
row_102	OTUD5	NA	13719	-0.030979173257946968	-0.37184373	No	
row_103	CERT1	NA	13763	-0.031504496932029724	-0.37188888	No	
