NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AGR2	NA	742	0.2321585714817047	-0.018702166	No	
row_1	HAVCR2	NA	1074	0.20687124133110046	-0.019473368	No	
row_2	IMMP1L	NA	3431	0.1229279488325119	-0.12387463	No	
row_3	MACC1	NA	3683	0.11780861765146255	-0.12732251	No	
row_4	ENSA	NA	3711	0.11725688725709915	-0.12002812	No	
row_5	GCNT3	NA	3751	0.11618389189243317	-0.11339003	No	
row_6	H2AW	NA	3757	0.11604137718677521	-0.10512571	No	
row_7	H2BC12	NA	3841	0.11415370553731918	-0.10075445	No	
row_8	FRMD5	NA	4101	0.10792265087366104	-0.105312	No	
row_9	H4C4	NA	4108	0.10781272500753403	-0.09769892	No	
row_10	PSMC3	NA	4174	0.10647238790988922	-0.09302417	No	
row_11	NAPA-AS1	NA	4188	0.10596460849046707	-0.085883506	No	
row_12	EIF2AK3-DT	NA	4451	0.09998919814825058	-0.091166936	No	
row_13	NGDN	NA	4505	0.09891629219055176	-0.08646835	No	
row_14	FAM174B	NA	4563	0.09788176417350769	-0.082038134	No	
row_15	GLRX	NA	4703	0.09506753832101822	-0.08176142	No	
row_16	SMIM31	NA	4924	0.09055635333061218	-0.08571445	No	
row_17	FMC1	NA	5305	0.08308184891939163	-0.097917244	No	
row_18	HSPB6	NA	5588	0.07772441953420639	-0.105795264	No	
row_19	MTIF3	NA	6123	0.06896793842315674	-0.12644562	No	
row_20	RHCE	NA	6190	0.06752534955739975	-0.12467354	No	
row_21	TMEM160	NA	6354	0.06493125110864639	-0.12776089	No	
row_22	CKS1B	NA	6447	0.06341849267482758	-0.12754138	No	
row_23	WDR83OS	NA	6636	0.06056605651974678	-0.1321521	No	
row_24	KPTN	NA	6676	0.05989813432097435	-0.12963934	No	
row_25	DRC3	NA	6971	0.05523686856031418	-0.13974318	No	
row_26	ZMAT2	NA	7033	0.054239463061094284	-0.13870418	No	
row_27	PROSER3	NA	7478	0.04795072600245476	-0.15656261	No	
row_28	HBP1	NA	7609	0.04574437066912651	-0.1594677	No	
row_29	SNRNP27	NA	7634	0.04546038433909416	-0.15729107	No	
row_30	SNHG29	NA	8014	0.039752181619405746	-0.17262147	No	
row_31	GPR108	NA	8025	0.039608247578144073	-0.17019986	No	
row_32	ANKRD54	NA	8145	0.03786587715148926	-0.17315286	No	
row_33	CIAO2A	NA	8322	0.03560307249426842	-0.17901555	No	
row_34	ZSWIM3	NA	8327	0.03554172068834305	-0.17660314	No	
row_35	TTC32	NA	8469	0.033597126603126526	-0.18092804	No	
row_36	RAB11B-AS1	NA	8486	0.03333158418536186	-0.17925528	No	
row_37	LRRC28	NA	8772	0.02973560057580471	-0.19079493	No	
row_38	PHF23	NA	8895	0.028201879933476448	-0.19460067	No	
row_39	ACOT8	NA	9294	0.023029346019029617	-0.21207134	No	
row_40	MED7	NA	9296	0.02295287698507309	-0.21043721	No	
row_41	SMG7-AS1	NA	9322	0.022512760013341904	-0.2099906	No	
row_42	ENC1	NA	9440	0.021013779565691948	-0.21408248	No	
row_43	ARL1	NA	9596	0.018845869228243828	-0.22016247	No	
row_44	RPS9	NA	9668	0.017992421984672546	-0.22226149	No	
row_45	CFDP1	NA	9831	0.015775175765156746	-0.22890349	No	
row_46	TMEM18	NA	9903	0.015028437599539757	-0.23121975	No	
row_47	CMSS1	NA	10009	0.013837420381605625	-0.23525997	No	
row_48	FBXO8	NA	10111	0.012802663259208202	-0.23918346	No	
row_49	H2AZ2	NA	10203	0.011538691818714142	-0.24271823	No	
row_50	UBE2C	NA	10242	0.011100644245743752	-0.24373384	No	
row_51	ALG5	NA	10320	0.010207917541265488	-0.24669224	No	
row_52	HROB	NA	10359	0.00962547492235899	-0.24781597	No	
row_53	HEXIM1	NA	10443	0.008752073161303997	-0.2511699	No	
row_54	PSMC5	NA	10522	0.007774995174258947	-0.25435472	No	
row_55	ARNTL	NA	10581	0.00675073079764843	-0.2566519	No	
row_56	OGDH	NA	10582	0.006750535219907761	-0.25615713	No	
row_57	ARMH4	NA	10603	0.0065362234599888325	-0.25664082	No	
row_58	CAPZA2	NA	10659	0.005946533288806677	-0.2588525	No	
row_59	TIMM22	NA	10842	0.003972349688410759	-0.26732233	No	
row_60	NDUFAF8	NA	10844	0.003932371735572815	-0.26708224	No	
row_61	MPND	NA	10900	0.0032366036903113127	-0.26949257	No	
row_62	ZNF143	NA	11039	0.0015018947888165712	-0.2760254	No	
row_63	UBB	NA	11202	-3.854740643873811E-4	-0.28379536	No	
row_64	RNF10	NA	11208	-4.242192371748388E-4	-0.28400496	No	
row_65	TOM1L2	NA	11626	-0.0054565491154789925	-0.30367818	No	
row_66	C6orf89	NA	11690	-0.006321027874946594	-0.30624756	No	
row_67	SRI	NA	11830	-0.007979685440659523	-0.31235376	No	
row_68	INPPL1	NA	11957	-0.009384012781083584	-0.31773123	No	
row_69	RAB5B	NA	11961	-0.009447241201996803	-0.31718323	No	
row_70	FTSJ3	NA	12076	-0.010569960810244083	-0.32189617	No	
row_71	ANP32E	NA	12127	-0.011233312077820301	-0.3234797	No	
row_72	TOP2A	NA	12210	-0.012297900393605232	-0.3265256	No	
row_73	FAM200A	NA	12283	-0.013197285123169422	-0.3290242	No	
row_74	P4HB	NA	12514	-0.01592012122273445	-0.3389289	No	
row_75	CHD2	NA	12603	-0.016879897564649582	-0.3419278	No	
row_76	RAB11A	NA	12688	-0.017990704625844955	-0.3446527	No	
row_77	NLK	NA	12731	-0.01855654828250408	-0.3453144	No	
row_78	ATP5PB	NA	12870	-0.02036554366350174	-0.35046467	No	
row_79	TRIP10	NA	12932	-0.021150359883904457	-0.35185087	No	
row_80	H3-3B	NA	12941	-0.021248986944556236	-0.35067856	No	
row_81	RAD51AP1	NA	12981	-0.021835001185536385	-0.35095558	No	
row_82	CEP44	NA	13012	-0.022269325330853462	-0.3507675	No	
row_83	STRIP1	NA	13061	-0.02277972176671028	-0.35140848	No	
row_84	DNM2	NA	13067	-0.022838246077299118	-0.3499753	No	
row_85	FSTL4	NA	13100	-0.0232908446341753	-0.34980863	No	
row_86	HNRNPC	NA	13114	-0.02349296770989895	-0.34871256	No	
row_87	OSBP	NA	13255	-0.025219136849045753	-0.35360336	No	
row_88	RACK1	NA	13397	-0.026773283258080482	-0.35842842	No	
row_89	SNX1	NA	13419	-0.02710660919547081	-0.35745257	No	
row_90	FBXO16	NA	13438	-0.02729552984237671	-0.35631847	No	
row_91	ELP4	NA	13580	-0.0290498249232769	-0.36097667	No	
row_92	KATNB1	NA	13802	-0.032081488519907	-0.36926362	No	
row_93	FIGNL1	NA	14060	-0.035409919917583466	-0.37903956	No	
row_94	SETX	NA	14232	-0.03779953345656395	-0.38450056	No	
row_95	DHFR	NA	14290	-0.03858266770839691	-0.38441655	No	
row_96	TICRR	NA	14314	-0.03891738876700401	-0.38267133	No	
row_97	ZNF689	NA	14440	-0.04066142067313194	-0.38570827	No	
row_98	PDE12	NA	14545	-0.04217374324798584	-0.3876235	No	
row_99	TMEM94	NA	14581	-0.0427066944539547	-0.3861782	No	
row_100	SLC25A42	NA	14604	-0.04307415708899498	-0.3840802	No	
row_101	EXOSC8	NA	14617	-0.0431998074054718	-0.3814916	No	
row_102	G3BP1	NA	14644	-0.04351931810379028	-0.37955353	No	
row_103	MAPK14	NA	14697	-0.04417698457837105	-0.37881878	No	
row_104	SETD1A	NA	14703	-0.04424653947353363	-0.37581652	No	
row_105	PRMT9	NA	14755	-0.04500417038798332	-0.37497303	No	
row_106	ABCC10	NA	14894	-0.047188449651002884	-0.37815738	No	
row_107	CAND1	NA	14959	-0.04789556562900543	-0.37772775	No	
row_108	BRPF1	NA	15340	-0.05342709645628929	-0.39210403	No	
row_109	NUCKS1	NA	15422	-0.05437883734703064	-0.39201754	No	
row_110	HNRNPUL1	NA	15613	-0.057407449930906296	-0.39695603	No	
row_111	RAB11B	NA	15758	-0.059870220720767975	-0.3994997	No	
row_112	GATAD2B	NA	16097	-0.0650949701666832	-0.41099906	No	
row_113	KNTC1	NA	16130	-0.06554063409566879	-0.4077358	No	
row_114	EVI5L	NA	16309	-0.06877279281616211	-0.41126364	No	
row_115	FAM47E	NA	16551	-0.07280849665403366	-0.41752836	No	
row_116	ZNF655	NA	16693	-0.07517246156930923	-0.41880608	No	
row_117	ERAP1	NA	16965	-0.08050686866044998	-0.42595065	Yes	
row_118	WDR83	NA	16973	-0.08055171370506287	-0.42038375	Yes	
row_119	CNOT1	NA	17084	-0.0827699676156044	-0.41961238	Yes	
row_120	RBM27	NA	17086	-0.08285363763570786	-0.41358796	Yes	
row_121	FRYL	NA	17109	-0.08323618024587631	-0.40854636	Yes	
row_122	ZNF785	NA	17154	-0.08410272002220154	-0.40450025	Yes	
row_123	PSMA3-AS1	NA	17191	-0.08477973192930222	-0.40001944	Yes	
row_124	WDR77	NA	17207	-0.0850311890244484	-0.39450932	Yes	
row_125	HNRNPL	NA	17208	-0.08505810797214508	-0.38827518	Yes	
row_126	BCAS3	NA	17591	-0.09245114028453827	-0.39988753	Yes	
row_127	MTMR12	NA	17604	-0.09282617270946503	-0.3936617	Yes	
row_128	ARID4A	NA	17628	-0.09325991570949554	-0.38793355	Yes	
row_129	MACO1	NA	17703	-0.09501287341117859	-0.38453194	Yes	
row_130	EXOC4	NA	17792	-0.09707216173410416	-0.3816533	Yes	
row_131	FAM53C	NA	17823	-0.0977388545870781	-0.3759339	Yes	
row_132	ARMC8	NA	17943	-0.10027649253606796	-0.37431264	Yes	
row_133	SMG5	NA	17974	-0.10085741430521011	-0.36836463	Yes	
row_134	SP2	NA	18029	-0.10233867168426514	-0.36346334	Yes	
row_135	C11orf71	NA	18066	-0.1032765805721283	-0.35762686	Yes	
row_136	TIPIN	NA	18102	-0.10420925170183182	-0.35167384	Yes	
row_137	ABHD2	NA	18202	-0.10698997229337692	-0.34859782	Yes	
row_138	EIF2AK3	NA	18235	-0.10771957784891129	-0.34224313	Yes	
row_139	ZZZ3	NA	18312	-0.10964877903461456	-0.33786508	Yes	
row_140	MFSD11	NA	18606	-0.11795809119939804	-0.3433238	Yes	
row_141	RFX1	NA	18681	-0.11993136256933212	-0.3380958	Yes	
row_142	MLLT3	NA	18701	-0.12038259953260422	-0.33018723	Yes	
row_143	TDRKH	NA	18708	-0.12053368240594864	-0.3216418	Yes	
row_144	INO80	NA	18720	-0.12102258205413818	-0.31330124	Yes	
row_145	ZNF77	NA	18730	-0.12159955501556396	-0.3048221	Yes	
row_146	TEPSIN	NA	18801	-0.12322711199522018	-0.29916003	Yes	
row_147	CNOT3	NA	18854	-0.12473680824041367	-0.29252085	Yes	
row_148	CASD1	NA	18857	-0.12497261166572571	-0.28345752	Yes	
row_149	DCAF7	NA	18911	-0.12658819556236267	-0.27673078	Yes	
row_150	DCLRE1A	NA	19063	-0.13205486536026	-0.2743208	Yes	
row_151	GOT1	NA	19094	-0.13304005563259125	-0.26601404	Yes	
row_152	C12orf4	NA	19203	-0.13748669624328613	-0.26113605	Yes	
row_153	SP1	NA	19268	-0.14024698734283447	-0.25393775	Yes	
row_154	PKN2	NA	19519	-0.15209190547466278	-0.25482476	Yes	
row_155	ANKHD1	NA	19532	-0.15285663306713104	-0.24419911	Yes	
row_156	SFSWAP	NA	19653	-0.1593506932258606	-0.2382963	Yes	
row_157	SNHG1	NA	19716	-0.16360923647880554	-0.22928943	Yes	
row_158	SMG7	NA	19739	-0.16476047039031982	-0.21827269	Yes	
row_159	STAP2	NA	19850	-0.1709386706352234	-0.21103919	Yes	
row_160	HMG20A	NA	20101	-0.18884693086147308	-0.20923233	Yes	
row_161	IGF2BP3	NA	20146	-0.19281941652297974	-0.19721809	Yes	
row_162	CDK12	NA	20186	-0.1960761994123459	-0.18472445	Yes	
row_163	HOXA9	NA	20218	-0.19922961294651031	-0.1716146	Yes	
row_164	H4C5	NA	20229	-0.20072704553604126	-0.15738413	Yes	
row_165	CREBRF	NA	20348	-0.2144840508699417	-0.14734416	Yes	
row_166	PPP1R37	NA	20452	-0.22936803102493286	-0.13549125	Yes	
row_167	TMEM79	NA	20527	-0.24304406344890594	-0.12124001	Yes	
row_168	GBF1	NA	20540	-0.24609975516796112	-0.103780314	Yes	
row_169	DMXL1	NA	20616	-0.26379960775375366	-0.088055976	Yes	
row_170	CCDC61	NA	20638	-0.2700099050998688	-0.06927706	Yes	
row_171	NHLRC2	NA	20753	-0.3103815019130707	-0.052015956	Yes	
row_172	GUF1	NA	20777	-0.3247225284576416	-0.02932328	Yes	
row_173	SLC3A2	NA	20912	-0.5110788941383362	0.0016847658	Yes	
