NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SH3GL3	NA	5	0.5835716724395752	0.017120104	Yes	
row_1	MAP1B	NA	50	0.4218249022960663	0.027533745	Yes	
row_2	CCDC122	NA	233	0.3039243817329407	0.027737554	Yes	
row_3	ALK	NA	273	0.2951216697692871	0.034624238	Yes	
row_4	SFRP1	NA	401	0.2707722783088684	0.036512744	Yes	
row_5	LLGL2	NA	420	0.2681849002838135	0.043617845	Yes	
row_6	H2BC21	NA	430	0.26699042320251465	0.05112449	Yes	
row_7	LIPG	NA	464	0.2616947889328003	0.05730802	Yes	
row_8	ENAM	NA	527	0.2540716826915741	0.061856356	Yes	
row_9	TAS2R7	NA	601	0.2461141049861908	0.065633714	Yes	
row_10	ISL1	NA	622	0.2446042001247406	0.071940094	Yes	
row_11	RRAS	NA	739	0.23234081268310547	0.07321937	Yes	
row_12	KCTD4	NA	756	0.2304365187883377	0.079298474	Yes	
row_13	LINC00470	NA	767	0.229545459151268	0.085642464	Yes	
row_14	DLGAP4	NA	810	0.22631117701530457	0.090336144	Yes	
row_15	RANBP3L	NA	836	0.223538339138031	0.09577292	Yes	
row_16	FOXN1	NA	878	0.22064997255802155	0.10034673	Yes	
row_17	ATP1B2	NA	1024	0.21089258790016174	0.099579476	Yes	
row_18	NR6A1	NA	1025	0.21076402068138123	0.10585031	Yes	
row_19	NOS1	NA	1039	0.20959508419036865	0.11145502	Yes	
row_20	AMBN	NA	1069	0.20742487907409668	0.11621812	Yes	
row_21	POU2F3	NA	1165	0.2022305577993393	0.11762139	Yes	
row_22	CSMD3	NA	1180	0.20136591792106628	0.122932695	Yes	
row_23	KCNN3	NA	1252	0.1979842185974121	0.12537518	Yes	
row_24	GPR22	NA	1316	0.19490982592105865	0.12811473	Yes	
row_25	SERTAD4	NA	1376	0.19152498245239258	0.13094781	Yes	
row_26	KCNIP4	NA	1377	0.19151940941810608	0.13664606	Yes	
row_27	H2AC6	NA	1429	0.18912623822689056	0.1397963	Yes	
row_28	SNCAIP	NA	1450	0.1876891553401947	0.14440928	Yes	
row_29	SLC10A2	NA	1458	0.18734072148799896	0.14964326	Yes	
row_30	GRID2	NA	1619	0.18005163967609406	0.14722992	Yes	
row_31	NFIA	NA	1655	0.17892108857631683	0.15085357	Yes	
row_32	FZD4	NA	1710	0.17675934731960297	0.15349016	Yes	
row_33	LDB2	NA	1727	0.17621071636676788	0.1579559	Yes	
row_34	SESN3	NA	1749	0.17556007206439972	0.16215944	Yes	
row_35	ADORA1	NA	1820	0.172877237200737	0.16390349	Yes	
row_36	RFTN2	NA	1835	0.17235863208770752	0.16835175	Yes	
row_37	CADM1	NA	1850	0.17165020108222961	0.17277892	Yes	
row_38	NEUROG1	NA	1855	0.17142488062381744	0.17768505	Yes	
row_39	LPL	NA	1896	0.1695217788219452	0.1807862	Yes	
row_40	CDK14	NA	1898	0.1694842278957367	0.18578029	Yes	
row_41	CCND1	NA	1920	0.16865508258342743	0.18977839	Yes	
row_42	CD180	NA	1992	0.1657773107290268	0.19126263	Yes	
row_43	PPP2R3A	NA	2005	0.1651497781276703	0.19559354	Yes	
row_44	H2BC3	NA	2057	0.16334766149520874	0.19797678	Yes	
row_45	GPR85	NA	2154	0.15990138053894043	0.19807208	Yes	
row_46	MTUS1	NA	2195	0.15850649774074554	0.20084551	Yes	
row_47	HOXA3	NA	2521	0.14804285764694214	0.18946661	Yes	
row_48	PDZK1IP1	NA	2526	0.1478791981935501	0.19367218	Yes	
row_49	KCNT2	NA	2547	0.14700773358345032	0.19707479	Yes	
row_50	LHX3	NA	2617	0.14476554095745087	0.198031	Yes	
row_51	TCF4	NA	2662	0.14348547160625458	0.20016325	Yes	
row_52	MMP17	NA	2673	0.14330443739891052	0.20394132	Yes	
row_53	LRFN5	NA	2766	0.14084729552268982	0.20366395	Yes	
row_54	BMP5	NA	2826	0.13894224166870117	0.20493254	Yes	
row_55	CES5A	NA	2963	0.1349431872367859	0.20234266	Yes	
row_56	WNT9A	NA	2974	0.13473889231681824	0.20586589	Yes	
row_57	UQCC2	NA	3027	0.13342884182929993	0.2073104	Yes	
row_58	NR4A3	NA	3092	0.1317971646785736	0.2081236	Yes	
row_59	RARB	NA	3197	0.12894102931022644	0.20690921	Yes	
row_60	EYA1	NA	3226	0.1282639503479004	0.2093656	Yes	
row_61	IRX4	NA	3265	0.127158522605896	0.21130347	Yes	
row_62	HOXA10	NA	3363	0.12470947951078415	0.21030314	Yes	
row_63	SP6	NA	3371	0.12445297837257385	0.21366602	Yes	
row_64	ANK3	NA	3373	0.12443434447050095	0.21731973	Yes	
row_65	SOX5	NA	3375	0.12440414726734161	0.22097254	Yes	
row_66	NRXN3	NA	3397	0.12377878278493881	0.22363545	Yes	
row_67	COL25A1	NA	3442	0.12281064689159393	0.22515257	Yes	
row_68	CSRNP3	NA	3446	0.12278049439191818	0.22865994	Yes	
row_69	C21orf62	NA	3543	0.12084558606147766	0.22759321	Yes	
row_70	SASH1	NA	3569	0.12050134688615799	0.22996435	Yes	
row_71	HOXC11	NA	3672	0.11818164587020874	0.22852698	Yes	
row_72	MYF5	NA	3704	0.11735480278730392	0.2305131	Yes	
