NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ELAVL2	NA	54	0.417901873588562	0.05573259	Yes	
row_1	GPM6A	NA	60	0.405356764793396	0.11206145	Yes	
row_2	GABRG1	NA	405	0.2705754041671753	0.13334411	Yes	
row_3	ADAMTS5	NA	586	0.2482253909111023	0.15936294	Yes	
row_4	OMG	NA	692	0.23679442703723907	0.18737887	Yes	
row_5	VDR	NA	893	0.21926942467689514	0.2083989	Yes	
row_6	FGF14	NA	1381	0.19133470952510834	0.21177404	Yes	
row_7	LDB2	NA	1727	0.17621071636676788	0.21984002	Yes	
row_8	HPSE2	NA	1754	0.17545655369758606	0.24308	Yes	
row_9	MYBPC1	NA	1848	0.1717277318239212	0.2625905	Yes	
row_10	CADM1	NA	1850	0.17165020108222961	0.28649673	Yes	
row_11	PLD5	NA	2123	0.16105379164218903	0.29594404	Yes	
row_12	KRT222	NA	2363	0.15335501730442047	0.3058976	Yes	
row_13	C1S	NA	2906	0.13657332956790924	0.29899633	Yes	
row_14	EYA1	NA	3226	0.1282639503479004	0.30161658	Yes	
row_15	VWA1	NA	3311	0.12605132162570953	0.3151839	Yes	
row_16	CSRNP3	NA	3446	0.12278049439191818	0.32589996	Yes	
row_17	PLEKHA6	NA	3698	0.11755175143480301	0.3302823	Yes	
row_18	GPR158	NA	4176	0.10642050206661224	0.3222865	Yes	
row_19	FGF12	NA	4282	0.10394587367773056	0.33176312	Yes	
row_20	NECTIN1	NA	4321	0.10303372144699097	0.34432158	Yes	
row_21	TLL2	NA	4697	0.09516870230436325	0.33964106	Yes	
row_22	SMPX	NA	4787	0.09330682456493378	0.34839937	Yes	
row_23	DNAH5	NA	4948	0.09015152603387833	0.35331663	Yes	
row_24	SRRM4	NA	5512	0.07898958772420883	0.33737358	No	
row_25	B3GNT7	NA	5830	0.07362678647041321	0.3324649	No	
row_26	HOXC5	NA	5840	0.07334057986736298	0.34226868	No	
row_27	HOXB6	NA	5930	0.07188097387552261	0.34803694	No	
row_28	KIF13A	NA	6241	0.06667520105838776	0.3424934	No	
row_29	FGF6	NA	6420	0.06388996541500092	0.34288368	No	
row_30	KLHL5	NA	6507	0.06268429756164551	0.34751222	No	
row_31	DCX	NA	6855	0.05709260329604149	0.33885926	No	
row_32	MARCHF1	NA	7077	0.05354582145810127	0.33574638	No	
row_33	FGD4	NA	7170	0.05236465483903885	0.33864743	No	
row_34	CD93	NA	7602	0.04590491205453873	0.32440978	No	
row_35	EVX1	NA	7981	0.04027038440108299	0.31192443	No	
row_36	IL10	NA	8430	0.03411644697189331	0.29522744	No	
row_37	KCNA2	NA	8555	0.03251305967569351	0.29382545	No	
row_38	SYNPR	NA	8665	0.031091006472706795	0.29294345	No	
row_39	ZNF385B	NA	9512	0.019974615424871445	0.25520983	No	
row_40	ZEB2	NA	9573	0.01910335384309292	0.2550019	No	
row_41	HCRTR2	NA	9911	0.014945199713110924	0.24094613	No	
row_42	LINC00310	NA	10119	0.012714410200715065	0.23280571	No	
row_43	GNAI1	NA	10185	0.011854656040668488	0.23134673	No	
row_44	CACNA1C	NA	10777	0.004711643792688847	0.20369694	No	
row_45	GRK5	NA	11411	-0.0029396398458629847	0.17378817	No	
row_46	KCTD12	NA	11483	-0.003731030272319913	0.17090814	No	
row_47	DDX17	NA	11598	-0.005019017960876226	0.16614826	No	
row_48	NRF1	NA	11911	-0.008926624432206154	0.15245003	No	
row_49	CDX2	NA	12322	-0.013744214549660683	0.13473016	No	
row_50	SFRP2	NA	12595	-0.01677260734140873	0.12404275	No	
row_51	PDE4D	NA	14481	-0.04119100794196129	0.039504606	No	
row_52	CNN3	NA	14506	-0.04170137271285057	0.04417458	No	
row_53	DMD	NA	14533	-0.04203422740101814	0.048795212	No	
row_54	FOXG1	NA	14916	-0.0474369116127491	0.037118357	No	
row_55	GABRA1	NA	15103	-0.04991745576262474	0.035175536	No	
row_56	HOXC4	NA	15249	-0.052205685526132584	0.035515837	No	
row_57	CDK19	NA	15491	-0.05552021414041519	0.03172054	No	
row_58	MAFB	NA	16063	-0.06447821110486984	0.013369241	No	
row_59	LEMD2	NA	16532	-0.07242447137832642	0.0010602805	No	
row_60	MSX2	NA	17335	-0.08728211373090744	-0.025172967	No	
row_61	NRK	NA	17447	-0.08932916074991226	-0.018023506	No	
row_62	CLIP1	NA	18039	-0.1027655303478241	-0.03198968	No	
row_63	CLUH	NA	18175	-0.10617287456989288	-0.02363918	No	
row_64	TIAF1	NA	18193	-0.10675803571939468	-0.009555137	No	
row_65	CCDC14	NA	18267	-0.10858897864818573	0.0021021694	No	
row_66	ETV6	NA	19419	-0.1464967429637909	-0.03258372	No	
row_67	GCDH	NA	19675	-0.16106893122196198	-0.022320043	No	
row_68	LRRTM1	NA	20706	-0.28963881731033325	-0.031234596	No	
row_69	ETV5	NA	20747	-0.3061925768852234	0.009579299	No	
