NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC15A1	NA	23	0.4919339418411255	0.24050467	Yes	
row_1	C6orf141	NA	1264	0.19733236730098724	0.27816138	Yes	
row_2	AGMAT	NA	1306	0.19546949863433838	0.37220308	Yes	
row_3	TRIM15	NA	1680	0.17800159752368927	0.44179955	Yes	
row_4	CROCCP3	NA	5668	0.0762946605682373	0.28873256	No	
row_5	TNFRSF12A	NA	6715	0.059269119054079056	0.26785338	No	
row_6	RND1	NA	7471	0.048021119087934494	0.2553568	No	
row_7	MED21	NA	8651	0.031247543171048164	0.21435933	No	
row_8	TTC1	NA	9855	0.01553715392947197	0.16449906	No	
row_9	DVL2	NA	10046	0.013484057039022446	0.16204144	No	
row_10	COQ10A	NA	10505	0.0079756248742342	0.14407082	No	
row_11	MB	NA	10587	0.006695968564599752	0.14348845	No	
row_12	ADA	NA	11014	0.0017703048652037978	0.12399948	No	
row_13	RPL36	NA	11064	0.0012328621232882142	0.122263275	No	
row_14	HAPLN2	NA	12245	-0.012730401940643787	0.07212369	No	
row_15	LAMP1	NA	12498	-0.015755265951156616	0.067818575	No	
row_16	FES	NA	12694	-0.018073586747050285	0.06737607	No	
row_17	RRN3P1	NA	14442	-0.0407412052154541	0.0038966695	No	
row_18	DAGLB	NA	16968	-0.08053117245435715	-0.07722106	No	
row_19	MTFMT	NA	18101	-0.10420334339141846	-0.080141574	No	
row_20	QSER1	NA	18231	-0.10760004073381424	-0.03346077	No	
row_21	NOL6	NA	19705	-0.16294269263744354	-0.023828888	No	
row_22	MTO1	NA	19827	-0.16927488148212433	0.053524636	No	
