NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GATA_Q6	GATA_Q6	Details ...	199	0.4126248	1.7971007	0.0	0.050700564	0.114	5108	tags=44%, list=24%, signal=57%	
EVI1_01	EVI1_01	Details ...	16	0.58359367	1.5466453	0.03264605	0.51580244	0.927	1174	tags=31%, list=6%, signal=33%	
LHX3_01	LHX3_01	Details ...	229	0.3455164	1.5233061	0.0	0.43708333	0.966	5417	tags=39%, list=26%, signal=52%	
GATAAGR_GATA_C	GATAAGR_GATA_C	Details ...	295	0.32871827	1.4761459	0.0024360537	0.54214764	0.995	5129	tags=36%, list=24%, signal=47%	
GATA_C	GATA_C	Details ...	265	0.3240601	1.4458629	0.0025062656	0.5932227	1.0	5235	tags=34%, list=25%, signal=45%	
S8_01	S8_01	Details ...	241	0.32491967	1.4327096	0.00754717	0.56465787	1.0	5177	tags=34%, list=25%, signal=44%	
NRSF_01	NRSF_01	Details ...	97	0.36102813	1.431729	0.02017291	0.48993936	1.0	5067	tags=39%, list=24%, signal=51%	
EVI1_03	EVI1_03	Details ...	58	0.3890136	1.4121964	0.04017857	0.52277154	1.0	5681	tags=43%, list=27%, signal=59%	
OCT1_Q5_01	OCT1_Q5_01	Details ...	266	0.31088427	1.3749164	0.012674271	0.67795974	1.0	4832	tags=31%, list=23%, signal=40%	
HNF1_C	HNF1_C	Details ...	246	0.3074863	1.3723834	0.0076923077	0.62471545	1.0	5432	tags=33%, list=26%, signal=44%	
RYTAAWNNNTGAY_UNKNOWN	RYTAAWNNNTGAY_UNKNOWN	Details ...	62	0.36976779	1.362181	0.071207434	0.6279376	1.0	5235	tags=39%, list=25%, signal=51%	
PITX2_Q2	PITX2_Q2	Details ...	257	0.3043635	1.342298	0.01910828	0.70087564	1.0	4987	tags=31%, list=24%, signal=40%	
EVI1_05	EVI1_05	Details ...	173	0.31475434	1.3205999	0.03515625	0.7982102	1.0	6010	tags=37%, list=29%, signal=51%	
YNTTTNNNANGCARM_UNKNOWN	YNTTTNNNANGCARM_UNKNOWN	Details ...	70	0.35331663	1.3205311	0.08419498	0.7418025	1.0	4948	tags=34%, list=24%, signal=45%	
ATOH8_TARGET_GENES	ATOH8_TARGET_GENES	Details ...	33	0.41546768	1.3118998	0.1088	0.7537523	1.0	2127	tags=30%, list=10%, signal=34%	
YATGNWAAT_OCT_C	YATGNWAAT_OCT_C	Details ...	357	0.2850959	1.3061534	0.0119904075	0.7468716	1.0	5184	tags=32%, list=25%, signal=42%	
ZNF292_TARGET_GENES	ZNF292_TARGET_GENES	Details ...	23	0.44179955	1.3022853	0.12251656	0.7294102	1.0	1680	tags=17%, list=8%, signal=19%	
EVI1_02	EVI1_02	Details ...	136	0.31248403	1.2955416	0.059366755	0.73417133	1.0	6299	tags=39%, list=30%, signal=55%	
MYOGNF1_01	MYOGNF1_01	Details ...	46	0.3771156	1.2931281	0.11591963	0.71096605	1.0	4331	tags=41%, list=21%, signal=52%	
NME2_TARGET_GENES	NME2_TARGET_GENES	Details ...	60	0.3533732	1.2927606	0.0873494	0.678015	1.0	4333	tags=33%, list=21%, signal=42%	
ALX4_01	ALX4_01		15	0.48597568	1.2883084	0.17128874	0.6740772	1.0	452	tags=20%, list=2%, signal=20%	
AFP1_Q6	AFP1_Q6		266	0.2878147	1.2820722	0.035409037	0.68304807	1.0	4987	tags=31%, list=24%, signal=40%	
RGTTAMWNATT_HNF1_01	RGTTAMWNATT_HNF1_01		74	0.33863324	1.2803874	0.08916324	0.6638337	1.0	7229	tags=51%, list=35%, signal=78%	
TGATTTRY_GFI1_01	TGATTTRY_GFI1_01		295	0.28711346	1.2791746	0.044063646	0.64314884	1.0	4210	tags=29%, list=20%, signal=36%	
LMO2COM_02	LMO2COM_02		238	0.2907997	1.2781017	0.055762082	0.6235443	1.0	5342	tags=33%, list=26%, signal=44%	
HFH4_01	HFH4_01		204	0.29243788	1.2741312	0.050314464	0.62211764	1.0	3455	tags=21%, list=16%, signal=25%	
CAGNWMCNNNGAC_UNKNOWN	CAGNWMCNNNGAC_UNKNOWN		88	0.32436824	1.2700887	0.09154929	0.62029016	1.0	5238	tags=38%, list=25%, signal=50%	
CTGYNNCTYTAA_UNKNOWN	CTGYNNCTYTAA_UNKNOWN		88	0.32636276	1.269743	0.08972504	0.5999303	1.0	4401	tags=31%, list=21%, signal=39%	
HNF1_01	HNF1_01		240	0.28687033	1.2695336	0.04859335	0.58040214	1.0	5706	tags=33%, list=27%, signal=45%	
POU1F1_Q6	POU1F1_Q6		232	0.2852569	1.2561433	0.05882353	0.6331532	1.0	5152	tags=33%, list=25%, signal=44%	
OCT1_B	OCT1_B		261	0.2837922	1.2526367	0.0660737	0.63227725	1.0	4832	tags=28%, list=23%, signal=35%	
OCT_C	OCT_C		257	0.2812339	1.2502437	0.054388132	0.6254337	1.0	4935	tags=32%, list=24%, signal=41%	
HNF1_Q6	HNF1_Q6		250	0.28031436	1.2491634	0.05612245	0.6124662	1.0	4649	tags=29%, list=22%, signal=37%	
ZNF202_TARGET_GENES	ZNF202_TARGET_GENES		72	0.3295354	1.2416388	0.13342696	0.63432264	1.0	3796	tags=26%, list=18%, signal=32%	
GATA1_04	GATA1_04		243	0.27984703	1.2391918	0.056532662	0.6297751	1.0	6227	tags=38%, list=30%, signal=53%	
GATA6_01	GATA6_01		262	0.277224	1.2353445	0.06125	0.63373286	1.0	5676	tags=37%, list=27%, signal=50%	
OCT_Q6	OCT_Q6		256	0.27853686	1.230953	0.07360406	0.6417733	1.0	4734	tags=28%, list=23%, signal=35%	
ZFP36L1_TARGET_GENES	ZFP36L1_TARGET_GENES		16	0.4460285	1.2286992	0.19543974	0.6373883	1.0	3177	tags=25%, list=15%, signal=29%	
COMP1_01	COMP1_01		118	0.30172005	1.220878	0.13251366	0.6648424	1.0	3363	tags=23%, list=16%, signal=27%	
POU3F2_01	POU3F2_01		97	0.30846134	1.2184132	0.13467048	0.6615696	1.0	6841	tags=44%, list=33%, signal=66%	
GATA1_03	GATA1_03		244	0.27052188	1.2064495	0.104166664	0.71422803	1.0	5325	tags=32%, list=25%, signal=42%	
NKX25_01	NKX25_01		126	0.29801995	1.2064446	0.14265734	0.6972893	1.0	4350	tags=29%, list=21%, signal=37%	
AP4_Q6	AP4_Q6		224	0.27685535	1.1981021	0.093023255	0.7301893	1.0	5748	tags=33%, list=27%, signal=45%	
HOX13_01	HOX13_01		45	0.3455935	1.1942289	0.18885449	0.73733765	1.0	4469	tags=31%, list=21%, signal=39%	
FXR_Q3	FXR_Q3		113	0.29875937	1.1909827	0.1563786	0.74053943	1.0	5276	tags=30%, list=25%, signal=40%	
TATA_C	TATA_C		280	0.2619962	1.1851596	0.08722359	0.7591621	1.0	5586	tags=32%, list=27%, signal=43%	
CDP_02	CDP_02		109	0.29256	1.1712695	0.16528925	0.8293503	1.0	5487	tags=36%, list=26%, signal=48%	
BACH1_01	BACH1_01		258	0.26201668	1.1712481	0.119018406	0.81217396	1.0	5725	tags=29%, list=27%, signal=40%	
HEB_Q6	HEB_Q6		268	0.25975037	1.1635699	0.12923463	0.8451483	1.0	5566	tags=31%, list=27%, signal=42%	
HNF6_Q6	HNF6_Q6		239	0.2625986	1.155737	0.16836734	0.88031477	1.0	5514	tags=32%, list=26%, signal=43%	
CDP_01	CDP_01		88	0.29617286	1.1555424	0.19770774	0.8642853	1.0	2695	tags=22%, list=13%, signal=25%	
