NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMPR1B	NA	334	0.28545519709587097	0.015792204	No	
row_1	KLK2	NA	764	0.22972890734672546	0.020817127	No	
row_2	HERC3	NA	1162	0.20231983065605164	0.024322327	No	
row_3	STEAP4	NA	1360	0.19245487451553345	0.036321364	No	
row_4	HMGCS1	NA	1469	0.18680748343467712	0.05196001	No	
row_5	LIFR	NA	1621	0.18002574145793915	0.06478031	No	
row_6	CCND1	NA	1920	0.16865508258342743	0.06928236	No	
row_7	IDI1	NA	1951	0.1674349308013916	0.08650338	No	
row_8	CDC14B	NA	2009	0.16492590308189392	0.10214968	No	
row_9	SPDEF	NA	2290	0.15569496154785156	0.106070764	No	
row_10	ALDH1A3	NA	2825	0.1389864981174469	0.09594633	No	
row_11	MAK	NA	3125	0.1310301125049591	0.096207246	No	
row_12	ELL2	NA	4587	0.09742841124534607	0.03698662	No	
row_13	AZGP1	NA	4985	0.08923275023698807	0.027888684	No	
row_14	TMPRSS2	NA	5220	0.08461024612188339	0.026094085	No	
row_15	NKX3-1	NA	5854	0.07305686175823212	0.003873377	No	
row_16	INSIG1	NA	5933	0.07181587815284729	0.008135625	No	
row_17	AKAP12	NA	6443	0.06349699199199677	-0.0092026815	No	
row_18	KLK3	NA	7177	0.05216989293694496	-0.038547788	No	
row_19	B2M	NA	7243	0.051133811473846436	-0.035966918	No	
row_20	GSR	NA	7557	0.04671499505639076	-0.045774136	No	
row_21	SPCS3	NA	7648	0.04528803005814552	-0.04504391	No	
row_22	DBI	NA	7688	0.044685691595077515	-0.041934542	No	
row_23	HMGCR	NA	7752	0.04367664083838463	-0.040088814	No	
row_24	KRT8	NA	8445	0.03390228748321533	-0.06950316	No	
row_25	FADS1	NA	8485	0.03333652764558792	-0.06765861	No	
row_26	PTPN21	NA	9047	0.026173163205385208	-0.09165076	No	
row_27	CENPN	NA	9536	0.01963299885392189	-0.11287026	No	
row_28	DHCR24	NA	9644	0.018318865448236465	-0.115961075	No	
row_29	KRT19	NA	9722	0.017329230904579163	-0.1177232	No	
row_30	DNAJB9	NA	9793	0.01629936508834362	-0.119264334	No	
row_31	SRP19	NA	9994	0.013977481052279472	-0.12729985	No	
row_32	CCND3	NA	10159	0.012249507941305637	-0.13380113	No	
row_33	TMEM50A	NA	10447	0.008736458607017994	-0.1465938	No	
row_34	XRCC6	NA	10548	0.007256160955876112	-0.15058175	No	
row_35	SCD	NA	10723	0.005367613397538662	-0.15832968	No	
row_36	UAP1	NA	10733	0.00523317651823163	-0.15817815	No	
row_37	MERTK	NA	11058	0.0012995459837839007	-0.17357439	No	
row_38	ELOVL5	NA	11145	2.3745500948280096E-4	-0.17767301	No	
row_39	MYL12A	NA	11271	-0.001216335454955697	-0.18353324	No	
row_40	ACSL3	NA	11785	-0.007459793705493212	-0.20730855	No	
row_41	ADRM1	NA	11789	-0.007499368395656347	-0.20661667	No	
row_42	RRP12	NA	11987	-0.009733645245432854	-0.21498124	No	
row_43	PGM3	NA	11990	-0.009735624305903912	-0.21399216	No	
row_44	GNAI3	NA	12023	-0.010061182081699371	-0.2144058	No	
row_45	PLPP1	NA	12153	-0.011524666100740433	-0.21930908	No	
row_46	RAB4A	NA	12199	-0.012205272912979126	-0.22010732	No	
row_47	AKT1	NA	12890	-0.020601602271199226	-0.25090805	No	
row_48	NCOA4	NA	13264	-0.025311417877674103	-0.26597857	No	
row_49	HPGD	NA	13600	-0.029298152774572372	-0.2787821	No	
row_50	VAPA	NA	13649	-0.029980139806866646	-0.2777433	No	
row_51	SMS	NA	13673	-0.03036935068666935	-0.27546197	No	
row_52	PDLIM5	NA	14362	-0.039596837013959885	-0.30404982	No	
row_53	SLC38A2	NA	14614	-0.04317903146147728	-0.3112772	No	
row_54	PIAS1	NA	14876	-0.04698048159480095	-0.3185606	No	
row_55	UBE2I	NA	14929	-0.04761882126331329	-0.3157479	No	
row_56	TNFAIP8	NA	14939	-0.04772871360182762	-0.3108604	No	
row_57	NGLY1	NA	15505	-0.055716872215270996	-0.33175188	No	
row_58	XRCC5	NA	15553	-0.05661429837346077	-0.32769683	No	
row_59	HSD17B14	NA	15820	-0.06100955605506897	-0.33365658	No	
row_60	NDRG1	NA	15865	-0.061550721526145935	-0.3289075	No	
