NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPP1	NA	362	0.2776564359664917	0.047755823	Yes	
row_1	CCND2	NA	935	0.21683649718761444	0.07121692	Yes	
row_2	FGFR1	NA	1185	0.201117604970932	0.10644011	Yes	
row_3	LUM	NA	1359	0.19248193502426147	0.14327388	Yes	
row_4	OLR1	NA	1639	0.1794063299894333	0.17197463	Yes	
row_5	LPL	NA	1896	0.1695217788219452	0.19945885	Yes	
row_6	SLCO2A1	NA	2252	0.15711982548236847	0.21930267	Yes	
row_7	APP	NA	2328	0.15428324043750763	0.2518712	Yes	
row_8	SERPINA5	NA	3399	0.12371401488780975	0.22969575	Yes	
row_9	COL5A2	NA	3652	0.11869388818740845	0.24546017	Yes	
row_10	PRG2	NA	3760	0.11583451926708221	0.26748833	Yes	
row_11	VTN	NA	3825	0.1145545244216919	0.2912728	Yes	
row_12	NRP1	NA	3891	0.11272641271352768	0.314581	Yes	
row_13	PTK2	NA	3955	0.1111072450876236	0.33760545	Yes	
row_14	CXCL6	NA	5021	0.08841829001903534	0.30739784	No	
row_15	S100A4	NA	5801	0.07430808991193771	0.28756	No	
row_16	THBD	NA	6540	0.06211578845977783	0.26682556	No	
row_17	PGLYRP1	NA	6961	0.05538497492671013	0.25972039	No	
row_18	POSTN	NA	7096	0.053245265036821365	0.26579016	No	
row_19	VAV2	NA	7466	0.048144713044166565	0.2594271	No	
row_20	STC1	NA	8158	0.037757545709609985	0.23523204	No	
row_21	APOH	NA	8308	0.03578084707260132	0.23649189	No	
row_22	COL3A1	NA	8431	0.034066811203956604	0.23864119	No	
row_23	JAG2	NA	8493	0.03325765207409859	0.24351785	No	
row_24	JAG1	NA	8514	0.03307080641388893	0.25031134	No	
row_25	PF4	NA	10312	0.010337606072425842	0.16680233	No	
row_26	FSTL1	NA	11097	8.074037032201886E-4	0.1295011	No	
row_27	VCAN	NA	11520	-0.004141482058912516	0.11029183	No	
row_28	LRPAP1	NA	12705	-0.018244421109557152	0.057949048	No	
row_29	MSX1	NA	14464	-0.04100468009710312	-0.016508415	No	
row_30	KCNJ8	NA	17134	-0.08377324044704437	-0.12450693	No	
row_31	TNFRSF21	NA	18354	-0.11082962155342102	-0.15682682	No	
row_32	TIMP1	NA	19210	-0.13770662248134613	-0.16544205	No	
row_33	ITGAV	NA	20464	-0.23125474154949188	-0.17116718	No	
row_34	PDGFA	NA	20827	-0.35541966557502747	-0.1051882	No	
row_35	VEGFA	NA	20903	-0.47315001487731934	0.0021040868	No	
