NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCA5	NA	27	0.4809569716453552	0.04469251	Yes	
row_1	NR1H4	NA	647	0.2410915195941925	0.038037103	Yes	
row_2	ALDH8A1	NA	967	0.21416974067687988	0.04320563	Yes	
row_3	AQP9	NA	978	0.21338322758674622	0.06312906	Yes	
row_4	NR0B2	NA	1031	0.21002216637134552	0.080715366	Yes	
row_5	ABCA4	NA	1206	0.20000287890434265	0.09148839	Yes	
row_6	SLCO1A2	NA	1399	0.1904718279838562	0.10048619	Yes	
row_7	TFCP2L1	NA	1491	0.18561874330043793	0.11386731	Yes	
row_8	GC	NA	1563	0.18272681534290314	0.1279318	Yes	
row_9	SULT1B1	NA	1842	0.17199315130710602	0.13103522	Yes	
row_10	IDI1	NA	1951	0.1674349308013916	0.14186175	Yes	
row_11	CYP7B1	NA	2130	0.16078561544418335	0.1486929	Yes	
row_12	BCAR3	NA	2190	0.15864118933677673	0.16103028	Yes	
row_13	HSD3B1	NA	2269	0.15636911988258362	0.17223853	Yes	
row_14	ABCA9	NA	2484	0.14908777177333832	0.17622338	Yes	
row_15	ABCA1	NA	2533	0.14775288105010986	0.18804757	Yes	
row_16	ABCG8	NA	2659	0.14355060458183289	0.19577442	Yes	
row_17	NR1I2	NA	3010	0.13375331461429596	0.19176584	Yes	
row_18	SULT2B1	NA	3083	0.13198760151863098	0.20093074	Yes	
row_19	ABCD2	NA	3147	0.1303299367427826	0.21036907	Yes	
row_20	HSD3B7	NA	3172	0.12949930131435394	0.22159973	Yes	
row_21	PHYH	NA	3186	0.12930169701576233	0.23333943	Yes	
row_22	ABCG4	NA	3429	0.12300866097211838	0.23348682	Yes	
row_23	HAO1	NA	3694	0.11763116717338562	0.23206414	Yes	
row_24	ABCA3	NA	3781	0.11541936546564102	0.23897289	Yes	
row_25	PECR	NA	4096	0.10797558724880219	0.23422727	Yes	
row_26	CYP39A1	NA	4168	0.10665808618068695	0.24101818	Yes	
row_27	FADS2	NA	4571	0.0977436751127243	0.23107074	No	
row_28	PEX11G	NA	4845	0.09208816289901733	0.22677375	No	
row_29	LIPE	NA	4963	0.08969671279191971	0.22973512	No	
row_30	RBP1	NA	4969	0.08939782530069351	0.23804323	No	
row_31	RXRG	NA	5143	0.08608543872833252	0.23797165	No	
row_32	PEX11A	NA	5341	0.08260311186313629	0.23641524	No	
row_33	PXMP2	NA	5925	0.07195711880922318	0.21531524	No	
row_34	OPTN	NA	5985	0.07090378552675247	0.21926332	No	
row_35	TTR	NA	6122	0.0689721405506134	0.21933116	No	
row_36	SLC27A2	NA	6413	0.06399942189455032	0.21153246	No	
row_37	AR	NA	6416	0.06396550685167313	0.21755275	No	
row_38	ABCA8	NA	6561	0.06173801049590111	0.21654493	No	
row_39	IDH1	NA	6795	0.057942945510149	0.21090277	No	
