NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADH4	NA	4	0.6028440594673157	0.07168766	No	
row_1	CD9	NA	965	0.2143372744321823	0.051253647	No	
row_2	LGALS3	NA	1422	0.1893916130065918	0.05199014	No	
row_3	HMGCS1	NA	1469	0.18680748343467712	0.072060175	No	
row_4	LPL	NA	1896	0.1695217788219452	0.07186472	No	
row_5	IDI1	NA	1951	0.1674349308013916	0.08924164	No	
row_6	GPX8	NA	1964	0.167142853140831	0.10859581	No	
row_7	ERRFI1	NA	2941	0.13559764623641968	0.07800688	No	
row_8	CLU	NA	3184	0.12933941185474396	0.08183512	No	
row_9	FDPS	NA	3341	0.1252705156803131	0.08929817	No	
row_10	MVK	NA	3673	0.11811520159244537	0.08752442	No	
row_11	EBP	NA	3890	0.11273118853569031	0.09061797	No	
row_12	LDLR	NA	4396	0.10139413923025131	0.078514785	No	
row_13	FADS2	NA	4571	0.0977436751127243	0.08183339	No	
row_14	PMVK	NA	4767	0.09382519125938416	0.083678745	No	
row_15	NSDHL	NA	5079	0.08733296394348145	0.079192854	No	
row_16	ANXA13	NA	5222	0.08460722863674164	0.08247816	No	
row_17	PCYT2	NA	5560	0.07831498235464096	0.07567146	No	
row_18	MVD	NA	5936	0.07176987081766129	0.06626391	No	
row_19	CYP51A1	NA	5979	0.0710061565041542	0.07271815	No	
row_20	TP53INP1	NA	6037	0.07009407877922058	0.07834505	No	
row_21	HSD17B7	NA	6274	0.06609068810939789	0.07491936	No	
row_22	ACAT2	NA	6491	0.06287762522697449	0.072068684	No	
row_23	LGMN	NA	6570	0.06159785017371178	0.075676516	No	
row_24	TNFRSF12A	NA	6715	0.059269119054079056	0.075844854	No	
row_25	LSS	NA	6764	0.058497603982686996	0.08052022	No	
row_26	ANXA5	NA	6873	0.05686897411942482	0.08212701	No	
row_27	TM7SF2	NA	7052	0.05398087948560715	0.080036	No	
row_28	SQLE	NA	7337	0.04988093674182892	0.07237804	No	
row_29	DHCR7	NA	7593	0.04606208577752113	0.06565404	No	
row_30	STARD4	NA	7671	0.04503311589360237	0.0673347	No	
row_31	HMGCR	NA	7752	0.04367664083838463	0.0687099	No	
row_32	SREBF2	NA	8026	0.03959013894200325	0.06035191	No	
row_33	ACSS2	NA	8100	0.03837750479578972	0.061430626	No	
row_34	CPEB2	NA	8339	0.03540840372443199	0.054250754	No	
row_35	JAG1	NA	8514	0.03307080641388893	0.04985818	No	
row_36	SC5D	NA	8545	0.032699767500162125	0.052319895	No	
row_37	ETHE1	NA	8888	0.028277816250920296	0.039307542	No	
row_38	PPARG	NA	9461	0.02061135694384575	0.0143626	No	
row_39	FDFT1	NA	9923	0.014836261048913002	-0.0059533096	No	
row_40	GNAI1	NA	10185	0.011854656040668488	-0.017043428	No	
row_41	PNRC1	NA	10310	0.010370105504989624	-0.021747367	No	
row_42	SCD	NA	10723	0.005367613397538662	-0.040844843	No	
row_43	CHKA	NA	11227	-7.184555870480835E-4	-0.06485614	No	
row_44	GUSB	NA	11258	-0.00110950181260705	-0.066161044	No	
row_45	ECH1	NA	11905	-0.00888715498149395	-0.09604899	No	
row_46	ACTG1	NA	13730	-0.031152507290244102	-0.17971599	No	
row_47	MAL2	NA	14057	-0.03538854792714119	-0.19111401	No	
row_48	CXCL16	NA	14256	-0.038156747817993164	-0.19604991	No	
row_49	ABCA2	NA	14262	-0.03821125254034996	-0.19173339	No	
row_50	GSTM2	NA	14425	-0.040440164506435394	-0.1946724	No	
row_51	CTNNB1	NA	14654	-0.04364664852619171	-0.20039093	No	
row_52	ALDOC	NA	15301	-0.05284912511706352	-0.22503714	No	
row_53	PLAUR	NA	15499	-0.05560264363884926	-0.22784501	No	
row_54	FASN	NA	15785	-0.06038150191307068	-0.23429886	No	
row_55	SEMA3B	NA	15943	-0.06270596385002136	-0.23434351	No	
row_56	TMEM97	NA	15947	-0.06274732202291489	-0.22700565	No	
row_57	FABP5	NA	15999	-0.06343016028404236	-0.22188586	No	
row_58	PDK3	NA	16060	-0.06444861739873886	-0.21707581	No	
row_59	S100A11	NA	17215	-0.08520714938640594	-0.26220033	No	
row_60	PLSCR1	NA	18056	-0.10298959165811539	-0.29016197	No	
row_61	ALCAM	NA	19010	-0.12995187938213348	-0.32032222	Yes	
row_62	STX5	NA	19164	-0.13610398769378662	-0.31142372	Yes	
row_63	ANTXR2	NA	19720	-0.16391105949878693	-0.31846812	Yes	
row_64	ATXN2	NA	20154	-0.19353054463863373	-0.31613627	Yes	
row_65	NFIL3	NA	20177	-0.1953597366809845	-0.29389676	Yes	
row_66	AVPR1A	NA	20316	-0.2101554423570633	-0.27545026	Yes	
row_67	FBXO6	NA	20512	-0.24093186855316162	-0.25606486	Yes	
row_68	TRIB3	NA	20533	-0.24434848129749298	-0.22788842	Yes	
row_69	GLDC	NA	20579	-0.2551472783088684	-0.19962208	Yes	
row_70	ATF3	NA	20679	-0.281444251537323	-0.1708072	Yes	
row_71	NIBAN1	NA	20871	-0.3994089961051941	-0.13233435	Yes	
row_72	ATF5	NA	20905	-0.477752685546875	-0.07695108	Yes	
row_73	CBS	NA	20933	-0.6618527770042419	6.705609E-4	Yes	
