NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MBL2	NA	33	0.4641992151737213	0.031475578	Yes	
row_1	SERPINE1	NA	227	0.30544179677963257	0.04395547	Yes	
row_2	SERPINC1	NA	231	0.30428045988082886	0.06548288	Yes	
row_3	SERPINB2	NA	268	0.29681408405303955	0.084892735	Yes	
row_4	APOC1	NA	299	0.29203927516937256	0.10425084	Yes	
row_5	GSN	NA	368	0.2760896682739258	0.12064693	Yes	
row_6	TF	NA	484	0.2591312527656555	0.13357668	Yes	
row_7	HMGCS2	NA	571	0.24961991608142853	0.14722256	Yes	
row_8	CFB	NA	599	0.24625584483146667	0.16346402	Yes	
row_9	GDA	NA	660	0.2396651655435562	0.17765032	Yes	
row_10	F2RL2	NA	833	0.2238207310438156	0.1853261	Yes	
row_11	GNG12	NA	838	0.22336839139461517	0.2010427	Yes	
row_12	SERPINA1	NA	917	0.21830089390277863	0.2128424	Yes	
row_13	CD9	NA	965	0.2143372744321823	0.22584948	Yes	
row_14	CTSK	NA	1119	0.2044251561164856	0.23305689	Yes	
row_15	HNF4A	NA	1256	0.19770513474941254	0.24060258	Yes	
row_16	MEP1A	NA	1431	0.18895891308784485	0.24569932	Yes	
row_17	GP1BA	NA	1603	0.18069693446159363	0.2503518	Yes	
row_18	OLR1	NA	1639	0.1794063299894333	0.26144764	Yes	
row_19	PLAU	NA	1725	0.17630714178085327	0.26992005	Yes	
row_20	C8B	NA	1905	0.16903743147850037	0.27335766	Yes	
row_21	TIMP3	NA	2097	0.16200974583625793	0.2757181	Yes	
row_22	C3	NA	2612	0.14492255449295044	0.26134017	Yes	
row_23	MMP3	NA	2709	0.14242218434810638	0.26687065	Yes	
row_24	PROZ	NA	2745	0.1415766030550003	0.27527216	Yes	
row_25	C1S	NA	2906	0.13657332956790924	0.27731064	Yes	
row_26	ACOX2	NA	3053	0.1328984946012497	0.27976012	Yes	
row_27	RAPGEF3	NA	3148	0.13032867014408112	0.28452536	Yes	
row_28	S100A13	NA	3160	0.12988479435443878	0.2932475	Yes	
row_29	CLU	NA	3184	0.12933941185474396	0.30135408	Yes	
row_30	CTSE	NA	3427	0.12306998670101166	0.2984904	Yes	
row_31	FN1	NA	3477	0.12226064503192902	0.30484346	Yes	
row_32	PLAT	NA	3695	0.1176137626171112	0.3027925	Yes	
row_33	FURIN	NA	3700	0.11748461425304413	0.3109678	Yes	
row_34	F11	NA	3777	0.1154661551117897	0.3155395	Yes	
row_35	VWF	NA	3834	0.11430180817842484	0.3209893	Yes	
row_36	PROS1	NA	4232	0.10506906360387802	0.30939522	Yes	
row_37	ITGB3	NA	4298	0.10370153933763504	0.31365758	Yes	
row_38	MSRB2	NA	4306	0.10342156887054443	0.32068714	Yes	
row_39	HRG	NA	4363	0.10207374393939972	0.32526606	Yes	
row_40	MASP2	NA	4373	0.10182487964630127	0.3320858	Yes	
row_41	TMPRSS6	NA	4430	0.10046084225177765	0.33654982	Yes	
row_42	PLG	NA	4489	0.09933330118656158	0.34083745	Yes	
row_43	F13B	NA	4565	0.09782788157463074	0.34420094	Yes	
row_44	THBS1	NA	4861	0.09176155179738998	0.33656055	Yes	
row_45	C9	NA	4970	0.08938156813383102	0.3377367	Yes	
row_46	FGA	NA	5009	0.08875510841608047	0.342232	Yes	
row_47	SIRT2	NA	5024	0.08837126940488815	0.34785324	Yes	
row_48	LEFTY2	NA	5297	0.08316037803888321	0.34070548	No	
row_49	SH2B2	NA	5419	0.08104351162910461	0.34066308	No	
row_50	CAPN2	NA	5789	0.07452996075153351	0.3282394	No	
row_51	KLKB1	NA	5960	0.07133176177740097	0.3251507	No	
row_52	HTRA1	NA	6085	0.06955775618553162	0.3241461	No	
row_53	MST1	NA	6373	0.06459931284189224	0.31495553	No	
row_54	F2	NA	6376	0.06457749009132385	0.3194588	No	
row_55	THBD	NA	6540	0.06211578845977783	0.31605005	No	
row_56	LGMN	NA	6570	0.06159785017371178	0.31904364	No	
row_57	CAPN5	NA	6629	0.06067955493927002	0.32057825	No	
row_58	KLK8	NA	6690	0.05973334610462189	0.3219494	No	
row_59	CFD	NA	6714	0.059291161596775055	0.32506698	No	
row_60	APOC2	NA	6756	0.05859336629509926	0.32726994	No	
row_61	MMP2	NA	6779	0.058189380913972855	0.33035713	No	
row_62	MMP14	NA	6918	0.05606326833367348	0.32771868	No	
row_63	F3	NA	6941	0.0556926503777504	0.33062807	No	
row_64	CFI	NA	6946	0.055646806955337524	0.33439913	No	
row_65	F9	NA	7136	0.052790168672800064	0.3290768	No	
row_66	CPB2	NA	7209	0.051594071090221405	0.32929158	No	
row_67	TFPI2	NA	7215	0.05151236429810524	0.33272013	No	
row_68	CPQ	NA	7669	0.04504093900322914	0.3141597	No	
row_69	C2	NA	7734	0.043929941952228546	0.31421304	No	
row_70	LRP1	NA	7872	0.041769176721572876	0.31060454	No	
row_71	CTSH	NA	7881	0.041616540402173996	0.31318414	No	
row_72	F8	NA	8136	0.03795946389436722	0.30368203	No	
row_73	CPN1	NA	8585	0.03213028609752655	0.28444234	No	
row_74	ISCU	NA	9647	0.018272364512085915	0.23475862	No	
row_75	MMP9	NA	9720	0.017385471612215042	0.23253697	No	
row_76	HPN	NA	9857	0.015504498034715652	0.22710592	No	
row_77	S100A1	NA	9974	0.014300234615802765	0.22255017	No	
row_78	PF4	NA	10312	0.010337606072425842	0.2070923	No	
row_79	ANG	NA	10478	0.008331961929798126	0.19975685	No	
row_80	COMP	NA	10751	0.005044092424213886	0.18704545	No	
row_81	PEF1	NA	10858	0.0037765423767268658	0.18222073	No	
row_82	SERPING1	NA	11206	-4.0986810927279294E-4	0.16557525	No	
row_83	PLEK	NA	11237	-8.695474243722856E-4	0.16419557	No	
row_84	RABIF	NA	11285	-0.0013899983605369925	0.16203603	No	
row_85	APOC3	NA	11479	-0.0036844832357019186	0.15302406	No	
row_86	MMP1	NA	11551	-0.004532731603831053	0.14993507	No	
row_87	A2M	NA	11710	-0.006654917728155851	0.14281654	No	
row_88	CSRP1	NA	11778	-0.007366431411355734	0.1401216	No	
row_89	ITIH1	NA	11909	-0.00891126599162817	0.13450928	No	
row_90	CASP9	NA	12013	-0.009976940229535103	0.13027032	No	
row_91	CTSB	NA	12116	-0.011040089651942253	0.12615512	No	
row_92	MMP10	NA	12141	-0.011381897144019604	0.12581249	No	
row_93	USP11	NA	12173	-0.011792471632361412	0.1251627	No	
row_94	RAC1	NA	12292	-0.013345353305339813	0.12044284	No	
row_95	BMP1	NA	12640	-0.017520811408758163	0.10501603	No	
row_96	PREP	NA	12735	-0.01857381872832775	0.10182185	No	
row_97	C1QA	NA	12753	-0.01880662702023983	0.10234438	No	
row_98	KLF7	NA	12773	-0.01905515231192112	0.10278851	No	
row_99	PRSS23	NA	12832	-0.01974022015929222	0.101407334	No	
row_100	RGN	NA	12998	-0.02211623452603817	0.09505362	No	
row_101	GNB2	NA	13131	-0.02372138574719429	0.09040001	No	
row_102	PECAM1	NA	13373	-0.026498999446630478	0.080706365	No	
row_103	FGG	NA	13427	-0.02721564471721649	0.08009787	No	
row_104	DUSP14	NA	14004	-0.03455254063010216	0.05487978	No	
row_105	PDGFB	NA	14054	-0.03536557778716087	0.055043966	No	
row_106	F10	NA	14229	-0.03777066990733147	0.049372714	No	
