NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VPS37D	NA	2026	0.16431820392608643	-0.078291506	No	
row_1	STX3	NA	2789	0.14013023674488068	-0.09862269	No	
row_2	POLL	NA	3061	0.13274742662906647	-0.09620496	No	
row_3	POLD4	NA	3635	0.1190238818526268	-0.10990488	No	
row_4	MPG	NA	3677	0.11800777167081833	-0.09814365	No	
row_5	POLR2F	NA	4414	0.10106540471315384	-0.12177069	No	
row_6	RBX1	NA	4526	0.09849255532026291	-0.11564616	No	
row_7	CCNO	NA	4604	0.09715716540813446	-0.10804226	No	
row_8	GUK1	NA	5440	0.08061504364013672	-0.13880917	No	
row_9	SUPT4H1	NA	5739	0.07514865696430206	-0.14439243	No	
row_10	MPC2	NA	5804	0.07425288110971451	-0.13882884	No	
row_11	POLR2K	NA	5987	0.07086469978094101	-0.13933316	No	
row_12	PDE4B	NA	6455	0.06334604322910309	-0.15441565	No	
row_13	TARBP2	NA	6680	0.05985094979405403	-0.15822107	No	
row_14	COX17	NA	6810	0.057718247175216675	-0.15770692	No	
row_15	LIG1	NA	6817	0.05761031061410904	-0.1512913	No	
row_16	TAF13	NA	6921	0.055998899042606354	-0.14972709	No	
row_17	GPX4	NA	6966	0.05526729300618172	-0.14541122	No	
row_18	NPR2	NA	7134	0.05281500145792961	-0.14729476	No	
row_19	POLB	NA	7207	0.051624007523059845	-0.14474915	No	
row_20	TAF10	NA	7273	0.050746429711580276	-0.14196908	No	
row_21	POLR1H	NA	7411	0.04891986399888992	-0.14286345	No	
row_22	POLE4	NA	7480	0.04790785536170006	-0.14055796	No	
row_23	SURF1	NA	7513	0.047416262328624725	-0.13657874	No	
row_24	DAD1	NA	7566	0.04657222330570221	-0.13365936	No	
row_25	FEN1	NA	7821	0.04261579364538193	-0.14091288	No	
row_26	BOLA2	NA	7835	0.04238267242908478	-0.13660587	No	
row_27	GMPR2	NA	7879	0.04169566184282303	-0.13382125	No	
row_28	SDCBP	NA	8011	0.039775554090738297	-0.13549125	No	
row_29	ARL6IP1	NA	8019	0.03972167894244194	-0.13120541	No	
row_30	RALA	NA	8048	0.03923285752534866	-0.12798616	No	
row_31	POLR2C	NA	8091	0.03851471096277237	-0.12552363	No	
row_32	SAC3D1	NA	8243	0.03684038296341896	-0.12849683	No	
row_33	PCNA	NA	8258	0.036564458161592484	-0.12491497	No	
row_34	ALYREF	NA	8594	0.032059092074632645	-0.13729157	No	
row_35	CANT1	NA	8618	0.03163450211286545	-0.13471614	No	
row_36	BCAP31	NA	8623	0.031602807343006134	-0.13123085	No	
row_37	EDF1	NA	8856	0.028591357171535492	-0.13905859	No	
row_38	GTF2H3	NA	8984	0.02697654627263546	-0.14202568	No	
row_39	BCAM	NA	9036	0.02627495862543583	-0.14142022	No	
row_40	GTF2A2	NA	9043	0.02620111219584942	-0.13865969	No	
row_41	EIF1B	NA	9149	0.024987956508994102	-0.1408004	No	
row_42	CLP1	NA	9179	0.024520665407180786	-0.1393413	No	
row_43	POLR3GL	NA	9421	0.021290382370352745	-0.14845139	No	
row_44	POLR2J	NA	9492	0.02019430510699749	-0.14946708	No	
row_45	SUPT5H	NA	9566	0.019213344901800156	-0.15074117	No	
row_46	CETN2	NA	9708	0.017506510019302368	-0.15548344	No	
row_47	NME4	NA	9910	0.01497331541031599	-0.16340539	No	
row_48	DUT	NA	9963	0.014409550465643406	-0.1642288	No	
row_49	PNP	NA	10109	0.012824369594454765	-0.16970824	No	
