NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NAA38	NA	2234	0.15758450329303741	-0.09256935	No	
row_1	CKS2	NA	2307	0.1550012081861496	-0.081188425	No	
row_2	MXD3	NA	3483	0.12214051187038422	-0.12611513	No	
row_3	PHF5A	NA	4435	0.10038528591394424	-0.16233055	No	
row_4	SPC25	NA	4737	0.09450244903564453	-0.1677828	No	
row_5	UBE2T	NA	4859	0.09183572977781296	-0.16481544	No	
row_6	ORC6	NA	5518	0.07892624288797379	-0.18896574	No	
row_7	H2AX	NA	5907	0.07223571091890335	-0.20074439	No	
row_8	SPC24	NA	5959	0.07137492299079895	-0.19636376	No	
row_9	TK1	NA	6017	0.07048524171113968	-0.19235756	No	
row_10	HUS1	NA	6058	0.06988473236560822	-0.18758956	No	
row_11	KIF22	NA	6219	0.06700198352336884	-0.18888117	No	
row_12	DEPDC1	NA	6231	0.06674962490797043	-0.18301591	No	
row_13	CKS1B	NA	6447	0.06341849267482758	-0.1873016	No	
row_14	PTTG1	NA	6604	0.06114409863948822	-0.1889617	No	
row_15	STMN1	NA	6612	0.061031732708215714	-0.18345149	No	
row_16	LIG1	NA	6817	0.05761031061410904	-0.18776353	No	
row_17	CDKN2C	NA	6887	0.05659366026520729	-0.18566665	No	
row_18	BIRC5	NA	6915	0.05609004944562912	-0.1815938	No	
row_19	UBE2S	NA	7118	0.052969347685575485	-0.18625413	No	
row_20	MAD2L1	NA	7288	0.05057010427117348	-0.18955387	No	
row_21	HMGB2	NA	7428	0.048705097287893295	-0.19158645	No	
row_22	CDCA8	NA	7468	0.04813548922538757	-0.18885411	No	
row_23	POLE4	NA	7480	0.04790785536170006	-0.18479411	No	
row_24	SUV39H1	NA	7732	0.043971914798021317	-0.19267803	No	
row_25	CCNB2	NA	7898	0.04144260659813881	-0.19665954	No	
row_26	PRPS1	NA	8063	0.038948819041252136	-0.20083176	No	
row_27	PLK1	NA	8217	0.037148796021938324	-0.2046463	No	
row_28	CDKN3	NA	8241	0.036872152239084244	-0.202222	No	
row_29	PCNA	NA	8258	0.036564458161592484	-0.19948982	No	
row_30	CDC25A	NA	8313	0.0357443168759346	-0.19866762	No	
row_31	CDC20	NA	8337	0.03541022166609764	-0.19638337	No	
row_32	ASF1B	NA	8404	0.03455900773406029	-0.19625308	No	
row_33	TBRG4	NA	8471	0.03357524797320366	-0.19621705	No	
row_34	CDK1	NA	8536	0.032778434455394745	-0.19616097	No	
row_35	PLK4	NA	8568	0.03241312876343727	-0.19454944	No	
row_36	DCK	NA	8821	0.029057830572128296	-0.20391053	No	
row_37	PNN	NA	8836	0.028842531144618988	-0.20182179	No	
row_38	CDK4	NA	8875	0.028430934995412827	-0.20092918	No	
row_39	DCTPP1	NA	8947	0.027486521750688553	-0.2017175	No	
row_40	POLD2	NA	8963	0.027280494570732117	-0.19982663	No	
row_41	ASF1A	NA	9031	0.026351820677518845	-0.20053087	No	
row_42	PPP1R8	NA	9076	0.025767477229237556	-0.20018263	No	
row_43	KIF18B	NA	9084	0.025728590786457062	-0.19805488	No	
row_44	POP7	NA	9138	0.02509325183928013	-0.198205	No	
row_45	KIF4A	NA	9173	0.024561196565628052	-0.19749036	No	
row_46	AURKA	NA	9251	0.023615991696715355	-0.1989387	No	
row_47	CDKN1A	NA	9277	0.023274747654795647	-0.19791357	No	
row_48	CHEK2	NA	9404	0.02154729887843132	-0.20192166	No	
row_49	HMGB3	NA	9606	0.018708180636167526	-0.20981641	No	
row_50	WDR90	NA	9688	0.017794867977499962	-0.21201524	No	
row_51	PRDX4	NA	9731	0.01722199283540249	-0.21238936	No	
row_52	RANBP1	NA	9818	0.01592828333377838	-0.21500802	No	
row_53	SNRPB	NA	9942	0.014606831595301628	-0.21953651	No	
row_54	DUT	NA	9963	0.014409550465643406	-0.2191198	No	
row_55	SPAG5	NA	10013	0.013803472742438316	-0.22015883	No	
row_56	TACC3	NA	10086	0.013033744879066944	-0.22238009	No	
row_57	H2AZ1	NA	10134	0.012544074095785618	-0.22344339	No	
row_58	HMMR	NA	10353	0.009664934128522873	-0.2330239	No	
row_59	EED	NA	10403	0.00916680134832859	-0.23450716	No	
row_60	TMPO	NA	10418	0.009062631987035275	-0.23431359	No	
row_61	XRCC6	NA	10548	0.007256160955876112	-0.23983553	No	
row_62	RAN	NA	10635	0.006187145132571459	-0.2433875	No	
row_63	CDCA3	NA	10653	0.00599662447348237	-0.24363227	No	
row_64	RAD51C	NA	10660	0.005938269663602114	-0.24335249	No	
row_65	KPNA2	NA	10692	0.0056472294963896275	-0.24430546	No	
row_66	PRIM2	NA	10831	0.0041146487928926945	-0.25056216	No	
row_67	DDX39A	NA	10839	0.003992908634245396	-0.25051695	No	
row_68	NUDT21	NA	10913	0.003102394286543131	-0.25373796	No	
row_69	CDKN2A	NA	11011	0.0018400609260424972	-0.25823656	No	
row_70	SRSF2	NA	11030	0.0015768486773595214	-0.258953	No	
row_71	RAD21	NA	11081	0.001055845059454441	-0.26126158	No	
row_72	RNASEH2A	NA	11167	-3.386422804396716E-6	-0.26535785	No	
row_73	AURKB	NA	11244	-9.357730741612613E-4	-0.268931	No	
row_74	CDKN1B	NA	11307	-0.0017104545840993524	-0.27175522	No	
row_75	RPA3	NA	11339	-0.002213286003097892	-0.27303723	No	
row_76	NASP	NA	11493	-0.0038431447464972734	-0.28004286	No	
row_77	DEK	NA	11502	-0.003944515250623226	-0.2800505	No	
row_78	GINS1	NA	11547	-0.004511868115514517	-0.28173876	No	
row_79	MYBL2	NA	11554	-0.0045632547698915005	-0.28159073	No	
row_80	BRMS1L	NA	11755	-0.00705204950645566	-0.29055408	No	
row_81	LBR	NA	11775	-0.007336895447224379	-0.2907668	No	
row_82	POLD3	NA	11879	-0.00852053053677082	-0.29491454	No	
row_83	CENPM	NA	11883	-0.008573846891522408	-0.29423764	No	
row_84	UNG	NA	11908	-0.0089054424315691	-0.2945411	No	
row_85	JPT1	NA	11944	-0.009245789609849453	-0.29534206	No	
row_86	TRIP13	NA	11959	-0.009406429715454578	-0.29511553	No	
row_87	TRA2B	NA	11962	-0.00945227313786745	-0.29430628	No	
row_88	ANP32E	NA	12127	-0.011233312077820301	-0.301134	No	
row_89	TOP2A	NA	12210	-0.012297900393605232	-0.3039077	No	
row_90	ESPL1	NA	12217	-0.012320403009653091	-0.30301642	No	
row_91	CNOT9	NA	12306	-0.01352638565003872	-0.3059616	No	
row_92	TUBG1	NA	12384	-0.01442475151270628	-0.30829057	No	
row_93	DLGAP5	NA	12436	-0.0150375384837389	-0.30930775	No	
row_94	KIF2C	NA	12581	-0.016634492203593254	-0.31465405	No	
row_95	PSIP1	NA	12803	-0.019412558525800705	-0.3234452	No	
row_96	CSE1L	NA	12878	-0.02043868973851204	-0.32505336	No	
row_97	CTCF	NA	12944	-0.021309660747647285	-0.32614434	No	
row_98	NOP56	NA	12950	-0.021338388323783875	-0.32434085	No	
row_99	RAD51AP1	NA	12981	-0.021835001185536385	-0.32369465	No	
row_100	CENPE	NA	13158	-0.023997841402888298	-0.3298777	No	
row_101	MELK	NA	13316	-0.02582196146249771	-0.33497027	No	
row_102	BUB1B	NA	13351	-0.026239784434437752	-0.33409482	No	
row_103	MSH2	NA	13454	-0.027566980570554733	-0.33636945	No	
row_104	SHMT1	NA	13533	-0.028334956616163254	-0.33741385	Yes	
row_105	CDC25B	NA	13541	-0.028450239449739456	-0.33502534	Yes	
row_106	CHEK1	NA	13589	-0.029103869572281837	-0.334502	Yes	
row_107	RACGAP1	NA	13616	-0.02955603040754795	-0.33292326	Yes	
row_108	POLD1	NA	13652	-0.030011843889951706	-0.3317346	Yes	
row_109	ZW10	NA	13677	-0.030435433611273766	-0.32997522	Yes	
row_110	USP1	NA	13683	-0.030473407357931137	-0.32729647	Yes	
row_111	TUBB	NA	13746	-0.03134501725435257	-0.32728133	Yes	
row_112	UBR7	NA	13789	-0.031981270760297775	-0.32624134	Yes	
row_113	NAP1L1	NA	13902	-0.0334676168859005	-0.3284326	Yes	
row_114	SLBP	NA	13953	-0.034001369029283524	-0.3275846	Yes	
row_115	MCM3	NA	13999	-0.03451259434223175	-0.32644665	Yes	
row_116	RAD1	NA	14084	-0.035790909081697464	-0.32706586	Yes	
row_117	NME1	NA	14148	-0.036628205329179764	-0.3265927	Yes	
row_118	E2F8	NA	14227	-0.037743933498859406	-0.32673562	Yes	
row_119	RPA1	NA	14272	-0.03837304934859276	-0.3251796	Yes	
row_120	ATAD2	NA	14321	-0.038995660841464996	-0.32375672	Yes	
row_121	RFC3	NA	14373	-0.03983261063694954	-0.32239822	Yes	
row_122	POLA2	NA	14390	-0.04003344103693962	-0.31933367	Yes	
row_123	TCF19	NA	14415	-0.040310055017471313	-0.31662816	Yes	
