NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	9	0.5522751808166504	0.025853481	Yes	
row_1	SERPINE1	NA	227	0.30544179677963257	0.029933095	Yes	
row_2	CXCL8	NA	250	0.30069801211357117	0.04318541	Yes	
row_3	ADAM12	NA	296	0.29229050874710083	0.054929003	Yes	
row_4	BASP1	NA	307	0.29079893231391907	0.06828851	Yes	
row_5	LAMC1	NA	323	0.28810998797416687	0.08127904	Yes	
row_6	SPP1	NA	362	0.2776564359664917	0.09266346	Yes	
row_7	SFRP1	NA	401	0.2707722783088684	0.10372021	Yes	
row_8	TNC	NA	575	0.24932250380516052	0.10724934	Yes	
row_9	AREG	NA	609	0.24516494572162628	0.11732821	Yes	
row_10	ANPEP	NA	668	0.23913632333278656	0.1259152	Yes	
row_11	LRRC15	NA	669	0.23903188109397888	0.13729267	Yes	
row_12	FMOD	NA	880	0.22034597396850586	0.13765927	Yes	
row_13	BDNF	NA	970	0.21390509605407715	0.14355117	Yes	
row_14	DST	NA	1101	0.20551054179668427	0.14706743	Yes	
row_15	THBS2	NA	1174	0.20155279338359833	0.15319075	Yes	
row_16	PTHLH	NA	1202	0.20024673640727997	0.16142078	Yes	
row_17	FBLN1	NA	1295	0.19580890238285065	0.16630675	Yes	
row_18	TGM2	NA	1315	0.19491522014141083	0.1746686	Yes	
row_19	IGFBP3	NA	1336	0.194008469581604	0.18293908	Yes	
row_20	EFEMP2	NA	1340	0.1936081051826477	0.19200988	Yes	
row_21	LUM	NA	1359	0.19248193502426147	0.2003041	Yes	
row_22	SDC1	NA	1417	0.1896761804819107	0.20658508	Yes	
row_23	IL6	NA	1673	0.17829039692878723	0.20278102	Yes	
row_24	FBLN2	NA	1681	0.17795567214488983	0.210914	Yes	
row_25	MXRA5	NA	1745	0.17574289441108704	0.21624258	Yes	
row_26	COL1A2	NA	1845	0.17186152935028076	0.21965133	Yes	
row_27	CADM1	NA	1850	0.17165020108222961	0.22762877	Yes	
row_28	SLIT3	NA	2004	0.16515444219112396	0.2281156	Yes	
row_29	CXCL12	NA	2082	0.16256362199783325	0.23214212	Yes	
row_30	TIMP3	NA	2097	0.16200974583625793	0.23917872	Yes	
row_31	GJA1	NA	2301	0.15520863234996796	0.23678228	Yes	
row_32	CAP2	NA	2377	0.15288110077381134	0.24044432	Yes	
row_33	TNFAIP3	NA	2401	0.1522132009267807	0.24658084	Yes	
row_34	LAMC2	NA	2428	0.1513148546218872	0.25253	Yes	
row_35	EMP3	NA	2492	0.14884606003761292	0.25657836	Yes	
row_36	MEST	NA	2649	0.1437700241804123	0.25590277	Yes	
row_37	TGFBR3	NA	2654	0.14363667368888855	0.2625468	Yes	
row_38	COL6A3	NA	2707	0.1424866020679474	0.26682264	Yes	
row_39	MMP3	NA	2709	0.14242218434810638	0.27355346	Yes	
row_40	EDIL3	NA	2755	0.1412860006093979	0.27810952	Yes	
row_41	NTM	NA	2756	0.14124757051467896	0.28483263	Yes	
row_42	ECM2	NA	2791	0.14012207090854645	0.28986347	Yes	
row_43	CDH11	NA	2812	0.13930459320545197	0.29553017	Yes	
row_44	DAB2	NA	2849	0.13812221586704254	0.3003694	Yes	
row_45	PVR	NA	2855	0.13786031305789948	0.3066903	Yes	
row_46	PTX3	NA	3058	0.1328028291463852	0.3032756	Yes	
row_47	TNFRSF11B	NA	3072	0.1322639286518097	0.30894455	Yes	
row_48	COL8A2	NA	3330	0.12550629675388336	0.30253166	Yes	
row_49	FN1	NA	3477	0.12226064503192902	0.30131423	Yes	
row_50	WNT5A	NA	3494	0.1218806728720665	0.30634436	Yes	
row_51	CDH6	NA	3545	0.12080778181552887	0.30968472	Yes	
row_52	FBN2	NA	3587	0.12006781995296478	0.3134236	Yes	
row_53	COL5A2	NA	3652	0.11869388818740845	0.3159886	Yes	
row_54	MYLK	NA	3963	0.11100545525550842	0.30633104	Yes	
row_55	RHOB	NA	3978	0.11075431853532791	0.310928	Yes	
row_56	GREM1	NA	4093	0.10801521688699722	0.3105748	Yes	
row_57	INHBA	NA	4164	0.10674630850553513	0.3122819	Yes	
row_58	ITGB3	NA	4298	0.10370153933763504	0.31080765	Yes	
row_59	APLP1	NA	4328	0.10285620391368866	0.31430566	Yes	
row_60	SERPINE2	NA	4381	0.10167119652032852	0.31663877	Yes	
row_61	PRRX1	NA	4404	0.1012524887919426	0.32039785	Yes	
row_62	COL1A1	NA	4762	0.0940094143152237	0.30766603	No	
row_63	THBS1	NA	4861	0.09176155179738998	0.30731037	No	
row_64	CXCL6	NA	5021	0.08841829001903534	0.30385554	No	
row_65	COL16A1	NA	5176	0.08563945442438126	0.3005094	No	
row_66	PLOD2	NA	5316	0.08294285833835602	0.2977579	No	
row_67	CD59	NA	5317	0.08293727785348892	0.30170554	No	
row_68	RGS4	NA	5347	0.08243498206138611	0.30423155	No	
row_69	PMP22	NA	5364	0.08201166242361069	0.30736402	No	
row_70	GAS1	NA	5454	0.08048387616872787	0.30690533	No	
row_71	CDH2	NA	5676	0.07617395371198654	0.29987943	No	
row_72	COL5A1	NA	5793	0.07441264390945435	0.29783043	No	
row_73	HTRA1	NA	6085	0.06955775618553162	0.28711578	No	
row_74	ABI3BP	NA	6272	0.06620056927204132	0.2813021	No	
row_75	PCOLCE2	NA	6522	0.062419015914201736	0.27227196	No	
row_76	TNFRSF12A	NA	6715	0.059269119054079056	0.26583916	No	
row_77	MMP2	NA	6779	0.058189380913972855	0.26557243	No	
row_78	GPX7	NA	6877	0.0568278506398201	0.26360217	No	
row_79	MMP14	NA	6918	0.05606326833367348	0.26434278	No	
row_80	BGN	NA	6944	0.05566168949007988	0.26578724	No	
row_81	THY1	NA	6996	0.0547981783747673	0.26593748	No	
row_82	POSTN	NA	7096	0.053245265036821365	0.2637003	No	
row_83	TFPI2	NA	7215	0.05151236429810524	0.2604649	No	
row_84	GEM	NA	7292	0.05049942433834076	0.25920558	No	
row_85	CTHRC1	NA	7360	0.04956681281328201	0.25833562	No	
row_86	SFRP4	NA	7400	0.0490969680249691	0.25879285	No	
row_87	MATN2	NA	7419	0.04884655773639679	0.2602503	No	
row_88	MATN3	NA	7434	0.04859790951013565	0.2618887	No	
row_89	LOX	NA	7791	0.04305458813905716	0.24677974	No	
row_90	NNMT	NA	7856	0.04188460111618042	0.24568874	No	
row_91	LRP1	NA	7872	0.041769176721572876	0.2469539	No	
row_92	VEGFC	NA	7885	0.04158365726470947	0.24835484	No	
row_93	SCG2	NA	7943	0.04062845557928085	0.24754143	No	
row_94	PRSS2	NA	8199	0.03732831031084061	0.23702784	No	
row_95	COL7A1	NA	8219	0.037122879177331924	0.23787907	No	
row_96	COL4A1	NA	8304	0.03590107709169388	0.23553932	No	
row_97	TGFBI	NA	8335	0.03542603179812431	0.2357796	No	
row_98	MGP	NA	8429	0.03414275497198105	0.23292238	No	
row_99	COL3A1	NA	8431	0.034066811203956604	0.2344957	No	
row_100	FAP	NA	8580	0.03220156952738762	0.22889522	No	
row_101	CALD1	NA	8622	0.0316087082028389	0.22842363	No	
row_102	CAPG	NA	8707	0.0305878147482872	0.22583097	No	
row_103	OXTR	NA	8748	0.030025117099285126	0.22533222	No	
row_104	PDLIM4	NA	8866	0.02851838804781437	0.22105053	No	
