NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINA3	NA	249	0.30083948373794556	0.0038989503	Yes	
row_1	KLK11	NA	257	0.29963111877441406	0.01939781	Yes	
row_2	CAV1	NA	387	0.27360618114471436	0.027641105	Yes	
row_3	LLGL2	NA	420	0.2681849002838135	0.04027302	Yes	
row_4	FRK	NA	560	0.2505282461643219	0.046814613	Yes	
row_5	HMGCS2	NA	571	0.24961991608142853	0.059525665	Yes	
row_6	RPS6KA2	NA	597	0.24690383672714233	0.07137021	Yes	
row_7	AREG	NA	609	0.24516494572162628	0.083797604	Yes	
row_8	S100A9	NA	716	0.23424069583415985	0.09106887	Yes	
row_9	AGR2	NA	742	0.2321585714817047	0.102134086	Yes	
row_10	GAL	NA	857	0.22174127399921417	0.10835916	Yes	
row_11	SERPINA1	NA	917	0.21830089390277863	0.11705325	Yes	
row_12	CXCL14	NA	948	0.21587814390659332	0.12701702	Yes	
row_13	CD9	NA	965	0.2143372744321823	0.1375741	Yes	
row_14	IL17RB	NA	1008	0.21202586591243744	0.1467559	Yes	
row_15	TPBG	NA	1188	0.20104935765266418	0.14875452	Yes	
row_16	LARGE1	NA	1357	0.19260051846504211	0.15083677	Yes	
row_17	PLAAT3	NA	1452	0.18759332597255707	0.15622097	Yes	
row_18	EMP2	NA	1708	0.17689619958400726	0.15328003	Yes	
row_19	FARP1	NA	1838	0.17222917079925537	0.1561653	Yes	
row_20	RAB31	NA	1913	0.1688588410615921	0.1615233	Yes	
row_21	CCND1	NA	1920	0.16865508258342743	0.17014796	Yes	
row_22	CXCL12	NA	2082	0.16256362199783325	0.17098005	Yes	
row_23	EGR3	NA	2340	0.15401841700077057	0.16673358	Yes	
row_24	ASCL1	NA	2412	0.1519782990217209	0.17134398	Yes	
row_25	LAMC2	NA	2428	0.1513148546218872	0.17861839	Yes	
row_26	ST14	NA	2564	0.14634442329406738	0.17984639	Yes	
row_27	TFF3	NA	2579	0.1457650363445282	0.18687567	Yes	
row_28	DYNLT3	NA	2581	0.14575712382793427	0.1945311	Yes	
