NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EFNA5	NA	783	0.22810107469558716	-0.020308457	No	
row_1	MARCKS	NA	986	0.21311809122562408	-0.013759127	No	
row_2	CCND1	NA	1920	0.16865508258342743	-0.045839705	No	
row_3	CKS2	NA	2307	0.1550012081861496	-0.052599642	No	
row_4	E2F4	NA	2310	0.15484794974327087	-0.040863484	No	
row_5	MEIS2	NA	2593	0.1454729288816452	-0.043338988	No	
row_6	TROAP	NA	2783	0.14027924835681915	-0.041729	No	
row_7	HOXC10	NA	2892	0.13689106702804565	-0.036473922	No	
row_8	MT2A	NA	3702	0.11740663647651672	-0.06649412	No	
row_9	H2BC12	NA	3841	0.11415370553731918	-0.06442242	No	
row_10	EGF	NA	3974	0.1108226627111435	-0.06231608	No	
row_11	PTTG3P	NA	4024	0.10981704294681549	-0.05628619	No	
row_12	CHMP1A	NA	4591	0.09736001491546631	-0.076126255	No	
row_13	DTYMK	NA	4618	0.09673736244440079	-0.069987305	No	
row_14	CENPA	NA	5477	0.07987171411514282	-0.105237365	No	
row_15	ORC6	NA	5518	0.07892624288797379	-0.10113419	No	
row_16	H2AX	NA	5907	0.07223571091890335	-0.114314966	No	
row_17	HUS1	NA	6058	0.06988473236560822	-0.11620441	No	
row_18	KIF22	NA	6219	0.06700198352336884	-0.1187961	No	
row_19	CKS1B	NA	6447	0.06341849267482758	-0.12489086	No	
row_20	NEK2	NA	6535	0.062166810035705566	-0.12433362	No	
row_21	PTTG1	NA	6604	0.06114409863948822	-0.122938775	No	
row_22	STMN1	NA	6612	0.061031732708215714	-0.118612476	No	
row_23	SMAD3	NA	6703	0.059447549283504486	-0.11840762	No	
row_24	KIF20B	NA	6705	0.05941499024629593	-0.11391568	No	
row_25	CCNF	NA	6782	0.058168765157461166	-0.11313377	No	
row_26	NUSAP1	NA	6857	0.057055920362472534	-0.11234051	No	
row_27	CDKN2C	NA	6887	0.05659366026520729	-0.10941368	No	
row_28	BIRC5	NA	6915	0.05609004944562912	-0.10642895	No	
row_29	UBE2S	NA	7118	0.052969347685575485	-0.11211723	No	
row_30	MAD2L1	NA	7288	0.05057010427117348	-0.11639833	No	
row_31	SQLE	NA	7337	0.04988093674182892	-0.1149002	No	
row_32	TTK	NA	7433	0.04860292747616768	-0.11576501	No	
row_33	PRC1	NA	7437	0.04854752868413925	-0.112199895	No	
row_34	RASAL2	NA	7439	0.04853229597210884	-0.108539544	No	
row_35	KMT5A	NA	7595	0.046024810522794724	-0.1124932	No	
row_36	BUB1	NA	7726	0.044062040746212006	-0.11539191	No	
row_37	SUV39H1	NA	7732	0.043971914798021317	-0.11227282	No	
row_38	CCNB2	NA	7898	0.04144260659813881	-0.117058605	No	
row_39	CCNA2	NA	7985	0.04020388424396515	-0.118131444	No	
row_40	PLK1	NA	8217	0.037148796021938324	-0.12642635	No	
row_41	CDKN3	NA	8241	0.036872152239084244	-0.12471735	No	
row_42	CDC25A	NA	8313	0.0357443168759346	-0.125408	No	
row_43	CDC20	NA	8337	0.03541022166609764	-0.1238107	No	
row_44	PBK	NA	8441	0.03393644466996193	-0.12618181	No	
row_45	SNRPD1	NA	8498	0.033211469650268555	-0.12634304	No	
row_46	AMD1	NA	8528	0.032961681485176086	-0.12522204	No	
row_47	CDK1	NA	8536	0.032778434455394745	-0.12305469	No	
row_48	PLK4	NA	8568	0.03241312876343727	-0.12207199	No	
row_49	HSPA8	NA	8662	0.031126433983445168	-0.124175854	No	
row_50	TLE3	NA	8768	0.02977980114519596	-0.126961	No	
row_51	CDK4	NA	8875	0.028430934995412827	-0.1298974	No	
row_52	KIF4A	NA	9173	0.024561196565628052	-0.1423352	No	
row_53	AURKA	NA	9251	0.023615991696715355	-0.14424181	No	
row_54	TPX2	NA	9556	0.01936531998217106	-0.15741405	No	
row_55	HMGB3	NA	9606	0.018708180636167526	-0.15834616	No	
row_56	DBF4	NA	9864	0.015477544628083706	-0.1695502	No	
row_57	E2F1	NA	9954	0.014486986212432384	-0.17273276	No	
row_58	TACC3	NA	10086	0.013033744879066944	-0.17805065	No	
row_59	H2AZ1	NA	10134	0.012544074095785618	-0.17935738	No	
row_60	H2AZ2	NA	10203	0.011538691818714142	-0.1817531	No	
row_61	UBE2C	NA	10242	0.011100644245743752	-0.18273635	No	
row_62	TGFB1	NA	10340	0.009884435683488846	-0.18665619	No	
row_63	HMMR	NA	10353	0.009664934128522873	-0.18649602	No	
row_64	TMPO	NA	10418	0.009062631987035275	-0.18888815	No	
row_65	E2F2	NA	10574	0.006856036372482777	-0.19583485	No	
row_66	CDC45	NA	10672	0.00580122135579586	-0.2000667	No	
row_67	KPNA2	NA	10692	0.0056472294963896275	-0.20055093	No	
row_68	SAP30	NA	10743	0.00510728545486927	-0.20257053	No	
row_69	MEIS1	NA	10785	0.004640653729438782	-0.20419201	No	
row_70	PRIM2	NA	10831	0.0041146487928926945	-0.20604648	No	
row_71	DDX39A	NA	10839	0.003992908634245396	-0.20607875	No	
row_72	SRSF2	NA	11030	0.0015768486773595214	-0.21511576	No	
row_73	RAD21	NA	11081	0.001055845059454441	-0.21744496	No	
row_74	AURKB	NA	11244	-9.357730741612613E-4	-0.22518143	No	
row_75	CDKN1B	NA	11307	-0.0017104545840993524	-0.22803897	No	
row_76	FBXO5	NA	11354	-0.002363699022680521	-0.23007542	No	
row_77	CUL1	NA	11419	-0.0030367965810000896	-0.23292801	No	
row_78	EXO1	NA	11460	-0.0035143746063113213	-0.23458736	No	
row_79	NASP	NA	11493	-0.0038431447464972734	-0.235836	No	
row_80	HMGN2	NA	11496	-0.003876135917380452	-0.2356362	No	
row_81	MYBL2	NA	11554	-0.0045632547698915005	-0.23803477	No	
row_82	LBR	NA	11775	-0.007336895447224379	-0.24807756	No	
row_83	POLQ	NA	11889	-0.008666353300213814	-0.25286162	No	
row_84	KIF11	NA	11935	-0.009128059260547161	-0.254333	No	
row_85	JPT1	NA	11944	-0.009245789609849453	-0.25401208	No	
row_86	TRA2B	NA	11962	-0.00945227313786745	-0.25410914	No	
row_87	DR1	NA	11973	-0.009592795744538307	-0.2538581	No	
row_88	KIF15	NA	11974	-0.009594756178557873	-0.25312492	No	
row_89	TENT4A	NA	12129	-0.01123916544020176	-0.2596885	No	
row_90	TOP2A	NA	12210	-0.012297900393605232	-0.26260456	No	
row_91	ESPL1	NA	12217	-0.012320403009653091	-0.26195228	No	
row_92	KIF5B	NA	12324	-0.013767782598733902	-0.26600915	No	
row_93	CBX1	NA	12333	-0.013874761760234833	-0.26533452	No	
row_94	TFDP1	NA	12513	-0.015889404341578484	-0.27274767	No	
row_95	NCL	NA	12528	-0.01601121760904789	-0.27219898	No	
row_96	MTF2	NA	12580	-0.016599586233496666	-0.2733886	No	
row_97	KIF2C	NA	12581	-0.016634492203593254	-0.2721175	No	
row_98	NDC80	NA	12756	-0.018837951123714447	-0.27906436	No	
row_99	GINS2	NA	12929	-0.021097686141729355	-0.28574213	No	
row_100	CTCF	NA	12944	-0.021309660747647285	-0.28478855	No	
row_101	RAD54L	NA	13020	-0.022323109209537506	-0.28669757	No	
row_102	CENPE	NA	13158	-0.023997841402888298	-0.29146683	No	
row_103	CUL5	NA	13336	-0.02606539987027645	-0.29800603	No	
row_104	YTHDC1	NA	13406	-0.026939118281006813	-0.2992731	No	
row_105	CDC25B	NA	13541	-0.028450239449739456	-0.30355757	No	
row_106	CHEK1	NA	13589	-0.029103869572281837	-0.3035989	No	
row_107	ODF2	NA	13590	-0.02912691794335842	-0.3013732	No	
row_108	RACGAP1	NA	13616	-0.02955603040754795	-0.30031964	No	
row_109	CUL3	NA	13824	-0.03236384689807892	-0.30782345	No	
row_110	MCM3	NA	13999	-0.03451259434223175	-0.31357256	No	
row_111	BUB3	NA	14046	-0.03527918457984924	-0.3130938	No	
row_112	NSD2	NA	14136	-0.03644737973809242	-0.3145983	No	
row_113	TRAIP	NA	14283	-0.03849201649427414	-0.3186938	Yes	
row_114	CDC27	NA	14293	-0.03862006962299347	-0.31617644	Yes	
row_115	DKC1	NA	14305	-0.038847245275974274	-0.31373814	Yes	
row_116	ODC1	NA	14369	-0.039754245430231094	-0.3137368	Yes	
row_117	POLA2	NA	14390	-0.04003344103693962	-0.31164163	Yes	
row_118	FANCC	NA	14446	-0.040804650634527206	-0.31117445	Yes	
