NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DSC2	NA	451	0.2639395296573639	-0.005748182	No	
row_1	ELF3	NA	667	0.23925794661045074	-0.0016169274	No	
row_2	ALDOB	NA	770	0.22918102145195007	0.007350198	No	
row_3	SDC3	NA	849	0.22223153710365295	0.017053077	No	
row_4	TPBG	NA	1188	0.20104935765266418	0.012941461	No	
row_5	KDELR3	NA	1304	0.19550497829914093	0.019242002	No	
row_6	IGFBP3	NA	1336	0.194008469581604	0.029500471	No	
row_7	SDC1	NA	1417	0.1896761804819107	0.03713483	No	
row_8	TGFA	NA	1441	0.1883610337972641	0.04743677	No	
row_9	SOX9	NA	1615	0.18013685941696167	0.050010897	No	
row_10	EGFR	NA	1919	0.1686803549528122	0.045625348	No	
row_11	TFF3	NA	2579	0.1457650363445282	0.022693364	No	
row_12	GPC3	NA	2764	0.140879288315773	0.022359185	No	
row_13	B3GAT1	NA	2975	0.13471458852291107	0.020398429	No	
row_14	B4GALT2	NA	3594	0.11994415521621704	-0.0021216322	No	
row_15	IER3	NA	3670	0.11825884878635406	0.0014274121	No	
row_16	CHPF	NA	3789	0.11521753668785095	0.002719732	No	
row_17	CHST4	NA	4006	0.11005759984254837	-0.001023872	No	
row_18	GFUS	NA	4272	0.10410301387310028	-0.0074898647	No	
row_19	GLRX	NA	4703	0.09506753832101822	-0.02245578	No	
row_20	NSDHL	NA	5079	0.08733296394348145	-0.03523938	No	
row_21	PLOD2	NA	5316	0.08294285833835602	-0.04158948	No	
row_22	CENPA	NA	5477	0.07987171411514282	-0.04446262	No	
row_23	BIK	NA	5579	0.07794740051031113	-0.044608686	No	
row_24	CHST12	NA	5707	0.07572334259748459	-0.04614261	No	
row_25	COL5A1	NA	5793	0.07441264390945435	-0.045731645	No	
row_26	CYB5A	NA	6189	0.06753354519605637	-0.060678594	No	
row_27	DEPDC1	NA	6231	0.06674962490797043	-0.05861115	No	
row_28	MET	NA	6271	0.06620514392852783	-0.056480292	No	
row_29	PFKFB1	NA	6368	0.06470520794391632	-0.05718755	No	
row_30	EGLN3	NA	6502	0.06273358315229416	-0.05979755	No	
row_31	HS6ST2	NA	6605	0.06111079081892967	-0.061011735	No	
row_32	STMN1	NA	6612	0.061031732708215714	-0.057603758	No	
row_33	CAPN5	NA	6629	0.06067955493927002	-0.054699086	No	
row_34	IDH1	NA	6795	0.057942945510149	-0.05914161	No	
row_35	BPNT1	NA	6863	0.05700955167412758	-0.05891733	No	
row_36	FBP2	NA	6916	0.05608335882425308	-0.05802619	No	
row_37	IL13RA1	NA	6972	0.05523603782057762	-0.057330977	No	
row_38	ME1	NA	7211	0.05159154534339905	-0.06567667	No	
