NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HEY1	NA	435	0.26634302735328674	0.025772423	No	
row_1	OPHN1	NA	828	0.2245013415813446	0.046284467	No	
row_2	TLE1	NA	1116	0.2045351266860962	0.068326175	No	
row_3	UNC5C	NA	1280	0.1966131031513214	0.09491221	No	
row_4	ACHE	NA	1325	0.19444288313388824	0.12680927	No	
row_5	NRCAM	NA	1442	0.18827946484088898	0.15418556	No	
row_6	CELSR1	NA	1989	0.16607916355133057	0.15711746	No	
row_7	CRMP1	NA	2056	0.16337472200393677	0.18252978	No	
row_8	GLI1	NA	2136	0.16043876111507416	0.20680705	No	
row_9	NRP2	NA	3779	0.11543097347021103	0.14847228	No	
row_10	NRP1	NA	3891	0.11272641271352768	0.16287614	No	
row_11	PLG	NA	4489	0.09933330118656158	0.15169778	No	
row_12	NKX6-1	NA	5195	0.08502160012722015	0.13285233	No	
row_13	HEY2	NA	5691	0.07596315443515778	0.12246495	No	
row_14	SHH	NA	5904	0.07230716943740845	0.124971166	No	
row_15	THY1	NA	6996	0.0547981783747673	0.08238241	No	
row_16	RTN1	NA	7040	0.0541766993701458	0.08979974	No	
row_17	SCG2	NA	7943	0.04062845557928085	0.05377108	No	
row_18	L1CAM	NA	8509	0.03312264755368233	0.032545064	No	
row_19	TLE3	NA	8768	0.02977980114519596	0.025415074	No	
row_20	CNTFR	NA	9459	0.02065701223909855	-0.0039681625	No	
row_21	SLIT1	NA	12062	-0.010423373430967331	-0.12657166	No	
row_22	ETS2	NA	14447	-0.040823645889759064	-0.23343459	No	
row_23	DPYSL2	NA	14789	-0.04561878740787506	-0.24176392	No	
row_24	CDK6	NA	17212	-0.08512967824935913	-0.34269646	No	
row_25	PML	NA	17960	-0.10068769752979279	-0.3608109	Yes	
row_26	AMOT	NA	18109	-0.10440785437822342	-0.34963095	Yes	
row_27	ADGRG1	NA	18745	-0.12181605398654938	-0.35869503	Yes	
row_28	RASA1	NA	18853	-0.12473398447036743	-0.3420002	Yes	
row_29	LDB1	NA	19390	-0.14504270255565643	-0.34226862	Yes	
row_30	MYH9	NA	19397	-0.14562948048114777	-0.31709015	Yes	
row_31	NF1	NA	19583	-0.1559772938489914	-0.2986619	Yes	
row_32	PTCH1	NA	20836	-0.3636319637298584	-0.2949456	Yes	
row_33	VEGFA	NA	20903	-0.47315001487731934	-0.21536463	Yes	
row_34	CDK5R1	NA	20917	-0.5320614576339722	-0.12294775	Yes	
row_35	VLDLR	NA	20936	-0.7110340595245361	5.2594114E-4	Yes	
