NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	9	0.5522751808166504	0.028322525	No	
row_1	SERPINE1	NA	227	0.30544179677963257	0.03376767	No	
row_2	CP	NA	288	0.2935681939125061	0.046161566	No	
row_3	CAV1	NA	387	0.27360618114471436	0.055684563	No	
row_4	ALDOB	NA	770	0.22918102145195007	0.049206328	No	
row_5	KIF5A	NA	789	0.22775079309940338	0.060197484	No	
row_6	SDC3	NA	849	0.22223153710365295	0.068925165	No	
row_7	NDST1	NA	962	0.21465258300304413	0.07470375	No	
row_8	TPBG	NA	1188	0.20104935765266418	0.07432773	No	
row_9	KDELR3	NA	1304	0.19550497829914093	0.07896473	No	
row_10	TGM2	NA	1315	0.19491522014141083	0.088631764	No	
row_11	IGFBP3	NA	1336	0.194008469581604	0.0977696	No	
row_12	LARGE1	NA	1357	0.19260051846504211	0.10683413	No	
row_13	CAVIN1	NA	1662	0.1787182092666626	0.101487756	No	
row_14	IL6	NA	1673	0.17829039692878723	0.11028915	No	
row_15	EGFR	NA	1919	0.1686803549528122	0.10726376	No	
row_16	TNFAIP3	NA	2401	0.1522132009267807	0.09200636	No	
row_17	PPARGC1A	NA	2457	0.149872824549675	0.0971592	No	
row_18	PGF	NA	2566	0.146301731467247	0.09957163	No	
row_19	GCK	NA	2572	0.14597263932228088	0.10693126	No	
row_20	HAS1	NA	2597	0.14539934694766998	0.113345295	No	
row_21	BCAN	NA	2677	0.14314211905002594	0.11699094	No	
row_22	GPC3	NA	2764	0.140879288315773	0.120181374	No	
row_23	HMOX1	NA	2848	0.13813260197639465	0.12337338	No	
row_24	ERRFI1	NA	2941	0.13559764623641968	0.12599963	No	
row_25	SULT2B1	NA	3083	0.13198760151863098	0.12607622	No	
row_26	CHST3	NA	3274	0.12669618427753448	0.123515636	No	
row_27	IER3	NA	3670	0.11825884878635406	0.11063525	No	
row_28	MT2A	NA	3702	0.11740663647651672	0.11525435	No	
row_29	TES	NA	3703	0.1173953041434288	0.121366985	No	
row_30	PPP1R3C	NA	3921	0.1119346171617508	0.11673644	No	
row_31	PKLR	NA	4200	0.10579057037830353	0.10884595	No	
row_32	PCK1	NA	4246	0.1048344224691391	0.11213566	No	
row_33	MT1E	NA	4450	0.10005374252796173	0.10756127	No	
row_34	GLRX	NA	4703	0.09506753832101822	0.10036557	No	
row_35	CDKN1C	NA	5544	0.07850823551416397	0.06396757	No	
row_36	SLC2A5	NA	5665	0.07631459832191467	0.06215749	No	
row_37	COL5A1	NA	5793	0.07441264390945435	0.059910994	No	
row_38	S100A4	NA	5801	0.07430808991193771	0.063442744	No	
row_39	PKP1	NA	5857	0.07294705510139465	0.06459015	No	
row_40	DUSP1	NA	6384	0.06447572261095047	0.042595483	No	
row_41	AKAP12	NA	6443	0.06349699199199677	0.043106243	No	
row_42	F3	NA	6941	0.0556926503777504	0.022051977	No	
row_43	BGN	NA	6944	0.05566168949007988	0.02485382	No	
row_44	HS3ST1	NA	6954	0.055475588887929916	0.027308589	No	
row_45	STBD1	NA	7071	0.053639113903045654	0.024510613	No	
row_46	PYGM	NA	7503	0.047587282955646515	0.006215339	No	
row_47	JMJD6	NA	7698	0.04449175298213959	-8.183281E-4	No	
row_48	CAVIN3	NA	7722	0.04409466311335564	3.690871E-4	No	
row_49	LOX	NA	7791	0.04305458813905716	-6.665369E-4	No	
row_50	FOS	NA	7822	0.04261378198862076	1.0638866E-4	No	
row_51	BRS3	NA	7951	0.04055788740515709	-0.0039510806	No	
row_52	PRDX5	NA	8141	0.0378999263048172	-0.011086989	No	
row_53	STC1	NA	8158	0.037757545709609985	-0.009892157	No	
row_54	CCNG2	NA	8264	0.03651696816086769	-0.013051492	No	
row_55	P4HA2	NA	8287	0.03620238974690437	-0.012226821	No	
