NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	9	0.5522751808166504	0.06482114	Yes	
row_1	CSF2	NA	587	0.24817419052124023	0.06648421	Yes	
row_2	CD36	NA	618	0.24485523998737335	0.09397633	Yes	
row_3	CD9	NA	965	0.2143372744321823	0.102714784	Yes	
row_4	IL17RB	NA	1008	0.21202586591243744	0.12575279	Yes	
row_5	CSF2RB	NA	1014	0.21176433563232422	0.15053356	Yes	
row_6	PLA2G2A	NA	1042	0.20920662581920624	0.17395751	Yes	
row_7	IL6	NA	1673	0.17829039692878723	0.16482303	Yes	
row_8	CCL7	NA	1716	0.1765936017036438	0.18367465	Yes	
row_9	LTB	NA	1744	0.17576435208320618	0.20314732	Yes	
row_10	CXCL9	NA	1985	0.1662493795156479	0.21128534	Yes	
row_11	SOCS3	NA	2350	0.15360896289348602	0.21198575	Yes	
row_12	OSMR	NA	2472	0.1494278609752655	0.2238407	Yes	
row_13	CSF1	NA	2687	0.1428835242986679	0.23046434	Yes	
row_14	HMOX1	NA	2848	0.13813260197639465	0.23911521	Yes	
row_15	TNFRSF1B	NA	3275	0.126678928732872	0.23366173	Yes	
row_16	IL7	NA	3571	0.1204686313867569	0.23375414	Yes	
row_17	CCR1	NA	4124	0.10747557878494263	0.21999177	Yes	
row_18	LEPR	NA	4186	0.10613841563463211	0.22960815	Yes	
row_19	EBI3	NA	4296	0.10374481230974197	0.23664077	Yes	
row_20	ITGB3	NA	4298	0.10370153933763504	0.24884541	Yes	
row_21	REG1A	NA	4305	0.10347304493188858	0.26078337	Yes	
row_22	CSF3R	NA	4584	0.09748618304729462	0.25897527	Yes	
row_23	IL2RA	NA	4826	0.0924537405371666	0.25834623	Yes	
row_24	CXCL11	NA	4870	0.09152226895093918	0.26709855	Yes	
row_25	TNF	NA	6239	0.06668166816234589	0.20940022	No	
row_26	TNFRSF12A	NA	6715	0.059269119054079056	0.19363323	No	
row_27	IL13RA1	NA	6972	0.05523603782057762	0.18788779	No	
row_28	CSF2RA	NA	7079	0.053504228591918945	0.18912819	No	
row_29	CRLF2	NA	7573	0.04639704152941704	0.17097749	No	
row_30	STAT2	NA	7819	0.04262572526931763	0.16426942	No	
row_31	DNTT	NA	7873	0.04176228120923042	0.1666631	No	
row_32	PDGFC	NA	7958	0.04043898358941078	0.1674144	No	
row_33	IFNGR2	NA	8277	0.03631467744708061	0.1564613	No	
row_34	ACVRL1	NA	8690	0.030787182971835136	0.1403491	No	
row_35	TLR2	NA	8862	0.028563285246491432	0.1355268	No	
row_36	PIK3R5	NA	9298	0.022923264652490616	0.117382936	No	
row_37	MAP3K8	NA	9350	0.022293375805020332	0.117572196	No	
row_38	IL1B	NA	9447	0.020867053419351578	0.1154358	No	
row_39	CNTFR	NA	9459	0.02065701223909855	0.11734917	No	
row_40	CXCL10	NA	9539	0.019615966826677322	0.11587987	No	
row_41	PTPN2	NA	9841	0.01566763035953045	0.1033022	No	
row_42	CXCL13	NA	10069	0.013208161108195782	0.09398122	No	
row_43	PF4	NA	10312	0.010337606072425842	0.08360204	No	
row_44	TGFB1	NA	10340	0.009884435683488846	0.08347563	No	
row_45	CD14	NA	10436	0.008872045204043388	0.07996993	No	
row_46	IL10RB	NA	11142	2.565880713518709E-4	0.046205126	No	
row_47	INHBE	NA	11555	-0.004573476500809193	0.02699572	No	
row_48	A2M	NA	11710	-0.006654917728155851	0.020399816	No	
row_49	LTBR	NA	11829	-0.007963169366121292	0.015684195	No	
row_50	IRF1	NA	11927	-0.009057102724909782	0.012104487	No	
row_51	MYD88	NA	11985	-0.009725254029035568	0.010521177	No	
row_52	SOCS1	NA	12038	-0.010162862949073315	0.009229252	No	
row_53	FAS	NA	12370	-0.014272544533014297	-0.0049513425	No	
row_54	IL3RA	NA	12454	-0.015231536701321602	-0.0071304184	No	
row_55	PTPN11	NA	13371	-0.02648945339024067	-0.047910318	No	
row_56	IRF9	NA	13689	-0.030538614839315414	-0.05949793	No	
row_57	STAT1	NA	13735	-0.031185923144221306	-0.05797038	No	
row_58	IFNGR1	NA	13797	-0.03202425688505173	-0.057110757	No	
row_59	BAK1	NA	13935	-0.033791642636060715	-0.059685476	No	
row_60	IL1R1	NA	14237	-0.037872832268476486	-0.069639556	No	
row_61	IL1R2	NA	14366	-0.039719462394714355	-0.07108246	No	
row_62	IL2RG	NA	14433	-0.040600165724754333	-0.06944925	No	
row_63	STAM2	NA	15259	-0.05234609916806221	-0.102811925	No	
row_64	TNFRSF1A	NA	16418	-0.07054167240858078	-0.14998755	No	
row_65	TYK2	NA	16580	-0.07340101897716522	-0.1490328	No	
row_66	HAX1	NA	17011	-0.08135253936052322	-0.16003345	No	
row_67	GRB2	NA	17328	-0.08719233423471451	-0.16487935	No	
row_68	STAT3	NA	17422	-0.08898556232452393	-0.1588236	No	
row_69	PTPN1	NA	17455	-0.0894123837351799	-0.14979328	No	
row_70	PIM1	NA	17550	-0.09149809181690216	-0.14348859	No	
row_71	IL4R	NA	17980	-0.10094889998435974	-0.15212592	No	
row_72	CXCL3	NA	18353	-0.11082111299037933	-0.15686448	No	
row_73	TNFRSF21	NA	18354	-0.11082962155342102	-0.14376971	No	
row_74	IL12RB1	NA	18383	-0.11156085878610611	-0.13193077	No	
row_75	ITGA4	NA	18599	-0.11776513606309891	-0.12832285	No	
row_76	ACVR1B	NA	18833	-0.1243227869272232	-0.12480301	No	
row_77	IL17RA	NA	19030	-0.13080856204032898	-0.118743196	No	
row_78	CBL	NA	19253	-0.13961341977119446	-0.112889424	No	
row_79	CXCL1	NA	19327	-0.1428518295288086	-0.099510506	No	
row_80	IFNAR1	NA	19376	-0.14470840990543365	-0.084713824	No	
row_81	IL15RA	NA	19713	-0.16344289481639862	-0.081509285	No	
row_82	IL6ST	NA	20055	-0.18577277660369873	-0.075906105	No	
row_83	CD38	NA	20168	-0.1948152631521225	-0.058257107	No	
row_84	IL9R	NA	20438	-0.22764737904071808	-0.04425493	No	
row_85	CD44	NA	20660	-0.27489691972732544	-0.022369163	No	
row_86	IL18R1	NA	20743	-0.3053603172302246	0.009779072	No	
