NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEFV	NA	20	0.5004908442497253	0.022341019	Yes	
row_1	EREG	NA	204	0.3133411109447479	0.028111376	Yes	
row_2	SERPINE1	NA	227	0.30544179677963257	0.041273694	Yes	
row_3	RNF144B	NA	232	0.3042345941066742	0.05524735	Yes	
row_4	CXCL8	NA	250	0.30069801211357117	0.06842976	Yes	
row_5	TNFAIP6	NA	304	0.291169136762619	0.07943337	Yes	
row_6	SGMS2	NA	410	0.2698848247528076	0.08693961	Yes	
row_7	TNFSF15	NA	419	0.2682744860649109	0.09904603	Yes	
row_8	RIPK2	NA	932	0.21734526753425598	0.084489465	Yes	
row_9	AQP9	NA	978	0.21338322758674622	0.092256606	Yes	
row_10	TPBG	NA	1188	0.20104935765266418	0.09154505	Yes	
row_11	GPR183	NA	1344	0.1933288276195526	0.09307666	Yes	
row_12	MEP1A	NA	1431	0.18895891308784485	0.097730406	Yes	
row_13	KCNJ2	NA	1496	0.1854114979505539	0.103279315	Yes	
row_14	STAB1	NA	1601	0.18073077499866486	0.10668237	Yes	
row_15	GP1BA	NA	1603	0.18069693446159363	0.115048185	Yes	
row_16	OLR1	NA	1639	0.1794063299894333	0.12171519	Yes	
row_17	IL6	NA	1673	0.17829039692878723	0.12842663	Yes	
row_18	CCL7	NA	1716	0.1765936017036438	0.13462529	Yes	
row_19	NFKBIA	NA	1777	0.17445312440395355	0.13985671	Yes	
row_20	IRAK2	NA	1789	0.17409278452396393	0.14743304	Yes	
row_21	CXCL9	NA	1985	0.1662493795156479	0.14577581	Yes	
row_22	IL12B	NA	1987	0.16610993444919586	0.1534624	Yes	
row_23	OPRK1	NA	2045	0.16384004056453705	0.15834422	Yes	
row_24	PDPN	NA	2153	0.1599111706018448	0.16063324	Yes	
row_25	CCL5	NA	2458	0.14986258745193481	0.15295947	Yes	
row_26	OSMR	NA	2472	0.1494278609752655	0.15929088	Yes	
row_27	EMP3	NA	2492	0.14884606003761292	0.16530603	Yes	
row_28	IL18RAP	NA	2512	0.1482672244310379	0.17129423	Yes	
row_29	ABCA1	NA	2533	0.14775288105010986	0.17721029	Yes	
row_30	CSF1	NA	2687	0.1428835242986679	0.17648934	Yes	
row_31	CD70	NA	2753	0.14130933582782745	0.17993647	Yes	
row_32	KCNMB2	NA	2754	0.14128804206848145	0.18651544	Yes	
row_33	GPC3	NA	2764	0.140879288315773	0.19264159	Yes	
row_34	NLRP3	NA	2787	0.14019730687141418	0.19810943	Yes	
row_35	PVR	NA	2855	0.13786031305789948	0.20129956	Yes	
row_36	CCL20	NA	2989	0.13441042602062225	0.20114802	Yes	
row_37	CMKLR1	NA	3020	0.1334996074438095	0.2059184	Yes	
row_38	ITGB8	NA	3128	0.1308818757534027	0.20685568	Yes	
row_39	IL10RA	NA	3250	0.12765997648239136	0.20696819	Yes	
row_40	TNFRSF1B	NA	3275	0.126678928732872	0.21171016	Yes	
row_41	CCL17	NA	3345	0.1251235008239746	0.21421082	Yes	
row_42	P2RY2	NA	3556	0.1206636056303978	0.20970796	Yes	
row_43	ACVR2A	NA	3616	0.11954566091299057	0.21243086	Yes	
row_44	HBEGF	NA	3636	0.11898303776979446	0.21705547	Yes	
row_45	GABBR1	NA	3706	0.11731809377670288	0.21919267	Yes	
row_46	PROK2	NA	3720	0.11712382733821869	0.22401989	Yes	
row_47	CYBB	NA	3849	0.11394153535366058	0.22315621	Yes	
row_48	CXCR6	NA	3888	0.11283699423074722	0.22657888	Yes	
row_49	INHBA	NA	4164	0.10674630850553513	0.21829516	Yes	
row_50	PTAFR	NA	4184	0.10616093128919601	0.2223227	Yes	
row_51	EBI3	NA	4296	0.10374481230974197	0.22180359	Yes	
row_52	ITGB3	NA	4298	0.10370153933763504	0.22658417	Yes	
row_53	LDLR	NA	4396	0.10139413923025131	0.22663036	Yes	
row_54	NPFFR2	NA	4497	0.09907101839780807	0.22642379	Yes	
row_55	CSF3R	NA	4584	0.09748618304729462	0.22681817	Yes	
row_56	CXCL11	NA	4870	0.09152226895093918	0.21734357	Yes	
row_57	BST2	NA	4889	0.09126905351877213	0.2207259	Yes	
row_58	CD40	NA	4953	0.09006849676370621	0.22188343	Yes	
row_59	CXCL6	NA	5021	0.08841829001903534	0.22277133	Yes	
row_60	VIP	NA	5067	0.0875856801867485	0.2246808	Yes	
row_61	TACR3	NA	5139	0.08618045598268509	0.22527172	Yes	
row_62	CALCRL	NA	5175	0.08564165234565735	0.22757263	Yes	
row_63	AXL	NA	5246	0.08412518352270126	0.22811605	Yes	
row_64	MARCO	NA	5353	0.08223894983530045	0.2268365	Yes	
row_65	SLC31A2	NA	5368	0.08194130659103394	0.22997728	Yes	
row_66	BEST1	NA	5439	0.08064965903759003	0.23035885	Yes	
row_67	ICOSLG	NA	5515	0.07895016670227051	0.23042029	Yes	
row_68	IL18	NA	5750	0.07504013180732727	0.22263628	No	
row_69	ROS1	NA	5772	0.07470054924488068	0.22510251	No	
row_70	SELENOS	NA	5794	0.07439584285020828	0.22755454	No	
row_71	LPAR1	NA	5819	0.07385335117578506	0.22983673	No	
row_72	HRH1	NA	6141	0.06856271624565125	0.21755794	No	
row_73	RGS16	NA	6185	0.06765516847372055	0.21863575	No	
row_74	MET	NA	6271	0.06620514392852783	0.21762177	No	
row_75	CX3CL1	NA	6432	0.06366837024688721	0.21287484	No	
row_76	PDE4B	NA	6455	0.06334604322910309	0.21476416	No	
row_77	TACR1	NA	6459	0.06332020461559296	0.21756802	No	
row_78	SPHK1	NA	6466	0.06324547529220581	0.22022381	No	
row_79	SLC1A2	NA	6597	0.06118941679596901	0.2168074	No	
row_80	PTGIR	NA	6678	0.059862494468688965	0.21573906	No	
row_81	RTP4	NA	6709	0.0593673475086689	0.21705753	No	
row_82	IL1A	NA	6721	0.05915948748588562	0.21928206	No	
row_83	MMP14	NA	6918	0.05606326833367348	0.21244591	No	
row_84	F3	NA	6941	0.0556926503777504	0.21397886	No	
row_85	CD48	NA	7045	0.05413743481040001	0.2115354	No	
row_86	SCN1B	NA	7214	0.05152121186256409	0.20583726	No	
row_87	SLC7A2	NA	7417	0.04886525496840477	0.19837676	No	
row_88	APLNR	NA	7805	0.042903508991003036	0.18172213	No	
row_89	SCARF1	NA	7912	0.04124301299452782	0.17853366	No	
row_90	TNFRSF9	NA	7959	0.04043830186128616	0.17819956	No	
row_91	SELE	NA	8058	0.038988567888736725	0.17529167	No	
row_92	CLEC5A	NA	8060	0.03897556662559509	0.17705835	No	
row_93	CCL24	NA	8067	0.038859035819768906	0.1785786	No	
row_94	FPR1	NA	8128	0.03805600851774216	0.17745881	No	
row_95	RASGRP1	NA	8212	0.037193309515714645	0.1751903	No	
row_96	NMI	NA	8220	0.03709997236728668	0.17658044	No	
row_97	NDP	NA	8246	0.03681674972176552	0.17708986	No	
row_98	GPR132	NA	8253	0.03667665645480156	0.17850849	No	
row_99	IFNGR2	NA	8277	0.03631467744708061	0.17909092	No	
row_100	BTG2	NA	8296	0.036017853766679764	0.17990051	No	
row_101	AHR	NA	8376	0.034893400967121124	0.1777177	No	
row_102	IL10	NA	8430	0.03411644697189331	0.17675184	No	
row_103	CCL2	NA	8504	0.03318198025226593	0.17477852	No	
row_104	PCDH7	NA	8780	0.029635654762387276	0.16290419	No	
row_105	TLR2	NA	8862	0.028563285246491432	0.16033022	No	
row_106	EDN1	NA	8976	0.02706705778837204	0.15614428	No	
row_107	TLR1	NA	9013	0.02659117989242077	0.15564737	No	
row_108	CDKN1A	NA	9277	0.023274747654795647	0.14405522	No	
row_109	PIK3R5	NA	9298	0.022923264652490616	0.14415868	No	
row_110	IL1B	NA	9447	0.020867053419351578	0.13799712	No	
row_111	CXCL10	NA	9539	0.019615966826677322	0.13452455	No	
row_112	RAF1	NA	9709	0.017506280913949013	0.12719436	No	
row_113	HPN	NA	9857	0.015504498034715652	0.12083129	No	
row_114	LCK	NA	10138	0.012463332153856754	0.107916355	No	
row_115	LAMP3	NA	10160	0.012241204269230366	0.107474215	No	
row_116	PTGER4	NA	10341	0.009867089800536633	0.09925813	No	
row_117	CD69	NA	10369	0.009519025683403015	0.09840005	No	
row_118	TNFSF9	NA	10387	0.009401661343872547	0.098018475	No	
row_119	CD14	NA	10436	0.008872045204043388	0.096118115	No	
row_120	C3AR1	NA	10480	0.008322952315211296	0.09443318	No	
row_121	CD82	NA	10529	0.0076683443039655685	0.09247677	No	
row_122	SLC11A2	NA	10749	0.005066621117293835	0.08215746	No	
row_123	HAS2	NA	10972	0.002413060050457716	0.07157	No	
row_124	NOD2	NA	11082	0.0010456076124683022	0.06636517	No	
row_125	IFITM1	NA	11093	8.604068425484002E-4	0.06592326	No	
row_126	PTPRE	NA	11286	-0.0013932051369920373	0.056734227	No	
row_127	BDKRB1	NA	11409	-0.002935108495876193	0.050990812	No	
row_128	ADGRE1	NA	11516	-0.0040333024226129055	0.046069697	No	
row_129	ADRM1	NA	11789	-0.007499368395656347	0.0333092	No	
row_130	SELL	NA	11796	-0.0075936270877718925	0.033373605	No	
row_131	SRI	NA	11830	-0.007979685440659523	0.03215466	No	
row_132	GNA15	NA	11886	-0.008640154264867306	0.029906124	No	
row_133	IRF1	NA	11927	-0.009057102724909782	0.028399965	No	
row_134	GNAI3	NA	12023	-0.010061182081699371	0.024289701	No	
row_135	RHOG	NA	12475	-0.015439952723681927	0.0032716156	No	
row_136	P2RX4	NA	12752	-0.018757987767457962	-0.00915742	No	
row_137	EIF2AK2	NA	13549	-0.02855253964662552	-0.046193037	No	
row_138	CSF3	NA	13770	-0.03173032030463219	-0.05531897	No	
row_139	ITGA5	NA	13813	-0.032183706760406494	-0.055844653	No	
row_140	CHST2	NA	13943	-0.033860333263874054	-0.06048544	No	
row_141	TAPBP	NA	14178	-0.03708798810839653	-0.070036665	No	
row_142	IL1R1	NA	14237	-0.037872832268476486	-0.07106859	No	
row_143	NAMPT	NA	14946	-0.047789398580789566	-0.10296709	No	
row_144	IL15	NA	15030	-0.048829201608896255	-0.10469378	No	
row_145	GCH1	NA	15155	-0.0508936271071434	-0.10830044	No	
row_146	ATP2C1	NA	15345	-0.053493861109018326	-0.11491885	No	
row_147	ABI1	NA	15356	-0.053608790040016174	-0.11290457	No	
row_148	PLAUR	NA	15499	-0.05560264363884926	-0.11715951	No	
row_149	NFKB1	NA	15544	-0.05638217180967331	-0.116654806	No	
row_150	C5AR1	NA	15714	-0.05907329544425011	-0.122049466	No	
row_151	TNFSF10	NA	15794	-0.06053338944911957	-0.123038374	No	
