NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TENT5A	NA	271	0.2960405945777893	0.027216036	No	
row_1	RIPK2	NA	932	0.21734526753425598	0.025086226	No	
row_2	HERC6	NA	1005	0.21212610602378845	0.05044755	No	
row_3	CD74	NA	1447	0.18794025480747223	0.054826565	No	
row_4	GBP4	NA	2634	0.14425398409366608	0.017541707	No	
row_5	CSF1	NA	2687	0.1428835242986679	0.03445657	No	
row_6	C1S	NA	2906	0.13657332956790924	0.042553034	No	
row_7	IL7	NA	3571	0.1204686313867569	0.027072033	No	
row_8	IFI27	NA	4042	0.1091718003153801	0.019360626	No	
row_9	CXCL11	NA	4870	0.09152226895093918	-0.007869706	No	
row_10	BST2	NA	4889	0.09126905351877213	0.003664664	No	
row_11	TAP1	NA	5315	0.08294371515512466	-0.005451295	No	
row_12	GBP2	NA	5396	0.08132119476795197	0.001758317	No	
row_13	CASP8	NA	5404	0.0812368094921112	0.012457497	No	
row_14	IFIT3	NA	6296	0.06580062210559845	-0.02133616	No	
row_15	IFI44L	NA	6322	0.06541018187999725	-0.013650076	No	
row_16	PROCR	NA	6349	0.06503404676914215	-0.006063044	No	
row_17	OASL	NA	6585	0.06138952821493149	-0.008994568	No	
row_18	RTP4	NA	6709	0.0593673475086689	-0.0068293344	No	
row_19	BATF2	NA	6758	0.05856708437204361	-0.0011758541	No	
row_20	B2M	NA	7243	0.051133811473846436	-0.01744235	No	
row_21	STAT2	NA	7819	0.04262572526931763	-0.03922885	No	
row_22	HLA-C	NA	7857	0.041882116347551346	-0.03531424	No	
row_23	IFITM3	NA	7982	0.04026956483721733	-0.035791133	No	
row_24	RSAD2	NA	8181	0.03750981017947197	-0.04019189	No	
row_25	NMI	NA	8220	0.03709997236728668	-0.03697483	No	
row_26	PSME1	NA	8952	0.027439570054411888	-0.06830581	No	
row_27	IFITM2	NA	9066	0.025918642058968544	-0.070204526	No	
row_28	PSMB8	NA	9481	0.020355237647891045	-0.08729471	No	
row_29	CXCL10	NA	9539	0.019615966826677322	-0.08736384	No	
row_30	IFI35	NA	9758	0.016921261325478554	-0.09552045	No	
row_31	CD47	NA	9926	0.014795729890465736	-0.10151986	No	
row_32	LAMP3	NA	10160	0.012241204269230366	-0.11103159	No	
row_33	ISG15	NA	10365	0.009575489908456802	-0.11951459	No	
row_34	CMPK2	NA	10482	0.008280782960355282	-0.123953044	No	
row_35	PSME2	NA	10657	0.005963034462183714	-0.13148798	No	
row_36	UBE2L6	NA	10992	0.002162934048101306	-0.14721258	No	
row_37	IFITM1	NA	11093	8.604068425484002E-4	-0.15189165	No	
row_38	PSMA3	NA	11164	3.581963028409518E-5	-0.15524393	No	
row_39	CMTR1	NA	11218	-5.987602053210139E-4	-0.15770444	No	
row_40	TRAFD1	NA	11313	-0.0018395051592960954	-0.16196275	No	
row_41	PARP9	NA	11707	-0.00658411206677556	-0.17991641	No	
row_42	OGFR	NA	11743	-0.006906689610332251	-0.1806568	No	
row_43	OAS1	NA	11768	-0.007247874513268471	-0.1808233	No	
row_44	SELL	NA	11796	-0.0075936270877718925	-0.18108672	No	
row_45	IRF1	NA	11927	-0.009057102724909782	-0.18609114	No	
row_46	LGALS3BP	NA	12961	-0.0214903112500906	-0.23271397	No	
row_47	PSMB9	NA	12987	-0.021928496658802032	-0.23093428	No	
row_48	SLC25A28	NA	13094	-0.023208484053611755	-0.23286541	No	
row_49	IFI44	NA	13457	-0.027602609246969223	-0.24647726	No	
row_50	EIF2AK2	NA	13549	-0.02855253964662552	-0.24696308	No	
row_51	TRIM21	NA	13666	-0.03020220436155796	-0.24842381	No	
row_52	IRF9	NA	13689	-0.030538614839315414	-0.24533068	No	
row_53	PARP14	NA	13783	-0.0318780243396759	-0.2454607	No	
row_54	NUB1	NA	14121	-0.036302193999290466	-0.25669184	No	
row_55	IRF2	NA	14181	-0.037161752581596375	-0.25447354	No	
row_56	UBA7	NA	14204	-0.03739045932888985	-0.25044966	No	
row_57	CNP	NA	14327	-0.03911232575774193	-0.25098783	No	
row_58	TRIM26	NA	14541	-0.042102888226509094	-0.25548407	No	
row_59	TRIM25	NA	14854	-0.046647362411022186	-0.26411098	No	
row_60	LPAR6	NA	14940	-0.04773177206516266	-0.26170385	No	
row_61	IFIH1	NA	14970	-0.048036884516477585	-0.2565695	No	
row_62	IL15	NA	15030	-0.048829201608896255	-0.25276634	No	
row_63	EPSTI1	NA	15095	-0.049779411405324936	-0.2490739	No	
row_64	PARP12	NA	15236	-0.05200723186135292	-0.24872373	No	
row_65	TMEM140	NA	15649	-0.057995863258838654	-0.26060504	No	
row_66	DHX58	NA	15777	-0.06018730252981186	-0.25852028	No	
row_67	CASP1	NA	15884	-0.06193065270781517	-0.25519153	No	
row_68	HELZ2	NA	16140	-0.06573230028152466	-0.25849235	No	
row_69	TRIM14	NA	16411	-0.07042864710092545	-0.26187462	No	
row_70	MVB12A	NA	16774	-0.07686122506856918	-0.26879534	No	
row_71	ADAR	NA	16900	-0.07904469221830368	-0.26405314	No	
row_72	IRF7	NA	17747	-0.09579529613256454	-0.29161426	Yes	
row_73	USP18	NA	17870	-0.09884124249219894	-0.28403908	Yes	
row_74	IL4R	NA	17980	-0.10094889998435974	-0.27555415	Yes	
row_75	PLSCR1	NA	18056	-0.10298959165811539	-0.2651614	Yes	
row_76	TDRD7	NA	18155	-0.1055985689163208	-0.2555173	Yes	
row_77	ELF1	NA	18201	-0.10691934823989868	-0.24315195	Yes	
row_78	LAP3	NA	18249	-0.10813659429550171	-0.23071718	Yes	
row_79	SAMD9	NA	18285	-0.10899399220943451	-0.21759044	Yes	
row_80	TRIM5	NA	18363	-0.11111357808113098	-0.20619006	Yes	
row_81	ISG20	NA	18374	-0.11132583767175674	-0.19154757	Yes	
row_82	SAMD9L	NA	18409	-0.11226367205381393	-0.17792873	Yes	
row_83	TXNIP	NA	18601	-0.11783599108457565	-0.17108257	Yes	
row_84	PNPT1	NA	18774	-0.12254304438829422	-0.1626858	Yes	
row_85	MOV10	NA	18860	-0.125016987323761	-0.14978051	Yes	
row_86	SP110	NA	19014	-0.13005568087100983	-0.13945203	Yes	
row_87	IFIT2	NA	19026	-0.13055674731731415	-0.12224526	Yes	
row_88	CCRL2	NA	19273	-0.1404513120651245	-0.11496489	Yes	
row_89	RNF31	NA	19322	-0.14262597262859344	-0.09789317	Yes	
row_90	WARS1	NA	19422	-0.14668571949005127	-0.08271592	Yes	
row_91	NCOA7	NA	19443	-0.1477271318435669	-0.06360842	Yes	
row_92	IFI30	NA	19483	-0.1498711109161377	-0.045120917	Yes	
row_93	DDX60	NA	19733	-0.16449491679668427	-0.034718435	Yes	
row_94	GMPR	NA	20296	-0.20779825747013092	-0.03344506	Yes	
row_95	LY6E	NA	20317	-0.2102130800485611	-0.0058497107	Yes	
row_96	MX1	NA	20621	-0.2651451528072357	0.01563491	Yes	
