NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EREG	NA	204	0.3133411109447479	0.005976544	Yes	
row_1	SERPINA3	NA	249	0.30083948373794556	0.019033937	Yes	
row_2	F13A1	NA	266	0.29713308811187744	0.03325386	Yes	
row_3	SPP1	NA	362	0.2776564359664917	0.042683546	Yes	
row_4	PRKG2	NA	386	0.2737139165401459	0.05538453	Yes	
row_5	RELN	NA	548	0.252239853143692	0.060350858	Yes	
row_6	CSF2	NA	587	0.24817419052124023	0.07104035	Yes	
row_7	CFB	NA	599	0.24625584483146667	0.08293437	Yes	
row_8	NR1H4	NA	647	0.2410915195941925	0.092832744	Yes	
row_9	NGF	NA	822	0.22498489916324615	0.09579743	Yes	
row_10	EMP1	NA	843	0.22282440960407257	0.10607551	Yes	
row_11	FGF9	NA	862	0.2214089334011078	0.116378576	Yes	
row_12	CCND2	NA	935	0.21683649718761444	0.12384828	Yes	
row_13	NR0B2	NA	1031	0.21002216637134552	0.12986566	Yes	
row_14	MALL	NA	1046	0.20898222923278809	0.13973455	Yes	
row_15	TRIB1	NA	1232	0.1987595558166504	0.14084592	Yes	
row_16	IGFBP3	NA	1336	0.194008469581604	0.14566979	Yes	
row_17	ENG	NA	1387	0.1910921335220337	0.15290098	Yes	
row_18	MPZL2	NA	1395	0.19067203998565674	0.16218346	Yes	
row_19	SOX9	NA	1615	0.18013685941696167	0.16071658	Yes	
row_20	TMEM176A	NA	1632	0.17955034971237183	0.16900416	Yes	
row_21	PLAU	NA	1725	0.17630714178085327	0.17346512	Yes	
row_22	GFPT2	NA	1774	0.17453061044216156	0.17995714	Yes	
row_23	H2BC3	NA	2057	0.16334766149520874	0.17460676	Yes	
row_24	TMEM100	NA	2173	0.15933358669281006	0.1771028	Yes	
row_25	GPNMB	NA	2317	0.15472151339054108	0.17801665	Yes	
row_26	TNFAIP3	NA	2401	0.1522132009267807	0.18169579	Yes	
row_27	ANXA10	NA	2506	0.1484481245279312	0.18417282	Yes	
row_28	PTPRR	NA	2578	0.14578893780708313	0.18810621	Yes	
row_29	ACE	NA	2596	0.14540322124958038	0.1946228	Yes	
row_30	ALDH1A3	NA	2825	0.1389864981174469	0.190646	Yes	
row_31	ETV4	NA	2960	0.1350037157535553	0.19099881	Yes	
row_32	CCL20	NA	2989	0.13441042602062225	0.19643061	Yes	
row_33	CMKLR1	NA	3020	0.1334996074438095	0.20172007	Yes	
row_34	PLEK2	NA	3105	0.13147671520709991	0.2043048	Yes	
row_35	IL10RA	NA	3250	0.12765997648239136	0.20380513	Yes	
row_36	TNFRSF1B	NA	3275	0.126678928732872	0.20903964	Yes	
row_37	SNAP25	NA	3627	0.11921794712543488	0.1981372	Yes	
row_38	HBEGF	NA	3636	0.11898303776979446	0.20375459	Yes	
row_39	PLAT	NA	3695	0.1176137626171112	0.20689304	Yes	
row_40	RBP4	NA	3846	0.11401437968015671	0.20541573	Yes	
row_41	VWA5A	NA	3868	0.11340956389904022	0.21012537	Yes	
row_42	CAB39L	NA	3879	0.11310689151287079	0.21534991	Yes	
row_43	NRP1	NA	3891	0.11272641271352768	0.22050706	Yes	
row_44	GNG11	NA	3903	0.11241824924945831	0.22564866	Yes	
row_45	TRAF1	NA	4013	0.11001531034708023	0.22594568	Yes	
row_46	CFHR2	NA	4044	0.10914784669876099	0.23000653	Yes	
row_47	ETV1	NA	4149	0.10709712654352188	0.23039731	Yes	
row_48	INHBA	NA	4164	0.10674630850553513	0.23510815	Yes	
row_49	TSPAN1	NA	4233	0.1050540879368782	0.23713095	Yes	
row_50	GPRC5B	NA	4299	0.10369040071964264	0.23922956	Yes	
row_51	PRRX1	NA	4404	0.1012524887919426	0.23932546	Yes	
row_52	PCSK1N	NA	4425	0.10058779269456863	0.24343641	Yes	
row_53	GLRX	NA	4703	0.09506753832101822	0.23488212	No	
row_54	PDCD1LG2	NA	5304	0.08308301866054535	0.2101554	No	
row_55	ADAMDEC1	NA	5319	0.08291860669851303	0.21366408	No	
row_56	SPRY2	NA	5369	0.08193867653608322	0.21543641	No	
row_57	SPARCL1	NA	5373	0.08181565999984741	0.21941961	No	
row_58	EPHB2	NA	5375	0.08180460333824158	0.22349866	No	
row_59	JUP	NA	5386	0.0815512165427208	0.22713114	No	
row_60	TNNT2	NA	5455	0.08047813177108765	0.22791404	No	
row_61	SLPI	NA	5799	0.07431380450725555	0.21513164	No	
row_62	APOD	NA	5906	0.07225169986486435	0.21366797	No	
row_63	LY96	NA	6157	0.06820971518754959	0.20505998	No	
row_64	RGS16	NA	6185	0.06765516847372055	0.207172	No	
row_65	SCG3	NA	6402	0.06416343152523041	0.19999857	No	
row_66	AKAP12	NA	6443	0.06349699199199677	0.20127425	No	
row_67	PCP4	NA	6448	0.06341662257909775	0.20428097	No	
row_68	LAT2	NA	6449	0.06340498477220535	0.20747991	No	
row_69	ALDH1A2	NA	6720	0.059187449514865875	0.19745275	No	
row_70	PPBP	NA	6926	0.05592573806643486	0.19039388	No	
row_71	IL33	NA	7059	0.05389760434627533	0.18675108	No	
row_72	CSF2RA	NA	7079	0.053504228591918945	0.18853475	No	
row_73	SNAP91	NA	7168	0.05236837640404701	0.18693548	No	
row_74	SCN1B	NA	7214	0.05152121186256409	0.18736598	No	
row_75	PIGR	NA	7294	0.05048317089676857	0.18610537	No	
row_76	TPH1	NA	7336	0.04990373179316521	0.18664704	No	
row_77	TMEM176B	NA	7354	0.049661364406347275	0.18833323	No	
row_78	FCER1G	NA	7472	0.04800564423203468	0.18511613	No	
row_79	PLVAP	NA	7482	0.047877658158540726	0.18709789	No	
row_80	ABCB1	NA	7586	0.046134691685438156	0.18446118	No	
row_81	BTC	NA	7787	0.04312264546751976	0.17699733	No	
row_82	KCNN4	NA	7823	0.042592938989400864	0.17745933	No	
row_83	BIRC3	NA	8069	0.038823869079351425	0.16760972	No	
row_84	MMD	NA	8161	0.037744902074337006	0.16512808	No	
row_85	CXCR4	NA	8359	0.03514913469552994	0.15740655	No	
row_86	CTSS	NA	8420	0.03424271568655968	0.15624234	No	
row_87	SPON1	NA	8438	0.033997975289821625	0.15713826	No	
row_88	NAP1L2	NA	8452	0.033800333738327026	0.158217	No	
row_89	TLR8	NA	8816	0.029150912538170815	0.14219207	No	
row_90	AKT2	NA	8839	0.028825215995311737	0.14258602	No	
row_91	BMP2	NA	9167	0.02466103620827198	0.12806968	No	
row_92	TSPAN13	NA	9339	0.022345740348100662	0.120955326	No	
row_93	PEG3	NA	9442	0.020950280129909515	0.11709618	No	
row_94	IL1B	NA	9447	0.020867053419351578	0.117956184	No	
row_95	PSMB8	NA	9481	0.020355237647891045	0.11739264	No	
row_96	CBX8	NA	9489	0.02024274691939354	0.11807655	No	
row_97	CXCL10	NA	9539	0.019615966826677322	0.11670455	No	
row_98	ADAM8	NA	9640	0.01834525726735592	0.11281037	No	
row_99	TFPI	NA	9671	0.017985831946134567	0.112271875	No	
row_100	MMP9	NA	9720	0.017385471612215042	0.11083554	No	
row_101	SATB1	NA	9827	0.015820274129509926	0.10652479	No	
row_102	KIF5C	NA	10123	0.012658958323299885	0.092945226	No	
row_103	PTGS2	NA	10164	0.012190451845526695	0.091632366	No	
row_104	ADGRL4	NA	10232	0.011224002577364445	0.08896942	No	
row_105	YRDC	NA	10352	0.009670907631516457	0.08372185	No	
row_106	C3AR1	NA	10480	0.008322952315211296	0.078020684	No	
row_107	ANO1	NA	10538	0.007462464272975922	0.07564993	No	
row_108	TSPAN7	NA	10852	0.0038189420010894537	0.060756814	No	
row_109	CPE	NA	10922	0.0029462582897394896	0.057579838	No	
row_110	G0S2	NA	10931	0.0028579826466739178	0.05733845	No	
row_111	ARG1	NA	11295	-0.0014982422580942512	0.039918378	No	
row_112	PRDM1	NA	11514	-0.004025306086987257	0.029614428	No	
row_113	IGF2	NA	11725	-0.00678285351023078	0.019835183	No	
row_114	EPB41L3	NA	11739	-0.006848588585853577	0.019554144	No	
row_115	PTBP2	NA	11748	-0.007003885228186846	0.019521927	No	
row_116	HSD11B1	NA	11824	-0.007905906066298485	0.016305994	No	
row_117	SCG5	NA	11919	-0.008980553597211838	0.012228527	No	
row_118	MMP10	NA	12141	-0.011381897144019604	0.002151142	No	
row_119	GALNT3	NA	12144	-0.011407130397856236	0.0026302647	No	
row_120	PPP1R15A	NA	12150	-0.01149602048099041	0.0029692797	No	
row_121	WNT7A	NA	12243	-0.012708034366369247	-8.2373165E-4	No	
row_122	ITGBL1	NA	12418	-0.014842728152871132	-0.00846123	No	
