NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSN	NA	368	0.2760896682739258	-5.26657E-4	No	
row_1	ARHGAP29	NA	615	0.2450171411037445	0.0028896828	No	
row_2	OPHN1	NA	828	0.2245013415813446	0.0066658715	No	
row_3	MARCKS	NA	986	0.21311809122562408	0.012383253	No	
row_4	DST	NA	1101	0.20551054179668427	0.019698832	No	
row_5	BCAR1	NA	1483	0.1860324889421463	0.012932221	No	
row_6	FARP1	NA	1838	0.17222917079925537	0.0066064945	No	
row_7	TRIO	NA	2011	0.16484209895133972	0.008591826	No	
row_8	FSCN1	NA	3531	0.12112174183130264	-0.057066794	No	
row_9	CYTH2	NA	3705	0.11734262108802795	-0.05809038	No	
row_10	CDC42EP2	NA	3855	0.11382056027650833	-0.058176823	No	
row_11	ARHGEF12	NA	3880	0.11309847235679626	-0.052283887	No	
row_12	VCL	NA	4234	0.10503771901130676	-0.06274957	No	
row_13	CDC42EP4	NA	4433	0.1004079282283783	-0.06603361	No	
row_14	KIF3B	NA	4602	0.09720819443464279	-0.06807123	No	
row_15	TUBD1	NA	4638	0.09627163410186768	-0.063757285	No	
row_16	CLIP2	NA	5683	0.07612235844135284	-0.10932813	No	
row_17	CAPZB	NA	6042	0.07003726065158844	-0.122216426	No	
row_18	DOCK4	NA	6069	0.06972669064998627	-0.11912332	No	
row_19	SHROOM1	NA	6150	0.06832853704690933	-0.11871989	No	
row_20	KIF22	NA	6219	0.06700198352336884	-0.117820814	No	
row_21	NEK2	NA	6535	0.062166810035705566	-0.12912731	No	
row_22	ARHGEF11	NA	6546	0.06203523278236389	-0.1257425	No	
row_23	CNTROB	NA	6655	0.06024479493498802	-0.12719241	No	
row_24	KPTN	NA	6676	0.05989813432097435	-0.12442275	No	
row_25	KIF20B	NA	6705	0.05941499024629593	-0.12206878	No	
row_26	NUSAP1	NA	6857	0.057055920362472534	-0.12578985	No	
