NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LSM2	NA	5383	0.08166579157114029	-0.2507491	No	
row_1	SNRPG	NA	6833	0.057423185557127	-0.31447145	No	
row_2	LSM7	NA	7002	0.05470186099410057	-0.31674275	No	
row_3	PRDX3	NA	7197	0.05176832526922226	-0.32057962	No	
row_4	UBE2L3	NA	7228	0.05126338452100754	-0.31656587	No	
row_5	PSMC4	NA	7260	0.05088498443365097	-0.3126406	No	
row_6	MAD2L1	NA	7288	0.05057010427117348	-0.3085561	No	
row_7	CYC1	NA	7295	0.05047406256198883	-0.3034697	No	
row_8	GLO1	NA	7380	0.04933023080229759	-0.3022645	No	
row_9	HSPE1	NA	7384	0.049312788993120193	-0.29715717	No	
row_10	PSMA4	NA	7974	0.04034101217985153	-0.32124904	No	
row_11	CCNA2	NA	7985	0.04020388424396515	-0.3174492	No	
row_12	PCNA	NA	8258	0.036564458161592484	-0.32666472	No	
row_13	TUFM	NA	8291	0.03612451255321503	-0.3243597	No	
row_14	CDC20	NA	8337	0.03541022166609764	-0.3227573	No	
row_15	SNRPD3	NA	8361	0.03512129932641983	-0.32012534	No	
row_16	SRSF3	NA	8406	0.03451446071267128	-0.31857017	No	
row_17	RPS3	NA	8439	0.03399503603577614	-0.31649193	No	
row_18	PRPF31	NA	8483	0.03337970748543739	-0.3150094	No	
row_19	SNRPD1	NA	8498	0.033211469650268555	-0.31214705	No	
row_20	EIF4E	NA	8613	0.0316920168697834	-0.3142663	No	
row_21	HDGF	NA	8751	0.0300002358853817	-0.31767425	No	
row_22	MRPL23	NA	8857	0.028583109378814697	-0.31969082	No	
row_23	CDK4	NA	8875	0.028430934995412827	-0.3174822	No	
row_24	POLD2	NA	8963	0.027280494570732117	-0.31876996	No	
row_25	STARD7	NA	9148	0.02500068210065365	-0.32497564	No	
row_26	PSMA2	NA	9204	0.024184927344322205	-0.32505074	No	
row_27	VDAC3	NA	9207	0.024153634905815125	-0.32257473	No	
row_28	PSMD8	NA	9274	0.023300571367144585	-0.3232742	No	
row_29	PSMC6	NA	9604	0.01871781423687935	-0.33713767	No	
row_30	TRIM28	NA	9650	0.01823282055556774	-0.3373647	No	
row_31	PRDX4	NA	9731	0.01722199283540249	-0.3393863	No	
row_32	RUVBL2	NA	9765	0.016819534823298454	-0.3391855	No	
row_33	VBP1	NA	9800	0.016164271160960197	-0.3391027	No	
row_34	RANBP1	NA	9818	0.01592828333377838	-0.33822566	No	
row_35	RPL34	NA	9832	0.015754608437418938	-0.33717433	No	
row_36	DUT	NA	9963	0.014409550465643406	-0.34190533	No	
row_37	CBX3	NA	10012	0.013804133981466293	-0.34274864	No	
row_38	COPS5	NA	10015	0.013793730176985264	-0.34137598	No	
row_39	SET	NA	10127	0.012651264667510986	-0.3453785	No	
row_40	H2AZ1	NA	10134	0.012544074095785618	-0.3443317	No	
row_41	NHP2	NA	10181	0.011957265436649323	-0.3452753	No	
row_42	PSMB3	NA	10210	0.011468026787042618	-0.34540346	No	
row_43	PRPS2	NA	10276	0.010703209787607193	-0.34739637	No	
row_44	PSMA7	NA	10316	0.010295010171830654	-0.34817964	No	
row_45	PPIA	NA	10330	0.009991847909986973	-0.34774205	No	
row_46	PSMD14	NA	10337	0.009893124923110008	-0.3469776	No	
row_47	PTGES3	NA	10382	0.009423126466572285	-0.3480947	No	
row_48	XRCC6	NA	10548	0.007256160955876112	-0.35527447	No	
row_49	ILF2	NA	10607	0.006482250522822142	-0.35737956	No	
row_50	RAN	NA	10635	0.006187145132571459	-0.35802194	No	
row_51	NDUFAB1	NA	10639	0.006136163137853146	-0.357513	No	
row_52	CDC45	NA	10672	0.00580122135579586	-0.35843748	No	
row_53	KPNA2	NA	10692	0.0056472294963896275	-0.3587518	No	
row_54	RPL18	NA	10748	0.005077495239675045	-0.3608619	No	
row_55	RPS10	NA	10764	0.004841001238673925	-0.36106926	No	
row_56	SNRPD2	NA	10765	0.004838746506720781	-0.36055392	No	
row_57	SNRPB2	NA	10863	0.0037392987869679928	-0.36483085	No	
row_58	PSMA6	NA	10978	0.002343679778277874	-0.37007573	No	
row_59	SRSF2	NA	11030	0.0015768486773595214	-0.37236586	No	
row_60	MRPL9	NA	11115	6.021872395649552E-4	-0.3763503	No	
row_61	UBA2	NA	11196	-3.227257402613759E-4	-0.38017175	No	
row_62	TCP1	NA	11234	-8.450067252852023E-4	-0.38186505	No	
row_63	YWHAQ	NA	11301	-0.0016212784685194492	-0.38487342	No	
row_64	RPS5	NA	11315	-0.0018559781601652503	-0.3853023	No	
row_65	TXNL4A	NA	11356	-0.002383294515311718	-0.3869764	No	
row_66	RPS6	NA	11357	-0.0023869257420301437	-0.38672218	No	
row_67	COX5A	NA	11362	-0.0024158258456736803	-0.38665766	No	
row_68	CUL1	NA	11419	-0.0030367965810000896	-0.3890333	No	
row_69	NPM1	NA	11427	-0.0030944417230784893	-0.3890411	No	
row_70	SNRPA1	NA	11464	-0.0035973135381937027	-0.3903931	No	
row_71	DEK	NA	11502	-0.003944515250623226	-0.3917563	No	
row_72	CCT3	NA	11513	-0.0040233200415968895	-0.3918098	No	
row_73	CCT2	NA	11537	-0.004400041885674	-0.3924497	No	
row_74	POLE3	NA	11553	-0.004560106433928013	-0.392687	No	
row_75	EXOSC7	NA	11613	-0.005181773100048304	-0.3949788	No	
row_76	APEX1	NA	11640	-0.005654125940054655	-0.39562973	No	
row_77	RPL6	NA	11654	-0.0058792969211936	-0.39563015	No	
row_78	RPLP0	NA	11718	-0.0067317793145775795	-0.39794964	No	
row_79	ERH	NA	11742	-0.0069041564129292965	-0.39832288	No	
row_80	CCT4	NA	11786	-0.007475588005036116	-0.3995992	No	
row_81	RPL14	NA	11849	-0.008202658034861088	-0.40171382	No	
row_82	PSMB2	NA	11882	-0.0085555175319314	-0.40234497	No	
row_83	EEF1B2	NA	11902	-0.008863464929163456	-0.40231672	No	
row_84	RPS2	NA	11954	-0.009351925924420357	-0.4037788	No	
row_85	TRA2B	NA	11962	-0.00945227313786745	-0.4031095	No	
row_86	SLC25A3	NA	11965	-0.009483610279858112	-0.40219587	No	
row_87	YWHAE	NA	12106	-0.010825230740010738	-0.4077906	No	
row_88	PPM1G	NA	12120	-0.01109533105045557	-0.40723547	No	
row_89	RNPS1	NA	12261	-0.012984100729227066	-0.41260028	No	
row_90	HNRNPA1	NA	12303	-0.013481934554874897	-0.4131405	No	
row_91	PSMA1	NA	12393	-0.014530790038406849	-0.41588253	No	
row_92	HNRNPR	NA	12419	-0.014853558503091335	-0.41550553	No	
row_93	PSMD3	NA	12428	-0.01495378091931343	-0.41429847	No	
row_94	TFDP1	NA	12513	-0.015889404341578484	-0.41665483	No	
row_95	UBE2E1	NA	12520	-0.015966352075338364	-0.41524354	No	
row_96	EIF1AX	NA	12605	-0.016889529302716255	-0.41749334	No	
row_97	PGK1	NA	12613	-0.017107654362916946	-0.41600874	No	
row_98	PHB	NA	12719	-0.01838979497551918	-0.4191109	No	
row_99	TYMS	NA	12884	-0.020478012040257454	-0.42483434	No	
row_100	NOP56	NA	12950	-0.021338388323783875	-0.42569458	No	
row_101	CCT5	NA	13041	-0.022546151652932167	-0.42763114	Yes	
row_102	AP3S1	NA	13068	-0.022838611155748367	-0.4264519	Yes	
row_103	HNRNPC	NA	13114	-0.02349296770989895	-0.42611873	Yes	
row_104	PHB2	NA	13133	-0.02374156191945076	-0.42445776	Yes	
row_105	CCT7	NA	13180	-0.024352438747882843	-0.42408124	Yes	
row_106	EIF3J	NA	13196	-0.02453356422483921	-0.42219132	Yes	
row_107	HPRT1	NA	13235	-0.025006351992487907	-0.4213596	Yes	
row_108	SSB	NA	13311	-0.025782503187656403	-0.4222285	Yes	
row_109	LDHA	NA	13320	-0.02587813511490822	-0.419858	Yes	
row_110	EIF4G2	NA	13340	-0.02611236460506916	-0.4179927	Yes	
row_111	HNRNPA2B1	NA	13368	-0.026463011279702187	-0.41647568	Yes	
row_112	RACK1	NA	13397	-0.026773283258080482	-0.4149738	Yes	
row_113	CDK2	NA	13414	-0.02703455649316311	-0.4128657	Yes	
row_114	RRM1	NA	13464	-0.02771313115954399	-0.41227588	Yes	
row_115	CNBP	NA	13504	-0.02804143913090229	-0.41116908	Yes	
row_116	SRSF7	NA	13508	-0.028072964400053024	-0.40832385	Yes	
row_117	USP1	NA	13683	-0.030473407357931137	-0.41346473	Yes	
row_118	NOP16	NA	13732	-0.031168052926659584	-0.41245872	Yes	
row_119	EIF3D	NA	13745	-0.03132380545139313	-0.40970105	Yes	
row_120	CLNS1A	NA	13816	-0.032244693487882614	-0.40964073	Yes	
row_121	RPL22	NA	13863	-0.03289514407515526	-0.4083544	Yes	
row_122	NAP1L1	NA	13902	-0.0334676168859005	-0.40662152	Yes	
row_123	U2AF1	NA	13954	-0.03400184586644173	-0.4054583	Yes	
row_124	EIF4H	NA	13958	-0.0340573750436306	-0.40197572	Yes	
row_125	BUB3	NA	14046	-0.03527918457984924	-0.40241158	Yes	
row_126	NME1	NA	14148	-0.036628205329179764	-0.40337855	Yes	
row_127	SSBP1	NA	14231	-0.03779202327132225	-0.4033058	Yes	
row_128	HSPD1	NA	14273	-0.03838222846388817	-0.4011941	Yes	
row_129	ODC1	NA	14369	-0.039754245430231094	-0.4015389	Yes	
row_130	CSTF2	NA	14529	-0.041977278888225555	-0.40473163	Yes	
row_131	HNRNPD	NA	14578	-0.04262962564826012	-0.40250495	Yes	
row_132	G3BP1	NA	14644	-0.04351931810379028	-0.40100288	Yes	
row_133	PSMD1	NA	14663	-0.04376181587576866	-0.3972097	Yes	
row_134	HSP90AB1	NA	14686	-0.04401048645377159	-0.39358282	Yes	
row_135	C1QBP	NA	14794	-0.045705799013376236	-0.39387217	Yes	
row_136	SRSF1	NA	14836	-0.04633921757340431	-0.39091304	Yes	
row_137	FBL	NA	14850	-0.046611230820417404	-0.3865754	Yes	
row_138	ACP1	NA	14893	-0.04718197509646416	-0.38357472	Yes	
row_139	SNRPA	NA	14897	-0.04722747579216957	-0.37868947	Yes	
row_140	SRPK1	NA	14900	-0.04728909581899643	-0.37374946	Yes	
row_141	KPNB1	NA	14923	-0.04751857742667198	-0.36974898	Yes	
row_142	SERBP1	NA	14931	-0.04764661565423012	-0.3650119	Yes	
row_143	PABPC4	NA	15139	-0.05052646994590759	-0.36960757	Yes	
row_144	EIF3B	NA	15163	-0.0510641448199749	-0.36527765	Yes	
row_145	HDDC2	NA	15227	-0.05188761651515961	-0.36278796	Yes	
row_146	SF3A1	NA	15321	-0.053117282688617706	-0.36161318	Yes	
row_147	VDAC1	NA	15387	-0.053914036601781845	-0.35900405	Yes	
row_148	MCM6	NA	15563	-0.05676354467868805	-0.36139315	Yes	
row_149	RAD23B	NA	15578	-0.05701785907149315	-0.3559954	Yes	
row_150	HNRNPA3	NA	15643	-0.05793176591396332	-0.35291016	Yes	
row_151	HDAC2	NA	15653	-0.05806984379887581	-0.3471594	Yes	
row_152	TARDBP	NA	15683	-0.05855517089366913	-0.34232083	Yes	
row_153	CANX	NA	15722	-0.05932356044650078	-0.33783424	Yes	
row_154	PSMD7	NA	15810	-0.0608493834733963	-0.33554682	Yes	
row_155	GNL3	NA	16188	-0.06668729335069656	-0.3466149	Yes	
row_156	PA2G4	NA	16214	-0.06719611585140228	-0.3406633	Yes	
row_157	KARS1	NA	16333	-0.0692262277007103	-0.33897784	Yes	
