NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSEN2	NA	1479	0.18620818853378296	-0.023228148	No	
row_1	DTX4	NA	1718	0.17651484906673431	0.010404461	No	
row_2	HEYL	NA	1840	0.17202334105968475	0.048485536	No	
row_3	CCND1	NA	1920	0.16865508258342743	0.08771573	No	
row_4	FZD7	NA	2671	0.14334094524383545	0.0884101	No	
row_5	WNT5A	NA	3494	0.1218806728720665	0.080189735	No	
row_6	RBX1	NA	4526	0.09849255532026291	0.056013025	No	
row_7	WNT2	NA	6471	0.06320618093013763	-0.020812538	No	
row_8	LFNG	NA	6723	0.05912880226969719	-0.017735017	No	
row_9	DLL1	NA	8004	0.03986218199133873	-0.068767294	No	
row_10	JAG1	NA	8514	0.03307080641388893	-0.08466964	No	
row_11	PSENEN	NA	8967	0.027208521962165833	-0.09934169	No	
row_12	APH1A	NA	9425	0.021213337779045105	-0.115781575	No	
row_13	MAML2	NA	9482	0.02035297080874443	-0.11326892	No	
row_14	SKP1	NA	10065	0.013257998041808605	-0.1377137	No	
row_15	SAP30	NA	10743	0.00510728545486927	-0.16877891	No	
row_16	CUL1	NA	11419	-0.0030367965810000896	-0.20027646	No	
row_17	FZD1	NA	12082	-0.010652177035808563	-0.22921056	No	
row_18	KAT2A	NA	15827	-0.061103735119104385	-0.39263076	No	
row_19	NOTCH2	NA	16079	-0.0646878108382225	-0.3881357	No	
row_20	DTX2	NA	16269	-0.06819172948598862	-0.3797829	No	
row_21	PPARD	NA	16307	-0.06875480711460114	-0.36401933	No	
row_22	ARRB1	NA	16694	-0.07517779618501663	-0.3633037	No	
row_23	NOTCH1	NA	18049	-0.10291137546300888	-0.4017963	Yes	
row_24	FBXW11	NA	18305	-0.10945775359869003	-0.3860761	Yes	
row_25	PRKCA	NA	18651	-0.1191074550151825	-0.37219813	Yes	
row_26	ST3GAL6	NA	19262	-0.14002223312854767	-0.3656566	Yes	
row_27	TCF7L2	NA	20530	-0.24357423186302185	-0.36412057	Yes	
row_28	NOTCH3	NA	20594	-0.25901979207992554	-0.3010823	Yes	
row_29	DTX1	NA	20844	-0.3683433532714844	-0.21905917	Yes	
row_30	HES1	NA	20886	-0.4160192310810089	-0.11493409	Yes	
row_31	FZD5	NA	20899	-0.4619688093662262	0.002294694	Yes	
