NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	9	0.5522751808166504	0.029958282	No	
row_1	GPX2	NA	194	0.3177507221698761	0.038575985	No	
row_2	CEBPA	NA	356	0.27935242652893066	0.046189144	No	
row_3	TM4SF1	NA	380	0.2744472324848175	0.06018361	No	
row_4	KRT17	NA	595	0.24727998673915863	0.06347734	No	
row_5	VDR	NA	893	0.21926942467689514	0.061229244	No	
row_6	CCND2	NA	935	0.21683649718761444	0.071185805	No	
row_7	CLCA2	NA	943	0.21609295904636383	0.08274016	No	
row_8	ZNF365	NA	1117	0.2044372856616974	0.085652314	No	
row_9	SDC1	NA	1417	0.1896761804819107	0.08167929	No	
row_10	TGFA	NA	1441	0.1883610337972641	0.09093638	No	
row_11	PLK2	NA	1461	0.18717032670974731	0.100320734	No	
row_12	OSGIN1	NA	2087	0.16237494349479675	0.079132944	No	
row_13	APP	NA	2328	0.15428324043750763	0.07605587	No	
row_14	CDH13	NA	2361	0.15340670943260193	0.08295562	No	
row_15	ST14	NA	2564	0.14634442329406738	0.081273176	No	
row_16	ALOX15B	NA	2732	0.14185428619384766	0.08103054	No	
row_17	HMOX1	NA	2848	0.13813260197639465	0.08308936	No	
row_18	RPS27L	NA	3306	0.12616059184074402	0.06800584	No	
row_19	HBEGF	NA	3636	0.11898303776979446	0.058696605	No	
row_20	IER3	NA	3670	0.11825884878635406	0.06361395	No	
row_21	VAMP8	NA	3734	0.11662082374095917	0.06699523	No	
row_22	H2AW	NA	3757	0.11604137718677521	0.07232072	No	
row_23	VWA5A	NA	3868	0.11340956389904022	0.07326001	No	
row_24	EPS8L2	NA	4230	0.10517891496419907	0.0616488	No	
row_25	NUPR1	NA	4513	0.0987018272280693	0.053488754	No	
row_26	TP63	NA	4686	0.09532065689563751	0.050444357	No	
row_27	TCHH	NA	4797	0.09311724454164505	0.050266944	No	
row_28	ZBTB16	NA	5144	0.08608176559209824	0.038327772	No	
row_29	TAP1	NA	5315	0.08294371515512466	0.034698658	No	
row_30	EPHA2	NA	5425	0.08091457933187485	0.033897918	No	
row_31	TPD52L1	NA	5496	0.0793893113732338	0.034892946	No	
row_32	S100A4	NA	5801	0.07430808991193771	0.024330152	No	
row_33	SERTAD3	NA	5981	0.07095877826213837	0.01960772	No	
row_34	DCXR	NA	6077	0.0696454644203186	0.018861601	No	
row_35	SERPINB5	NA	6093	0.06945886462926865	0.021961007	No	
row_36	NHLH2	NA	6182	0.0677386000752449	0.021447333	No	
row_37	RGS16	NA	6185	0.06765516847372055	0.025074046	No	
row_38	PROCR	NA	6349	0.06503404676914215	0.020796731	No	
row_39	SPHK1	NA	6466	0.06324547529220581	0.01868627	No	
row_40	KLK8	NA	6690	0.05973334610462189	0.011225412	No	
