NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ISL1	NA	622	0.2446042001247406	0.04035028	Yes	
row_1	NEUROD1	NA	625	0.2443888783454895	0.110292576	Yes	
row_2	VDR	NA	893	0.21926942467689514	0.16036147	Yes	
row_3	PCSK1	NA	1178	0.20142996311187744	0.20450476	Yes	
row_4	PAX4	NA	1741	0.17581813037395477	0.22801177	Yes	
row_5	SYT13	NA	2519	0.14807921648025513	0.2332861	Yes	
row_6	GCK	NA	2572	0.14597263932228088	0.27263245	Yes	
row_7	NEUROG3	NA	2830	0.13875000178813934	0.30010402	Yes	
row_8	SCGN	NA	3844	0.1140679195523262	0.28434372	Yes	
row_9	ABCC8	NA	3981	0.11066064238548279	0.3095526	Yes	
row_10	NKX2-2	NA	4146	0.10713709145784378	0.3324125	Yes	
row_11	PKLR	NA	4200	0.10579057037830353	0.3601955	Yes	
row_12	NKX6-1	NA	5195	0.08502160012722015	0.3370197	Yes	
row_13	PDX1	NA	5641	0.07678479701280594	0.3377413	Yes	
row_14	FOXA2	NA	5659	0.07642332464456558	0.3588299	Yes	
row_15	PAK3	NA	5887	0.0724426656961441	0.36873373	Yes	
row_16	SST	NA	5923	0.07200107723474503	0.3876941	Yes	
row_17	IAPP	NA	6319	0.06547917425632477	0.38756707	Yes	
row_18	PCSK2	NA	6577	0.061476752161979675	0.3928934	Yes	
row_19	G6PC2	NA	6664	0.06009184941649437	0.4060015	Yes	
row_20	DCX	NA	6855	0.05709260329604149	0.4132759	Yes	
row_21	CHGA	NA	7871	0.04179105535149574	0.37670654	No	
row_22	HNF1A	NA	9145	0.025010591372847557	0.3229884	No	
row_23	SRP14	NA	9629	0.0184644628316164	0.3051788	No	
row_24	SLC2A2	NA	10023	0.013707165606319904	0.2903104	No	
row_25	FOXO1	NA	10652	0.006009639706462622	0.26199633	No	
row_26	SEC11A	NA	10677	0.005777986254543066	0.26250434	No	
row_27	SRP9	NA	10885	0.0035033004824072123	0.2536078	No	
row_28	GCG	NA	10902	0.003221055492758751	0.25376564	No	
row_29	SPCS1	NA	12985	-0.021924253553152084	0.16046968	No	
row_30	ELP4	NA	13580	-0.0290498249232769	0.14038472	No	
row_31	INSM1	NA	14028	-0.035025112330913544	0.12904297	No	
row_32	AKT3	NA	15291	-0.05269934982061386	0.08378609	No	
row_33	LMO2	NA	15434	-0.054610852152109146	0.092645034	No	
row_34	MAFB	NA	16063	-0.06447821110486984	0.08108711	No	
row_35	PAX6	NA	16393	-0.07014656811952591	0.0854544	No	
row_36	DPP4	NA	16494	-0.07168224453926086	0.10121453	No	
row_37	STXBP1	NA	17893	-0.09920821338891983	0.062781654	No	
row_38	SRPRB	NA	18253	-0.1082560122013092	0.076635644	No	
row_39	INS	NA	20013	-0.18202903866767883	0.04467178	No	
