NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SH3GL2	NA	205	0.3126656711101532	0.032116953	No	
row_1	KRT18	NA	786	0.22785992920398712	0.03487223	No	
row_2	DST	NA	1101	0.20551054179668427	0.047385618	No	
row_3	EGFR	NA	1919	0.1686803549528122	0.030835377	No	
row_4	ABCA1	NA	2533	0.14775288105010986	0.021260677	No	
row_5	TSPAN8	NA	2759	0.14107218384742737	0.029397003	No	
row_6	SSPN	NA	3145	0.1303882598876953	0.028426817	No	
row_7	CAV2	NA	3310	0.12605693936347961	0.037474032	No	
row_8	TOM1L1	NA	5523	0.07885189354419708	-0.05802792	No	
row_9	ICA1	NA	5573	0.07802671194076538	-0.04990952	No	
row_10	ERGIC3	NA	6635	0.06057591363787651	-0.09266489	No	
row_11	GLA	NA	6829	0.057460494339466095	-0.094211526	No	
row_12	ATP6V1B1	NA	7011	0.054576896131038666	-0.09556955	No	
row_13	CD63	NA	7261	0.05087669566273689	-0.10068508	No	
row_14	COPE	NA	7343	0.0498264916241169	-0.09788474	No	
row_15	AP2S1	NA	7444	0.04845115914940834	-0.09618009	No	
row_16	SOD1	NA	8388	0.034737084060907364	-0.13674314	No	
row_17	CLTA	NA	8512	0.03308518975973129	-0.13820305	No	
row_18	OCRL	NA	8527	0.03298309072852135	-0.13444933	No	
row_19	ARFGAP3	NA	9261	0.023495357483625412	-0.16644964	No	
row_20	VPS45	NA	10233	0.011220541782677174	-0.21151054	No	
row_21	RAB9A	NA	10280	0.010657897219061852	-0.21228667	No	
row_22	AP2M1	NA	10816	0.004267753101885319	-0.2373711	No	
row_23	BET1	NA	10943	0.0027239681221544743	-0.24304822	No	
row_24	TMED2	NA	11010	0.0018550879321992397	-0.24596451	No	
row_25	NAPA	NA	11139	3.342974232509732E-4	-0.25205815	No	
row_26	TSG101	NA	11240	-8.813960012048483E-4	-0.25673562	No	
row_27	STAM	NA	11921	-0.008986946195363998	-0.28814068	No	
row_28	VAMP3	NA	11925	-0.009032415226101875	-0.28707272	No	
row_29	ARF1	NA	11936	-0.009136488661170006	-0.28632653	No	
row_30	RER1	NA	12006	-0.009913955815136433	-0.28830546	No	
row_31	ANP32E	NA	12127	-0.011233312077820301	-0.29255322	No	
row_32	TMED10	NA	12185	-0.012023027054965496	-0.29367372	No	
row_33	SNAP23	NA	12250	-0.012809623032808304	-0.2950244	No	
row_34	TMX1	NA	12847	-0.01995093561708927	-0.32093012	No	
row_35	SEC22B	NA	12960	-0.021487683057785034	-0.32341844	No	
row_36	VAMP7	NA	12999	-0.022136077284812927	-0.322271	No	
row_37	VPS4B	NA	13038	-0.022484827786684036	-0.32107672	No	
row_38	AP3S1	NA	13068	-0.022838611155748367	-0.31940338	No	
row_39	MAPK1	NA	13519	-0.02819935791194439	-0.33720073	No	
row_40	PPT1	NA	13643	-0.02992294169962406	-0.3390849	No	
row_41	ZW10	NA	13677	-0.030435433611273766	-0.33658418	No	
row_42	IGF2R	NA	13963	-0.034100182354450226	-0.34567693	No	
row_43	ATP1A1	NA	14343	-0.03934264928102493	-0.35857433	No	
row_44	GNAS	NA	14347	-0.039387576282024384	-0.35343385	No	
row_45	ATP6V1H	NA	14605	-0.043097123503685	-0.35997677	No	
row_46	RAB5A	NA	14798	-0.04576638713479042	-0.36304438	Yes	
row_47	COPB1	NA	14828	-0.04628506675362587	-0.35822538	Yes	
row_48	SCAMP3	NA	14943	-0.04775788262486458	-0.35728514	Yes	
row_49	VAMP4	NA	15098	-0.04984467476606369	-0.35798323	Yes	
row_50	COG2	NA	15105	-0.04996796324849129	-0.35156712	Yes	
row_51	CLCN3	NA	15264	-0.0524507537484169	-0.35210738	Yes	
row_52	RAB2A	NA	15365	-0.053668536245822906	-0.34970275	Yes	
row_53	GOLGA4	NA	15370	-0.05373222753405571	-0.3426857	Yes	
row_54	PAM	NA	15376	-0.05379800125956535	-0.33570778	Yes	
row_55	SGMS1	NA	15632	-0.05767899751663208	-0.34019846	Yes	
row_56	LAMP2	NA	15652	-0.058061033487319946	-0.33332	Yes	
row_57	SNX2	NA	16084	-0.06476731598377228	-0.3453001	Yes	
row_58	GOSR2	NA	16178	-0.06649934500455856	-0.34083837	Yes	
row_59	MON2	NA	16200	-0.06686468422412872	-0.3328747	Yes	
row_60	AP2B1	NA	16284	-0.06848418712615967	-0.3276671	Yes	
row_61	SCAMP1	NA	16385	-0.07003451138734818	-0.32306677	Yes	
row_62	CLTC	NA	16397	-0.07023677229881287	-0.3141711	Yes	
row_63	YIPF6	NA	16621	-0.07417958974838257	-0.3149134	Yes	
row_64	ARFGEF2	NA	16627	-0.07423338294029236	-0.3051938	Yes	
row_65	ADAM10	NA	16654	-0.07457263767719269	-0.2964358	Yes	
row_66	COPB2	NA	16758	-0.07648398727178574	-0.29111406	Yes	
row_67	LMAN1	NA	16811	-0.07755552232265472	-0.28320274	Yes	
row_68	RAB22A	NA	16837	-0.0779048353433609	-0.27394974	Yes	
row_69	AP3B1	NA	17114	-0.08337946236133575	-0.27599943	Yes	
row_70	STX16	NA	17128	-0.08360768109560013	-0.26540583	Yes	
row_71	ARFIP1	NA	17336	-0.08729530870914459	-0.26362115	Yes	
row_72	USO1	NA	17531	-0.09120360761880875	-0.26068866	Yes	
row_73	SEC24D	NA	17538	-0.09127138555049896	-0.24873117	Yes	
row_74	NAPG	NA	17577	-0.0921940803527832	-0.23818451	Yes	
row_75	M6PR	NA	17600	-0.09273087978363037	-0.22679852	Yes	
row_76	STX12	NA	17701	-0.09496617317199707	-0.21885328	Yes	
row_77	RPS6KA3	NA	17774	-0.09637569636106491	-0.20937614	Yes	
row_78	SEC31A	NA	17935	-0.10013409703969955	-0.20361498	Yes	
row_79	ARCN1	NA	17995	-0.1014702096581459	-0.1928309	Yes	
row_80	CTSC	NA	18074	-0.10342882573604584	-0.18269524	Yes	
row_81	ARFGEF1	NA	18296	-0.10922238230705261	-0.17864014	Yes	
row_82	BNIP3	NA	18315	-0.10973932594060898	-0.16478042	Yes	
row_83	DNM1L	NA	18899	-0.1263328194618225	-0.17579019	Yes	
row_84	CLN5	NA	18931	-0.12704530358314514	-0.16023208	Yes	
row_85	SCRN1	NA	18934	-0.12716342508792877	-0.1432674	Yes	
row_86	STX7	NA	19095	-0.1330413669347763	-0.13309129	Yes	
row_87	YKT6	NA	19175	-0.13649219274520874	-0.118567705	Yes	
row_88	RAB14	NA	19200	-0.1373288929462433	-0.10129423	Yes	
row_89	TPD52	NA	19312	-0.14228901267051697	-0.08752754	Yes	
row_90	AP1G1	NA	19451	-0.14799489080905914	-0.074290186	Yes	
row_91	KIF1B	NA	19589	-0.15622684359550476	-0.05990045	Yes	
row_92	DOP1A	NA	20286	-0.20710767805576324	-0.06549237	Yes	
row_93	ATP7A	NA	20477	-0.23364251852035522	-0.04325804	Yes	
row_94	GALC	NA	20531	-0.24361728131771088	-0.013115357	Yes	
row_95	GBF1	NA	20540	-0.24609975516796112	0.019518452	Yes	
