NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPY5R	NA	431	0.26697540283203125	0.0050430996	Yes	
row_1	ADAD1	NA	566	0.24986708164215088	0.022705931	Yes	
row_2	ODF1	NA	1023	0.21099844574928284	0.021148559	Yes	
row_3	NOS1	NA	1039	0.20959508419036865	0.040644504	Yes	
row_4	NPHP1	NA	1041	0.20924688875675201	0.060779523	Yes	
row_5	HTR5A	NA	1195	0.20064787566661835	0.07278199	Yes	
row_6	TULP2	NA	1302	0.1955738067626953	0.08655324	Yes	
row_7	ALOX15	NA	1714	0.17665916681289673	0.08384575	Yes	
row_8	DCC	NA	1775	0.17450112104415894	0.09779458	Yes	
row_9	NAA11	NA	2306	0.15502406656742096	0.08728268	Yes	
row_10	GAD1	NA	2322	0.15456393361091614	0.10147056	Yes	
row_11	ZNRF4	NA	2463	0.14978300034999847	0.109191425	Yes	
row_12	ACE	NA	2596	0.14540322124958038	0.11687421	Yes	
row_13	TSSK2	NA	2598	0.14532648026943207	0.13084373	Yes	
row_14	MLF1	NA	2643	0.1439751237630844	0.1426169	Yes	
row_15	CRISP2	NA	2668	0.1433553397655487	0.15529121	Yes	
row_16	ZC2HC1C	NA	2868	0.13753965497016907	0.15899637	Yes	
row_17	HSPA1L	NA	2950	0.13545644283294678	0.16817014	Yes	
row_18	TEKT2	NA	2988	0.13443514704704285	0.17935944	Yes	
row_19	ADCYAP1	NA	3111	0.1313287913799286	0.18616514	Yes	
row_20	IL12RB2	NA	3156	0.13001562654972076	0.19659182	Yes	
row_21	CLVS1	NA	3824	0.11458087712526321	0.17559654	Yes	
row_22	SYCP1	NA	3954	0.11111291497945786	0.18011595	Yes	
row_23	GPR182	NA	3961	0.11102825403213501	0.19053699	Yes	
row_24	ACRV1	NA	4004	0.11008239537477493	0.1991371	Yes	
row_25	TCP11	NA	4316	0.10314883291721344	0.19414382	Yes	
row_26	H1-6	NA	4341	0.10251336544752121	0.20287868	Yes	
row_27	TNP2	NA	4349	0.10241876542568207	0.21242124	Yes	
row_28	ZPBP	NA	4407	0.10121532529592514	0.21944536	Yes	
row_29	PCSK1N	NA	4425	0.10058779269456863	0.22833084	Yes	
row_30	SPATA6	NA	4564	0.0978344976902008	0.23113707	Yes	
row_31	PCSK4	NA	4833	0.09227492660284042	0.22716095	No	
row_32	IP6K1	NA	5395	0.08132340013980865	0.20805074	No	
row_33	ELOVL3	NA	5493	0.07949081808328629	0.21105754	No	
row_34	PRM2	NA	5610	0.07736457884311676	0.21294637	No	
row_35	SLC2A5	NA	5665	0.07631459832191467	0.21771282	No	
row_36	CHRM4	NA	5820	0.07383862882852554	0.21743575	No	
row_37	PACRG	NA	5856	0.07300534099340439	0.22279589	No	
row_38	MAST2	NA	6351	0.06498441845178604	0.20532885	No	
row_39	SEPTIN4	NA	6366	0.06472192704677582	0.210899	No	
row_40	SCG3	NA	6402	0.06416343152523041	0.21540628	No	
row_41	NEK2	NA	6535	0.062166810035705566	0.21506044	No	
row_42	NCAPH	NA	6589	0.06132381409406662	0.21842898	No	
row_43	TNP1	NA	6755	0.058595530688762665	0.21615313	No	
row_44	AKAP4	NA	6973	0.05521046370267868	0.21105231	No	
row_45	RPL39L	NA	7053	0.05397193878889084	0.21246251	No	
row_46	DPEP3	NA	7083	0.05342426896095276	0.21622223	No	
row_47	HSPA2	NA	7124	0.052932653576135635	0.21940601	No	
row_48	SNAP91	NA	7168	0.05236837640404701	0.22239123	No	
row_49	OAZ3	NA	7239	0.05115306377410889	0.22396195	No	
row_50	TTK	NA	7433	0.04860292747616768	0.21937694	No	
row_51	NEFH	NA	7512	0.04742018133401871	0.22020322	No	
row_52	ADAM2	NA	7723	0.04408616945147514	0.21436574	No	
row_53	BUB1	NA	7726	0.044062040746212006	0.21851969	No	
row_54	CCNB2	NA	7898	0.04144260659813881	0.21430105	No	
row_55	CDKN3	NA	8241	0.036872152239084244	0.20142554	No	
row_56	CCT6B	NA	8391	0.03471478819847107	0.19761498	No	
row_57	GAPDHS	NA	8497	0.0332145057618618	0.1957738	No	
row_58	CDK1	NA	8536	0.032778434455394745	0.19710968	No	
row_59	PHF7	NA	8616	0.03165043145418167	0.19636685	No	
row_60	YBX2	NA	8706	0.03059210814535618	0.19504145	No	
row_61	HOXB1	NA	9123	0.02529861219227314	0.17749414	No	
row_62	TUBA3C	NA	9196	0.024265507236123085	0.17637531	No	
row_63	VDAC3	NA	9207	0.024153634905815125	0.1782246	No	
row_64	AURKA	NA	9251	0.023615991696715355	0.17843649	No	
row_65	PARP2	NA	9352	0.022270917892456055	0.17577995	No	
row_66	LDHC	NA	9543	0.019605841487646103	0.16854213	No	
row_67	DDX25	NA	9752	0.016953574493527412	0.16018365	No	
row_68	DBF4	NA	9864	0.015477544628083706	0.15634334	No	
row_69	CNIH2	NA	10006	0.013868073001503944	0.15090638	No	
row_70	DMRT1	NA	10051	0.013446955941617489	0.15008937	No	
row_71	DNAJB8	NA	10071	0.013194948434829712	0.1504492	No	
row_72	IL13RA2	NA	10158	0.012259392999112606	0.14749965	No	
row_73	TNNI3	NA	10303	0.010477525182068348	0.14159152	No	
row_74	MEP1B	NA	10304	0.010477470234036446	0.14260213	No	
row_75	CCNA1	NA	10441	0.008779671043157578	0.1369146	No	
row_76	THEG	NA	10744	0.005106546450406313	0.122897	No	
row_77	NF2	NA	10809	0.00432800967246294	0.12023946	No	
row_78	PRKAR2A	NA	10938	0.0028170377481728792	0.114361174	No	
row_79	CHFR	NA	11045	0.0014731910778209567	0.1094103	No	
row_80	GSG1	NA	11171	-3.288778316345997E-5	0.103407614	No	
row_81	PDHA2	NA	11250	-0.001026943325996399	0.099759005	No	
row_82	PEBP1	NA	11518	-0.004062008578330278	0.08732229	No	
row_83	COIL	NA	11800	-0.007629942614585161	0.074557066	No	
row_84	PHKG2	NA	11890	-0.0086814034730196	0.071118265	No	
row_85	SCG5	NA	11919	-0.008980553597211838	0.07063918	No	
row_86	PGS1	NA	12073	-0.010539956390857697	0.06430464	No	
row_87	PAPOLB	NA	12154	-0.011532486416399479	0.061573263	No	
row_88	GSTM3	NA	12166	-0.011673635803163052	0.062170736	No	
row_89	MTNR1A	NA	12183	-0.01191547978669405	0.062551305	No	
row_90	SHE	NA	12229	-0.01251943502575159	0.061596762	No	
row_91	TALDO1	NA	12325	-0.013774136081337929	0.0583609	No	
row_92	DDX4	NA	12564	-0.016393598169088364	0.048506998	No	
row_93	KIF2C	NA	12581	-0.016634492203593254	0.04934274	No	
row_94	TSN	NA	12677	-0.017879243940114975	0.04650284	No	
row_95	ART3	NA	12818	-0.019545365124940872	0.04166154	No	
row_96	GMCL1	NA	13205	-0.024635525420308113	0.025491675	No	
row_97	SIRT1	NA	13511	-0.02811422199010849	0.01354915	No	
row_98	CAMK4	NA	13556	-0.02868606522679329	0.014202022	No	
row_99	ARL4A	NA	13761	-0.03148152306675911	0.0074370294	No	
row_100	GFI1	NA	14002	-0.034536778926849365	-7.6295476E-4	No	
row_101	PIAS2	NA	14078	-0.035688020288944244	-9.241572E-4	No	
row_102	HBZ	NA	14405	-0.04022388905286789	-0.01270762	No	
row_103	GRM8	NA	14675	-0.04387331381440163	-0.021400401	No	
row_104	ZC3H14	NA	14702	-0.04422154650092125	-0.0183842	No	
row_105	PSMG1	NA	14843	-0.046431753784418106	-0.020632155	No	
row_106	STAM2	NA	15259	-0.05234609916806221	-0.035522535	No	
row_107	EZH2	NA	15287	-0.05265161767601967	-0.03174125	No	
row_108	CST8	NA	15488	-0.05548539757728577	-0.035998743	No	
row_109	TOPBP1	NA	15506	-0.05572666972875595	-0.031440385	No	
row_110	PGK2	NA	15726	-0.059401728212833405	-0.036233015	No	
row_111	BRAF	NA	15907	-0.062246765941381454	-0.038877398	No	
row_112	MAP7	NA	16014	-0.0637412816286087	-0.037822157	No	
row_113	RFC4	NA	16384	-0.0700107216835022	-0.048798524	No	
row_114	IDE	NA	16395	-0.07020706683397293	-0.04250712	No	
row_115	CLGN	NA	16753	-0.07640713453292847	-0.05228995	No	
row_116	LPIN1	NA	17031	-0.08170919865369797	-0.05771762	No	
row_117	DMC1	NA	17194	-0.08481021970510483	-0.057320785	No	
row_118	AGFG1	NA	17263	-0.0859169140458107	-0.052300792	No	
row_119	POMC	NA	17633	-0.09335754066705704	-0.06102523	No	
row_120	TLE4	NA	17769	-0.09626743942499161	-0.058226008	No	
row_121	MLLT10	NA	17803	-0.09736666083335876	-0.050419983	No	
row_122	TKTL1	NA	17850	-0.09824692457914352	-0.04315366	No	
row_123	CSNK2A2	NA	17989	-0.1012825146317482	-0.04001485	No	
row_124	STRBP	NA	18271	-0.10871180891990662	-0.04303015	No	
row_125	MTOR	NA	18550	-0.1162170022726059	-0.04517739	No	
row_126	RAD17	NA	18727	-0.12138952314853668	-0.041924927	No	
row_127	HSPA4L	NA	19529	-0.15277493000030518	-0.06567447	No	
row_128	ACRBP	NA	19576	-0.1555575728416443	-0.052880205	No	
row_129	SLC12A2	NA	19773	-0.16672492027282715	-0.04621582	No	
row_130	ACTL7B	NA	19997	-0.18047240376472473	-0.039522678	No	
row_131	JAM3	NA	20142	-0.19224196672439575	-0.027898587	No	
row_132	IFT88	NA	20259	-0.20357674360275269	-0.013835881	No	
row_133	CLPB	NA	20433	-0.22693319618701935	-2.5898335E-4	No	
row_134	CFTR	NA	20592	-0.25822076201438904	0.017056482	No	
