NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINE1	NA	227	0.30544179677963257	0.05122634	No	
row_1	ENG	NA	1387	0.1910921335220337	0.03460139	No	
row_2	WWTR1	NA	1882	0.1702822893857956	0.045573495	No	
row_3	RAB31	NA	1913	0.1688588410615921	0.07846358	No	
row_4	BCAR3	NA	2190	0.15864118933677673	0.09750288	No	
row_5	TJP1	NA	3500	0.12168975174427032	0.059590604	No	
row_6	FURIN	NA	3700	0.11748461425304413	0.0739488	No	
row_7	LTBP2	NA	3862	0.11373518407344818	0.089363515	No	
row_8	THBS1	NA	4861	0.09176155179738998	0.06025204	No	
row_9	LEFTY2	NA	5297	0.08316037803888321	0.056337643	No	
row_10	CDKN1C	NA	5544	0.07850823551416397	0.060523212	No	
row_11	SMAD3	NA	6703	0.059447549283504486	0.017185194	No	
row_12	IFNGR2	NA	8277	0.03631467744708061	-0.050717473	No	
row_13	JUNB	NA	8933	0.027755020186305046	-0.0764241	No	
row_14	BMP2	NA	9167	0.02466103620827198	-0.08256249	No	
row_15	SLC20A1	NA	9817	0.015937697142362595	-0.110384196	No	
row_16	SMAD6	NA	9889	0.015138396061956882	-0.11070494	No	
row_17	NOG	NA	9971	0.014323861338198185	-0.11166988	No	
row_18	TGFB1	NA	10340	0.009884435683488846	-0.12727326	No	
row_19	PPM1A	NA	10456	0.008603626862168312	-0.13102828	No	
row_20	CDH1	NA	10535	0.007554545998573303	-0.13322571	No	
row_21	FKBP1A	NA	11436	-0.0032041885424405336	-0.17564893	No	
row_22	RHOA	NA	11714	-0.006671689450740814	-0.18755008	No	
row_23	ID3	NA	11865	-0.008334350772202015	-0.19303496	No	
row_24	PPP1R15A	NA	12150	-0.01149602048099041	-0.20429045	No	
row_25	PPP1CA	NA	12201	-0.01223355159163475	-0.20419663	No	
row_26	HDAC1	NA	12226	-0.012481840327382088	-0.20280795	No	
row_27	UBE2D3	NA	12296	-0.013397809118032455	-0.20338681	No	
row_28	SKIL	NA	12866	-0.02032124623656273	-0.22648858	No	
row_29	MAP3K7	NA	13137	-0.023792022839188576	-0.23457447	No	
row_30	BMPR2	NA	13809	-0.03216361999511719	-0.26015067	No	
row_31	FNTA	NA	14221	-0.03759925812482834	-0.27217814	No	
row_32	CTNNB1	NA	14654	-0.04364664852619171	-0.28398138	No	
row_33	SMURF2	NA	14937	-0.04771823063492775	-0.28777784	No	
row_34	SMAD7	NA	14968	-0.048015374690294266	-0.279453	No	
row_35	ARID4B	NA	16353	-0.06951400637626648	-0.3315612	No	
row_36	SMURF1	NA	16367	-0.06976014375686646	-0.31800243	No	
row_37	XIAP	NA	17214	-0.0851977989077568	-0.34117338	Yes	
row_38	PMEPA1	NA	17473	-0.08997462689876556	-0.33523124	Yes	
row_39	TRIM33	NA	17487	-0.09030851721763611	-0.31749538	Yes	
row_40	TGIF1	NA	17646	-0.0936928391456604	-0.30601132	Yes	
row_41	KLF10	NA	18334	-0.11024042963981628	-0.3164817	Yes	
row_42	SPTBN1	NA	18618	-0.11824043840169907	-0.30599016	Yes	
row_43	NCOR2	NA	18699	-0.12036670744419098	-0.28535068	Yes	
row_44	BMPR1A	NA	18847	-0.12460348755121231	-0.26705658	Yes	
row_45	TGFBR1	NA	19222	-0.13816842436790466	-0.25686938	Yes	
row_46	SKI	NA	19224	-0.13822580873966217	-0.22881846	Yes	
row_47	HIPK2	NA	19491	-0.1503678411245346	-0.21098237	Yes	
row_48	ACVR1	NA	19559	-0.15469367802143097	-0.18274266	Yes	
row_49	APC	NA	19925	-0.17521974444389343	-0.16459283	Yes	
row_50	SMAD1	NA	20183	-0.19567835330963135	-0.1371152	Yes	
row_51	ID2	NA	20334	-0.21191921830177307	-0.10121501	Yes	
row_52	CDK9	NA	20701	-0.28833872079849243	-0.06011804	Yes	
row_53	ID1	NA	20820	-0.35342028737068176	0.0060782544	Yes	
