NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KDELR3	NA	1304	0.19550497829914093	-0.04758177	No	
row_1	FKBP14	NA	4551	0.09809088706970215	-0.19584872	No	
row_2	WFS1	NA	4992	0.08907759934663773	-0.21013023	No	
row_3	IFIT1	NA	5026	0.08830811083316803	-0.20493636	No	
row_4	ARFGAP1	NA	5508	0.07910697162151337	-0.22195096	No	
row_5	H2AX	NA	5907	0.07223571091890335	-0.23550926	No	
row_6	ZBTB17	NA	6253	0.06640665233135223	-0.24697115	No	
row_7	CKS1B	NA	6447	0.06341849267482758	-0.25136697	No	
row_8	LSM1	NA	7308	0.05031104013323784	-0.28878224	No	
row_9	IMP3	NA	7425	0.04871905967593193	-0.29061055	No	
row_10	DNAJA4	NA	7497	0.04769694432616234	-0.29035747	No	
row_11	SPCS3	NA	7648	0.04528803005814552	-0.294081	No	
row_12	CALR	NA	7972	0.04035195708274841	-0.3064867	No	
row_13	EIF4A3	NA	8473	0.0335705503821373	-0.32790822	No	
row_14	CCL2	NA	8504	0.03318198025226593	-0.32680133	No	
row_15	EIF4E	NA	8613	0.0316920168697834	-0.32955253	No	
row_16	LSM4	NA	8736	0.030154159292578697	-0.3330937	No	
row_17	POP4	NA	8805	0.029284948483109474	-0.33410978	No	
row_18	CXXC1	NA	9641	0.01833607628941536	-0.37277925	No	
row_19	NFYB	NA	9696	0.017695875838398933	-0.37401286	No	
row_20	DNAJB9	NA	9793	0.01629936508834362	-0.3773695	No	
row_21	IGFBP1	NA	9795	0.016285095363855362	-0.3761676	No	
row_22	PAIP1	NA	10044	0.013488130643963814	-0.38703543	No	
row_23	NHP2	NA	10181	0.011957265436649323	-0.39264518	No	
row_24	NFYA	NA	10249	0.011044920422136784	-0.3950132	No	
row_25	EIF4A2	NA	10373	0.009483780711889267	-0.40018883	No	
row_26	RPS14	NA	10380	0.009435017593204975	-0.39975268	No	
row_27	TSPYL2	NA	10397	0.009225750342011452	-0.39981252	No	
row_28	HSP90B1	NA	10539	0.007459920831024647	-0.4060074	No	
row_29	BANF1	NA	10616	0.0063888151198625565	-0.4091648	No	
row_30	SEC11A	NA	10677	0.005777986254543066	-0.41160107	No	
row_31	STC2	NA	10746	0.005089929327368736	-0.41447416	No	
row_32	SHC1	NA	10869	0.0036668393295258284	-0.42004827	No	
row_33	TUBB2A	NA	10940	0.0027587683871388435	-0.42319626	No	
row_34	PDIA6	NA	10976	0.0023568894248455763	-0.42469522	No	
row_35	SERP1	NA	11263	-0.0011511995689943433	-0.43833378	No	
row_36	NPM1	NA	11427	-0.0030944417230784893	-0.44591963	No	
row_37	EXOSC9	NA	11550	-0.00452623562887311	-0.4514278	No	
row_38	ATP6V0D1	NA	11589	-0.0049567436799407005	-0.4528712	No	
row_39	PREB	NA	11632	-0.005526948720216751	-0.45446283	No	
row_40	TATDN2	NA	11978	-0.009677284397184849	-0.47027877	No	
row_41	KIF5B	NA	12324	-0.013767782598733902	-0.48578075	No	
row_42	EEF2	NA	12469	-0.015373780392110348	-0.49151224	No	
row_43	HSPA5	NA	12562	-0.016360247507691383	-0.49467224	No	
row_44	NOP56	NA	12950	-0.021338388323783875	-0.511609	No	
row_45	SPCS1	NA	12985	-0.021924253553152084	-0.5115582	No	
row_46	DCP2	NA	13089	-0.023139476776123047	-0.5147258	No	
row_47	EXOSC1	NA	13582	-0.02906455285847187	-0.53610915	No	
row_48	EXOSC4	NA	13660	-0.030126772820949554	-0.5374926	No	
row_49	HYOU1	NA	13931	-0.03376651927828789	-0.5478599	No	
row_50	BAG3	NA	14150	-0.036688532680273056	-0.55550724	No	
row_51	DKC1	NA	14305	-0.038847245275974274	-0.55991703	No	
row_52	SSR1	NA	14516	-0.041803088039159775	-0.56678784	No	
row_53	DCTN1	NA	14539	-0.042090728878974915	-0.5646132	No	
row_54	YIF1A	NA	14792	-0.045650601387023926	-0.5732045	No	
row_55	XBP1	NA	14866	-0.04688622057437897	-0.5731097	No	
row_56	CNOT2	NA	15072	-0.049478743225336075	-0.57915133	No	
row_57	SLC30A5	NA	15335	-0.053310588002204895	-0.5876347	No	
row_58	YWHAZ	NA	15381	-0.05384134128689766	-0.5856621	No	
row_59	GEMIN4	NA	15648	-0.057990167289972305	-0.5939783	No	
row_60	EDC4	NA	16113	-0.06532760709524155	-0.61123455	Yes	
row_61	DCP1A	NA	16137	-0.06565871834754944	-0.6072991	Yes	
row_62	SDAD1	NA	16157	-0.06608070433139801	-0.6031392	Yes	
row_63	GOSR2	NA	16178	-0.06649934500455856	-0.59899527	Yes	
row_64	DDX10	NA	16218	-0.06724046915769577	-0.59570634	Yes	
row_65	ATF6	NA	16252	-0.0679212436079979	-0.5920772	Yes	
row_66	EXOSC10	NA	16559	-0.07295071333646774	-0.60116494	Yes	
row_67	EXOSC2	NA	16635	-0.07434511929750443	-0.59905857	Yes	
row_68	ATF4	NA	16687	-0.07509416341781616	-0.5957428	Yes	
row_69	CNOT6	NA	16698	-0.075264573097229	-0.5904462	Yes	
row_70	NOLC1	NA	16755	-0.07642876356840134	-0.58726794	Yes	
row_71	EXOC2	NA	16879	-0.07871609181165695	-0.58712995	Yes	
row_72	EIF4A1	NA	17002	-0.08109064400196075	-0.58676165	Yes	
row_73	EIF2S1	NA	17367	-0.08780273795127869	-0.5974933	Yes	
row_74	MTREX	NA	17507	-0.09075739234685898	-0.597199	Yes	
row_75	KHSRP	NA	17525	-0.09114773571491241	-0.5910193	Yes	
row_76	PARN	NA	17895	-0.09923635423183441	-0.6011134	Yes	
row_77	SEC31A	NA	17935	-0.10013409703969955	-0.59529984	Yes	
row_78	FUS	NA	17963	-0.10070480406284332	-0.58886653	Yes	
row_79	SRPRA	NA	18097	-0.10413268953561783	-0.5872577	Yes	
row_80	EIF2AK3	NA	18235	-0.10771957784891129	-0.58556557	Yes	
row_81	SRPRB	NA	18253	-0.1082560122013092	-0.5780727	Yes	
row_82	ALDH18A1	NA	18852	-0.12468968331813812	-0.5972044	Yes	
row_83	RRP9	NA	18980	-0.12908490002155304	-0.5933925	Yes	
row_84	ERO1A	NA	19104	-0.13331417739391327	-0.589064	Yes	
row_85	EIF4G1	NA	19173	-0.13646268844604492	-0.58185405	Yes	
row_86	TTC37	NA	19336	-0.14317657053470612	-0.57864046	Yes	
row_87	HSPA9	NA	19615	-0.15778130292892456	-0.5798735	Yes	
row_88	NABP1	NA	19878	-0.1724875271320343	-0.5792099	Yes	
row_89	NOP14	NA	19910	-0.17443713545799255	-0.56730956	Yes	
row_90	HERPUD1	NA	19953	-0.17717990279197693	-0.55572665	Yes	
row_91	DNAJC3	NA	20054	-0.18559671938419342	-0.5462815	Yes	
row_92	MTHFD2	NA	20107	-0.18920399248600006	-0.5342557	Yes	
row_93	EXOSC5	NA	20189	-0.19641287624835968	-0.5230684	Yes	
row_94	CNOT4	NA	20232	-0.2011634111404419	-0.50964475	Yes	
row_95	CEBPG	NA	20326	-0.21106576919555664	-0.4979089	Yes	
row_96	ERN1	NA	20328	-0.21145151555538177	-0.48172775	Yes	
row_97	PDIA5	NA	20371	-0.21719495952129364	-0.46707362	Yes	
row_98	EDEM1	NA	20403	-0.22276455163955688	-0.4514641	Yes	
row_99	SLC1A4	NA	20413	-0.22453011572360992	-0.43466312	Yes	
row_100	XPOT	NA	20523	-0.24260151386260986	-0.42127475	Yes	
row_101	ATF3	NA	20679	-0.281444251537323	-0.40711302	Yes	
row_102	TARS1	NA	20732	-0.29888415336608887	-0.3866691	Yes	
row_103	DDIT4	NA	20781	-0.3259049355983734	-0.36395937	Yes	
row_104	IARS1	NA	20788	-0.33313998579978943	-0.33867848	Yes	
row_105	SLC7A5	NA	20879	-0.405121386051178	-0.3119046	Yes	
row_106	CEBPB	NA	20880	-0.4062937796115875	-0.2807211	Yes	
row_107	PSAT1	NA	20883	-0.4105287492275238	-0.24930856	Yes	
row_108	WIPI1	NA	20889	-0.4265163242816925	-0.21681294	Yes	
row_109	EIF4EBP1	NA	20893	-0.4433768689632416	-0.18292727	Yes	
row_110	VEGFA	NA	20903	-0.47315001487731934	-0.14704444	Yes	
row_111	ASNS	NA	20942	-0.9418644905090332	-0.076579146	Yes	
row_112	CHAC1	NA	20945	-1.000258207321167	9.579094E-5	Yes	
