NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APBB2	NA	37	0.44814661145210266	0.025338294	No	
row_1	MAP1B	NA	50	0.4218249022960663	0.050285585	No	
row_2	SERPINE1	NA	227	0.30544179677963257	0.06030758	No	
row_3	LAMC1	NA	323	0.28810998797416687	0.07317433	No	
row_4	MAGI2	NA	364	0.2770346403121948	0.08801465	No	
row_5	CAV1	NA	387	0.27360618114471436	0.103512734	No	
row_6	SCHIP1	NA	628	0.2441135197877884	0.10674749	No	
row_7	BDNF	NA	970	0.21390509605407715	0.10329955	No	
row_8	MMP16	NA	1332	0.19417735934257507	0.09769655	No	
row_9	RBPMS	NA	1539	0.18365751206874847	0.0989075	No	
row_10	COL1A2	NA	1845	0.17186152935028076	0.094645984	No	
row_11	CACNA1A	NA	2128	0.16081921756267548	0.09082187	No	
row_12	CDK13	NA	2157	0.15972177684307098	0.09914055	No	
row_13	GJA1	NA	2301	0.15520863234996796	0.10165835	No	
row_14	ADGRL2	NA	2366	0.15318378806114197	0.10785098	No	
row_15	CAP2	NA	2377	0.15288110077381134	0.11662095	No	
row_16	TGFBR3	NA	2654	0.14363667368888855	0.11204555	No	
row_17	DLC1	NA	2680	0.1430497169494629	0.11949962	No	
row_18	DAB2	NA	2849	0.13812221586704254	0.11978185	No	
row_19	EFEMP1	NA	2886	0.1370840072631836	0.1263462	No	
row_20	PLCB4	NA	3472	0.1223355308175087	0.10562898	No	
row_21	TJP1	NA	3500	0.12168975174427032	0.11169445	No	
row_22	ACVR2A	NA	3616	0.11954566091299057	0.11340023	No	
row_23	COL5A2	NA	3652	0.11869388818740845	0.11889988	No	
row_24	NRP1	NA	3891	0.11272641271352768	0.11428071	No	
row_25	ITGB3	NA	4298	0.10370153933763504	0.10104008	No	
row_26	NFIB	NA	4301	0.10364735871553421	0.107215516	No	
row_27	LDLR	NA	4396	0.10139413923025131	0.10883239	No	
row_28	MT1E	NA	4450	0.10005374252796173	0.11233893	No	
row_29	COL1A1	NA	4762	0.0940094143152237	0.103078276	No	
row_30	KIT	NA	5214	0.08468056470155716	0.086523674	No	
row_31	RGS4	NA	5347	0.08243498206138611	0.085166775	No	
row_32	PMP22	NA	5364	0.08201166242361069	0.08936012	No	
row_33	ICA1	NA	5573	0.07802671194076538	0.08408334	No	
row_34	LPAR1	NA	5819	0.07385335117578506	0.076775536	No	
row_35	INSIG1	NA	5933	0.07181587815284729	0.075689375	No	
row_36	KALRN	NA	6056	0.06991282105445862	0.074055456	No	
row_37	MET	NA	6271	0.06620514392852783	0.06777497	No	
row_38	DUSP1	NA	6384	0.06447572261095047	0.06629273	No	
row_39	MGLL	NA	6669	0.06003262847661972	0.05627401	No	
row_40	SMAD3	NA	6703	0.059447549283504486	0.05828488	No	
row_41	F3	NA	6941	0.0556926503777504	0.05026273	No	
row_42	IGFBP5	NA	7058	0.053917188197374344	0.047949344	No	
row_43	KCNMA1	NA	7192	0.05188927426934242	0.044696096	No	
row_44	AMPH	NA	7347	0.04976406693458557	0.040304836	No	
row_45	DDAH1	NA	7416	0.04890429601073265	0.039995372	No	
row_46	VAV2	NA	7466	0.048144713044166565	0.040553235	No	
row_47	LTBP1	NA	7813	0.042789027094841	0.026510928	No	
row_48	COL3A1	NA	8431	0.034066811203956604	-0.0010854888	No	
row_49	DBP	NA	8560	0.03248697891831398	-0.0052724048	No	
row_50	MGMT	NA	8637	0.03145540878176689	-0.00702222	No	
row_51	PTPN21	NA	9047	0.026173163205385208	-0.025098195	No	
row_52	CDC42BPA	NA	9097	0.0255619827657938	-0.025906788	No	
row_53	PPARG	NA	9461	0.02061135694384575	-0.042108186	No	
row_54	TFPI	NA	9671	0.017985831946134567	-0.051066034	No	
row_55	FZD2	NA	10556	0.0070520248264074326	-0.09313115	No	
row_56	PDGFRB	NA	10628	0.006281043868511915	-0.0961639	No	
row_57	PIK3CD	NA	10870	0.0036596532445400953	-0.107526764	No	
row_58	ANXA4	NA	10955	0.0025580108631402254	-0.11140967	No	
row_59	HAS2	NA	10972	0.002413060050457716	-0.11203274	No	
row_60	NEK7	NA	11200	-3.543975471984595E-4	-0.12292266	No	
row_61	COL11A1	NA	11216	-5.321843782439828E-4	-0.12361147	No	
row_62	CDKN1B	NA	11307	-0.0017104545840993524	-0.12783407	No	
row_63	PTGFR	NA	11364	-0.002472084015607834	-0.13037628	No	
row_64	GRK5	NA	11411	-0.0029396398458629847	-0.13240951	No	
row_65	SRI	NA	11830	-0.007979685440659523	-0.15201896	No	
row_66	FBLN5	NA	11993	-0.009761211462318897	-0.15921529	No	
row_67	RUNX1	NA	12021	-0.010036904364824295	-0.15990579	No	
row_68	TENT4A	NA	12129	-0.01123916544020176	-0.16436897	No	
row_69	CCN1	NA	12223	-0.012441613711416721	-0.16808644	No	
row_70	ERBB2	NA	12374	-0.014325425028800964	-0.17442977	No	
row_71	SLC22A18	NA	12695	-0.01808748207986355	-0.18871698	No	
row_72	PRKAR2B	NA	12724	-0.018483325839042664	-0.18894447	No	
row_73	AGGF1	NA	12838	-0.019838174805045128	-0.19317573	No	
row_74	SPOP	NA	13086	-0.02309633418917656	-0.20365092	No	
row_75	ABCC1	NA	13150	-0.02391660213470459	-0.20523202	No	
row_76	YTHDC1	NA	13406	-0.026939118281006813	-0.21585923	No	
row_77	SNAI2	NA	13742	-0.031284596771001816	-0.2300689	No	
row_78	DMAC2L	NA	13848	-0.032706450670957565	-0.23313698	No	
row_79	PTEN	NA	14052	-0.035334568470716476	-0.24075668	No	
row_80	MRPS31	NA	14134	-0.03643520176410675	-0.24244551	No	
row_81	PDLIM5	NA	14362	-0.039596837013959885	-0.25096092	No	
row_82	DLG1	NA	14556	-0.04229583963751793	-0.25767872	No	
row_83	MAPK14	NA	14697	-0.04417698457837105	-0.26173508	No	
row_84	BCKDHB	NA	14801	-0.045799653977155685	-0.26391476	No	
row_85	SMAD7	NA	14968	-0.048015374690294266	-0.26898867	No	
row_86	ATP2B4	NA	15001	-0.048500292003154755	-0.26759213	No	
row_87	PEX14	NA	15064	-0.04935099929571152	-0.26758617	No	
row_88	CDON	NA	15096	-0.049789220094680786	-0.26606357	No	
row_89	ATRN	NA	15203	-0.05151970311999321	-0.26804134	No	
row_90	AKT3	NA	15291	-0.05269934982061386	-0.26903448	No	
row_91	ATP2C1	NA	15345	-0.053493861109018326	-0.2683452	No	
row_92	PTPRM	NA	15393	-0.05396495759487152	-0.26733905	No	
row_93	WDR37	NA	15458	-0.05493401736021042	-0.2670914	No	
row_94	NFKB1	NA	15544	-0.05638217180967331	-0.26776552	No	
row_95	DYRK1A	NA	15585	-0.05708318576216698	-0.2662342	No	
row_96	RXRA	NA	15705	-0.0590120367705822	-0.2683835	No	
row_97	NOTCH2	NA	16079	-0.0646878108382225	-0.28239855	No	
row_98	ADD3	NA	16096	-0.06502839922904968	-0.27923286	No	
row_99	MAP2K5	NA	16179	-0.06653400510549545	-0.27914852	No	
row_100	CELF2	NA	16503	-0.07186586409807205	-0.29032588	No	
row_101	ANXA2	NA	16984	-0.08074574172496796	-0.30851254	No	
row_102	SDC2	NA	17458	-0.08955595642328262	-0.32582963	No	
row_103	NR3C1	NA	17700	-0.09494773298501968	-0.33166876	Yes	
row_104	PIK3R3	NA	17775	-0.0964323952794075	-0.32939076	Yes	
row_105	SFMBT1	NA	17840	-0.09804429113864899	-0.32653457	Yes	
row_106	MTA1	NA	17863	-0.09864664822816849	-0.32162306	Yes	
row_107	RASA2	NA	17938	-0.10014380514621735	-0.3191205	Yes	
row_108	PRDM2	NA	17982	-0.10099419206380844	-0.31507635	Yes	
row_109	ZMIZ1	NA	18088	-0.10387824475765228	-0.31383792	Yes	
row_110	SCAF8	NA	18220	-0.10742343217134476	-0.31363472	Yes	
row_111	ADORA2B	NA	18323	-0.10994552820920944	-0.31188497	Yes	
