NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MBL2	NA	33	0.4641992151737213	0.02244402	Yes	
row_1	CYP1A2	NA	59	0.405917227268219	0.04225599	Yes	
row_2	SERPINE1	NA	227	0.30544179677963257	0.05002168	Yes	
row_3	GSTA3	NA	256	0.29996830224990845	0.06420341	Yes	
row_4	TAT	NA	398	0.2709600329399109	0.07143689	Yes	
row_5	PTGR1	NA	449	0.26400572061538696	0.08269627	Yes	
row_6	GSTM4	NA	591	0.24770820140838623	0.08872586	Yes	
row_7	CFB	NA	599	0.24625584483146667	0.1011387	Yes	
row_8	CD36	NA	618	0.24485523998737335	0.11294885	Yes	
row_9	ARG2	NA	671	0.23893138766288757	0.12281358	Yes	
row_10	GCKR	NA	903	0.21882274746894836	0.123009816	Yes	
row_11	FMO1	NA	950	0.21565291285514832	0.13195845	Yes	
row_12	AQP9	NA	978	0.21338322758674622	0.14170532	Yes	
row_13	HNF4A	NA	1256	0.19770513474941254	0.13859108	Yes	
row_14	FBLN1	NA	1295	0.19580890238285065	0.14689785	Yes	
row_15	VNN1	NA	1388	0.19108885526657104	0.15235756	Yes	
row_16	BCAR1	NA	1483	0.1860324889421463	0.1574591	Yes	
row_17	CYP2S1	NA	1492	0.18559511005878448	0.16668294	Yes	
row_18	ITIH4	NA	1497	0.18540769815444946	0.1760899	Yes	
row_19	CRP	NA	1596	0.18112194538116455	0.18074438	Yes	
row_20	FABP1	NA	1706	0.17698517441749573	0.1846545	Yes	
row_21	MPP2	NA	1746	0.1757081151008606	0.19187233	Yes	
row_22	MAOA	NA	2089	0.16225101053714752	0.18378957	Yes	
row_23	GAD1	NA	2322	0.15456393361091614	0.18061052	Yes	
row_24	ANGPTL3	NA	2449	0.15029752254486084	0.1823195	Yes	
row_25	HMOX1	NA	2848	0.13813260197639465	0.17028894	Yes	
row_26	KYNU	NA	2887	0.13705578446388245	0.17555368	Yes	
row_27	SPINT2	NA	3047	0.13295428454875946	0.17477417	Yes	
row_28	ACOX2	NA	3053	0.1328984946012497	0.18141419	Yes	
row_29	FMO3	NA	3076	0.13220490515232086	0.18719892	Yes	
row_30	CYP2C18	NA	3126	0.1310189962387085	0.19162093	Yes	
row_31	ABCD2	NA	3147	0.1303299367427826	0.197405	Yes	
row_32	TTPA	NA	3240	0.1279604434967041	0.19959615	Yes	
row_33	XDH	NA	3312	0.12603947520256042	0.2027	Yes	
row_34	ACSM1	NA	3325	0.12560440599918365	0.20862496	Yes	
row_35	ADH1C	NA	3335	0.12539947032928467	0.21468392	Yes	
row_36	CYP26A1	NA	3338	0.12534847855567932	0.2210776	Yes	
row_37	ESR1	NA	3552	0.12068511545658112	0.2170602	Yes	
row_38	NDRG2	NA	3618	0.11949536204338074	0.22011438	Yes	
row_39	MT2A	NA	3702	0.11740663647651672	0.22219288	Yes	
row_40	F11	NA	3777	0.1154661551117897	0.2246047	Yes	
row_41	VTN	NA	3825	0.1145545244216919	0.22827064	Yes	
row_42	RBP4	NA	3846	0.11401437968015671	0.23320992	Yes	
row_43	AOX1	NA	3850	0.11386697739362717	0.23896095	Yes	
row_44	TYR	NA	3877	0.11316311359405518	0.24356699	Yes	
row_45	CCL25	NA	4019	0.10985656827688217	0.24245912	Yes	
row_46	CYP4F2	NA	4090	0.10809465497732162	0.24468204	Yes	
row_47	PROS1	NA	4232	0.10506906360387802	0.2433263	Yes	
row_48	REG1A	NA	4305	0.10347304493188858	0.24521354	Yes	
row_49	HRG	NA	4363	0.10207374393939972	0.2477513	Yes	
row_50	ADH7	NA	4410	0.1011541336774826	0.2507716	Yes	
row_51	PLG	NA	4489	0.09933330118656158	0.25215533	Yes	
row_52	AKR1C2	NA	4905	0.09100808948278427	0.23686546	No	
row_53	DDAH2	NA	5346	0.08247071504592896	0.21992862	No	
row_54	JUP	NA	5386	0.0815512165427208	0.22227135	No	
row_55	EPHA2	NA	5425	0.08091457933187485	0.22462931	No	
row_56	SERTAD1	NA	5546	0.07849729806184769	0.22290993	No	
row_57	SLC22A1	NA	5615	0.07728464156389236	0.22363402	No	
row_58	DCXR	NA	6077	0.0696454644203186	0.205021	No	
row_59	PINK1	NA	6172	0.0679115504026413	0.20400664	No	
row_60	CYP2E1	NA	6186	0.06764205545186996	0.20688234	No	
row_61	CYB5A	NA	6189	0.06753354519605637	0.21028258	No	
row_62	HSD17B2	NA	6357	0.06487709283828735	0.2055927	No	
row_63	IDH1	NA	6795	0.057942945510149	0.18753052	No	
row_64	SERPINA6	NA	6970	0.05524056404829025	0.18200432	No	
row_65	CYP1A1	NA	6975	0.055116765201091766	0.18466528	No	
row_66	CES1	NA	7141	0.05272403731942177	0.17944255	No	
row_67	PTS	NA	7302	0.05038532614707947	0.17433974	No	
row_68	TMEM176B	NA	7354	0.049661364406347275	0.17445295	No	
row_69	CYP27A1	NA	7369	0.049476828426122665	0.17633991	No	
row_70	HES6	NA	7445	0.048440758138895035	0.1752332	No	
row_71	SMOX	NA	7474	0.047988273203372955	0.17636833	No	
row_72	GSR	NA	7557	0.04671499505639076	0.17483486	No	
row_73	ABCC3	NA	7561	0.04667997360229492	0.1771072	No	
row_74	GSTT2	NA	7692	0.04458579421043396	0.17315002	No	
row_75	NINJ1	NA	7767	0.04349002614617348	0.17183517	No	
row_76	FETUB	NA	8116	0.03819001838564873	0.1570398	No	
row_77	SLC12A4	NA	8140	0.03791842609643936	0.15789454	No	
row_78	CYP17A1	NA	8240	0.03687732666730881	0.15503237	No	
row_79	FAH	NA	8450	0.03383130207657814	0.14671077	No	
row_80	POR	NA	8601	0.031971629709005356	0.14113653	No	
row_81	PEMT	NA	8649	0.03128673881292343	0.14049116	No	
row_82	BLVRB	NA	8950	0.027462853118777275	0.12745386	No	
row_83	SSR3	NA	9028	0.02638525515794754	0.1251088	No	
row_84	PGD	NA	9055	0.02606741338968277	0.12520534	No	
row_85	GABARAPL1	NA	9355	0.02223281003534794	0.11194544	No	
row_86	UPB1	NA	9434	0.021125292405486107	0.109279834	No	
row_87	DHPS	NA	9436	0.021051611751317978	0.11032161	No	
row_88	GSTO1	NA	9445	0.02092045731842518	0.11101922	No	
row_89	ARPP19	NA	9623	0.018506746739149094	0.10344648	No	
row_90	IGF1	NA	9734	0.017115511000156403	0.09903095	No	
row_91	IGFBP1	NA	9795	0.016285095363855362	0.096982285	No	
row_92	LEAP2	NA	9821	0.01590796932578087	0.09660101	No	
row_93	RAP1GAP	NA	9972	0.014317994005978107	0.09011273	No	
row_94	HGFAC	NA	10171	0.012065664865076542	0.081194356	No	
row_95	ADH5	NA	10225	0.011294697411358356	0.07922469	No	
row_96	PTGES3	NA	10382	0.009423126466572285	0.07219379	No	
row_97	GSS	NA	10437	0.0088476138189435	0.07004923	No	
row_98	TDO2	NA	10567	0.006950850132852793	0.06419165	No	
row_99	ATOH8	NA	10642	0.006126816384494305	0.060942262	No	
row_100	PSMB10	NA	10912	0.0031162607483565807	0.048138507	No	
row_101	ELOVL5	NA	11145	2.3745500948280096E-4	0.036969	No	
row_102	PGRMC1	NA	11191	-2.5393825490027666E-4	0.034813266	No	
row_103	TGFB2	NA	11221	-6.263243267312646E-4	0.03344797	No	
row_104	ARG1	NA	11295	-0.0014982422580942512	0.03000713	No	
row_105	COMT	NA	11322	-0.0020056001376360655	0.02885784	No	
row_106	DHRS1	NA	11340	-0.0022137972991913557	0.028153107	No	
row_107	CDO1	NA	11407	-0.0029310809914022684	0.025123838	No	
row_108	CYFIP2	NA	11410	-0.0029391164425760508	0.025179619	No	
row_109	ABHD6	NA	11482	-0.0037306295707821846	0.02195076	No	
row_110	DHRS7	NA	11504	-0.0039701578207314014	0.021144176	No	
row_111	NFS1	NA	11808	-0.007694858126342297	0.00693877	No	
row_112	HSD11B1	NA	11824	-0.007905906066298485	0.0066251475	No	
row_113	ECH1	NA	11905	-0.00888715498149395	0.0032294986	No	
row_114	ITIH1	NA	11909	-0.00891126599162817	0.003546299	No	
row_115	EPHX1	NA	11926	-0.009035557508468628	0.0032429683	No	
row_116	PDK4	NA	11968	-0.00951392762362957	0.0017594706	No	
row_117	FAS	NA	12370	-0.014272544533014297	-0.016828714	No	
row_118	IGFBP4	NA	12424	-0.014924184419214725	-0.018610457	No	
row_119	TMBIM6	NA	12497	-0.01575014740228653	-0.021265186	No	
row_120	SLC6A12	NA	12551	-0.01623508147895336	-0.022979056	No	
row_121	DDT	NA	12645	-0.017565639689564705	-0.026551932	No	
row_122	BPHL	NA	12955	-0.02146148309111595	-0.040333737	No	
row_123	LCAT	NA	12995	-0.022032365202903748	-0.04107268	No	
row_124	LPIN2	NA	13046	-0.022609200328588486	-0.04231193	No	
row_125	PTGDS	NA	13099	-0.02328294701874256	-0.04361269	No	
row_126	CYP2J2	NA	13175	-0.02420978434383869	-0.045974	No	
row_127	HACL1	NA	13223	-0.02486405521631241	-0.046951912	No	
row_128	HPRT1	NA	13235	-0.025006351992487907	-0.046187345	No	
row_129	SLC6A6	NA	13310	-0.02578005939722061	-0.048419155	No	
row_130	ENPEP	NA	13620	-0.02962532266974449	-0.06177827	No	
row_131	TPST1	NA	13637	-0.029844995588064194	-0.06100416	No	
row_132	SLC46A3	NA	13905	-0.033491313457489014	-0.072138816	No	
row_133	CROT	NA	13910	-0.03351788595318794	-0.07059617	No	
row_134	CNDP2	NA	14184	-0.0371888093650341	-0.081828564	No	
row_135	NMT1	NA	14197	-0.037349164485931396	-0.08047313	No	
row_136	F10	NA	14229	-0.03777066990733147	-0.08001163	No	
row_137	IL1R1	NA	14237	-0.037872832268476486	-0.07838809	No	
row_138	PDLIM5	NA	14362	-0.039596837013959885	-0.082314394	No	
row_139	G6PC	NA	14372	-0.03977646678686142	-0.080688685	No	
row_140	ETS2	NA	14447	-0.040823645889759064	-0.0821416	No	
row_141	SAR1B	NA	14524	-0.04184533283114433	-0.083638005	No	
row_142	AHCY	NA	14651	-0.04363630712032318	-0.08745155	No	
row_143	CA2	NA	14657	-0.043682947754859924	-0.08543079	No	
row_144	ACP1	NA	14893	-0.04718197509646416	-0.09431428	No	
row_145	MAN1A1	NA	14992	-0.048347096890211105	-0.09653439	No	
row_146	MCCC2	NA	15077	-0.04959111660718918	-0.09801532	No	
row_147	GCH1	NA	15155	-0.0508936271071434	-0.09909144	No	
row_148	CASP6	NA	15239	-0.05205937847495079	-0.10039638	No	
row_149	CAT	NA	15316	-0.0530516542494297	-0.10131257	No	
row_150	GCNT2	NA	15487	-0.05547591671347618	-0.10663379	No	
row_151	AP4B1	NA	15623	-0.05758856236934662	-0.11015871	No	
row_152	MARCHF6	NA	15678	-0.058490291237831116	-0.10973296	No	
