NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	-0.6162485	-2.754118	0.0	0.0	0.0	4836	tags=47%, list=23%, signal=61%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	200	-0.5495062	-2.6693647	0.0	0.0	0.0	2721	tags=28%, list=13%, signal=32%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	-0.6372136	-2.573104	0.0	0.0	0.0	5002	tags=55%, list=24%, signal=72%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.43003234	-2.0511994	0.0	8.1818184E-4	0.001	7908	tags=50%, list=38%, signal=79%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	-0.39751688	-1.9153095	0.0	0.0012083916	0.002	4140	tags=36%, list=20%, signal=45%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	199	-0.3401287	-1.6369857	0.0	0.016437372	0.035	7416	tags=48%, list=35%, signal=73%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	-0.3327467	-1.6211584	0.0	0.016391171	0.042	3399	tags=29%, list=16%, signal=34%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	200	-0.32787982	-1.5920022	0.0	0.017504884	0.052	5640	tags=37%, list=27%, signal=50%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	-0.36918452	-1.5840322	0.0034013605	0.016946292	0.057	6151	tags=52%, list=29%, signal=73%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	-0.33741394	-1.5388618	0.0	0.023557821	0.08	3249	tags=28%, list=16%, signal=33%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	200	-0.32163513	-1.5312428	0.004237288	0.022877652	0.086	6666	tags=44%, list=32%, signal=63%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	100	-0.34551373	-1.5153743	0.009803922	0.02375009	0.097	4138	tags=35%, list=20%, signal=43%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	-0.4280388	-1.4794415	0.053619303	0.030850297	0.136	2900	tags=28%, list=14%, signal=33%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	200	-0.30121425	-1.4550589	0.0	0.036161732	0.168	3942	tags=25%, list=19%, signal=30%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	74	-0.33921164	-1.4324465	0.032051284	0.03966316	0.193	795	tags=14%, list=4%, signal=14%	
