NAME	TITLE	SCORE	
LOC441666	NA	0.71915764	
SLC6A16	NA	0.6955394	
DSPP	NA	0.66612333	
PLSCR4	NA	0.60377043	
ADH4	NA	0.60284406	
SH3GL3	NA	0.5835717	
ERVH-4	NA	0.5662839	
LINC01697	NA	0.55680203	
LINC02372	NA	0.5555982	
JUN	NA	0.5522752	
ALDH1B1	NA	0.5469904	
LINC02504	NA	0.54036236	
NPIPB13	NA	0.5379825	
SEPTIN7P13	NA	0.53279257	
LOC101928669	NA	0.5286603	
ZNF528	NA	0.5259231	
LINC00700	NA	0.51736325	
POTEM	NA	0.50856334	
LOC100130452	NA	0.50660914	
LINC00629	NA	0.50159377	
MEFV	NA	0.50049084	
DAZ3	NA	0.49448714	
LINC01949	NA	0.4936573	
SLC15A1	NA	0.49193394	
RBMS3	NA	0.4919126	
FCRL2	NA	0.48125654	
LOC102724449	NA	0.48111057	
ABCA5	NA	0.48095697	
EPPIN	NA	0.47425842	
LINC00408	NA	0.4739143	
FRG1BP	NA	0.4733287	
GAGE4	NA	0.4672484	
GABRB1	NA	0.46724567	
MBL2	NA	0.46419922	
NLRP1	NA	0.45834982	
ZNF595	NA	0.4542872	
LINC01410	NA	0.45078906	
APBB2	NA	0.4481466	
LINC00158	NA	0.44559842	
ANKRD20A1	NA	0.44523534	
BAGE	NA	0.44509777	
TMEFF2	NA	0.44084978	
LOC100505915	NA	0.4385562	
ZNF835	NA	0.43855217	
GAGE2C	NA	0.43442434	
SPDYE1	NA	0.43080172	
LOC101928361	NA	0.43042916	
TIMM8A	NA	0.4286799	
LOC441081	NA	0.42524943	
CNTNAP3	NA	0.4229999	
MAP1B	NA	0.4218249	
GLIDR	NA	0.4200537	
GAGE1	NA	0.41834983	
TPTE2P2	NA	0.41810212	
ELAVL2	NA	0.41790187	
HERC2P7	NA	0.41649967	
GSX1	NA	0.4138483	
ANKRD20A12P	NA	0.4128454	
LINC00525	NA	0.406309	
CYP1A2	NA	0.40591723	
GPM6A	NA	0.40535676	
PPEF2	NA	0.40392748	
SMCR5	NA	0.40277627	
ZNF252P-AS1	NA	0.40245187	
SNORD114-3	NA	0.40141734	
LINC00317	NA	0.40135598	
LOC101927811	NA	0.4005032	
PRICKLE1	NA	0.39932007	
CXADR	NA	0.39775145	
SIGLEC10	NA	0.39689282	
DEFB108B	NA	0.39687067	
OMD	NA	0.3956307	
LOC101927044	NA	0.39344126	
LINC00266-1	NA	0.39315805	
ANKRD18A	NA	0.39127082	
CGA	NA	0.38706812	
CFAP57	NA	0.38666403	
LOC102723704	NA	0.3858806	
RUNDC3A-AS1	NA	0.3854186	
ZNF429	NA	0.38333678	
LINC01192	NA	0.38271973	
LOC101060553	NA	0.38086435	
DEFB4A	NA	0.37939873	
OR1F1	NA	0.3784072	
C2CD4A	NA	0.3782703	
LINC00560	NA	0.3781942	
RIMBP2	NA	0.3775221	
NUDT16L2P	NA	0.37745553	
B3GAT2	NA	0.37737206	
KCNG1	NA	0.37718385	
LOC100129129	NA	0.37640804	
PTH2R	NA	0.37590376	
ACVR2B-AS1	NA	0.3750952	
LINC02053	NA	0.37190163	
C10orf67	NA	0.36938095	
LINC01800	NA	0.36917844	
KRTAP3-2	NA	0.36901513	
CFHR4	NA	0.36856	
LINC01792	NA	0.36658666	
SH2D4B	NA	0.36634806	
METTL14-DT	NA	0.36474085	
LOC101928988	NA	0.36468548	
LINC00622	NA	0.36427563	
GAREM1	NA	0.3641507	
CT55	NA	0.3606225	
LOC101927770	NA	0.36019033	
PRINS	NA	0.35879776	
ACSM2A	NA	0.3579887	
MTX3	NA	0.35741276	
SULF1	NA	0.35685933	
LOC100240734	NA	0.3563973	
KIRREL3-AS2	NA	0.35580322	
CCL19	NA	0.35418463	
MYLK3	NA	0.35339344	
LINC01148	NA	0.35128152	
PRO1804	NA	0.35063052	
FGF10-AS1	NA	0.34992772	
LOC339166	NA	0.34791693	
CLDN8	NA	0.3478346	
TP53TG3	NA	0.3475721	
JPH2	NA	0.3472085	
ADAM28	NA	0.34688848	
C5orf64	NA	0.3468327	
ESYT3	NA	0.34654048	
SMOC1	NA	0.34618133	
ANP32A-IT1	NA	0.3454235	
ANKRD6	NA	0.34453213	
GDF5	NA	0.3442059	
TCTN2	NA	0.3440053	
LCA5L	NA	0.3438869	
STMN4	NA	0.343536	
CR1	NA	0.34206524	
LOC389834	NA	0.3415285	
FAT3	NA	0.34111843	
BRD7P3	NA	0.3401261	
RFX4	NA	0.3392441	
TRIM4	NA	0.33917105	
TMEM212	NA	0.33876124	
SH3BGRL2	NA	0.33797634	
DDR1-DT	NA	0.337589	
FRMPD4	NA	0.33658132	
FABP4	NA	0.33631685	
LOC101928626	NA	0.33616212	
WBP2NL	NA	0.3345968	
LINC01252	NA	0.33454055	
C17orf99	NA	0.3340644	
POU4F2	NA	0.33355966	
GALNT13	NA	0.33353955	
PSG6	NA	0.33295447	
ZNF541	NA	0.3329456	
DEFB106A	NA	0.33267462	
CLCA1	NA	0.33125243	
ABCC9	NA	0.33015886	
COL14A1	NA	0.32956025	
CAPN12	NA	0.3292047	
SMG1P1	NA	0.32902998	
FDPSP2	NA	0.32816994	
BMS1P2	NA	0.32726267	
LOC101928446	NA	0.32703143	
PHETA2	NA	0.32648718	
REXO1L1P	NA	0.3263821	
HSBP1L1	NA	0.32620525	
FSCB	NA	0.32571813	
BRSK1	NA	0.32571197	
LINC00276	NA	0.32565647	
GRM4	NA	0.32489547	
ANKRD30BP3	NA	0.32489544	
MIR9-3HG	NA	0.32488224	
LINC01019	NA	0.3248493	
INSM2	NA	0.32467633	
FAM230B	NA	0.32448193	
FAM53B-AS1	NA	0.32422218	
ATP13A5	NA	0.32371554	
CCDC144A	NA	0.32351628	
LOC283045	NA	0.32337105	
