NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMGCS1	NA	18	2.38143253326416	0.009136608	Yes	
row_1	IDI1	NA	175	1.460959553718567	0.011653876	Yes	
row_2	BMPR1B	NA	228	1.3493130207061768	0.019159632	Yes	
row_3	ELOVL5	NA	374	1.1681174039840698	0.022204528	Yes	
row_4	INSIG1	NA	678	0.9304239749908447	0.01767076	Yes	
row_5	NKX3-1	NA	781	0.8845016360282898	0.022778204	Yes	
row_6	CENPN	NA	1055	0.783064067363739	0.019683423	Yes	
row_7	KLK2	NA	1452	0.6625585556030273	0.010688796	Yes	
row_8	KLK3	NA	1474	0.6576605439186096	0.019681504	Yes	
row_9	CDC14B	NA	1798	0.5888924598693848	0.014188412	Yes	
row_10	SPCS3	NA	1881	0.5742480754852295	0.02025518	Yes	
row_11	B4GALT1	NA	1921	0.5703056454658508	0.028384497	Yes	
row_12	MAF	NA	2201	0.5314735174179077	0.025001919	Yes	
row_13	HMGCR	NA	2303	0.5175880789756775	0.03015733	Yes	
row_14	PLPP1	NA	2375	0.5081242918968201	0.03675173	Yes	
row_15	SPDEF	NA	2575	0.48179006576538086	0.03720645	Yes	
row_16	DBI	NA	2664	0.46960803866386414	0.042985417	Yes	
row_17	UBE2I	NA	2812	0.45385366678237915	0.045934383	Yes	
row_18	ACSL3	NA	2868	0.4470890462398529	0.05329624	Yes	
row_19	MYL12A	NA	2869	0.44707509875297546	0.063296236	Yes	
row_20	HSD17B14	NA	2898	0.444711297750473	0.071953185	Yes	
row_21	CDK6	NA	2947	0.4415113627910614	0.079650804	Yes	
row_22	ZBTB10	NA	2952	0.4412800371646881	0.08945894	Yes	
row_23	KRT19	NA	3010	0.43725287914276123	0.09672487	Yes	
row_24	B2M	NA	3208	0.414569228887558	0.09727552	Yes	
row_25	LIFR	NA	3219	0.4127848148345947	0.106795855	Yes	
row_26	ANKH	NA	3251	0.409939706325531	0.1153089	Yes	
row_27	PGM3	NA	3392	0.3959062695503235	0.118593626	Yes	
row_28	HERC3	NA	3614	0.3734801709651947	0.117993094	No	
