NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGFR1	NA	134	1.597464919090271	0.021369973	Yes	
row_1	SPP1	NA	341	1.1973841190338135	0.039296947	Yes	
row_2	NRP1	NA	1707	0.6092678904533386	0.0018011986	Yes	
row_3	FSTL1	NA	1863	0.5766518712043762	0.022166964	Yes	
row_4	MSX1	NA	2359	0.5099409222602844	0.026274122	Yes	
row_5	POSTN	NA	3026	0.4355434775352478	0.022204157	Yes	
row_6	STC1	NA	3766	0.3643092215061188	0.014643373	Yes	
row_7	S100A4	NA	3798	0.36199551820755005	0.04093875	Yes	
row_8	LPL	NA	3851	0.35713261365890503	0.06622992	Yes	
row_9	APOH	NA	4454	0.3080053925514221	0.06522039	Yes	
row_10	JAG1	NA	4492	0.3049568831920624	0.09122885	Yes	
row_11	APP	NA	4751	0.28778401017189026	0.10666922	Yes	
row_12	PTK2	NA	4840	0.28164780139923096	0.13023889	Yes	
row_13	THBD	NA	6127	0.2095535695552826	0.09652087	Yes	
row_14	OLR1	NA	6476	0.1928011178970337	0.107657485	Yes	
row_15	CXCL6	NA	6854	0.17737199366092682	0.11740734	Yes	
row_16	CCND2	NA	7298	0.16048257052898407	0.12400111	Yes	
row_17	COL5A2	NA	7582	0.1498442143201828	0.13824598	Yes	
row_18	VAV2	NA	8231	0.12592196464538574	0.13503677	Yes	
row_19	PRG2	NA	9178	0.09687111526727676	0.11757736	Yes	
row_20	PGLYRP1	NA	9363	0.0916309580206871	0.13655636	Yes	
row_21	VTN	NA	9772	0.07904703915119171	0.14482382	Yes	
row_22	SERPINA5	NA	9806	0.0785040557384491	0.17102355	Yes	
row_23	KCNJ8	NA	10135	0.06923779100179672	0.18311656	Yes	
row_24	COL3A1	NA	11857	0.026497287675738335	0.12859708	No	
row_25	JAG2	NA	12092	0.02206253632903099	0.14518511	No	
row_26	LUM	NA	14042	-0.01765649951994419	0.07976282	No	
row_27	PF4	NA	14213	-0.021524077281355858	0.09941129	No	
row_28	SLCO2A1	NA	17053	-0.1356133222579956	-0.008570307	No	
row_29	PDGFA	NA	17430	-0.1643020361661911	0.0012273641	No	
row_30	VCAN	NA	17893	-0.20415890216827393	0.0069125635	No	
row_31	LRPAP1	NA	18230	-0.23985600471496582	0.018623011	No	
row_32	TNFRSF21	NA	18348	-0.2537344694137573	0.040805917	No	
row_33	ITGAV	NA	18754	-0.31019917130470276	0.04921682	No	
row_34	TIMP1	NA	19370	-0.43990087509155273	0.047585648	No	
row_35	VEGFA	NA	20543	-1.0944617986679077	0.01931905	No	
