NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	NA	286	1.2607733011245728	-0.008784461	Yes	
row_1	TMEM8B	NA	483	1.0592927932739258	-0.013231155	Yes	
row_2	MPZL2	NA	494	1.0488805770874023	-0.008713129	Yes	
row_3	EPB41L2	NA	520	1.0315076112747192	-0.004918065	Yes	
row_4	SYMPK	NA	619	0.9683487415313721	-0.004641412	Yes	
row_5	INSIG1	NA	678	0.9304239749908447	-0.002436862	Yes	
row_6	EGFR	NA	683	0.9272356629371643	0.0023703482	Yes	
row_7	PTEN	NA	734	0.9070835709571838	0.0049604774	Yes	
row_8	ACTN2	NA	740	0.9056748151779175	0.00971949	Yes	
row_9	FYB1	NA	741	0.9054613709449768	0.01471949	Yes	
row_10	CADM2	NA	826	0.8644152283668518	0.015670907	Yes	
row_11	ADAMTS5	NA	881	0.8419162631034851	0.018068247	Yes	
row_12	ALOX15B	NA	889	0.8395817875862122	0.022730865	Yes	
row_13	RRAS	NA	1004	0.8004463911056519	0.022236358	Yes	
row_14	ITGB1	NA	1276	0.71098792552948	0.014174858	Yes	
row_15	STX4	NA	1400	0.6736461520195007	0.013246576	Yes	
row_16	GNAI2	NA	1451	0.6629782319068909	0.015836705	Yes	
row_17	NF1	NA	1584	0.6357342004776001	0.014474646	Yes	
row_18	TSPAN4	NA	1649	0.6209658980369568	0.01639001	Yes	
row_19	NECTIN2	NA	1674	0.6166766285896301	0.020233274	Yes	
row_20	IRS1	NA	1679	0.615792453289032	0.025040483	Yes	
row_21	B4GALT1	NA	1921	0.5703056454658508	0.018424906	Yes	
row_22	CD276	NA	1925	0.5694812536239624	0.023280313	Yes	
row_23	CDH6	NA	2047	0.5492977499961853	0.022448426	Yes	
row_24	NRTN	NA	2234	0.5271831750869751	0.018483706	Yes	
row_25	NFASC	NA	2383	0.5073057413101196	0.01635049	Yes	
row_26	CDSN	NA	2397	0.5047759413719177	0.020723922	Yes	
row_27	SLC30A3	NA	2405	0.5040677785873413	0.02538654	Yes	
row_28	PBX2	NA	2436	0.5010546445846558	0.028940618	Yes	
row_29	DSC3	NA	2518	0.48890239000320435	0.030036626	Yes	
row_30	HADH	NA	3127	0.42242878675460815	0.0057325973	Yes	
row_31	SKAP2	NA	3192	0.41626662015914917	0.0076479623	Yes	
row_32	PDZD3	NA	3378	0.396932452917099	0.0037314403	Yes	
row_33	CADM3	NA	3389	0.3962286710739136	0.008249466	Yes	
row_34	RSU1	NA	3628	0.37275099754333496	0.0017784807	Yes	
row_35	ADAM23	NA	3802	0.3616093099117279	-0.0015596724	Yes	
row_36	SRC	NA	3809	0.3613678812980652	0.003151143	Yes	
row_37	FSCN1	NA	3976	0.3437052071094513	1.5037169E-4	Yes	
row_38	CD86	NA	4056	0.33769553899765015	0.0013427756	Yes	
row_39	CD34	NA	4070	0.33668649196624756	0.0057162093	Yes	
row_40	NEGR1	NA	4169	0.3296591341495514	0.0059928624	Yes	
row_41	JUP	NA	4242	0.3233674168586731	0.007522648	Yes	
row_42	AKT3	NA	4263	0.3212184011936188	0.011558699	Yes	
row_43	ITGA10	NA	4310	0.31730833649635315	0.014341618	Yes	
row_44	PTPRC	NA	4444	0.3084835708141327	0.012931362	Yes	
row_45	SHC1	NA	4538	0.30231454968452454	0.013449002	Yes	
row_46	LAMA3	NA	4563	0.30070143938064575	0.017292263	Yes	
row_47	LAMC2	NA	4656	0.2933087944984436	0.017858101	Yes	
row_48	YWHAH	NA	4657	0.2933087944984436	0.022858102	Yes	
row_49	PARVA	NA	4754	0.2877134084701538	0.023231149	Yes	
row_50	DLG1	NA	4801	0.2848373353481293	0.026014067	Yes	
row_51	PTK2	NA	4840	0.28164780139923096	0.029182566	Yes	
row_52	SORBS3	NA	4935	0.2741483747959137	0.029652009	Yes	
row_53	WASL	NA	5024	0.2693425714969635	0.030410636	Yes	
row_54	RHOF	NA	5276	0.2544569671154022	0.023313085	Yes	
row_55	CD209	NA	5659	0.23423568904399872	0.009901671	Yes	
row_56	THBS3	NA	5867	0.22337254881858826	0.004924806	Yes	
row_57	PPP2R2C	NA	5880	0.2227383702993393	0.009346437	Yes	
row_58	CNTN1	NA	5917	0.22059115767478943	0.01261133	Yes	
row_59	MMP2	NA	5948	0.21915976703166962	0.016165407	Yes	
row_60	GNAI1	NA	6046	0.21468934416770935	0.016490256	Yes	
row_61	CD99	NA	6066	0.2138749659061432	0.020574506	Yes	
