NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TMEM8B	NA	483	1.0592927932739258	-3.7835177E-4	Yes	
row_1	AFAP1L2	NA	590	0.9911697506904602	0.017278122	Yes	
row_2	NCOA6	NA	798	0.8747087121009827	0.030102985	Yes	
row_3	B4GALT1	NA	1921	0.5703056454658508	-8.4367883E-4	Yes	
row_4	PLAUR	NA	2318	0.5154783129692078	0.0029398522	Yes	
row_5	ATP8B1	NA	2578	0.4813706576824188	0.013277153	Yes	
row_6	AKAP7	NA	3043	0.4332467317581177	0.013807718	Yes	
row_7	CD160	NA	3050	0.43252283334732056	0.036247965	Yes	
row_8	MAL	NA	3306	0.40458983182907104	0.046776615	Yes	
row_9	LYPD3	NA	3896	0.3532586097717285	0.041327465	Yes	
row_10	NTNG1	NA	3941	0.3479134738445282	0.06194988	Yes	
row_11	EFNA5	NA	4067	0.33679986000061035	0.078697436	Yes	
row_12	APP	NA	4751	0.28778401017189026	0.06875154	Yes	
row_13	DCBLD2	NA	4924	0.27482226490974426	0.08325072	Yes	
row_14	GHRL	NA	5798	0.2267463058233261	0.06421565	Yes	
row_15	PKHD1	NA	6012	0.21612700819969177	0.07675349	Yes	
row_16	GAS1	NA	6275	0.20321863889694214	0.08694728	Yes	
row_17	LYN	NA	6682	0.18414776027202606	0.09025243	Yes	
row_18	CX3CL1	NA	7447	0.1545897126197815	0.07643168	Yes	
row_19	SLC34A3	NA	8003	0.13483372330665588	0.07260901	Yes	
row_20	CROCC	NA	8103	0.13101348280906677	0.09060034	Yes	
row_21	MDGA1	NA	8386	0.11994051933288574	0.09983738	Yes	
row_22	SLC2A4	NA	8516	0.1160670816898346	0.11639358	Yes	
row_23	PCSK9	NA	9606	0.08419635146856308	0.08702556	No	
row_24	ADIPOR2	NA	11142	0.04243949055671692	0.036321916	No	
row_25	GSTM3	NA	11262	0.039805468171834946	0.0533565	No	
row_26	EPHB4	NA	11647	0.03040812537074089	0.057714082	No	
row_27	GATA3	NA	11738	0.02857237681746483	0.07613596	No	
row_28	RTN4RL1	NA	11776	0.027991555631160736	0.09709324	No	
row_29	SCUBE1	NA	12317	0.017632678151130676	0.093988135	No	
row_30	BRCA1	NA	15321	-0.052058227360248566	-0.026941305	No	
row_31	SLC22A12	NA	15411	-0.05540158599615097	-0.00847159	No	
row_32	SULF2	NA	15736	-0.0687996968626976	-0.0012437413	No	
row_33	SRPX	NA	15863	-0.07548606395721436	0.015455978	No	
row_34	THY1	NA	16211	-0.09058015793561935	0.021583557	No	
row_35	HSPB1	NA	17870	-0.20319995284080505	-0.03500413	No	
row_36	SHROOM2	NA	17956	-0.21035178005695343	-0.016343065	No	
row_37	RHCG	NA	19542	-0.48499128222465515	-0.0694386	No	
row_38	ATP6V0A4	NA	19696	-0.5349131226539612	-0.054030497	No	
row_39	ADAM10	NA	19952	-0.6350060105323792	-0.043501846	No	
row_40	FLOT2	NA	20047	-0.6869496703147888	-0.02527132	No	
row_41	IL2RG	NA	20308	-0.861691415309906	-0.0149818575	No	
row_42	CRYBG1	NA	20469	-1.0142722129821777	9.137846E-5	No	
row_43	IL2RB	NA	20505	-1.0550402402877808	0.02114433	No	
