NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARL6IP1	NA	418	1.1265430450439453	-0.01338571	No	
row_1	EIF1B	NA	625	0.9630908966064453	-0.016578622	No	
row_2	TK2	NA	822	0.8652697205543518	-0.019290743	No	
row_3	GUK1	NA	852	0.8516544699668884	-0.013973631	No	
row_4	VPS37D	NA	876	0.8455937504768372	-0.008368044	No	
row_5	POLR3GL	NA	993	0.8041699528694153	-0.007233826	No	
row_6	POLD4	NA	1093	0.7694456577301025	-0.0052822605	No	
row_7	MPC2	NA	1110	0.7632333040237427	6.5988116E-4	No	
row_8	SDCBP	NA	1365	0.6861884593963623	-0.0048408345	No	
row_9	RALA	NA	1580	0.6366187334060669	-0.008418381	No	
row_10	POLA2	NA	1644	0.6223974823951721	-0.0047359634	No	
row_11	TAF13	NA	1666	0.6181763410568237	9.657821E-4	No	
row_12	STX3	NA	2048	0.5492199659347534	-0.0106409965	No	
row_13	SNAPC5	NA	2177	0.5343274474143982	-0.0100837285	No	
row_14	POLB	NA	2579	0.4812565743923187	-0.022652091	No	
row_15	GTF2A2	NA	2891	0.4454553723335266	-0.030893324	No	
row_16	SMAD5	NA	2909	0.44424155354499817	-0.02499926	No	
row_17	GTF2H3	NA	2930	0.4430568814277649	-0.019249437	No	
row_18	GTF2H5	NA	2986	0.43942421674728394	-0.015182385	No	
row_19	POLH	NA	3583	0.37581661343574524	-0.0371262	No	
row_20	COX17	NA	3898	0.35317879915237427	-0.045511667	No	
row_21	SAC3D1	NA	4601	0.29827821254730225	-0.072551884	No	
row_22	POLR2J	NA	4650	0.29410600662231445	-0.06814828	No	
row_23	CSTF3	NA	5025	0.2693425714969635	-0.079418495	No	
row_24	DUT	NA	5418	0.24775287508964539	-0.09155415	No	
row_25	POLR2K	NA	5540	0.24068447947502136	-0.090660326	No	
row_26	BOLA2	NA	5544	0.2405456006526947	-0.08409315	No	
row_27	RBX1	NA	5820	0.22532619535923004	-0.09060354	No	
row_28	NUDT21	NA	5919	0.22049549221992493	-0.08860389	No	
row_29	PDE4B	NA	5949	0.2191278636455536	-0.08328678	No	
row_30	ELOA	NA	6459	0.19395965337753296	-0.101047695	No	
row_31	TARBP2	NA	6542	0.19004610180854797	-0.09827878	No	
row_32	DCTN4	NA	6618	0.1871163547039032	-0.09517332	No	
row_33	DGCR8	NA	6633	0.18656501173973083	-0.08913502	No	
row_34	GTF2F1	NA	6690	0.1839459091424942	-0.08511604	No	
row_35	PCNA	NA	6737	0.18284296989440918	-0.08061628	No	
row_36	HPRT1	NA	7029	0.17099887132644653	-0.08789593	No	
row_37	POLL	NA	7739	0.1436784863471985	-0.11527269	No	
row_38	GMPR2	NA	8130	0.12965957820415497	-0.12731218	No	
row_39	ELL	NA	8527	0.11582871526479721	-0.13964015	No	
row_40	RAD52	NA	8935	0.10347293317317963	-0.152497	No	
row_41	CDA	NA	8962	0.10240662842988968	-0.14703564	No	
row_42	SURF1	NA	9055	0.09991811215877533	-0.14474753	No	
row_43	ERCC2	NA	9181	0.09684737026691437	-0.14404602	No	
row_44	ERCC8	NA	9221	0.0959031730890274	-0.1392097	No	
row_45	TAF10	NA	9446	0.08947999030351639	-0.14326803	No	
row_46	CANT1	NA	9628	0.08339404314756393	-0.14525896	No	
row_47	GTF2H1	NA	9998	0.07308182865381241	-0.1562888	No	
row_48	RFC5	NA	10060	0.07121166586875916	-0.15251023	No	
row_49	SUPT5H	NA	10301	0.0645371675491333	-0.15733783	No	
row_50	DAD1	NA	10504	0.05866076052188873	-0.16033842	No	
row_51	NT5C3A	NA	10606	0.05640358105301857	-0.15848301	No	
row_52	POLR2A	NA	10731	0.05295155942440033	-0.15773343	No	
row_53	RAE1	NA	10736	0.05285975709557533	-0.15121435	No	
row_54	POLR2C	NA	10873	0.04918728768825531	-0.1510417	No	
row_55	POLR2G	NA	11054	0.04423413425683975	-0.15298456	No	
row_56	FEN1	NA	11415	0.03556244447827339	-0.16358167	No	
row_57	DGUOK	NA	11418	0.035520199686288834	-0.15696642	No	
row_58	EDF1	NA	11710	0.029165267944335938	-0.16424607	No	
row_59	POLD3	NA	12075	0.022231489419937134	-0.1750355	No	
row_60	ALYREF	NA	12325	0.017527032643556595	-0.18029583	No	
row_61	CETN2	NA	12465	0.014907173812389374	-0.18026742	No	
row_62	POLR2F	NA	12619	0.011461945250630379	-0.18091214	No	
row_63	ADA	NA	12633	0.011193646118044853	-0.17482576	No	
row_64	BCAM	NA	12810	0.007714835926890373	-0.1765763	No	
row_65	TYMS	NA	12875	0.006129935383796692	-0.17294195	No	
row_66	PDE6G	NA	13027	0.002768268110230565	-0.17349051	No	
row_67	POLR1D	NA	13120	0.0011729297693818808	-0.17120239	No	
row_68	LIG1	NA	13248	-0.0011427903082221746	-0.17059705	No	
row_69	MPG	NA	13448	-0.0046645705588161945	-0.1734534	No	
row_70	GPX4	NA	13624	-0.008901736699044704	-0.17515586	No	
row_71	CLP1	NA	13747	-0.011537084355950356	-0.17431012	No	
row_72	SUPT4H1	NA	13832	-0.012851923704147339	-0.17163736	No	
row_73	TAF1C	NA	13943	-0.015430239960551262	-0.17021467	No	
row_74	POM121	NA	14243	-0.021945400163531303	-0.17787895	No	
row_75	AGO4	NA	14331	-0.023444239050149918	-0.17535043	No	
row_76	BCAP31	NA	14561	-0.028285615146160126	-0.17964917	No	
row_77	ADCY6	NA	14933	-0.03860020264983177	-0.19077516	No	
row_78	CCNO	NA	15273	-0.050938934087753296	-0.20036261	No	
row_79	RRM2B	NA	15414	-0.055584974586963654	-0.20038229	Yes	
row_80	ERCC4	NA	15440	-0.05640135332942009	-0.19487286	Yes	
row_81	NPR2	NA	15519	-0.05841486528515816	-0.19191162	Yes	
row_82	TMED2	NA	15650	-0.06551161408424377	-0.19145052	Yes	
row_83	TSG101	NA	15688	-0.06707418709993362	-0.18651804	Yes	
row_84	ERCC5	NA	15910	-0.07800539582967758	-0.19043215	Yes	
row_85	NFX1	NA	16101	-0.08524574339389801	-0.19285579	Yes	
row_86	ZNF707	NA	16305	-0.09521999955177307	-0.19590446	Yes	
row_87	NELFE	NA	16453	-0.10134682059288025	-0.1962607	Yes	
row_88	POLE4	NA	16473	-0.10254368931055069	-0.1904628	Yes	
row_89	UPF3B	NA	16535	-0.10591598600149155	-0.18668422	Yes	
row_90	SNAPC4	NA	16587	-0.10863953083753586	-0.18242486	Yes	
row_91	RFC2	NA	16771	-0.1182032898068428	-0.18451194	Yes	
row_92	RFC3	NA	16800	-0.11916533857584	-0.17914675	Yes	
row_93	NELFB	NA	16936	-0.1275143325328827	-0.17892604	Yes	
row_94	DDB2	NA	16976	-0.13001024723052979	-0.17408971	Yes	
row_95	POLR2D	NA	16983	-0.13101348280906677	-0.1676668	Yes	
row_96	GTF3C5	NA	17023	-0.13314221799373627	-0.16283047	Yes	
row_97	UMPS	NA	17097	-0.13814054429531097	-0.15962884	Yes	
row_98	VPS28	NA	17372	-0.1600547432899475	-0.16609114	Yes	
row_99	XPC	NA	17572	-0.17601892352104187	-0.1689475	Yes	
row_100	ERCC3	NA	17628	-0.17995406687259674	-0.16488045	Yes	
row_101	AK1	NA	17735	-0.18946264684200287	-0.16326544	Yes	
row_102	PRIM1	NA	17763	-0.19252800941467285	-0.15785217	Yes	
row_103	REV3L	NA	17837	-0.19978809356689453	-0.15465054	Yes	
row_104	TAF12	NA	17884	-0.20360830426216125	-0.15015078	Yes	
row_105	AK3	NA	18061	-0.22203482687473297	-0.15190132	Yes	
row_106	POLD1	NA	18227	-0.23928171396255493	-0.15312298	Yes	
row_107	CMPK2	NA	18389	-0.25752273201942444	-0.15415232	Yes	
row_108	VPS37B	NA	18461	-0.2682451903820038	-0.15085454	Yes	
row_109	GTF2B	NA	18558	-0.28083300590515137	-0.14875874	Yes	
row_110	RAD51	NA	18566	-0.28233814239501953	-0.14238389	Yes	
row_111	ERCC1	NA	18634	-0.29417771100997925	-0.13889378	Yes	
row_112	RPA3	NA	18655	-0.2957098186016083	-0.13314396	Yes	
row_113	NUDT9	NA	18736	-0.30892565846443176	-0.13027889	Yes	
row_114	RFC4	NA	18816	-0.3205714523792267	-0.12736574	Yes	
row_115	ZWINT	NA	18928	-0.3407895863056183	-0.12599112	Yes	
row_116	TP53	NA	19027	-0.36310216784477234	-0.123991475	Yes	
row_117	RNMT	NA	19134	-0.3834160566329956	-0.122376464	Yes	
row_118	POLR2I	NA	19137	-0.3839174211025238	-0.11576121	Yes	
row_119	USP11	NA	19152	-0.3874509036540985	-0.10972291	Yes	
row_120	POLR2H	NA	19414	-0.4484843611717224	-0.11556019	Yes	
row_121	BRF2	NA	19423	-0.45219841599464417	-0.10923341	Yes	
row_122	GSDME	NA	19437	-0.45561978220939636	-0.10314703	Yes	
row_123	ADRM1	NA	19582	-0.4980244040489197	-0.10335903	Yes	
row_124	SF3A3	NA	19599	-0.5027230978012085	-0.097416885	Yes	
row_125	SSRP1	NA	19626	-0.5104405879974365	-0.09195554	Yes	
row_126	SEC61A1	NA	19639	-0.5161945223808289	-0.08582108	Yes	
row_127	AAAS	NA	19702	-0.5374266505241394	-0.08209059	Yes	
row_128	TAF9	NA	19811	-0.5823137760162354	-0.08057173	Yes	
row_129	POLR3C	NA	19852	-0.594122588634491	-0.07578349	Yes	
row_130	ITPA	NA	19860	-0.5970616340637207	-0.06940864	Yes	
row_131	HCLS1	NA	19871	-0.6034831404685974	-0.06317802	Yes	
row_132	NME4	NA	19895	-0.6132456064224243	-0.05757243	Yes	
row_133	SRSF6	NA	19983	-0.6483590006828308	-0.055043917	Yes	
row_134	POLR2E	NA	20028	-0.6723813414573669	-0.050447993	Yes	
row_135	PNP	NA	20052	-0.6882508993148804	-0.044842407	Yes	
row_136	TAF6	NA	20105	-0.7157909274101257	-0.040631115	Yes	
row_137	NME3	NA	20184	-0.7677943706512451	-0.03766989	Yes	
row_138	NT5C	NA	20214	-0.7880873680114746	-0.032352775	Yes	
row_139	NCBP2	NA	20315	-0.8644152283668518	-0.03044929	Yes	
row_140	POLA1	NA	20402	-0.9459165334701538	-0.027872695	Yes	
row_141	NELFCD	NA	20580	-1.1425925493240356	-0.02967131	Yes	
row_142	APRT	NA	20609	-1.1782861948013306	-0.024306118	Yes	
row_143	RPA2	NA	20665	-1.2697843313217163	-0.020239066	Yes	
row_144	POLR1C	NA	20792	-1.5651054382324219	-0.019585641	Yes	
row_145	NME1	NA	20806	-1.6014904975891113	-0.013499262	Yes	
row_146	DDB1	NA	20834	-1.7466540336608887	-0.008085991	Yes	
row_147	MRPL40	NA	20861	-1.9965399503707886	-0.002624642	Yes	
row_148	IMPDH2	NA	20874	-2.0442490577697754	0.0035098165	Yes	
