NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BIRC5	NA	21	2.2870256900787354	0.0040130285	Yes	
row_1	CDKN2C	NA	56	1.977888822555542	0.0073995213	Yes	
row_2	CDKN3	NA	94	1.7423330545425415	0.010641429	Yes	
row_3	SPC24	NA	95	1.7423330545425415	0.015666554	Yes	
row_4	MXD3	NA	104	1.6893296241760254	0.020306118	Yes	
row_5	CCNB2	NA	107	1.6838237047195435	0.025234854	Yes	
row_6	HMMR	NA	111	1.6695359945297241	0.030115394	Yes	
row_7	DEPDC1	NA	112	1.6649770736694336	0.035140518	Yes	
row_8	XPO1	NA	149	1.5390422344207764	0.038430624	Yes	
row_9	AURKA	NA	185	1.4332332611083984	0.04176892	Yes	
row_10	CKS2	NA	191	1.4265080690383911	0.046553068	Yes	
row_11	PLK4	NA	216	1.3667426109313965	0.050421514	Yes	
row_12	H2AX	NA	241	1.3307684659957886	0.054289956	Yes	
row_13	PTTG1	NA	242	1.3295940160751343	0.05931508	Yes	
row_14	TK1	NA	268	1.2859957218170166	0.06313533	Yes	
row_15	CDC20	NA	277	1.2672441005706787	0.06777489	Yes	
row_16	UBE2S	NA	303	1.2392425537109375	0.07159514	Yes	
row_17	CDK1	NA	305	1.2379765510559082	0.076572075	Yes	
row_18	KIF18B	NA	340	1.1983908414840698	0.079958566	Yes	
row_19	CKS1B	NA	380	1.1592609882354736	0.08310408	Yes	
row_20	DCK	NA	382	1.1576604843139648	0.08808102	Yes	
row_21	CDCA8	NA	426	1.1197997331619263	0.09103375	Yes	
row_22	TOP2A	NA	484	1.0583651065826416	0.09331176	Yes	
row_23	SPC25	NA	620	0.9675333499908447	0.091830544	Yes	
row_24	PLK1	NA	733	0.9070835709571838	0.09145782	Yes	
row_25	ORC6	NA	864	0.8478841185569763	0.09021758	Yes	
row_26	AURKB	NA	961	0.814009964466095	0.09061598	Yes	
row_27	PRIM2	NA	975	0.8099897503852844	0.09501457	Yes	
row_28	KIF2C	NA	1187	0.7369341254234314	0.08987053	Yes	
row_29	PSIP1	NA	1246	0.719363272190094	0.09210034	Yes	
row_30	PHF5A	NA	1300	0.7036787867546082	0.09457113	Yes	
row_31	GSPT1	NA	1526	0.6474606394767761	0.08875236	Yes	
row_32	CENPE	NA	1617	0.6276475787162781	0.08943992	Yes	
row_33	PDS5B	NA	1641	0.6232224702835083	0.093356565	Yes	
row_34	POLA2	NA	1644	0.6223974823951721	0.098285295	Yes	
row_35	CCP110	NA	1761	0.5964195132255554	0.09771979	Yes	
row_36	DIAPH3	NA	1955	0.5637041330337524	0.09344327	Yes	
row_37	STMN1	NA	2066	0.5469778776168823	0.09316693	Yes	
row_38	CBX5	NA	2137	0.5380070209503174	0.0948184	Yes	
row_39	HMGB2	NA	2176	0.5343274474143982	0.09801211	Yes	
row_40	CDCA3	NA	2349	0.5104405879974365	0.094747685	Yes	
row_41	SRSF1	NA	2462	0.4958445131778717	0.094374955	Yes	
row_42	HNRNPD	NA	2486	0.4932793378829956	0.0982916	Yes	
row_43	RAD51AP1	NA	2490	0.4930359423160553	0.10317214	Yes	
row_44	KIF22	NA	2913	0.44404202699661255	0.08785893	Yes	
row_45	CDKN1B	NA	2933	0.4424821734428406	0.09196835	Yes	
row_46	CCNE1	NA	3033	0.4347848892211914	0.09222216	Yes	
row_47	KIF4A	NA	3114	0.4235500693321228	0.09339168	Yes	
row_48	TACC3	NA	3142	0.4216768443584442	0.09711554	Yes	
row_49	CENPM	NA	3216	0.4131041467189789	0.09862242	Yes	
row_50	ING3	NA	3294	0.4061407744884491	0.09993652	Yes	
row_51	DLGAP5	NA	3340	0.40094488859176636	0.102792874	Yes	
row_52	NBN	NA	3346	0.40053626894950867	0.107577026	Yes	
row_53	ESPL1	NA	3388	0.3962714970111847	0.110626146	Yes	
row_54	TMPO	NA	3426	0.3916257321834564	0.11386806	Yes	
row_55	UBE2T	NA	3625	0.37280428409576416	0.109350555	Yes	
row_56	HUS1	NA	3672	0.37031564116477966	0.11215871	Yes	
row_57	E2F8	NA	3714	0.36681485176086426	0.11520783	Yes	
row_58	ASF1A	NA	3757	0.36440005898475647	0.118208766	Yes	
row_59	PPM1D	NA	3819	0.3605501055717468	0.12029399	Yes	
row_60	RACGAP1	NA	3878	0.35527631640434265	0.1225238	Yes	
row_61	NAA38	NA	3886	0.3540465235710144	0.12721156	Yes	
row_62	TFRC	NA	3910	0.35150957107543945	0.13112819	Yes	
row_63	MAD2L1	NA	4054	0.33774334192276	0.12926142	No	
row_64	USP1	NA	4247	0.3229932188987732	0.1250331	No	
row_65	EED	NA	4506	0.3039003014564514	0.11762389	No	
row_66	PRKDC	NA	4878	0.2785567343235016	0.104768634	No	
row_67	ATAD2	NA	5010	0.2703726887702942	0.1034802	No	
row_68	SMC1A	NA	5094	0.2650062143802643	0.10450513	No	
row_69	DUT	NA	5418	0.24775287508964539	0.09396324	No	
row_70	HELLS	NA	5477	0.24463088810443878	0.09619305	No	
row_71	CHEK1	NA	5559	0.23981930315494537	0.09731438	No	
row_72	KPNA2	NA	5587	0.23829396069049835	0.10103823	No	
row_73	SPAG5	NA	5692	0.2324647605419159	0.10105107	No	
row_74	BRMS1L	NA	5846	0.22385171055793762	0.09870235	No	
row_75	NUDT21	NA	5919	0.22049549221992493	0.10025743	No	
row_76	SMC3	NA	6266	0.20341457426548004	0.08860705	No	
row_77	STAG1	NA	6604	0.18757684528827667	0.07739043	No	
row_78	PCNA	NA	6737	0.18284296989440918	0.076053806	No	
row_79	BARD1	NA	6794	0.1800093799829483	0.07838	No	
row_80	MELK	NA	6811	0.1794704794883728	0.08263401	No	
row_81	CDC25A	NA	6853	0.17758747935295105	0.08568314	No	
row_82	XRCC6	NA	6889	0.17609092593193054	0.08902143	No	
row_83	DEK	NA	7066	0.16976723074913025	0.08556422	No	
row_84	RAD51C	NA	7181	0.16553814709186554	0.08509511	No	
row_85	MRE11	NA	7331	0.1595297008752823	0.08293916	No	
row_86	RAD1	NA	7910	0.13724683225154877	0.060107525	No	
row_87	TIMELESS	NA	7978	0.13554507493972778	0.06190358	No	
row_88	RFC1	NA	8136	0.12952467799186707	0.059362076	No	
row_89	LBR	NA	8178	0.12764210999011993	0.062411204	No	
row_90	WDR90	NA	8362	0.12099182605743408	0.058616627	No	
row_91	RAD21	NA	8427	0.11847248673439026	0.060557265	No	
row_92	CNOT9	NA	8637	0.11321283876895905	0.05550962	No	
row_93	ANP32E	NA	8648	0.11283884942531586	0.060052793	No	
row_94	RANBP1	NA	8696	0.11133111268281937	0.062812746	No	
row_95	BUB1B	NA	8920	0.10396623611450195	0.057090368	No	
row_96	GINS1	NA	9010	0.10112104564905167	0.05782613	No	
row_97	PRPS1	NA	9380	0.09107279777526855	0.04506727	No	
