NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TOB1	NA	5	2.799623727798462	0.00478415	Yes	
row_1	DNAJC1	NA	200	1.4017443656921387	4.5942786E-4	Yes	
row_2	DYNLT3	NA	204	1.391083836555481	0.005339968	Yes	
row_3	PLK4	NA	216	1.3667426109313965	0.009834948	Yes	
row_4	CDC20	NA	277	1.2672441005706787	0.011968368	Yes	
row_5	ELOVL5	NA	374	1.1681174039840698	0.012366764	Yes	
row_6	TSPAN13	NA	453	1.0956884622573853	0.013632673	Yes	
row_7	TOP2A	NA	484	1.0583651065826416	0.017211946	Yes	
row_8	SERPINA3	NA	839	0.8589266538619995	0.0051760087	Yes	
row_9	KIF20A	NA	892	0.8389171361923218	0.0076949894	Yes	
row_10	OPN3	NA	928	0.8238774538040161	0.011033287	Yes	
row_11	PLAAT3	NA	1051	0.7850396037101746	0.010178612	Yes	
row_12	SCNN1A	NA	1217	0.7283364534378052	0.0072515467	Yes	
row_13	FARP1	NA	1280	0.7092951536178589	0.009288576	Yes	
row_14	CHPT1	NA	1554	0.6428413391113281	0.001156442	Yes	
row_15	EMP2	NA	1579	0.6366187334060669	0.0050248853	Yes	
row_16	RET	NA	1619	0.6276475787162781	0.008170403	Yes	
row_17	ASCL1	NA	1624	0.627120852470398	0.013002748	Yes	
row_18	FRK	NA	1727	0.6036843657493591	0.013111974	Yes	
row_19	CXCL12	NA	1767	0.5952243804931641	0.016257491	Yes	
row_20	ST14	NA	2024	0.5525858998298645	0.0089446725	Yes	
row_21	CA12	NA	2453	0.49709632992744446	-0.006657701	Yes	
row_22	FOXC1	NA	2635	0.47369420528411865	-0.010355887	Yes	
row_23	ID2	NA	2668	0.46933671832084656	-0.0068730046	Yes	
row_24	PRSS23	NA	2681	0.4679292142391205	-0.0024262199	Yes	
row_25	CD44	NA	2698	0.46570128202438354	0.0018277841	Yes	
row_26	COX6C	NA	2718	0.46416378021240234	0.005937203	Yes	
row_27	GAL	NA	2760	0.46002888679504395	0.00898633	Yes	
row_28	TMPRSS3	NA	2779	0.45740416646003723	0.013143944	Yes	
row_29	PERP	NA	2896	0.4447658956050873	0.012578439	Yes	
row_30	GLA	NA	2984	0.4397938549518585	0.0134105915	Yes	
row_31	KRT19	NA	3010	0.43725287914276123	0.017230839	Yes	
row_32	JAK2	NA	3044	0.4332467317581177	0.020665526	Yes	
row_33	KLF4	NA	3106	0.42453503608703613	0.022750752	Yes	
row_34	BTG3	NA	3109	0.42436569929122925	0.027679488	Yes	
row_35	FGFR3	NA	3135	0.4221760630607605	0.031499736	Yes	
