NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HMGCS1	NA	18	2.38143253326416	0.005544539	No	
row_1	NCAPH2	NA	160	1.5083595514297485	0.005173341	No	
row_2	IDI1	NA	175	1.460959553718567	0.010910261	No	
row_3	BMPR1B	NA	228	1.3493130207061768	0.014819556	No	
row_4	ELOVL5	NA	374	1.1681174039840698	0.014255976	No	
row_5	PTPRG	NA	542	1.0194518566131592	0.012634297	No	
row_6	ACOT8	NA	587	0.9917933344841003	0.016928354	No	
row_7	UROD	NA	1158	0.7458779215812683	-0.004075779	No	
row_8	PTS	NA	1297	0.7051317691802979	-0.0043026907	No	
row_9	XIST	NA	1854	0.5790532231330872	-0.02463349	No	
row_10	SDHD	NA	2193	0.5325215458869934	-0.034479484	No	
row_11	GAD2	NA	2481	0.4937143921852112	-0.041872617	No	
row_12	HCCS	NA	2819	0.45272189378738403	-0.051670514	No	
row_13	RDH16	NA	2821	0.45267683267593384	-0.045308355	No	
row_14	CD36	NA	3057	0.4316295087337494	-0.050200522	No	
row_15	HADH	NA	3127	0.42242878675460815	-0.04710885	No	
row_16	NBN	NA	3346	0.40053626894950867	-0.051183395	No	
row_17	FMO1	NA	3548	0.37900152802467346	-0.05444032	No	
row_18	HSD17B7	NA	3685	0.36935970187187195	-0.05457104	No	
row_19	HSD17B11	NA	3703	0.36815640330314636	-0.048978407	No	
row_20	TP53INP2	NA	3877	0.35559502243995667	-0.050888658	No	
row_21	ALDH3A2	NA	4094	0.33492693305015564	-0.05486701	No	
row_22	ACADS	NA	4480	0.3061283826828003	-0.06697349	No	
row_23	BLVRA	NA	4603	0.2982650697231293	-0.06643088	No	
row_24	YWHAH	NA	4657	0.2933087944984436	-0.06256968	No	
row_25	EHHADH	NA	4819	0.2829650640487671	-0.06390279	No	
row_26	GABARAPL1	NA	5096	0.26492974162101746	-0.070766866	No	
row_27	PPARA	NA	5102	0.2648194134235382	-0.064597085	No	
row_28	HMGCS2	NA	5237	0.25626134872436523	-0.06463162	No	
row_29	ACSM3	NA	5311	0.2531227469444275	-0.061732326	No	
row_30	MGLL	NA	5371	0.24990500509738922	-0.058159698	No	
row_31	RDH11	NA	5517	0.2420503795146942	-0.05872328	No	
row_32	HSDL2	NA	5610	0.2369103878736496	-0.0567378	No	
row_33	VNN1	NA	5628	0.23605836927890778	-0.051145166	No	
row_34	PDHA1	NA	5763	0.22915519773960114	-0.051179696	No	
row_35	KMT5A	NA	5911	0.22070513665676117	-0.051839467	No	
row_36	MLYCD	NA	6579	0.18814410269260406	-0.07750886	No	
row_37	ME1	NA	6919	0.17469145357608795	-0.08740295	No	
row_38	CA4	NA	6935	0.17389938235282898	-0.08171412	No	
row_39	PCBD1	NA	6951	0.17360851168632507	-0.0760253	No	
row_40	HAO2	NA	7125	0.1674308329820633	-0.07793555	No	
row_41	RAP1GDS1	NA	7191	0.16490326821804047	-0.074651495	No	
row_42	HSD17B4	NA	7704	0.14553508162498474	-0.09286609	No	
row_43	ACADL	NA	7828	0.14073613286018372	-0.092371576	No	
row_44	ACOX1	NA	8190	0.1273212879896164	-0.103323765	No	
row_45	ECHS1	NA	8192	0.1272886097431183	-0.09696161	No	
row_46	CPT2	NA	8480	0.117034412920475	-0.10435474	No	
row_47	GPD1	NA	8707	0.11094716936349869	-0.108814046	No	
row_48	HPGD	NA	8723	0.11012780666351318	-0.10312522	No	
row_49	FABP1	NA	8821	0.10696852207183838	-0.10138022	No	
row_50	ACSS1	NA	9045	0.10006861388683319	-0.10569524	No	
row_51	SUCLG1	NA	9581	0.08492086827754974	-0.12501603	No	
row_52	ACAT2	NA	9722	0.08076278120279312	-0.12533914	No	
row_53	CPT1A	NA	9892	0.07604313641786575	-0.12705702	No	
row_54	CA2	NA	10166	0.0683121308684349	-0.1337768	No	
row_55	AADAT	NA	10294	0.06476230919361115	-0.13347466	No	
row_56	GPD2	NA	10300	0.06467323005199432	-0.12730488	No	
row_57	CRAT	NA	10343	0.06337644159793854	-0.122914635	No	
row_58	CYP4A11	NA	10408	0.06104731559753418	-0.11958249	No	
row_59	HSP90AA1	NA	10498	0.058700915426015854	-0.117452726	No	
row_60	ADIPOR2	NA	11142	0.04243949055671692	-0.14196782	No	
row_61	ECI1	NA	11217	0.04087461158633232	-0.13911663	No	
row_62	MAOA	NA	11401	0.03598600998520851	-0.14150783	No	
row_63	AQP7	NA	11420	0.035461798310279846	-0.13596329	No	
row_64	BCKDHB	NA	11467	0.03462968394160271	-0.13176543	No	
row_65	IDH1	NA	11743	0.028493696823716164	-0.13858141	No	
row_66	CYP1A1	NA	12114	0.02186540700495243	-0.14996646	No	
row_67	UROS	NA	12509	0.013852511532604694	-0.1625058	No	
row_68	ALDH1A1	NA	12561	0.012609090656042099	-0.15854841	No	
row_69	H2AZ1	NA	12620	0.011461945250630379	-0.15492769	No	
