NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPA	NA	10	2.518873453140259	0.0045180256	Yes	
row_1	POLQ	NA	16	2.4000535011291504	0.009277038	Yes	
row_2	TROAP	NA	17	2.389331817626953	0.014277038	Yes	
row_3	BIRC5	NA	21	2.2870256900787354	0.019132446	Yes	
row_4	NEK2	NA	37	2.093432903289795	0.023409484	Yes	
row_5	CDKN2C	NA	56	1.977888822555542	0.027541932	Yes	
row_6	KIF23	NA	58	1.9621713161468506	0.032493733	Yes	
row_7	NUSAP1	NA	77	1.823655366897583	0.03662618	Yes	
row_8	CCNA2	NA	92	1.7476638555526733	0.040951416	Yes	
row_9	CDKN3	NA	94	1.7423330545425415	0.045903217	Yes	
row_10	BUB1	NA	106	1.687174677848816	0.050373048	Yes	
row_11	CCNB2	NA	107	1.6838237047195435	0.055373047	Yes	
row_12	HMMR	NA	111	1.6695359945297241	0.060228456	Yes	
row_13	PURA	NA	124	1.6178604364395142	0.06465009	Yes	
row_14	TTK	NA	142	1.5547624826431274	0.06883073	Yes	
row_15	XPO1	NA	149	1.5390422344207764	0.073541544	Yes	
row_16	DTYMK	NA	169	1.4710323810577393	0.077625796	Yes	
row_17	AURKA	NA	185	1.4332332611083984	0.08190283	Yes	
row_18	CKS2	NA	191	1.4265080690383911	0.086661845	Yes	
row_19	PRC1	NA	199	1.4078001976013184	0.09132446	Yes	
row_20	MARCKS	NA	213	1.3721375465393066	0.095697895	Yes	
row_21	PLK4	NA	216	1.3667426109313965	0.1006015	Yes	
row_22	H2AX	NA	241	1.3307684659957886	0.104444765	Yes	
row_23	PTTG1	NA	242	1.3295940160751343	0.10944476	Yes	
row_24	CDC20	NA	277	1.2672441005706787	0.11280605	Yes	
row_25	UBE2S	NA	303	1.2392425537109375	0.11660112	Yes	
row_26	CDK1	NA	305	1.2379765510559082	0.121552914	Yes	
row_27	KIF20B	NA	372	1.1700519323349	0.12337189	Yes	
row_28	CKS1B	NA	380	1.1592609882354736	0.1280345	Yes	
row_29	TOP2A	NA	484	1.0583651065826416	0.12807018	Yes	
row_30	PBK	NA	509	1.04073965549469	0.13191344	Yes	
row_31	PTTG3P	NA	592	0.9897327423095703	0.13296124	Yes	
row_32	PLK1	NA	733	0.9070835709571838	0.1312136	Yes	
row_33	ORC6	NA	864	0.8478841185569763	0.12994795	Yes	
row_34	AURKB	NA	961	0.814009964466095	0.130321	Yes	
row_35	UBE2C	NA	964	0.813414990901947	0.1352246	Yes	
row_36	H2BC12	NA	969	0.81245356798172	0.1400318	Yes	
row_37	PRIM2	NA	975	0.8099897503852844	0.14479081	Yes	
row_38	G3BP1	NA	1028	0.7934141755104065	0.14728455	Yes	
row_39	CCNF	NA	1080	0.7749715447425842	0.14982648	Yes	
row_40	KIF2C	NA	1187	0.7369341254234314	0.14971755	Yes	
row_41	KIF11	NA	1244	0.719404399394989	0.1520185	Yes	
row_42	TPX2	NA	1319	0.6999484896659851	0.15345189	Yes	
row_43	FBXO5	NA	1355	0.6900830864906311	0.15676498	Yes	
row_44	GSPT1	NA	1526	0.6474606394767761	0.15357143	Yes	
row_45	CENPE	NA	1617	0.6276475787162781	0.15423365	Yes	
row_46	NSD2	NA	1635	0.6245372891426086	0.1584143	Yes	
row_47	PDS5B	NA	1641	0.6232224702835083	0.16317332	Yes	
row_48	POLA2	NA	1644	0.6223974823951721	0.16807692	Yes	
row_49	TFDP1	NA	1659	0.6190351247787476	0.17240216	Yes	
row_50	BUB3	NA	1698	0.6105612516403198	0.17557065	Yes	
row_51	STMN1	NA	2066	0.5469778776168823	0.1628822	Yes	
row_52	E2F2	NA	2081	0.5452812910079956	0.16720743	Yes	
row_53	DR1	NA	2230	0.5277525186538696	0.16507421	Yes	
row_54	SQLE	NA	2286	0.5199980735778809	0.16742335	Yes	
row_55	H2AZ2	NA	2434	0.5011255741119385	0.16533834	Yes	
row_56	SRSF1	NA	2462	0.4958445131778717	0.16903701	Yes	
row_57	HNRNPD	NA	2486	0.4932793378829956	0.17292847	Yes	
row_58	NUMA1	NA	2561	0.48344334959983826	0.17436185	Yes	
row_59	NDC80	NA	2603	0.4778633117675781	0.17738576	Yes	
row_60	CDC27	NA	2624	0.4762834310531616	0.18142182	Yes	
row_61	KIF22	NA	2913	0.44404202699661255	0.17254096	Yes	
row_62	CDKN1B	NA	2933	0.4424821734428406	0.1766252	Yes	
row_63	HNRNPU	NA	3001	0.43779563903808594	0.17839599	Yes	
row_64	EGF	NA	3071	0.42998525500297546	0.18007036	Yes	
row_65	KIF4A	NA	3114	0.4235500693321228	0.18304607	Yes	
row_66	TACC3	NA	3142	0.4216768443584442	0.18674473	Yes	
row_67	ESPL1	NA	3388	0.3962714970111847	0.17993638	Yes	
row_68	TMPO	NA	3426	0.3916257321834564	0.18315306	Yes	
row_69	DBF4	NA	3656	0.3711329698562622	0.17711586	Yes	
row_70	HUS1	NA	3672	0.37031564116477966	0.1813929	Yes	
row_71	TRAIP	NA	3727	0.36627909541130066	0.18379024	Yes	
row_72	MEIS1	NA	3772	0.3638734519481659	0.18666954	Yes	
row_73	CENPF	NA	3825	0.36051779985427856	0.18916328	Yes	
row_74	RACGAP1	NA	3878	0.35527631640434265	0.19165702	Yes	
row_75	KIF15	NA	3901	0.35249871015548706	0.19559668	Yes	
row_76	BCL3	NA	3990	0.34280911087989807	0.1963553	Yes	
row_77	MAD2L1	NA	4054	0.33774334192276	0.19831887	Yes	
row_78	EFNA5	NA	4067	0.33679986000061035	0.20274049	Yes	
row_79	KNL1	NA	4161	0.3298098146915436	0.20325814	Yes	
row_80	MEIS2	NA	4472	0.3069940507411957	0.19331694	No	
row_81	RPS6KA5	NA	4901	0.27700310945510864	0.17768845	No	
row_82	INCENP	NA	4918	0.27519533038139343	0.18191728	No	
row_83	CCND1	NA	4927	0.2745518684387207	0.18653171	No	
row_84	MT2A	NA	5050	0.2676723003387451	0.18565162	No	
row_85	SMC1A	NA	5094	0.2650062143802643	0.18857913	No	
row_86	LIG3	NA	5145	0.26180022954940796	0.19116926	No	
row_87	SMAD3	NA	5252	0.25535717606544495	0.19106033	No	
row_88	CHEK1	NA	5559	0.23981930315494537	0.18131192	No	
row_89	KPNA2	NA	5587	0.23829396069049835	0.1850106	No	
row_90	KMT5A	NA	5911	0.22070513665676117	0.17444283	No	
row_91	RASAL2	NA	6465	0.19368405640125275	0.15278965	No	
row_92	NCL	NA	6494	0.1923397332429886	0.15644012	No	
row_93	STAG1	NA	6604	0.18757684528827667	0.15618661	No	
row_94	ORC5	NA	6673	0.1844094842672348	0.15790918	No	
row_95	BARD1	NA	6794	0.1800093799829483	0.15712549	No	
row_96	CDC25A	NA	6853	0.17758747935295105	0.15933004	No	
row_97	FOXN3	NA	7069	0.16974429786205292	0.1539676	No	
row_98	KPNB1	NA	7442	0.1546727418899536	0.14103816	No	
row_99	LBR	NA	8178	0.12764210999011993	0.11061306	No	
row_100	SFPQ	NA	8193	0.12727075815200806	0.1149383	No	
