NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CENPA	NA	10	2.518873453140259	0.0045431745	No	
row_1	HMMR	NA	111	1.6695359945297241	0.004748791	No	
row_2	DEPDC1	NA	112	1.6649770736694336	0.009773917	No	
row_3	AURKA	NA	185	1.4332332611083984	0.011328995	No	
row_4	CDK1	NA	305	1.2379765510559082	0.010618906	No	
row_5	EGFR	NA	683	0.9272356629371643	-0.0025255189	No	
row_6	GALK2	NA	727	0.9070867896080017	4.2721772E-4	No	
row_7	GPC3	NA	751	0.8974291086196899	0.004343856	No	
row_8	CXCR4	NA	842	0.8565343022346497	0.0050314236	No	
row_9	KIF20A	NA	892	0.8389171361923218	0.0076949894	No	
row_10	UGP2	NA	1320	0.6998751163482666	-0.007859189	No	
row_11	PPIA	NA	1403	0.6725794076919556	-0.006786061	No	
row_12	ALDOB	NA	1688	0.6132400035858154	-0.015448342	No	
row_13	CYB5A	NA	1782	0.5921988487243652	-0.01490536	No	
row_14	DSC2	NA	1785	0.5915780663490295	-0.0099766245	No	
row_15	B4GALT1	NA	1921	0.5703056454658508	-0.011457836	No	
row_16	SOX9	NA	1936	0.5672563910484314	-0.007107442	No	
row_17	STMN1	NA	2066	0.5469778776168823	-0.008299483	No	
row_18	DCN	NA	2068	0.5462490916252136	-0.0033225527	No	
row_19	SLC37A4	NA	2330	0.5136479735374451	-0.010876346	No	
row_20	PAM	NA	2384	0.507277250289917	-0.008405561	No	
row_21	ELF3	NA	2429	0.5016074776649475	-0.005501019	No	
row_22	CD44	NA	2698	0.46570128202438354	-0.013392177	No	
row_23	TGFA	NA	2920	0.4431653916835785	-0.019018168	No	
row_24	POLR3K	NA	2963	0.44075116515159607	-0.016017236	No	
row_25	IL13RA1	NA	3169	0.4191976487636566	-0.020872105	No	
row_26	GLRX	NA	3243	0.4109031856060028	-0.01936522	No	
row_27	KDELR3	NA	3437	0.3903059959411621	-0.023641748	No	
row_28	GALK1	NA	3466	0.38732674717903137	-0.019966085	No	
row_29	BPNT1	NA	3576	0.3769083619117737	-0.020194223	No	
row_30	TFF3	NA	3729	0.3662537932395935	-0.022494752	No	
row_31	STC1	NA	3766	0.3643092215061188	-0.01920465	No	
row_32	SLC25A13	NA	3863	0.3564393222332001	-0.018806253	No	
row_33	P4HA1	NA	3870	0.35619503259658813	-0.0140702985	No	
row_34	XYLT2	NA	4138	0.33162587881088257	-0.021913262	No	
row_35	B4GALT4	NA	4217	0.3255133330821991	-0.020647354	No	
row_36	LHX9	NA	4363	0.3139777183532715	-0.022610517	No	
row_37	IGFBP3	NA	4396	0.31131571531295776	-0.019127633	No	
row_38	IER3	NA	4474	0.3069759011268616	-0.01781353	No	
row_39	HDLBP	NA	4719	0.2898736298084259	-0.024548007	No	
row_40	AGRN	NA	4772	0.2870714068412781	-0.022029027	No	
row_41	ALG1	NA	5036	0.2686495780944824	-0.02967921	No	
row_42	COL5A1	NA	5085	0.2654260993003845	-0.02696745	No	
row_43	CHST6	NA	5153	0.2616180181503296	-0.025171395	No	
row_44	B3GALT6	NA	5181	0.26005229353904724	-0.021447536	No	
row_45	SLC16A3	NA	5730	0.2305845469236374	-0.04283332	No	
row_46	RBCK1	NA	5742	0.23038630187511444	-0.03833834	No	
row_47	HS2ST1	NA	6149	0.2087119221687317	-0.052880425	No	
row_48	PLOD2	NA	6229	0.20503060519695282	-0.05166271	No	
row_49	NT5E	NA	6503	0.19182993471622467	-0.059794843	No	
row_50	ME1	NA	6919	0.17469145357608795	-0.07477068	No	
row_51	STC2	NA	7065	0.16979117691516876	-0.07673384	No	
row_52	BIK	NA	7146	0.1663869172334671	-0.075564325	No	
row_53	SDC1	NA	7376	0.15730403363704681	-0.08157588	No	
row_54	GUSB	NA	7522	0.15207570791244507	-0.08353904	No	
row_55	B3GAT1	NA	7701	0.14567208290100098	-0.08709264	No	
row_56	SLC35A3	NA	7744	0.14340293407440186	-0.08409171	No	
row_57	PDK3	NA	7784	0.14222940802574158	-0.08094619	No	
row_58	PKP2	NA	7824	0.1408492773771286	-0.077800676	No	
row_59	B3GNT3	NA	7900	0.13794158399105072	-0.076390184	No	
row_60	GCLC	NA	8207	0.12689782679080963	-0.08611275	No	
row_61	QSOX1	NA	8329	0.12200962007045746	-0.08691923	No	
row_62	TPBG	NA	8732	0.10984063148498535	-0.10126854	No	
row_63	MET	NA	8740	0.1096031591296196	-0.09658077	No	
row_64	EGLN3	NA	9018	0.10077795386314392	-0.10490569	No	
row_65	PRPS1	NA	9380	0.09107279777526855	-0.11727899	No	
row_66	IDUA	NA	9546	0.08605887740850449	-0.12020606	No	
row_67	EXT1	NA	9730	0.08053739368915558	-0.12400063	No	
row_68	P4HA2	NA	9767	0.07904703915119171	-0.12071053	No	
row_69	CACNA1H	NA	10097	0.06976832449436188	-0.1315416	No	
row_70	PGLS	NA	10129	0.0693313255906105	-0.12801051	No	
row_71	ALDH7A1	NA	10535	0.05793137848377228	-0.1425044	No	
row_72	TXN	NA	10584	0.056952495127916336	-0.13979264	No	
row_73	ARPP19	NA	10691	0.053955305367708206	-0.13987619	No	
row_74	SPAG4	NA	10693	0.053955305367708206	-0.13489926	No	
row_75	HS6ST2	NA	11079	0.04381844773888588	-0.14842924	No	
row_76	CHST12	NA	11326	0.03802971914410591	-0.15526012	No	
row_77	B3GAT3	NA	11338	0.03790699318051338	-0.15076514	No	
row_78	DPYSL4	NA	11589	0.03181421011686325	-0.15778878	No	
row_79	SDC3	NA	11676	0.02986111305654049	-0.15690844	No	
row_80	IDH1	NA	11743	0.028493696823716164	-0.15506418	No	
row_81	SDC2	NA	11988	0.023628192022442818	-0.16179866	No	
row_82	IRS2	NA	12005	0.02343376912176609	-0.15754466	No	
row_83	ANG	NA	12212	0.019464358687400818	-0.16244772	No	
