NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRDX2	NA	12	2.495328187942505	0.004421631	Yes	
row_1	OPTN	NA	41	2.053264617919922	0.008072103	Yes	
row_2	YPEL5	NA	82	1.8115801811218262	0.011144206	Yes	
row_3	RIOK3	NA	98	1.7242180109024048	0.015421245	Yes	
row_4	MKRN1	NA	352	1.1907421350479126	0.008227298	Yes	
row_5	RBM5	NA	379	1.1611868143081665	0.011974165	Yes	
row_6	SLC30A1	NA	407	1.1345698833465576	0.015672835	Yes	
row_7	TRIM10	NA	521	1.0302534103393555	0.015226527	Yes	
row_8	BTG2	NA	593	0.9896204471588135	0.01680451	Yes	
row_9	KLF3	NA	745	0.9004277586936951	0.014526701	Yes	
row_10	ATG4A	NA	750	0.8974549770355225	0.01933391	Yes	
row_11	FBXO7	NA	752	0.8972930312156677	0.024285713	Yes	
row_12	TFDP2	NA	761	0.8940814733505249	0.028900133	Yes	
row_13	ARHGEF12	NA	762	0.8933836817741394	0.033900134	Yes	
row_14	TMEM9B	NA	915	0.8297243118286133	0.031574126	Yes	
row_15	FOXJ2	NA	965	0.8131630420684814	0.03421245	Yes	
row_16	NUDT4	NA	1023	0.795613706111908	0.036465198	Yes	
row_17	ALDH6A1	NA	1102	0.7649551630020142	0.0377058	Yes	
row_18	GYPB	NA	1130	0.7581345438957214	0.04140447	Yes	
row_19	UROD	NA	1158	0.7458779215812683	0.04510314	Yes	
row_20	ADD1	NA	1193	0.7361252307891846	0.04846443	Yes	
row_21	SDCBP	NA	1365	0.6861884593963623	0.04522267	Yes	
row_22	H4C3	NA	1487	0.655718207359314	0.044390783	Yes	
row_23	FECH	NA	1515	0.6493560075759888	0.048089452	Yes	
row_24	XPO7	NA	1570	0.6397697925567627	0.050486792	Yes	
row_25	GLRX5	NA	1680	0.6156347990036011	0.05023327	Yes	
row_26	TCEA1	NA	1689	0.612493634223938	0.054847695	Yes	
row_27	ANK1	NA	1814	0.5858557224273682	0.053871214	Yes	
row_28	NEK7	NA	1841	0.5815416574478149	0.05761808	Yes	
row_29	GYPA	NA	1928	0.5686661601066589	0.058473103	Yes	
row_30	CLIC2	NA	1977	0.5588958263397217	0.061159626	Yes	
row_31	E2F2	NA	2081	0.5452812910079956	0.06119529	Yes	
row_32	MGST3	NA	2276	0.5218986868858337	0.056844994	Yes	
row_33	SLC6A8	NA	2381	0.5073057413101196	0.056832463	Yes	
row_34	CDC27	NA	2624	0.4762834310531616	0.050168686	Yes	
row_35	PDZK1IP1	NA	2637	0.47356095910072327	0.05459032	Yes	
row_36	CTSB	NA	2638	0.4728986620903015	0.059590317	Yes	
row_37	FBXO9	NA	2775	0.45789748430252075	0.05803547	Yes	
row_38	CROCCP2	NA	2837	0.45112180709838867	0.060095426	Yes	
row_39	NNT	NA	2858	0.44837501645088196	0.064131476	Yes	
row_40	SPTB	NA	3047	0.4325982630252838	0.060070362	Yes	
row_41	ARL2BP	NA	3115	0.4235495924949646	0.061841138	Yes	
row_42	KHNYN	NA	3265	0.4080212712287903	0.059659723	Yes	
row_43	TMCC2	NA	3318	0.40354976058006287	0.062153455	Yes	
row_44	BTRC	NA	3439	0.3902738392353058	0.061369766	Yes	
row_45	HTATIP2	NA	3563	0.37809252738952637	0.060441483	Yes	
row_46	BLVRB	NA	3618	0.37331917881965637	0.06283882	Yes	
row_47	TRIM58	NA	3712	0.3671227991580963	0.06335646	Yes	
row_48	MAP2K3	NA	3796	0.3623300790786743	0.064356074	Yes	
row_49	SNCA	NA	3909	0.35177868604660034	0.06395797	Yes	
row_50	TFRC	NA	3910	0.35150957107543945	0.06895797	Yes	
row_51	TNRC6B	NA	4052	0.33774334192276	0.067162134	Yes	
row_52	ACSL6	NA	4072	0.3366832435131073	0.07124638	Yes	
row_53	DAAM1	NA	4202	0.32738474011421204	0.070028916	Yes	
row_54	BLVRA	NA	4603	0.2982650697231293	0.055749945	Yes	
row_55	TNS1	NA	4724	0.2896963655948639	0.054966256	Yes	
row_56	CIR1	NA	4980	0.271153062582016	0.047675915	Yes	
row_57	ENDOD1	NA	5026	0.2691600024700165	0.05050703	Yes	
row_58	ALDH1L1	NA	5043	0.26831716299057007	0.054735873	Yes	
row_59	CCND3	NA	5066	0.2661720812320709	0.058675528	Yes	
row_60	DCAF10	NA	5116	0.26379960775375366	0.061313856	Yes	
row_61	MFHAS1	NA	5335	0.25174975395202637	0.05580682	Yes	
row_62	LMO2	NA	5381	0.24960610270500183	0.058637936	Yes	
row_63	CAST	NA	5400	0.2487325519323349	0.06277038	Yes	
row_64	RHD	NA	5529	0.24144895374774933	0.06160111	Yes	
row_65	ATP6V0A1	NA	5594	0.23803161084651947	0.063516475	Yes	
row_66	RANBP10	NA	5678	0.2332204431295395	0.06451609	Yes	
row_67	SLC4A1	NA	5736	0.23047614097595215	0.06676884	Yes	
row_68	ERMAP	NA	5835	0.2244623452425003	0.06704549	Yes	
row_69	MPP1	NA	5844	0.2238767445087433	0.07165991	Yes	
row_70	AQP3	NA	5921	0.22037771344184875	0.07299691	Yes	
row_71	OSBP2	NA	5930	0.21993038058280945	0.07761133	Yes	
row_72	FBXO34	NA	5952	0.219045951962471	0.08159918	Yes	
row_73	MARCHF8	NA	5972	0.21825532615184784	0.08568343	Yes	
row_74	GDE1	NA	5994	0.21766945719718933	0.089671284	Yes	
row_75	LRP10	NA	6213	0.20597895979881287	0.08416425	Yes	
row_76	RHAG	NA	6238	0.2047705203294754	0.08800751	Yes	
row_77	BMP2K	NA	6244	0.20419344305992126	0.09276652	Yes	
row_78	EPOR	NA	6295	0.20223498344421387	0.09535665	Yes	
row_79	HBB	NA	6732	0.18295465409755707	0.07934258	Yes	
row_80	CDR2	NA	7049	0.17020423710346222	0.0691122	Yes	
row_81	MARK3	NA	7085	0.16924554109573364	0.07242528	Yes	
row_82	ACKR1	NA	7105	0.16800816357135773	0.076509535	Yes	
row_83	VEZF1	NA	7130	0.16727302968502045	0.0803528	Yes	
row_84	PSMD9	NA	7145	0.1664101779460907	0.08467803	Yes	
row_85	BPGM	NA	7214	0.16351062059402466	0.086400606	Yes	
row_86	HAGH	NA	7330	0.1595297008752823	0.085857905	Yes	
row_87	ABCG2	NA	7362	0.15781079232692719	0.08936378	Yes	
row_88	SLC11A2	NA	7546	0.15136030316352844	0.085543655	Yes	
row_89	PPP2R5B	NA	7615	0.1489032655954361	0.08726623	Yes	
row_90	GAPVD1	NA	7693	0.146392360329628	0.08855503	Yes	
row_91	SEC14L1	NA	7866	0.13929392397403717	0.08526508	Yes	
row_92	GCLC	NA	8207	0.12689782679080963	0.07387795	Yes	
row_93	SLC30A10	NA	8396	0.11974792182445526	0.06981684	Yes	
row_94	DMTN	NA	8417	0.11886231601238251	0.07385289	Yes	
row_95	SIDT2	NA	8641	0.11312566697597504	0.06810486	Yes	
row_96	MOSPD1	NA	8661	0.11249911040067673	0.072189115	Yes	
row_97	NR3C1	NA	8903	0.10452639311552048	0.065573536	Yes	
row_98	HDGF	NA	9019	0.10077795386314392	0.065030836	Yes	
row_99	SLC25A38	NA	9114	0.09873168915510178	0.065500274	Yes	
row_100	KAT2B	NA	9119	0.09855441004037857	0.070307486	Yes	
row_101	SMOX	NA	9332	0.09245553612709045	0.065089636	Yes	
row_102	FOXO3	NA	9405	0.09042202681303024	0.06661942	Yes	
row_103	ELL2	NA	9538	0.08632753789424896	0.06525736	Yes	
row_104	CCDC28A	NA	9561	0.0855419784784317	0.06919702	Yes	
row_105	SLC2A1	NA	9617	0.08390441536903381	0.07154616	Yes	
row_106	BACH1	NA	9633	0.08331584185361862	0.0758232	Yes	
row_107	P4HA2	NA	9767	0.07904703915119171	0.07441294	Yes	
row_108	USP15	NA	9886	0.07618070393800735	0.07372565	Yes	
row_109	IGSF3	NA	9898	0.07589707523584366	0.078195475	Yes	
row_110	FN3K	NA	9935	0.07485949993133545	0.08146037	Yes	
row_111	TSPAN5	NA	9979	0.07358509302139282	0.08438788	Yes	
row_112	AGPAT4	NA	10026	0.07205364853143692	0.0871708	Yes	
row_113	ADD2	NA	10071	0.07059746980667114	0.090050116	Yes	
row_114	PGLS	NA	10129	0.0693313255906105	0.09230286	Yes	
row_115	CA2	NA	10166	0.0683121308684349	0.095567755	Yes	
row_116	DCUN1D1	NA	10424	0.06077870354056358	0.08818102	Yes	
row_117	SLC25A37	NA	10586	0.05689370632171631	0.085421234	Yes	
row_118	RNF19A	NA	10868	0.0493469163775444	0.07687776	Yes	
row_119	KEL	NA	10944	0.04691224545240402	0.078262955	Yes	
row_120	FTCD	NA	10967	0.046318914741277695	0.082202606	Yes	
row_121	CTSE	NA	11149	0.04224298149347305	0.07847887	Yes	
row_122	TSPO2	NA	11171	0.04192010685801506	0.08246673	Yes	
row_123	EPB42	NA	11331	0.0379621796309948	0.07980334	Yes	
row_124	TYR	NA	11494	0.03396756201982498	0.07699536	Yes	
row_125	MINPP1	NA	11572	0.03209272399544716	0.07828416	Yes	
row_126	PPOX	NA	11662	0.030045682564377785	0.07899459	Yes	
row_127	LAMP2	NA	11767	0.02817663364112377	0.078982055	Yes	
row_128	MARCHF2	NA	11849	0.02669600211083889	0.080078065	Yes	
row_129	CA1	NA	11889	0.025629332289099693	0.08319837	Yes	
row_130	XK	NA	11906	0.02549738436937332	0.08742721	Yes	
