NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	JUN	NA	0	5.9753289222717285	0.005	No	
row_1	TNFAIP3	NA	4	2.8138701915740967	0.009855407	No	
row_2	PGF	NA	105	1.687174677848816	0.010035666	No	
row_3	CCNG2	NA	163	1.5006577968597412	0.012288413	No	
row_4	KLHL24	NA	202	1.3952771425247192	0.015456911	No	
row_5	CP	NA	653	0.9420931339263916	-0.0012319266	No	
row_6	KLF7	NA	670	0.9337320923805237	0.0029969146	No	
row_7	EGFR	NA	683	0.9272356629371643	0.0074185454	No	
row_8	GPC3	NA	751	0.8974291086196899	0.009189319	No	
row_9	CXCR4	NA	842	0.8565343022346497	0.009851551	No	
row_10	UGP2	NA	1320	0.6998751163482666	-0.008138617	No	
row_11	ALDOB	NA	1688	0.6132400035858154	-0.02082707	No	
row_12	DCN	NA	2068	0.5462490916252136	-0.03409389	No	
row_13	PLAUR	NA	2318	0.5154783129692078	-0.04109505	No	
row_14	SLC37A4	NA	2330	0.5136479735374451	-0.036625218	No	
row_15	GCK	NA	2379	0.5073057413101196	-0.033938695	No	
row_16	PAM	NA	2384	0.507277250289917	-0.029131485	No	
row_17	CA12	NA	2453	0.49709632992744446	-0.027408909	No	
row_18	KIF5A	NA	2599	0.47836384177207947	-0.029397534	No	
row_19	HS3ST1	NA	2924	0.44310447573661804	-0.040013496	No	
row_20	CDKN1B	NA	2933	0.4424821734428406	-0.035399076	No	
row_21	TGM2	NA	2973	0.4399808645248413	-0.032278776	No	
row_22	PLIN2	NA	2998	0.4385017156600952	-0.028435515	No	
row_23	TES	NA	3039	0.43367427587509155	-0.025363412	No	
row_24	ACKR3	NA	3126	0.42242878675460815	-0.024508389	No	
row_25	GLRX	NA	3243	0.4109031856060028	-0.025099289	No	
row_26	KDELR3	NA	3437	0.3903059959411621	-0.029401392	No	
row_27	GALK1	NA	3466	0.38732674717903137	-0.025750918	No	
row_28	DTNA	NA	3605	0.3742859661579132	-0.027402163	No	
row_29	STC1	NA	3766	0.3643092215061188	-0.03011375	No	
