NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PARP14	NA	606	0.97554612159729	-0.018754076	No	
row_1	RNF31	NA	907	0.831495463848114	-0.022832597	No	
row_2	CNP	NA	994	0.8031492829322815	-0.01664782	No	
row_3	HERC6	NA	1107	0.7641955614089966	-0.011709987	No	
row_4	CD47	NA	1935	0.5675922632217407	-0.041063074	No	
row_5	TXNIP	NA	2364	0.5093569755554199	-0.05128039	No	
row_6	NUB1	NA	2480	0.4937143921852112	-0.046486434	No	
row_7	SLC25A28	NA	2525	0.488436222076416	-0.038287368	No	
row_8	IFITM3	NA	3038	0.43395400047302246	-0.052533265	No	
row_9	B2M	NA	3208	0.414569228887558	-0.050329115	No	
row_10	IFI44	NA	3329	0.4025505483150482	-0.045774955	No	
row_11	CASP8	NA	3717	0.36681485176086426	-0.054025937	No	
row_12	STAT2	NA	3782	0.3631540834903717	-0.046786055	No	
row_13	PSMA3	NA	3902	0.35249584913253784	-0.04218394	No	
row_14	EPSTI1	NA	4250	0.3225669264793396	-0.04851655	No	
row_15	IFIT3	NA	5092	0.2650395631790161	-0.07854106	No	
row_16	IFITM2	NA	5210	0.2577465772628784	-0.07384303	No	
row_17	RIPK2	NA	6058	0.21415340900421143	-0.1041553	No	
row_18	NCOA7	NA	6131	0.20951911807060242	-0.0972991	No	
row_19	TRIM14	NA	6153	0.2085617631673813	-0.08799697	No	
row_20	TENT5A	NA	6260	0.20351886749267578	-0.082771376	No	
row_21	IFIT2	NA	6373	0.19815200567245483	-0.07783354	No	
row_22	TAP1	NA	6390	0.19742383062839508	-0.06829161	No	
row_23	TRIM5	NA	6731	0.1829637736082077	-0.07428851	No	
row_24	IFIH1	NA	7235	0.16269837319850922	-0.08810277	No	
row_25	ELF1	NA	7299	0.1604548841714859	-0.08081493	No	
row_26	HLA-C	NA	7457	0.15445247292518616	-0.078035265	No	
row_27	CD74	NA	7491	0.15332186222076416	-0.069308646	No	
row_28	CSF1	NA	7567	0.15056882798671722	-0.06259632	No	
row_29	CXCL10	NA	7844	0.14033611118793488	-0.06552382	No	
row_30	RSAD2	NA	8972	0.10217678546905518	-0.1092647	No	
row_31	BATF2	NA	9571	0.08513658493757248	-0.1276351	No	
row_32	GBP2	NA	9965	0.07399899512529373	-0.13617384	No	
row_33	IL7	NA	9968	0.07395658642053604	-0.12596048	No	
row_34	RTP4	NA	10043	0.07166250795125961	-0.11920019	No	
row_35	GBP4	NA	10241	0.06642989814281464	-0.118338905	No	
row_36	CXCL11	NA	10353	0.06295042484998703	-0.11335311	No	
row_37	SAMD9L	NA	10457	0.05965718626976013	-0.10798364	No	
row_38	CMTR1	NA	11246	0.04001762345433235	-0.13546632	No	
row_39	LPAR6	NA	11601	0.031616006046533585	-0.14213464	No	
row_40	TRAFD1	NA	11628	0.030785484239459038	-0.1330723	No	
row_41	HELZ2	NA	11720	0.02889237366616726	-0.12712733	No	
row_42	IL15	NA	12216	0.01937018893659115	-0.14055791	No	
row_43	C1S	NA	12239	0.018950190395116806	-0.13130374	No	
row_44	BST2	NA	12297	0.018122229725122452	-0.12372815	No	
row_45	PSMB8	NA	12454	0.015220814384520054	-0.12090053	No	
row_46	LAMP3	NA	12634	0.01117960549890995	-0.11917597	No	
row_47	IRF9	NA	12644	0.011110448278486729	-0.109298326	No	
row_48	OAS1	NA	12883	0.0055676959455013275	-0.11040337	No	
